,kew_id,tdwg3_codes,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
64,101352-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone likiangensis,101352-1,Species,Secamone likiangensis,101352-1
65,101363-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone multiflora,101363-1,Species,Secamone multiflora,101363-1
66,101365-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone neocaledonica,101365-1,Species,Secamone neocaledonica,101365-1
67,101372-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone papuana,101372-1,Species,Secamone papuana,101372-1
68,101390-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone sinica,101390-1,Species,Secamone sinica,101390-1
69,102814-1,[],Vincetoxicum hybanthera,102814-1,Species,Vincetoxicum hybanthera,102814-1
70,60456001-2,"['ALB', 'BUL', 'RUE', 'GRC', 'KAZ', 'KRY', 'RUS', 'TCS', 'TUR', 'TUE', 'UKR', 'YUG']",Vincetoxicum meoticum,60456001-2,Species,Vincetoxicum meoticum,60456001-2
71,82849-1,['SRL'],Wrightia flavidorosea,82849-1,Species,Wrightia flavidorosea,82849-1
72,103083-1,['CPP'],Xysmalobium baurii,103083-1,Species,Xysmalobium baurii,103083-1
73,103131-1,['CPP'],Xysmalobium pearsonii,103131-1,Species,Xysmalobium pearsonii,103131-1
74,103158-1,['CPP'],Xysmalobium winterbergense,103158-1,Species,Xysmalobium winterbergense,103158-1
75,20001129-1,"['COS', 'MXG']",Maytenus calzadae,20001129-1,Species,Maytenus calzadae,20001129-1
76,161964-1,['CUB'],Maytenus lineata,161964-1,Species,Maytenus lineata,161964-1
77,155541-2,['BAH'],Maytenus lucayana,155541-2,Species,Maytenus lucayana,155541-2
78,930321-1,['NCB'],Nicobariodendron sleumeri,930321-1,Species,Nicobariodendron sleumeri,930321-1
79,216624-2,"['BLZ', 'COS', 'ELS', 'GUA', 'HON', 'MXT', 'MXS', 'NIC', 'PAN']",Quetzalia areolata,216624-2,Species,Quetzalia areolata,216624-2
80,77167526-1,['JAW'],Aidia tomentosa var. tomentosa,77167526-1,Variety,Aidia tomentosa,989537-1
81,742975-1,['GGI'],Aidia wattii,742975-1,Species,Aidia wattii,742975-1
82,744419-1,['MAU'],Bertiera bistipulata,744419-1,Species,Bertiera bistipulata,744419-1
83,745518-1,['SRL'],Canthium macrocarpum,745518-1,Species,Canthium macrocarpum,745518-1
84,745897-1,['CUB'],Catesbaea phyllacantha,745897-1,Species,Catesbaea phyllacantha,745897-1
85,746297-1,['MAU'],Chassalia grandifolia,746297-1,Species,Chassalia grandifolia,746297-1
86,746978-1,[],Coccocypselum ovatum,746978-1,Species,Coccocypselum ovatum,746978-1
87,747595-1,"['ANG', 'CAB', 'CMN', 'CAF', 'CON', 'EQG', 'GAB', 'NGA', 'ZAI']",Corynanthe brachythyrsus,747595-1,Species,Corynanthe brachythyrsus,747595-1
88,748138-1,['ROD'],Danais corymbosa,748138-1,Species,Danais corymbosa,748138-1
89,275766-2,['MXT'],Deppea splendens,275766-2,Species,Deppea splendens,275766-2
90,77089833-1,[],Discospermum polyspermum,77089833-1,Species,Discospermum polyspermum,77089833-1
91,77168407-1,[],Exallage auricularia subsp. auricularia,77168407-1,Subspecies,Exallage auricularia,748862-1
92,77190031-1,[],Exallage auricularia subsp. venosa,77190031-1,Subspecies,Exallage auricularia,748862-1
93,77147285-1,"['ASS', 'BOR', 'CHC', 'MYA', 'THA']",Exallage fulva,77147285-1,Species,Exallage fulva,77147285-1
94,748869-1,"['MLY', 'THA', 'VIE']",Exallage havilandii,748869-1,Species,Exallage havilandii,748869-1
95,748870-1,"['CBD', 'JAW', 'LAO', 'MLY', 'THA', 'VIE']",Exallage kunstleri,748870-1,Species,Exallage kunstleri,748870-1
96,748871-1,"['CBD', 'JAW', 'LAO', 'MLY', 'THA', 'VIE']",Exallage latifolia,748871-1,Species,Exallage latifolia,748871-1
97,749281-1,[],Faramea umbellifera,749281-1,Species,Faramea umbellifera,749281-1
98,749343-1,['REU'],Fernelia pedunculata,749343-1,Species,Fernelia pedunculata,749343-1
99,749349-1,['MDG'],Flagenium latifolium,749349-1,Species,Flagenium latifolium,749349-1
100,749350-1,['MDG'],Flagenium setosum,749350-1,Species,Flagenium setosum,749350-1
101,546275-1,['MAU'],Gaertnera calycina,546275-1,Species,Gaertnera calycina,546275-1
102,546280-1,['MAU'],Gaertnera crassiflora,546280-1,Species,Gaertnera crassiflora,546280-1
103,546287-1,['SRL'],Gaertnera × gardneri,546287-1,Species,Gaertnera × gardneri,546287-1
104,77168433-1,[],Galium bussei var. bussei,77168433-1,Variety,Galium bussei,749662-1
105,77189247-1,"['MLW', 'MOZ', 'TAN', 'ZAM', 'ZAI', 'ZIM']",Galium bussei var. glabrostrictius,77189247-1,Variety,Galium bussei,749662-1
106,77189292-1,"['MLW', 'MOZ', 'TAN', 'ZAM', 'ZAI', 'ZIM']",Galium bussei var. glabrum,77189292-1,Variety,Galium bussei,749662-1
107,77189271-1,"['MLW', 'MOZ', 'TAN', 'ZAM', 'ZAI', 'ZIM']",Galium bussei var. strictius,77189271-1,Variety,Galium bussei,749662-1
108,750026-1,"['ANG', 'CMN', 'ETH', 'KEN', 'TAN', 'ZAM', 'ZAI']",Galium homblei,750026-1,Species,Galium homblei,750026-1
109,77189077-1,"['ANG', 'CMN', 'ETH', 'KEN', 'TAN', 'ZAM', 'ZAI']",Galium scioanum var. glabrum,77189077-1,Variety,Galium scioanum,50884105-1
110,890330-1,"['ANG', 'CMN', 'ETH', 'KEN', 'TAN', 'ZAM', 'ZAI']",Galium scioanum var. latum,890330-1,Variety,Galium scioanum,50884105-1
111,77168463-1,[],Galium scioanum var. scioanum,77168463-1,Variety,Galium scioanum,50884105-1
112,114480-2,"['BLZ', 'CLM', 'COS', 'ECU', 'GUA', 'MXT', 'NIC', 'PER', 'VEN']",Guettarda bernardii,114480-2,Species,Guettarda bernardii,114480-2
113,114510-2,"['BLZ', 'CLM', 'COS', 'ECU', 'GUA', 'LEE', 'MXT', 'NIC', 'PER', 'TRT', 'VEN', 'WIN']",Guettarda crispiflora,114510-2,Species,Guettarda crispiflora,114510-2
114,1020640-1,"['BLZ', 'CLM', 'COS', 'ECU', 'GUA', 'MXT', 'NIC', 'PER', 'VEN']",Guettarda crispiflora subsp. cobanensis,1020640-1,Subspecies,Guettarda crispiflora,114510-2
115,1020642-1,"['BOL', 'CLM', 'ECU', 'PER', 'VEN']",Guettarda crispiflora subsp. sabiceoides,1020642-1,Subspecies,Guettarda crispiflora,114510-2
116,77177099-1,"['BOL', 'CLM', 'ECU', 'PER', 'VEN']",Guettarda dependens,77177099-1,Species,Guettarda dependens,77177099-1
117,751933-1,[],Guettarda fontanesii,751933-1,Species,Guettarda fontanesii,751933-1
118,751949-1,"['ECU', 'PER']",Guettarda hirsuta,751949-1,Species,Guettarda hirsuta,751949-1
119,752045-1,['CUB'],Guettarda retusa,752045-1,Species,Guettarda retusa,752045-1
120,292158-2,"['BOL', 'CLM', 'COS', 'ECU', 'PAN', 'PER']",Guettarda tournefortiopsis,292158-2,Species,Guettarda tournefortiopsis,292158-2
121,752421-1,"['ASS', 'BOR', 'CHC', 'MYA', 'THA']",Hedyotis dawsoniana,752421-1,Species,Hedyotis dawsoniana,752421-1
122,752544-1,['IND'],Hedyotis hirsutissima,752544-1,Species,Hedyotis hirsutissima,752544-1
123,752545-1,"['ASS', 'BAN', 'BOR', 'CBD', 'CRL', 'CHC', 'CHS', 'EHM', 'GIL', 'CHH', 'IND', 'JAW', 'KZN', 'LAO', 'MLY', 'MOL', 'MYA', 'NNS', 'NEP', 'NCB', 'PHI', 'SUL', 'SUM', 'TAI', 'THA', 'VIE']",Hedyotis hirta,752545-1,Species,Hedyotis hirta,752545-1
124,752738-1,"['BOR', 'CBD', 'CHS', 'MLY', 'SUM', 'THA', 'VIE']",Hedyotis parryi,752738-1,Species,Hedyotis parryi,752738-1
125,315185-2,['BZL'],Hindsia arianeae,315185-2,Species,Hindsia arianeae,315185-2
126,315186-2,['BZL'],Hindsia cucullata,315186-2,Species,Hindsia cucullata,315186-2
127,122709-2,['BZL'],Hindsia phyllocalyx,122709-2,Species,Hindsia phyllocalyx,122709-2
128,320609-2,['BZL'],Hindsia violacea,320609-2,Species,Hindsia violacea,320609-2
129,753260-1,[],Hoffmannia robusta,753260-1,Species,Hoffmannia robusta,753260-1
130,77172318-1,[],Hymenodictyon parvifolium subsp. parvifolium,77172318-1,Subspecies,Hymenodictyon parvifolium,753565-1
131,890389-1,"['SUD', 'UGA', 'ZAI']",Hymenodictyon parvifolium subsp. scabrum,890389-1,Subspecies,Hymenodictyon parvifolium,753565-1
132,753744-1,['IND'],Ixora barbata,753744-1,Species,Ixora barbata,753744-1
133,77178698-1,"['AND', 'BAN', 'CBD', 'IND', 'LAO', 'MYA', 'NCB', 'VIE']",Ixora predeepii,77178698-1,Species,Ixora predeepii,77178698-1
134,754428-1,"['IND', 'SRL']",Ixora saulierei,754428-1,Species,Ixora saulierei,754428-1
135,998069-1,"['IND', 'SRL']",Ixora sivarajiana,998069-1,Species,Ixora sivarajiana,998069-1
136,77101053-1,['MAU'],Ixora vaughanii,77101053-1,Species,Ixora vaughanii,77101053-1
137,60454817-2,['HAW'],Kadua coriacea,60454817-2,Species,Kadua coriacea,60454817-2
138,60454827-2,['HAW'],Kadua degeneri subsp. coprosmifolia,60454827-2,Subspecies,Kadua degeneri,60454825-2
139,754622-1,['HAW'],Kadua foliosa,754622-1,Species,Kadua foliosa,754622-1
140,60454616-2,['HAW'],Kadua haupuensis,60454616-2,Species,Kadua haupuensis,60454616-2
141,924291-1,"['ASS', 'BAN', 'CBD', 'CHC', 'CHS', 'CHH', 'IND', 'JAW', 'MYA', 'NEP', 'THA', 'VIE']",Knoxia roxburghii subsp. brunonis,924291-1,Subspecies,Knoxia roxburghii,754683-1
142,924292-1,"['ASS', 'BAN', 'CBD', 'CHC', 'CHS', 'CHH', 'IND', 'JAW', 'MYA', 'NEP', 'THA', 'VIE']",Knoxia roxburghii var. glauca,924292-1,Variety,Knoxia roxburghii,754683-1
143,77170964-1,[],Knoxia roxburghii subsp. roxburghii,77170964-1,Subspecies,Knoxia roxburghii,754683-1
144,755317-1,"['COO', 'FIJ', 'MRN', 'NWC', 'NUE', 'SAM', 'TON', 'TUB', 'VAN']",Leptopetalum kanehirae,755317-1,Species,Leptopetalum kanehirae,755317-1
145,755624-1,[],Manettia auratifolia,755624-1,Species,Manettia auratifolia,755624-1
146,756298-1,"['ANG', 'BEN', 'CAB', 'CMN', 'CAF', 'CHA', 'CON', 'GAB', 'GAM', 'GHA', 'GUI', 'GNB', 'IVO', 'LBR', 'NGA', 'SEN', 'SIE', 'SUD', 'TOG', 'UGA', 'ZAM', 'ZAI']",Mitragyna ledermannii,756298-1,Species,Mitragyna ledermannii,756298-1
147,756417-1,"['BAN', 'CBD', 'CHC', 'LAO', 'MLY', 'MYA', 'SUM', 'THA', 'VIE']",Morinda longifolia,756417-1,Species,Morinda longifolia,756417-1
148,756447-1,"['BAN', 'CBD', 'CHC', 'LAO', 'MLY', 'MYA', 'SUM', 'THA', 'VIE']",Morinda pandurifolia,756447-1,Species,Morinda pandurifolia,756447-1
149,756461-1,"['CBD', 'IND', 'MYA', 'THA', 'VIE']",Morinda pumila,756461-1,Species,Morinda pumila,756461-1
150,756735-1,"['MLY', 'THA']",Mussaenda mollis,756735-1,Species,Mussaenda mollis,756735-1
151,757293-1,"['BEN', 'CMN', 'CAF', 'GAB', 'IVO', 'LBR', 'NGA', 'ZAI']",Nauclea xanthoxylon,757293-1,Species,Nauclea xanthoxylon,757293-1
152,77128520-1,"['ASS', 'BAN', 'CHC', 'EHM', 'IND', 'JAW', 'MYA', 'NEP', 'THA', 'VIE', 'WHM']",Neanotis pahompokae,77128520-1,Species,Neanotis pahompokae,77128520-1
153,77195451-1,['MLY'],Neonauclea kranjiensis,77195451-1,Species,Neonauclea kranjiensis,77195451-1
154,757675-1,['ASC'],Oldenlandia adscensionis,757675-1,Species,Oldenlandia adscensionis,757675-1
155,757854-1,"['CBD', 'JAW', 'LAO', 'MLY', 'THA', 'VIE']",Oldenlandia fraterna,757854-1,Species,Oldenlandia fraterna,757854-1
156,757906-1,"['BIS', 'BOR', 'JAW', 'LAO', 'NWG', 'NSW', 'QLD', 'SUL', 'SUM', 'THA']",Oldenlandia horneriana,757906-1,Species,Oldenlandia horneriana,757906-1
157,757915-1,"['COO', 'FIJ', 'MRN', 'NWC', 'NUE', 'SAM', 'TON', 'TUB', 'VAN']",Oldenlandia imberbis,757915-1,Species,Oldenlandia imberbis,757915-1
158,757929-1,"['CBD', 'THA']",Oldenlandia kamputensis,757929-1,Species,Oldenlandia kamputensis,757929-1
159,757939-1,"['ASS', 'BAN', 'CBD', 'CHC', 'EHM', 'CHH', 'IND', 'JAW', 'LAO', 'MLY', 'MYA', 'NEP', 'PAK', 'PHI', 'SRL', 'TAI', 'THA', 'VIE', 'WHM']",Oldenlandia lakshnakarae,757939-1,Species,Oldenlandia lakshnakarae,757939-1
160,757992-1,['THA'],Oldenlandia marcanii,757992-1,Species,Oldenlandia marcanii,757992-1
161,758079-1,"['CBD', 'LAO', 'THA', 'VIE']",Oldenlandia praecox,758079-1,Species,Oldenlandia praecox,758079-1
162,758109-1,"['BOR', 'CBD', 'JAW', 'MLY', 'MYA', 'NCB', 'PHI', 'THA', 'VIE']",Oldenlandia quocensis,758109-1,Species,Oldenlandia quocensis,758109-1
163,758140-1,"['CBD', 'THA', 'VIE']",Oldenlandia rosmarinifolia,758140-1,Species,Oldenlandia rosmarinifolia,758140-1
164,758173-1,"['CBD', 'LAO', 'THA', 'VIE']",Oldenlandia scoparia,758173-1,Species,Oldenlandia scoparia,758173-1
165,758209-1,"['BOR', 'CBD', 'CHS', 'MLY', 'SUM', 'THA', 'VIE']",Oldenlandia subdivaricata,758209-1,Species,Oldenlandia subdivaricata,758209-1
166,758263-1,"['CBD', 'THA', 'VIE']",Oldenlandia valerianelloides,758263-1,Species,Oldenlandia valerianelloides,758263-1
167,758309-1,['WAU'],Opercularia hirsuta,758309-1,Species,Opercularia hirsuta,758309-1
168,758352-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza aggregata,758352-1,Species,Ophiorrhiza aggregata,758352-1
169,758362-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza approximata,758362-1,Species,Ophiorrhiza approximata,758362-1
170,758371-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza bambusetorum,758371-1,Species,Ophiorrhiza bambusetorum,758371-1
171,758375-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza bicolor,758375-1,Species,Ophiorrhiza bicolor,758375-1
172,758391-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza calcarea,758391-1,Species,Ophiorrhiza calcarea,758391-1
173,758401-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza communis,758401-1,Species,Ophiorrhiza communis,758401-1
174,758402-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza condensa,758402-1,Species,Ophiorrhiza condensa,758402-1
175,758485-1,['THA'],Ophiorrhiza kratensis,758485-1,Species,Ophiorrhiza kratensis,758485-1
176,758506-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza longifolia,758506-1,Species,Ophiorrhiza longifolia,758506-1
177,758521-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza membranacea,758521-1,Species,Ophiorrhiza membranacea,758521-1
178,758553-1,['SRL'],Ophiorrhiza pallida,758553-1,Species,Ophiorrhiza pallida,758553-1
179,758567-1,['THA'],Ophiorrhiza plumbea,758567-1,Species,Ophiorrhiza plumbea,758567-1
180,758581-1,"['ASS', 'CHC', 'EHM', 'MLY', 'MYA', 'THA', 'CHT']",Ophiorrhiza remotiflora,758581-1,Species,Ophiorrhiza remotiflora,758581-1
181,758606-1,"['MLY', 'THA']",Ophiorrhiza scabrella,758606-1,Species,Ophiorrhiza scabrella,758606-1
182,758608-1,['THA'],Ophiorrhiza schmidtiana,758608-1,Species,Ophiorrhiza schmidtiana,758608-1
183,758630-1,"['MLY', 'MYA', 'THA']",Ophiorrhiza subpunicea,758630-1,Species,Ophiorrhiza subpunicea,758630-1
184,77161951-1,['VEN'],Palicourea eciliata,77161951-1,Species,Palicourea eciliata,77161951-1
185,77161952-1,['VEN'],Palicourea norae,77161952-1,Species,Palicourea norae,77161952-1
186,77161953-1,['VEN'],Palicourea ruiz-teranii,77161953-1,Species,Palicourea ruiz-teranii,77161953-1
187,77161955-1,['VEN'],Palicourea tayloriae,77161955-1,Species,Palicourea tayloriae,77161955-1
188,759541-1,['CMN'],Pavetta bangweensis,759541-1,Species,Pavetta bangweensis,759541-1
189,759555-1,"['MYA', 'THA']",Pavetta birmahica,759555-1,Species,Pavetta birmahica,759555-1
190,759681-1,"['LAO', 'THA']",Pavetta finlaysoniana,759681-1,Species,Pavetta finlaysoniana,759681-1
191,759686-1,"['MLY', 'MYA', 'THA']",Pavetta formosa,759686-1,Species,Pavetta formosa,759686-1
192,759745-1,"['CAB', 'CMN', 'CON', 'EQG', 'GAB', 'GGI', 'NGA']",Pavetta hygrophytica,759745-1,Species,Pavetta hygrophytica,759745-1
193,980090-1,[],Pavetta indica var. glabrescens,980090-1,Variety,Pavetta indica,759752-1
194,77171738-1,"['AND', 'ASS', 'BAN', 'EHM', 'IND', 'LDV', 'NCB', 'SRL']",Pavetta indica var. indica,77171738-1,Variety,Pavetta indica,759752-1
195,759796-1,"['LAO', 'THA']",Pavetta laoticensis,759796-1,Species,Pavetta laoticensis,759796-1
196,759898-1,"['LAO', 'THA']",Pavetta nervosa,759898-1,Species,Pavetta nervosa,759898-1
197,759959-1,[],Pavetta pitardii,759959-1,Species,Pavetta pitardii,759959-1
198,759968-1,[],Pavetta polyantha,759968-1,Species,Pavetta polyantha,759968-1
199,759983-1,"['BOR', 'CBD', 'LAO', 'THA', 'VIE']",Pavetta pusilliflora,759983-1,Species,Pavetta pusilliflora,759983-1
200,761254-1,['MRQ'],Psychotria adamsonii,761254-1,Species,Psychotria adamsonii,761254-1
201,907691-1,['ROD'],Psychotria balfouriana,907691-1,Species,Psychotria balfouriana,907691-1
202,212485-2,['CUB'],Psychotria banaona,212485-2,Species,Psychotria banaona,212485-2
203,761588-1,['PHI'],Psychotria cadigensis,761588-1,Species,Psychotria cadigensis,761588-1
204,761642-1,['PHI'],Psychotria capizensis,761642-1,Species,Psychotria capizensis,761642-1
205,761648-1,['PHI'],Psychotria cardiophylla,761648-1,Species,Psychotria cardiophylla,761648-1
206,77083675-1,['PHI'],Psychotria casiguraensis,77083675-1,Species,Psychotria casiguraensis,77083675-1
207,761700-1,[],Psychotria chlorophylla,761700-1,Species,Psychotria chlorophylla,761700-1
208,77083636-1,['PHI'],Psychotria christarusselliae,77083636-1,Species,Psychotria christarusselliae,77083636-1
