,kew_id,tdwg3_codes,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
0,94242-1,['TVL'],Asclepias dissona,94242-1,Species,Asclepias dissona,94242-1
1,94475-1,['TVL'],Asclepias nana,94475-1,Species,Asclepias nana,94475-1
2,94591-1,['CPP'],Asclepias rara,94591-1,Species,Asclepias rara,94591-1
3,95447-1,['NAT'],Ceropegia antennifera,95447-1,Species,Ceropegia antennifera,95447-1
4,77173297-1,['CPP'],Ceropegia bowkeri subsp. bowkeri,77173297-1,Subspecies,Ceropegia bowkeri,95484-1
5,77167121-1,['TVL'],Ceropegia cana,77167121-1,Species,Ceropegia cana,77167121-1
6,95712-1,['SRL'],Ceropegia parviflora,95712-1,Species,Ceropegia parviflora,95712-1
7,77167231-1,['CPP'],Ceropegia schoenlandiana,77167231-1,Species,Ceropegia schoenlandiana,77167231-1
8,95819-1,['CPP'],Ceropegia tomentosa,95819-1,Species,Ceropegia tomentosa,95819-1
9,112377-2,[],Gonolobus haussknechtii,112377-2,Species,Gonolobus haussknechtii,112377-2
10,97923-1,[],Gonolobus mollis,97923-1,Species,Gonolobus mollis,97923-1
11,98161-1,[],Gymnema erianthum,98161-1,Species,Gymnema erianthum,98161-1
12,98215-1,['SRL'],Gymnema rotundatum,98215-1,Species,Gymnema rotundatum,98215-1
13,98424-1,"['NWC', 'NWG', 'QLD', 'SAM', 'SOL']",Hoya cominsii,98424-1,Species,Hoya cominsii,98424-1
14,98538-1,"['NWC', 'NWG', 'QLD', 'SAM', 'SOL']",Hoya limoniaca,98538-1,Species,Hoya limoniaca,98538-1
15,98579-1,"['NWC', 'NWG', 'QLD', 'SAM', 'SOL']",Hoya neocaledonica,98579-1,Species,Hoya neocaledonica,98579-1
16,98686-1,"['NWC', 'NWG', 'QLD', 'SAM', 'SOL']",Hoya samoensis,98686-1,Species,Hoya samoensis,98686-1
17,77188193-1,[],Hoya samoensis subsp. samoensis,77188193-1,Subspecies,Hoya samoensis,98686-1
18,60474064-2,"['NWC', 'NWG', 'QLD', 'SAM', 'SOL']",Hoya samoensis subsp. savaiiensis,60474064-2,Subspecies,Hoya samoensis,98686-1
19,98832-1,['CPP'],Huernia witzenbergensis,98832-1,Species,Huernia witzenbergensis,98832-1
20,79617-1,"['COM', 'MDG']",Landolphia fragrans,79617-1,Species,Landolphia fragrans,79617-1
21,79631-1,"['COM', 'MDG']",Landolphia hispidula,79631-1,Species,Landolphia hispidula,79631-1
22,874320-1,"['COM', 'MDG']",Landolphia myrtifolia var. microphylla,874320-1,Variety,Landolphia myrtifolia,79667-1
23,77168578-1,[],Landolphia myrtifolia var. myrtifolia,77168578-1,Variety,Landolphia myrtifolia,79667-1
24,874321-1,"['COM', 'MDG']",Landolphia myrtifolia var. perrieri,874321-1,Variety,Landolphia myrtifolia,79667-1
25,60453464-2,['MDG'],Landolphia nitens,60453464-2,Species,Landolphia nitens,60453464-2
26,79670-1,"['COM', 'MDG']",Landolphia obliquinervia,79670-1,Species,Landolphia obliquinervia,79670-1
27,79681-1,['MDG'],Landolphia platyclada,79681-1,Species,Landolphia platyclada,79681-1
28,79695-1,"['COM', 'MDG']",Landolphia sphaerocarpa,79695-1,Species,Landolphia sphaerocarpa,79695-1
29,79718-1,['MDG'],Landolphia trichostigma,79718-1,Species,Landolphia trichostigma,79718-1
30,99083-1,"['NSW', 'NTA', 'QLD', 'SOA', 'VIC', 'WAU']",Marsdenia australis,99083-1,Species,Marsdenia australis,99083-1
31,99084-1,['NWC'],Marsdenia balansae,99084-1,Species,Marsdenia balansae,99084-1
32,99091-1,['NWC'],Marsdenia billardierei,99091-1,Species,Marsdenia billardierei,99091-1
33,985210-1,['QLD'],Marsdenia brevifolia,985210-1,Species,Marsdenia brevifolia,985210-1
34,985159-1,['MLY'],Marsdenia dissitiflora,985159-1,Species,Marsdenia dissitiflora,985159-1
35,99146-1,['NWC'],Marsdenia ericoides,99146-1,Species,Marsdenia ericoides,99146-1
36,987510-1,"['MLY', 'MYA', 'THA']",Marsdenia forsteri,987510-1,Species,Marsdenia forsteri,987510-1
37,985218-1,"['NWG', 'NTA', 'QLD', 'WAU']",Marsdenia geminata,985218-1,Species,Marsdenia geminata,985218-1
38,985160-1,['MLY'],Marsdenia hirta,985160-1,Species,Marsdenia hirta,985160-1
39,987511-1,"['ASS', 'BOR', 'IND', 'MLY', 'MYA', 'SRL', 'SUM']",Marsdenia lactifera,987511-1,Species,Marsdenia lactifera,987511-1
40,985161-1,['JAW'],Marsdenia littoralis,985161-1,Species,Marsdenia littoralis,985161-1
41,985213-1,['QLD'],Marsdenia micradenia,985213-1,Species,Marsdenia micradenia,985213-1
42,985223-1,"['NTA', 'QLD']",Marsdenia muelleri,985223-1,Species,Marsdenia muelleri,985223-1
43,985162-1,['PHI'],Marsdenia pachyglossa,985162-1,Species,Marsdenia pachyglossa,985162-1
44,985217-1,"['NSW', 'QLD', 'WAU']",Marsdenia pleiadenia,985217-1,Species,Marsdenia pleiadenia,985217-1
45,99262-1,['NWC'],Marsdenia pseudoparsonsia,99262-1,Species,Marsdenia pseudoparsonsia,99262-1
46,99267-1,['NWC'],Marsdenia raoulii,99267-1,Species,Marsdenia raoulii,99267-1
47,985224-1,['NWG'],Marsdenia rivularis,985224-1,Species,Marsdenia rivularis,985224-1
48,985219-1,"['NWG', 'QLD']",Marsdenia suborbicularis,985219-1,Species,Marsdenia suborbicularis,985219-1
49,985222-1,"['NWC', 'NWG', 'QLD']",Marsdenia tricholepis,985222-1,Species,Marsdenia tricholepis,985222-1
50,985209-1,"['NTA', 'WAU']",Marsdenia trinervis,985209-1,Species,Marsdenia trinervis,985209-1
51,99335-1,['NFK'],Marsdenia tubulosa,99335-1,Species,Marsdenia tubulosa,99335-1
52,985164-1,['JAW'],Marsdenia vajanicum,985164-1,Species,Marsdenia vajanicum,985164-1
53,99346-1,['NWC'],Marsdenia vieillardii,99346-1,Species,Marsdenia vieillardii,99346-1
54,154540-2,['CUB'],Matelea grisebachiana,154540-2,Species,Matelea grisebachiana,154540-2
55,904705-1,['TVL'],Miraglossum laeve,904705-1,Species,Miraglossum laeve,904705-1
56,77112734-1,['MRQ'],Ochrosia brownii,77112734-1,Species,Ochrosia brownii,77112734-1
57,100261-1,['SWZ'],Pachycarpus stelliceps,100261-1,Species,Pachycarpus stelliceps,100261-1
58,100862-1,['NAT'],Riocreuxia woodii,100862-1,Species,Riocreuxia woodii,100862-1
59,101303-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone attenuata,101303-1,Species,Secamone attenuata,101303-1
60,101308-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone bonii,101308-1,Species,Secamone bonii,101308-1
61,101312-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone caudata,101312-1,Species,Secamone caudata,101312-1
62,101329-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone ferruginea,101329-1,Species,Secamone ferruginea,101329-1
63,101332-1,"['CBD', 'CHC', 'CHS', 'CHH', 'JAW', 'LAO', 'LSI', 'MLY', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'TAI', 'THA', 'VIE', 'WAU']",Secamone flavida,101332-1,Species,Secamone flavida,101332-1
