genus,Habit
Cordiera,sh/tr/subsh
Cordylogyne,hb
Cordylostigma,hb
Corynanthe,tr
Coryphothamnus,subsh/sh
Cosmibuena,sh/tr
Cosmocalyx,tr/sh
Cosmostigma,li
Couma,tr/sh
Coussarea,sh/subsh/tr
Coutaportla,subsh/sh
Coutarea,sh/tr
Coutareopsis,sh/subsh/tr
Cowiea,tr/sh
Craspidospermum,tr/sh
Craterispermum,sh/tr
Cremaspora,hb/subsh/tr/sh
Crioceras,sh/subsh/tr
Cristobalia,subsh
Crobylanthe,sh/subsh
Crossopteryx,sh/subsh/tr
Crucianella,subsh
Cruciata,hb
Cruckshanksia,hb
Crusea,hb
Cryptolepis,sh/li
Cryptostegia,li
Cubanola,sh/subsh/tr
Cuviera,sh/subsh/tr
Cyanoneuron,subsh/sh
Cycladenia,hb
Cyclocotyla,li
Cyclophyllum,sh/subsh
Cylindropsis,li/sh/subsh
Cynanchum,li/sh/subsh
Damnacanthus,sh/subsh
Danais,sh/li
Debia,hb
Decalepis,li
Deccania,tr/sh
Declieuxia,subsh
Dendrosipanea,sh/subsh
Denscantia,li/subsh
Dentella,subsh
Deppea,sh/subsh
Desmidorchis,sc
Dewevrella,li
Dialypetalanthus,tr/sh
Dibrachionostylus,subsh
Dibridsonia,sh/subsh/tr
Dichilanthe,tr/sh
Dictyophleba,li
Didymaea,hb/subsh
Didymochlamys,subsh
Didymosalpinx,sh/subsh
Dimetia,subsh/li
Diodia,hb
Dioecrescis,sh/subsh/tr
Dioicodendron,hb/subsh
Diplolepis,li/sh/subsh
Diplorhynchus,tr
Diplospora,tr
Dirichletia,sh/subsh
Dischidanthus,li
Dischidia,li/subsh
Dischidiopsis,li/subsh
Discospermum,sh/subsh/tr
Ditassa,li/subsh
Ditrichanthus,sh/subsh
Diyaminauclea,tr/sh
Dolianthus,sh/subsh
Dolichodelphys,sh/subsh/tr
Dolicholobium,sh/subsh/tr
Dolichometra,subsh
Dolichopentas,subsh/sh
Dolichopetalum,li
Donnellyanthus,sh/subsh
Dregea,li
Duidania,sh/subsh/tr
Dunnia,sh/subsh
Duperrea,sh/subsh/tr
Duroia,tr
Durringtonia,hb
Duvalia,sc
Duvaliandra,sc
Duvaliaranthus,sc
Dyera,tr
Echidnopsis,sc
Echites,li
Ectadium,subsh/sh
Ecua,li
Edithcolea,sc
Edrastima,hb/subsh
Eizia,subsh/sh
Elaeagia,tr
Elytropus,li
Emicocarpus,hb
Emmenopterys,sh
Emmeorhiza,li/sh/subsh
Emplectanthus,li/subsh
Empogona,sh/subsh/tr
Eosanthe,sh/subsh/tr
Ephippiocarpa,sh/subsh
Epigynum,li
Epistemma,li/sh/subsh
Eriosemopsis,hb/subsh
Erithalis,sh/subsh/tr
Ernodea,sh/subsh
Euclinia,sh/subsh/tr
Eucorymbia,li
Eumachia,sh
Eustegia,hb
Everistia,sh/subsh/tr
Exallage,sh
Exallosperma,sh/subsh
Exostema,sh/tr
Fadogia,subsh
Fadogiella,sh
Fanninia,hb
Faramea,sh/subsh/tr
Farquharia,li
Ferdinandusa,tr/sh
Feretia,sh/subsh/tr
Fergusonia,hb/subsh
Fernelia,sh/subsh
Finlaysonia,li
Fischeria,li
Flagenium,sh/subsh/tr
Flexanthera,tr/sh
Fockea,li/hb
Foonchewia,sh/subsh
Forsteronia,li
Fosbergia,tr/sh
Funastrum,li/subsh
Funtumia,tr
Gaertnera,sh/subsh/tr
Galactophora,sh/subsh
Galianthe,sh/subsh/li
Galiasperula,hb
Galiniera,sh/tr
Galium,subsh
Gallienia,sh/subsh
Galopina,hb/subsh
Ganguelia,subsh
Gardenia,sh
Gardeniopsis,sh/subsh/tr
Geissospermum,tr
Genianthus,li/subsh
Genipa,sh/tr
Gentingia,sh/subsh/tr
Geophila,subsh
Gillespiea,sh/subsh/tr
Gleasonia,tr/sh
Glionnetia,tr/sh
Globulostylis,sh/subsh/tr
Glossostelma,hb
Glossostipula,tr/sh
Gomphocalyx,hb
Gomphocarpus,sh
Gongronema,li
Gonioma,sh
Goniostemma,li/sh/subsh
Gonolobus,li/subsh
Gonzalagunia,sh/tr
Greenea,tr/sh
Greeniopsis,tr/sh
Guettarda,sh/tr
Guihaiothamnus,subsh
Gunnessia,li
Gymnanthera,li/sh/subsh
Gymnema,li
Gynochthodes,li
Gyrostelma,subsh
Gyrostipula,tr
Habroneuron,li/sh/subsh
Hamelia,sh/tr
Hancornia,tr
Haplophyton,subsh
Hedstromia,tr/sh
Hedyotis,subsh
Hedythyrsus,hb
Heinsenia,sh/subsh/tr
Heinsia,sh/subsh/tr
Hekistocarpa,subsh
Hemidesmus,li
Hemipogon,subsh
Henriquezia,tr/sh
Heterophyllaea,sh/subsh
Heterostemma,li
Hexasepalum,subsh/li
Heynella,subsh
Hiepia,hb/subsh
Hillia,sh/subsh/tr
Himalrandia,subsh
Himatanthus,sh
Hindsia,sh/subsh
Hintonia,sh/subsh/tr
Hippotis,sh/subsh/tr
Hodgkinsonia,tr/sh
Hoffmannia,sh
Holarrhena,tr
Holstianthus,sh/subsh
Homollea,sh/subsh
Hoodia,sc
Hoodiapelia,sc
Hoodiorbea,sc
Hoodiotriche,sc
Houstonia,subsh
Hoya,li
Huernia,sc
Hunteria,tr
Hutchinsonia,sh/subsh
Hydnophytum,li
Hydrophylax,subsh
Hylaea,tr/sh
Hymenocoleus,subsh
Hymenodictyon,tr/sh
Hyperacanthus,sh/subsh/tr
Hypobathrum,sh/subsh
Hypolobus,li/subsh
Hyptianthera,sh/subsh/tr
Ibatia,li
Ichnocarpus,li
Involucrella,subsh
Ischnolepis,li
Isertia,sh/tr
Isidorea,sh/subsh
Isonema,hb/subsh
Ixodonerium,li
Ixora,sh/tr
Jackiopsis,tr/sh
Janotia,tr/sh
Jasminanthes,li
Jobinia,li/subsh
Joosia,sh/tr
Jovetia,subsh/sh
Kadua,subsh
Kailarsenia,sh/subsh
Kajewskiella,sh/subsh/tr
Kamettia,li
Kanahia,subsh
Kanapia,hb/subsh
Keetia,sh/li
Kelloggia,hb
Kerianthera,tr/sh
Khasiaclunea,sh
Kibatalia,tr/sh
Klossia,subsh
Knoxia,subsh
Kochummenia,sh/subsh/tr
Kohautia,subsh
Kopsia,tr
Kraussia,sh/subsh/tr
Kupeantha,sh/subsh
Kutchubaea,tr/sh
Lachnostoma,li
Lacmellea,tr/sh
Ladenbergia,tr
Lamprothamnus,sh/subsh/tr
Landiopsis,tr/sh
Landolphia,li
Larryleachia,sc
Larsenaikia,sh/subsh
Lasianthus,sh/subsh
Lathraeocarpa,subsh
Laubertia,li
Lavrania,sc
Laxoplumeria,tr/sh
Lecananthus,li
Lelya,subsh
Lemyrea,tr/sh
Lepinia,tr/sh
Lepiniopsis,sh/subsh
Leptactina,sh/subsh/tr
Leptadenia,li
Leptodermis,sh/subsh
Leptomischus,hb
Leptopetalum,subsh/sh
Leptoscela,hb
Leptostigma,subsh
Lerchea,sh
Leucocodon,li
Leucolophus,sh/subsh
Leuconotis,li
Limnosipanea,hb
Luculia,sh/subsh/tr
Lucya,hb
Lygisma,li
Macbrideina,tr/sh
Machaonia,sh/subsh
Macoubea,tr/sh
Macrocnemum,tr/sh
Macropharynx,li
Macroscepis,li
Macrosphyra,hb/subsh
Maguireocharis,sh/subsh/tr
Maguireothamnus,sh/subsh
Malanea,li/sh/subsh
Malouetia,tr/sh
Mandevilla,li
Manettia,li/subsh
Manostachya,subsh
Manothrix,li
Mantalania,tr/sh
Margaretta,hb
Marsdenia,sh/li
Martensianthus,hb
Mascarenhasia,sh/subsh/tr
Maschalodesme,sh/subsh
Massularia,sh/subsh/tr
Mastixiodendron,tr/sh
Matelea,li
Mazaea,sh/subsh
Melanopsidium,sh/subsh/tr
Melanoxerus,sh/subsh/tr
Melodinus,li
Mericarpaea,hb
Merumea,sh/subsh
Mesechites,li
Metastelma,li
Mexotis,hb
Meyna,sh/tr
Micrasepalum,subsh
Micrechites,li
Microloma,subsh/sh
Microphysa,hb
Microplumeria,sh/subsh/tr
Minaria,subsh
Miraglossum,hb
Mitchella,subsh
Mitracarpus,subsh
Mitragyna,tr
Mitrasacmopsis,hb
Mitriostigma,sh/subsh
Molongum,tr/sh
Molopanthera,tr/sh
Mondia,li
Monolluma,sc
Monosalpinx,sh/subsh
Monsanima,li/subsh
Morelia,sh/subsh/tr
Morilloa,li/subsh
Morinda,sh/subsh/tr
Morindopsis,sh/subsh
Mortoniella,tr/sh
Motandra,li
Motleyia,tr/sh
Motleyothamnus,subsh/sh
Mouretia,subsh
Mucoa,tr/sh
Multidentia,sh/subsh/tr
Mussaenda,sh/li
Mussaendopsis,tr/sh
Mycetia,subsh/sh
Myriopteron,li
Myrmecodia,hb/subsh
Myrmeconauclea,sh
Myrmephytum,subsh
Nargedia,sh/subsh/tr
Nauclea,tr
Neanotis,subsh/li
Neblinathamnus,subsh/sh
Nematostylis,subsh/sh
Nenax,subsh
Neobertiera,subsh/sh
Neoblakea,sh/subsh
Neobracea,sh/subsh/tr
Neocouma,tr/sh
Neohymenopogon,sh/subsh
Neolamarckia,tr
Neomussaenda,sh/subsh
Neonauclea,tr
Neoschumannia,li
Nephradenia,li
Nerium,sh/subsh/tr
Nernstia,sh/subsh
Nertera,subsh
Nesohedyotis,sh/subsh
Neurocalyx,hb/subsh
Nichallea,sh/subsh
Nodocarpaea,subsh
Normandia,sh/subsh/tr
Nostolachma,sh/subsh
Notechidnopsis,sc
Notopleura,subsh/sh
Ochreinauclea,sh
Ochrosia,tr
Octotropis,sh/subsh/tr
Odontadenia,li
Oldenlandia,subsh
Oldenlandiopsis,subsh
Oligocodon,li/sh/subsh
Omiltemia,sh/subsh
Oncinema,li
Oncinotis,li
Opercularia,hb
Ophionella,sc
Ophiorrhiza,subsh
Orbea,sc
Orbelia,sc
Oreopolus,subsh
Oreosparte,li/hb/subsh
Orthanthera,subsh
Orthopichonia,li
Orthosia,li/subsh
Osa,tr/sh
Otiophora,subsh
Otomeria,subsh
Ottoschmidtia,sh/subsh
Oxyanthus,sh/subsh/tr
Oxyceros,li
Oxypetalum,hb
Oxystelma,li/subsh
Pachycarpus,hb
Pachypodium,sc/hb/tr
Pachystylus,sh/subsh/tr
Pacouria,li
Paederia,li
Pagamea,tr/sh
Pagameopsis,sh/subsh
Palicourea,sh/tr/subsh
Papuechites,li
Paracarphalea,sh/subsh/tr
Paracephaelis,sh/subsh
Parachimarrhis,tr/sh
Paracorynanthe,tr/sh
Paragenipa,sh/subsh/tr
Parahancornia,tr/sh
Paraknoxia,hb
Paralasianthus,sh/subsh
Parapentas,subsh
Parepigynum,li
Parsonsia,li
Patima,sh/subsh
Pattalias,hb/subsh
Pauridiantha,sh/subsh/tr
Pavetta,sh/tr
Payera,sh/subsh/tr
Pectinaria,sc
Pentacyphus,li
Pentagonia,sh/tr
Pentalinon,li
Pentaloncha,subsh
Pentanisia,subsh
Pentanopsis,sh/subsh
Pentas,subsh/sh
Pentasachme,hb
Pentatropis,li/subsh
Pentodon,hb/subsh
Pentopetia,subsh
Peplonia,li/subsh
Peponidium,tr/sh
Perakanthus,sh/subsh/tr
Perama,hb
Pergularia,li
Periglossum,hb
Periploca,sh/li
Pervillaea,li
Petalostelma,li
Petchia,sh/subsh/tr
Petitiocodon,sh/subsh/tr
Phaeostemma,li
Phellocalyx,sh/subsh/tr
Pherotrichis,hb
Phialanthus,tr/sh
Phialiphora,subsh
Philibertia,li/subsh
Phuopsis,subsh
Phyllanthera,li
Phyllis,subsh/sh
Phyllocrater,subsh
Phyllomelia,sh/subsh/tr
Phyllopentas,sh/subsh
Phylohydrax,subsh
Piaranthus,sc
Picardaea,sh/subsh/tr
Picralima,tr
Pimentelia,sh/subsh/tr
Pinarophyllon,hb
Pinckneya,sh/subsh/tr
Pinochia,li
Pitardella,sh/subsh/tr
Pittoniotis,sh/subsh/tr
Placocarpa,sh/subsh
Planaltina,subsh/sh
Platycarpum,tr/sh
Plectaneia,li
Plectroniella,sh/subsh/tr
Pleiocarpa,tr
Pleioceras,hb/subsh
Pleiocoryne,sh/subsh
Plocama,subsh
Plocaniophyllon,sh/subsh
Plumeria,tr
Pogonopus,sh/tr
Polysphaeria,sh/subsh/tr
Polystemma,li/subsh
Polyura,subsh
Pomax,hb/subsh
Porterandia,tr/sh
Portlandia,sh/subsh/tr
Posoqueria,sh/tr
Pottsia,li
Pouchetia,sh/subsh/tr
Praravinia,tr/sh
Prestonia,li
Preussiodora,sh/subsh
Prismatomeris,sh/subsh/tr
Pruskortizia,li
Pseudaidia,sh/subsh
Pseudocoptosperma,sh/subsh
Pseudogalium,hb
Pseudolachnostoma,hb/subsh
Pseudolithos,sc
Pseudomantalania,tr/sh
Pseudomiltemia,sh/subsh/tr
Pseudomussaenda,sh/subsh
Pseudonesohedyotis,subsh/sh
Pseudopyxis,hb/subsh
Psychotria,sh/tr/subsh
Psydrax,sh/tr
Psyllocarpus,subsh
Pteralyxia,tr/sh
Pteridocalyx,sh/subsh
Ptycanthera,li/sh/subsh
Pubistylus,sh/subsh/tr
Puffia,subsh
Pycnobotrya,li
Pycnorhachis,li
Pygmaeothamnus,subsh
Pyrostria,sh
Quaqua,sc
Rachicallis,sh/subsh
Ramonadoxa,hb/subsh/tr/sh
Ramosmania,sh/subsh
Randia,sh/tr/li
Raphionacme,hb
Raritebe,sh
Rauvolfia,tr
Razafimandimbisonia,tr/sh
Remijia,sh/tr
Rennellia,sh/subsh/tr
Retiniphyllum,sh/subsh/tr
Rhabdadenia,li
Rhadinopus,sh/subsh/tr
Rhaphidura,sh/subsh
Rhazya,subsh
Rhigospira,tr/sh
Rhipidantha,sh/subsh/tr
Rhodopentas,sh/subsh
Rhyssolobium,subsh
Rhytidocaulon,sc
Rhytidostemma,li
Richardia,hb
Richtersveldia,sc
Ridsdalea,tr/sh
Riocreuxia,li/sh/subsh
Riodocea,tr/sh
Robbrechtia,tr/sh
Robynsia,sh/subsh/tr
Rogiera,sh
Rojasia,li/subsh
Ronabea,subsh/sh
Rondeletia,sh
Rosenbergiodendron,sh/li
Rothmannia,sh/tr
Rovaeanthus,hb/subsh
Rubia,hb
Rubovietnamia,sh/subsh
Rudgea,sh/tr/subsh
Ruehssia,li
Rustia,sh/tr
Rutidea,li/sh/subsh
Rytigynia,sh/tr
Saba,li
Sabicea,sh/li/subsh
Sacleuxia,sh/subsh
Sacosperma,li/sh/subsh
Saldinia,sh/subsh
Salzmannia,tr/sh
Saprosma,sh
Sarcolobus,li
Sarcorrhiza,li/hb/subsh
Schismatoclada,sh/subsh/tr
Schistonema,li
Schizenterospermum,sh/subsh
Schizocalyx,sh/tr
Schizocolea,sh/subsh/tr
Schizoglossum,hb
Schizomussaenda,sh/subsh/tr
Schizostephanus,hb/subsh/sh
Schizozygia,sh
Schlechterella,li/hb
Schmidtottia,sh/subsh
Schradera,tr/li
Schubertia,li
Schumanniophyton,tr
Schwendenera,subsh
Scleromitrion,hb
Scolosanthus,sh/subsh
Scyphiphora,sh/subsh/tr
Scyphostachys,sh/subsh/tr
Scyphostelma,hb/subsh
Secamone,li
Secondatia,li
Sericanthe,sh/subsh/tr
Serissa,subsh/sh
Seychellea,sh/subsh
Shaferocharis,sh/subsh
Sherardia,hb
Sherbournia,li
Siemensia,sh/subsh
Simira,sh/tr
Sindechites,li
Singaporandia,sh/subsh/tr
Sinoadina,sh
Sipanea,subsh
Sipaneopsis,subsh
Siphonandrium,li/sh/subsh
Sisyranthus,hb
Skytanthus,sh/subsh
Socotrella,sc
Solenandra,sh/tr
Solenostemma,sh/subsh
Sommera,sh
Spermacoce,sh/subsh/li
Spermadictyon,sh/subsh
Sphinctanthus,sh/subsh/tr
Spirolobium,sh/subsh
Spongiosperma,sh/subsh/tr
Squamellaria,hb/subsh
Stachyarrhena,tr/sh
Staelia,subsh
Staparesia,sc
Stapelia,sc
Stapelianthus,sc
Stapeliopsis,sc
Stapvalia,sc
Stathmostelma,hb
Steenisia,subsh
Stelmagonum,li/subsh
Stenaria,hb
Stenosepala,sh/subsh/tr
Stenostelma,hb
Stenostomum,tr
Stenotis,subsh
Stephanococcus,li
Stephanostegia,tr/sh
Stephanostema,sh/subsh
Stephanotis,li
Stevensia,sh/subsh
Steyermarkia,hb/subsh
Stichianthus,sh/subsh
Stigmatorhynchus,subsh/sh
Stilpnophyllum,tr/sh
Stipecoma,li
Stipularia,subsh/sh
Stomatostemma,li/hb
Streblosa,subsh
Strempeliopsis,sh/subsh
Streptocaulon,li
Streptoechites,li
Strophanthus,sh/li
Strumpfia,subsh/sh
Stylosiphonia,sh/subsh
Suberanthus,sh/subsh/tr
Synaptantha,hb
Syringantha,sh/subsh
Tabernaemontana,tr
Tabernanthe,sh/subsh
Tacazzea,li
Tainus,sh/subsh/tr
Tamilnadia,tr
Tammsia,sh/subsh/tr
Tamridaea,sh/subsh
Tarenna,sh/tr
Tarennoidea,tr/sh
Tassadia,li
Tavaresia,sc
Telectadium,sh/subsh
Telosma,li/sh/subsh
Temnadenia,li
Temnocalyx,sh/subsh/tr
Tennantia,sh/subsh
Tessiera,subsh
Thamnoldenlandia,sh/subsh
Theligonum,subsh
Thenardia,li
Thevetia,sh/subsh
Thiollierea,sh/subsh
Thogsennia,tr/sh
Thoreauea,li
Thyrsanthella,li
Timonius,sh
Tinadendron,tr
Tintinnabularia,li
Tobagoa,subsh/sh
Tocoyena,sh/subsh/tr
Tortuella,subsh
Toxocarpus,li
Trachelospermum,li
Trailliaedoxa,subsh
Treutlera,li/sh/subsh
Triainolepis,sh/subsh
Tricalysia,sh/subsh/tr
Trichosandra,li
Trichostachys,subsh
Tridentapelia,sc
Tridentea,sc
Triflorensia,sh/subsh/tr
Tromotriche,sc
Tulearia,subsh/sh
Tweedia,subsh
Tylodontia,li/sh/subsh
Uncaria,li
Urceola,li
Urophyllum,sh
Vahadenia,li
Vailia,li
Valantia,hb
Vallaris,li
Vallesia,sh
Vangueria,sh/subsh/tr
Vangueriella,sh/subsh/tr
Vangueriopsis,sh/subsh/tr
Vidalasia,tr/sh
Villaria,sh/subsh/tr
Vinca,hb/subsh
Vincetoxicum,li
Virectaria,hb/subsh
Voacanga,tr
Wandersong,sh/subsh/tr
Warszewiczia,tr/sh
Wattakaka,li
Wendlandia,sh/tr
White-sloanea,sc
Willughbeia,li
Wittmackanthus,sh
Woodia,hb
Wrightia,tr
Xanthophytum,subsh
Xantonneopsis,sh/subsh/tr
Xysmalobium,hb
Zuccarinia,tr/sh
Zygostelma,li
