genus,Habit
Acokanthera,sh
Acranthera,subsh
Acrobotrys,sh/subsh
Acrosynanthus,sh/subsh
Acunaeanthus,sh/subsh/tr
Adenium,sc
Adenorandia,sh/subsh/tr
Adina,sh/tr
Adolphoduckea,tr/sh
Afrocanthium,tr/sh
Aganosma,li
Agathisanthemum,sh/subsh
Agouticarpa,tr/sh
Aidia,li
Aidiopsis,sh/subsh/tr
Airosperma,sh/subsh/tr
Alafia,li
Alberta,tr/sh
Aleisanthia,sh/subsh
Aleisanthiopsis,tr/sh
Alibertia,sh/tr
Allamanda,sh
Alleizettella,sh/subsh
Allomarkgrafia,li
Allowoodsonia,tr/sh
Alseis,sh/tr
Alstonia,tr
Alyxia,tr
Amaioua,sh/tr
Amalocalyx,li
Amaracarpus,sh/subsh
Ambelania,tr/sh
Ampelamus,li/subsh
Amphiasma,sh/subsh
Amphidasya,subsh/sh
Amphineurion,li
Amphistemon,subsh
Amsonia,hb
Ancylobothrys,li
Anechites,li
Anemotrochus,li/sh/subsh
Angadenia,li
Anisopus,li
Anisotoma,hb/subsh
Anodendron,li
Antherostele,sh/subsh
Anthorrhiza,hb/subsh
Anthospermopsis,subsh
Anthospermum,sh/subsh
Antirhea,sh/tr
Aoranthe,li/sh/subsh
Aphanocarpus,subsh/sh
Apocynum,hb
Appunia,sh/subsh/tr
Apteranthes,sc
Arachnothryx,sh/tr
Araujia,li
Arcytophyllum,sh
Argocoffeopsis,li/sh/subsh
Argostemma,sh/subsh
Artia,li
Asclepias,hb
Asketanthera,li
Asperula,hb
Aspidoglossum,hb
Aspidonepsis,hb
Aspidosperma,tr
Astephanus,li/subsh
Asterostemma,li
Atherandra,li
Atractocarpus,tr/sh
Atractogyne,li
Augusta,sh/subsh
Aulacocalyx,sh/subsh/tr
Australluma,sc
Badusa,tr/sh
Baharuia,li/sh/subsh
Bahiella,li
Baissea,li
Ballyanthus,sc
Balmea,tr/sh
Barjonia,sh/subsh
Baroniella,li
Baseonema,li
Batesanthus,li
Bathysa,sh/tr
Batopedina,subsh
Baynesia,sc
Beaumontia,li
Belonophora,sh/subsh/tr
Benkara,sh/subsh
Berghesia,sh/subsh
Bertiera,sh/tr
Bikkia,sh/subsh/tr
Blepharidium,sh/subsh/tr
Blepharodon,li
Bobea,tr/sh
Boholia,sh/subsh
Bothriospora,sh/subsh
Botryarrhena,tr/sh
Boucerosia,sc
Bousigonia,li
Bouvardia,sh/subsh
Brachytome,sh/subsh
Bradea,subsh
Bremeria,tr/sh
Brenania,tr/sh
Breonadia,tr
Breonia,tr
Bridsonia,hb/subsh
Buckollia,li/sh/subsh
Bullockia,sh/subsh/tr
Bungarimba,sh/subsh/tr
Burchellia,tr/sh
Byrsophyllum,tr/sh
Calciphila,subsh
Callichilia,sh/subsh
Callipeltis,hb
Calochone,li/sh/subsh
Calocrater,subsh/sh
Calotropis,sh
Calycophyllum,tr
Calycosia,sh/subsh/tr
Calycosiphonia,sh/subsh/tr
Calyptranthera,li/subsh
Cameraria,sh/subsh
Campestigma,li/sh/subsh
Camptocarpus,li/sh/subsh
Canephora,tr/sh
Canthium,sh/tr
Canthiumera,tr/sh
Capirona,tr/sh
Carajasia,subsh
Caralluma,sc
Carapichea,sh/tr/subsh
Carissa,sh
Carpacoce,subsh
Carphalea,sh/subsh/tr
Carruthersia,li
Carterella,hb
Carvalhoa,sh/subsh/tr
Casasia,tr/sh
Cascabela,sh
Catesbaea,sh/subsh
Catharanthus,subsh
Catunaregam,sh/tr
Caudanthera,sc
Cephalanthus,sh/tr
Ceratopyxis,sh/subsh
Cerbera,sh/subsh/tr
Cerberiopsis,tr/sh
Ceriscoides,sh/subsh/tr
Ceropegia,hb
Chaetostachydium,sh/subsh
Chalepophyllum,sh/subsh/tr
Chamaeclitandra,subsh/sh
Chamaepentas,sh/subsh
Chapelieria,sh/subsh/tr
Chassalia,sh/tr/subsh
Chilocarpus,sh
Chimarrhis,tr
Chiococca,sh/tr
Chione,sh/subsh/tr
Chlorocyathus,li/hb
Chomelia,tr/sh
Chonemorpha,li
Cibirhiza,li
Ciliosemina,tr/sh
Cinchona,sh/subsh
Cinchonopsis,tr/sh
Cionura,hb/subsh/sh
Cladoceras,hb/subsh
Clarkella,hb
Cleghornia,li
Clitandra,li
Coccochondra,sh/subsh
Coccocypselum,subsh
Coddia,sh/subsh
Coelospermum,li
Coffea,sh/tr
Colletoecema,sh/subsh/tr
Condaminea,sh/tr
Condylocarpon,tr/sh
Conomitra,hb
Conostomium,subsh
Coprosma,sh/subsh
Coptophyllum,hb
Coptosapelta,li/sh/subsh
Coptosperma,sh/subsh/tr
