Information ,Genus,Species,Cardenolides/Steroids?,Description,Ref.,Notes,,,,,,,,,,,,,,,,,,,,Native range:,,,,,,History of antimalarial use?
spp. listed (2/5),Acokanthera,oppositifolia (Lam.) Codd,Yes,"Cardenolide glycosides (seeds, stems & twigs)","2, 3","Species listed as Acokanthera longiflora (synonym), 3",,,,,,,,,,,,,,,,,,,,Kenya to S. Africa,,,,,,
,Acokanthera,schimperi (A. DC.) Schweinf.,Yes,Cardenolide glycosides (seeds),1,,,,,,,,,,,,,,,,,,,,,"NE. & E. Tropical Africa to E. DR Congo, Arabian Peninsula",,,,,,Yes
spp. listed (3/6),Adenium ,boehmianum Schinz,Yes,Cardenolide glycosides (whole plant),6,,,,,,,,,,,,,,,,,,,,,S. Angola to NW. & Central Namibia,,,,,,
,Adenium ,multiflorum Klotzsch,Yes,Cardenolide glycosides (aerial parts?),4,,,,,,,,,,,,,,,,,,,,,S. Tropical & S. Africa,,,,,,
,Adenium ,obesum (Forssk.) Roem. & Schult.,Yes,cardenolide glycosides (aerial parts?),4,"Species listed as Adenium honghel (synonym), 4",,,,,,,,,,,,,,,,,,,,W. Tropical Africa to Arabian Peninsula and Tanzania,,,,,,
NRIF (9 spp.),Aganosma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1?/26),Alafia,spp.,Yes,"One cardenolide glycoside, one steroid glycoside (leaves)",7,Unidentified species,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (15 spp.),Allamanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (10 spp.),Allomarkgrafia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Allowoodsonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (44 spp.),Alstonia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (106 spp.),Alyxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Amalocalyx,microlobus Pierre ex Spire,Yes,"Steroid derivatives, steroid glycosides (whole plant)","8, 9",Species listed as Amalocalyx yunnanensis (synonym),,,,,,,,,,,,,,,,,,,,China (S. Yunnan) to Indo-China,,,,,,
NRIF (3 spp.),Ambelania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Ampelamus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Amphineurion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (16 spp.),Amsonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Ancylobothrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Anechites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Anemotrochus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Angadenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Anisopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Anisotoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/17),Anodendron,affine (Hook. & Arn.) Druce,Yes,"Cardenolides, cardenolide glycosides (bark, leaves, seeds, stems)","10, 11, 12, 13, 14, 15","Alkaloids (leaves, stems) co-occur in this species, 235",,,,,,,,,,,,,,,,,,,,Bangladesh to Central & S. Japan and Philippines,,,,,,
spp. listed (2+/4),Apocynum,cannabinum L.,Yes,"Cardenolide glycosides, cardenolide glycoside derivatives (rhizome, roots)","16, 17","Alkaloids co-occur in this species, 233, 234",,,,,,,,,,,,,,,,,,,,Canada to U.S.A.,,,,,,
,Apocynum,venetum subsp. basikurumon (H.Hara) ined.,Yes,Cardenolide glycosides (roots),18,"Accepted subspecies, listed as Apocynum venetum var. basikurumon (synonym?)",,,,,,,,,,,,,,,,,,,,N. & N. Central Japan,,,,,,
spp. listed (2/7),Apteranthes,europaea var. judaica (Zohary) Plowes,Yes,Steroid glycosides (whole plant),44,"Accepted variety, listed as Caralluma negevensis (synonym)",,,,,,,,,,,,,,,,,,,,W. Jordan to Sinai,,,,,,
,Apteranthes ,tuberculata (N.E.Br.) Meve & Liede,Yes,Steroid glycosides (aerial parts),41,Species listed as Caralluma tuberculata (synonym),,,,,,,,,,,,,,,,,,,,"Jordan, Afghanistan to NW. India",,,,,,
NRIF (13 spp.),Araujia,sericifera Brot.,Yes,Steroid glycosides (roots),19,,,,,,,,,,,,,,,,,,,,,SE. & S. Brazil to NE. Argentina,,,,,,
NRIF (5 spp.),Artia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (7/206),Asclepias,curassavica L.,Yes,"Cardenolides, cardenolide glycosides, steroids, steroid glycosides (aerial parts, roots)","20, 21",,,,,,,,,,,,,,,,,,,,,Mexico to Tropical America,,,,,,Yes
,Asclepias,eriocarpa Benth.,Yes,Cardenolides (aerial parts),23,,,,,,,,,,,,,,,,,,,,,California to Mexico (N. Baja California),,,,,,
,Asclepias,humistrata Walter,Yes,"Cardenolides, cardenolide glycosides (leaves, stems)",22,,,,,,,,,,,,,,,,,,,,,SE. U.S.A.,,,,,,
,Asclepias,incarnata L.,Yes,Steroid glycosides (aerial parts),24,,,,,,,,,,,,,,,,,,,,,Central & E. Canada to W. Central & E. U.S.A.,,,,,,
,Asclepias,sullivantii Engelm. ex A.Gray,Yes,Steroid glycosides (aerial parts),228,,,,,,,,,,,,,,,,,,,,,SE. Canada to Arkansas,,,,,,
,Asclepias,syriaca L.,Yes,Steroid glycosides (roots),227,"One alkaloid (roots) co-occurs in this species, 232",,,,,,,,,,,,,,,,,,,,Central & E. Canada to Central & E. U.S.A.,,,,,,
,Asclepias,tuberosa L.,Yes,"Cardenolides, cardenolide thiazoles, cardenolide glycoside derivatives (aerial parts, roots)","26, 27","Cardenolide thiazole alkaloids (roots) occur in this species, 27",,,,,,,,,,,,,,,,,,,,"SE. Canada, U.S.A. to N. Mexico",,,,,,
NRIF (4 spp.),Asketanthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (37 spp.),Aspidoglossum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Aspidonepsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (78 spp.),Aspidosperma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Astephanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Asterostemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Atherandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Atrostemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Australluma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Baharuia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Bahiella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (18 spp.),Baissea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Ballyanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (7 spp.),Barjonia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/10),Baroniella,acuminata (Choux) Bullock,Yes,Steroid glycosides (aerial parts),28,Species listed as Baseonema acuminatum (synonym),,,,,,,,,,,,,,,,,,,,Madagascar,,,,,,
NRIF (1 sp.),Baseonema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Batesanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Baynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (3/9),Beaumontia,brevituba Oliv.,Yes,"Cardenolide glycosides (leaves, seeds, unripe fruit)","29, 30",,,,,,,,,,,,,,,,,,,,,China (Guangxi) to Hainan,,,,,,
