Information ,Genus,Species,Cardenolides/Steroids?,Description,Ref.,Notes,,,,,,,,,,,,,,,,,,,,Native range:,,,,,,History of antimalarial use?
,Beaumontia,grandiflora Wall.,Yes,Cardenolide glycosides (seeds),31,"One steroidal alkaloid (stems) co-occurs in this species, 231",,,,,,,,,,,,,,,,,,,,"Nepal to China (S. Yunnan, SW. Guangxi) and Indo-China",,,,,,
,Beaumontia,murtonii Craib,Yes,Cardenolide glycosides (leaves),29,,,,,,,,,,,,,,,,,,,,,China (S. Yunnan) to Peninsula Malaysia,,,,,,
NRIF (26 spp.),Blepharodon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
species listed (3/8),Boucerosia,indica (Wight & Arn.) Plowes,Yes,Steroid glycosides (whole plant),237,Species listed as Caralluma indica (synonym),,,,,,,,,,,,,,,,,,,,Indian Subcontinent to Myanmar,,,,,,
,Boucerosia,pauciflora Wight,Yes,Steroids (whole plant),239,Species listed as Caralluma pauciflora (synonym),,,,,,,,,,,,,,,,,,,,SE. India (Tamil Nadu),,,,,,
,Boucerosia ,umbellata (Haw.) Wight & Arn.,Yes,Steroid glycosides (whole plant),42,Species listed as Caralluma lasiantha N. E. Br (synonym),,,,,,,,,,,,,,,,,,,,"India, Sri Lanka, Bangladesh to Myanmar",,,,,,
NRIF (3 spp.),Bousigonia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Bruceholstia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Buckollia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Calciphila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Callichilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Calocrater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (2/3),Calotropis,gigantea (L.) Dryand.,Yes,Cardenolide glycosides (leaves),"34, 35","One alkaloid (root bark) co-occurs in this species, 229, but the assigned structure is wrong, 230",,,,,,,,,,,,,,,,,,,,S. China to Tropical Asia,,,,,,Yes
,Calotropis,procera (Aiton) W. T. Aiton,Yes,"Cardenolides, cardenolide thiazoles, cardenolide glycosides (aerial parts, latex, stems)","36, 37, 38","Cardenolide thiazole alkaloids (latex) co-occur in this species, 37",,,,,,,,,,,,,,,,,,,,"Macaronesia, N. & Tropical Africa to Indo-China",,,,,,Yes
NRIF (13 spp.),Calyptranthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (7 spp.),Cameraria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Campestigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (9 spp.),Camptocarpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (4/31),Caralluma,adscendens var. fimbriata (Wall.) Gravely & Mayur.,Yes,Steroid glycosides (whole plant),45,Accepted variety (Tropicos),,,,,,,,,,,,,,,,,,,,India,,,,,,
,Caralluma ,adscendens var. gracilis Gravely & Mayur.,Yes,Steroid glycosides (whole plant),239,Accepted variety,,,,,,,,,,,,,,,,,,,,India,,,,,,
,Caralluma,dalzielii N. E. Br.,Yes,Steroid glycosides (whole plant),40,,,,,,,,,,,,,,,,,,,,,W. Tropical Africa to Sudan,,,,,,
,Caralluma,fimbriata Wall.,Yes,Steroid glycosides (aerial parts),46,,,,,,,,,,,,,,,,,,,,,"India, Sri Lanka, Myanmar",,,,,,
,Caralluma,stalagmifera C.E.C.Fisch.,Yes,Steroid glycosides (whole plant),237,,,,,,,,,,,,,,,,,,,,,SW. India,,,,,,
NRIF (9 spp.),Carissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Carruthersia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Carvalhoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/6),Cascabela,thevetia (L.) Lippold,Yes,"Cardenolide glycosides, homocardenolides, derivatives (leaves, seeds)","205, 206, 208, 209, 210, 211","Species listed as Thevetia peruviana (synonym), 208, 209, and Thevetia neriifolia (synonym), 205, 206, 210, 211",,,,,,,,,,,,,,,,,,,,Mexico to S. Tropical America,,,,,,Yes
spp. listed (1/9),Catharanthus,roseus (L.) G. Don,Yes,Steroids (cultured plant cells?),"243, 244","Many alkaloids co-occur in this species, see MPNS - Apocynaceae, alkaloids",,,,,,,,,,,,,,,,,,,,Madagascar,,,,,,Yes
spp. listed (1/4),Caudanthera,sinaica (Decne.) Plowes,Yes,Steroid glycosides (whole plant),43,Species listed as Caralluma sinaica (synonym),,,,,,,,,,,,,,,,,,,,"NE. Sudan, Israel to Sinai and NW. Saudi Arabia",,,,,,
spp. listed (2/6),Cerbera,manghas L.,Yes,"Cardenolide glycosides (bark, leaves, seeds)","47, 48, 49",,,,,,,,,,,,,,,,,,,,,"Tanzania (Pemba), W. Indian Ocean to Pacific",,,,,,Yes
,Cerbera,odollam Gaertn.,Yes,"Cardenolide glycosides (leaves, seeds)","48, 50",,,,,,,,,,,,,,,,,,,,,S. India to Pacific,,,,,,
NRIF (3 spp.),Cerberiopsis,candelabra Vieill. ex Pancher & Sebert,Yes,One cardenolide glycoside,51,,,,,,,,,,,,,,,,,,,,,New Caledonia,,,,,,
spp. listed (1/420),Ceropegia,fusca Bolle,Yes,Steroid glycosides (aerial parts),52,One steroidal ester alkaloid (aerial parts) co-occurs in this species,,,,,,,,,,,,,,,,,,,,"Canary Islands (Gran Canaria, Tenerife)",,,,,,
NRIF (1 sp.),Chamaeclitandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (14 spp.),Chilocarpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Chlorocyathus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Chloropetalum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (10 spp.),Chonemorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Cibirhiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All spp. listed (1/1),Cionura ,erecta (L.) Griseb.,Yes,Steroids (leaves),133,Species listed as Marsdenia erecta (synonym),,,,,,,,,,,,,,,,,,,,SE. Europe to SW. Afghanistan,,,,,,
NRIF (2 spp.),Cleghornia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Clitandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (7 spp.),Condylocarpon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Conomitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Cordylogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Cosmostigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Couma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Craspidospermum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Crioceras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Cristobalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/42),Cryptolepis,buchananii R. Br. ex Roem. & Schult.,Yes,Cardenolide glycosides (leaves),53,"One alkaloid (stems) co-occurs in this species, 246",,,,,,,,,,,,,,,,,,,,Indian Subcontinent to S. China and Indo-China,,,,,,
NRIF (2 spp.),Cryptostegia,grandiflora (Roxb.) R. Br.,Yes,"Cardenolides, cardenolide glycosides (aerial parts, leaves)","54, 55",,,,,,,,,,,,,,,,,,,,,S. & SW. Madagascar,,,,,,
,Cryptostegia,madagascariensis Bojer ex Decne.,Yes,"Cardenolides, cardenolide glycosides (aerial parts?)",56,,,,,,,,,,,,,,,,,,,,,N. & W. Madagascar,,,,,,
NRIF (1 sp.),Cycladenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Cyclocotyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Cylindropsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (13/256),Cynanchum,maximoviczii Pobed.,Yes,"Steroids, steroid glycosides (roots)",248,"Steroidal ester alkaloids (roots) occur in this species, 248",,,,,,,,,,,,,,,,,,,,S. Sakhalin to Japan,,,,,,
,Cynanchum,menarandrense Jum. & H.Perrier,Yes,Steroid glycosides (aerial parts),68,,,,,,,,,,,,,,,,,,,,,Madagascar,,,,,,
,Cynanchum,wilfordii (Maxim.) Hook. f.,Yes,Steroid derivatives (roots),69,"Steroidal ester alkaloids (roots) occur in this species, 69, one alkaloid also co-occurs in this species, 247",,,,,,,,,,,,,,,,,,,,"Russian Far East to China, Central & S. Japan",,,,,,
NRIF (5 spp.),Decalepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Decanema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (5/14),Desmidorchis,aucheriana (Decne.) Kuntze,Yes,"Steroids, steroid glycosides (aerial parts, whole plant)","32, 33, 240","Species listed as Boucerosia aucheriana (synonym), 32, 33, and Caralluma aucheriana (synonym), 240",,,,,,,,,,,,,,,,,,,,S. Arabian Peninsula,,,,,,
,Desmidorchis,flava (N.E.Br.) Meve & Liede,Yes,"Steroid glycosides (whole plant, sap)","72, 73",,,,,,,,,,,,,,,,,,,,,Arabian Peninsula,,,,,,
,Desmidorchis,penicillata (Deflers) Plowes,Yes,Steroid glycosides (aerial parts),238,"Species listed as Caralluma penicillata (synonym), 238",,,,,,,,,,,,,,,,,,,,"NE. Tropical Africa, SW. & S. Arabian Peninsula",,,,,,
,Desmidorchis,retrospiciens Ehrenb.,Yes,Steroid glycosides (aerial parts),"39, 242","Species listed as Caralluma russelliana (synonym), 39, and Caralluma retrospiciens (synonym), 242",,,,,,,,,,,,,,,,,,,,Sahara to SW. & S. Arabian Peninsula,,,,,,
NRIF (1 sp.),Dewevrella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Dictyophleba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (14 spp.),Diplolepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Diplorhynchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Dischidanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/126),Dischidia,formosana Maxim.,Yes,One steroid (whole plant),249,,,,,,,,,,,,,,,,,,,,,Nansei-shoto to Taiwan,,,,,,
NRIF (114 spp.),Ditassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Dolichopetalum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1+/7 spp.),Dregea,sinensis Hemsl,Yes,Steroid glycosides (roots),74,,,,,,,,,,,,,,,,,,,,,Tibet to Central & S. China,,,,,,
,Dregea,sinensis var. corrugata (C.K.Schneid.) Y.Tsiang & P.T.Li,Yes,Steroid glycosides (stems),75,Accepted variety,,,,,,,,,,,,,,,,,,,,Central China,,,,,,
NRIF (18 spp.),Duvalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Duvaliandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Dyera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (36 spp.),Echidnopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (14 spp.),Echites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Ectadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Ecua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Edithcolea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Elytropus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Emicocarpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Emplectanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Ephippiocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (2/5),Epigynum,auritum (C.K.Schneid.) Tsiang & P.T.Li,Yes,Steroid glycosides (leaves),78,,,,,,,,,,,,,,,,,,,,,China (S. Yunnan) to NW. Peninsula Malaysia,,,,,,
,Epigynum,cochinchinensis (Pierre) D.J.Middleton,Yes,Steroid glycosides (stems),79,,,,,,,,,,,,,,,,,,,,,Indo-China,,,,,,
NRIF (4 spp.),Epistemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Eucorymbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Eustegia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Fanninia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Farquharia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Finlaysonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Fischeria ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Fockea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (45 spp.),Forsteronia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (21 spp.),Funastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All spp. listed (2/2),Funtumia,africana (Benth.) Stapf,Yes,Steroids (wood),80,"Steroidal alkaloids (stem bark) co-occur in this species, 251, species also listed as Funtumoa latifolia (synonym), 80",,,,,,,,,,,,,,,,,,,,Tropical Africa,,,,,,Yes
,Funtumia,elastica (Preuss) Stapf,Yes,"Steroids (bark, leaves)",250,"Steroidal alkaloids (stem bark) co-occur in this species, 252",,,,,,,,,,,,,,,,,,,,W. Tropical Africa to South Sudan and NE. Tanzania,,,,,,Yes
NRIF (6 spp.),Galactophora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Geissospermum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (17 spp.),Genianthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/12),Glossostelma,carsonii (N. E. Br.) Bullock,Yes,"Cardenolides, cardenolide glycosides (roots)","81, 82",,,,,,,,,,,,,,,,,,,,,Gabon to Tanzania and to S. Tropical Africa,,,,,,
spp. listed (2/20),Gomphocarpus,fruticosus (L.) W.T.Aiton,Yes,"Cardenolides, cardenolide thiazoles, cardenolide glycosides, steroid glycosides (leaves, whole plant)","25, 85","Cardenolide thiazole alkaloids (whole plant) co-occur in this species, 25, species also listed as Asclepias fruticosa (synonym), 25",,,,,,,,,,,,,,,,,,,,"Eritrea to S. Africa, Arabian Peninsula",,,,,,
,Gomphocarpus,sinaicus Boiss.,Yes,"Cardenolides, cardenolide glycosides and derivatives (aerial parts, stems)","84, 86",,,,,,,,,,,,,,,,,,,,,Israel to N. Central & W. Arabian Peninsula,,,,,,
NRIF (10 spp.),Gongronema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Gonioma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Goniostemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (119 spp.),Gonolobus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Graciemoriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Gunnessia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Gymnanthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (3/34),Gymnema,griffithii Craib,Yes,Steroid glycosides (pericarp of fruit),92,,,,,,,,,,,,,,,,,,,,,Myanmar to Thailand,,,,,,
,Gymnema,sylvestre (Retz.) R. Br. ex Sm.,Yes,"Steroid glycosides (leaves, roots)","91, 93, 94","One alkaloid co-occurs in this species, 253, species also listed as Gymnema alternifolium (synonym), 93, 94",,,,,,,,,,,,,,,,,,,,Tropical & Subtropical Old World,,,,,,
,Gymnema,yunnanense Tsiang,Yes,"Steroids, steroid glycosides (aerial parts?)",95,"Steroidal ester alkaloids (aerial parts?) co-occur in this species, 95",,,,,,,,,,,,,,,,,,,,"China (S. Yunnan, SW. Guangxi)",,,,,,
NRIF (1 sp.),Gyrostelma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Hancornia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Haplophyton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All spp. listed (1/1),Hemidesmus,indicus (L.) R. Br.,Yes,"Steroid glycosides (roots, stems)","96, 97",,,,,,,,,,,,,,,,,,,,,Indian Subcontinent to Indo-China and Peninsula Malaysia,,,,,,
NRIF (9 spp.),Hemipogon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (47 spp.),Heterostemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Heynella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (9 spp.),Himatanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (3/5),Holarrhena,curtisii King & Gamble,Yes,Cardenolide (aza)glycosides (leaves),99,"(Aza)glycoside alkaloids (leaves) and one steroidal alkaloid (leaves) co-occurs in this species, 99",,,,,,,,,,,,,,,,,,,,Indo-China to NW. Peninsula Malaysia,,,,,,
,Holarrhena,mitis (Vahl) R. Br. Ex Roem. & Schult.,Yes,Cardenolide (aza)glycosides (leaves),102,"(Aza)glycoside alkaloids (leaves), 102",,,,,,,,,,,,,,,,,,,,Sri Lanka,,,,,,
,Holarrhena,pubescens Wal. ex G. Don,Yes,"Cardenolide (aza)glycosides, steroids, steroid (aza)glycosides (bark, leaves, roots)","98, 100, 101","(Aza)glycoside alkaloids (leaves), 101, and one steroidal alkaloid (roots), 101, co-occur in this species, also listed as Holarrhena antidysenterica (synonym), 98, 101",,,,,,,,,,,,,,,,,,,,"Kenya to S. Africa, Indian Subcontinent to Indo-China",,,,,,Yes
spp. listed (1/13),Hoodia,gordonii (Masson) Sweet ex Decne.,Yes,"Steroids, steroid glycosides (aerial parts)","103, 104, 105",,,,,,,,,,,,,,,,,,,,,S. & SW. Africa,,,,,,
spp. listed (4/541),Hoya,carnosa (L.f.) R.Br.,Yes,Steroid glycosides (stems (caules)),108,,,,,,,,,,,,,,,,,,,,,"S. China to Laos, Japan (S. Kyushu) to Taiwan",,,,,,
,Hoya,kerrii Craib,Yes,Steroid glycoside derivatives (stems),106,,,,,,,,,,,,,,,,,,,,,Indo-China to W. Malesia,,,,,,
,Hoya,longifolia Wall. ex Wight,Yes,Steroids (whole plant),254,,,,,,,,,,,,,,,,,,,,,Himalaya to China (Yunnan) and Nicobar Islands,,,,,,
