Genera,spines (present (y) or absent(x),"latex (white, clear, red, orange, yellow)",corolla overlap (left (l) or right(r)),"predominant habit (shrub (sh), subshrub (subsh), liana (li), tree(tr), succ (sc), herb (hb)",Comment,Ref
Acokanthera,x,w,l,shrub,,
Adenium,x,c,r,succulent,,
Adina,,,,shrub/tree,,
Agathisanthemum,,,,shrub/subshrub,,
Aidia,,,,liana,,
Alafia,x,w,r,liana,,
Alibertia,,,,shrub/tree,,
Allamanda,x,w,l,shrub,,
Alseis,,,,shrub/tree,,
Alstonia,x,w,l,tree,,
Alyxia,x,w,l,tree,,
Amaioua,,,,shrub/tree,,
Amphineurion,x,w,r,liana,,
Antirhea,,,,shrub/tree,,
Aoranthe,,,,,,
Apteranthes,x,c,r,succulent,,
Arachnothryx,,,,shrub/tree,,
Arcytophyllum,,,,shrub,,
Argostemma,,,,shrub/subshrub,,
Asperula,x,,,,,
Aspidosperma,x,r/o/y,l,tree,,
Atractogyne,,,,liana,,
Baissea,,,,liana,,
Bathysa,,,,shrub/tree,,
Bertiera,,,,shrub/tree,,
Breonadia,,,,tree,,
Breonia,,,,tree,,
Burchellia,,,,,,
Calotropis,x,w,r,shrub,,
Calycophyllum,,,,tree,,
Canthium,y,,,shrub/tree,,
Capirona,,,,,,
Carapichea,,,,shrub/tree/subshrub,,
Carissa,y,w,l/r,shrub,,
Cascabela,x,w,l,shrub,,
Catharanthus,x,w,r,subshrub,,
Catunaregam,y,,,shrub/tree,,
Caudanthera,x,c,r,succulent,,
Cephalanthus,x,,,shrub/tree,,
Chassalia,x,,,shrub/tree/subshrub,,
Chilocarpus,x,w,l,shrub,,
Chimarrhis,x,r/c,,tree,,
Chiococca,,,,shrub/tree,,
Ciliosemina,,,,,,
Cinchona,,,,shrub/subshrub,,
Coccocypselum,,,,subshrub,,
Coelospermum,,,,liana,,
Coffea,,w,,shrub/tree,,
Condaminea,,,,shrub/tree,,
Condylocarpon,x,w,l,tree/shrub,,
Coptosperma,,,,,,
Cordiera,,,,shrub/tree/subshrub,,
Corynanthe,,,,tree,,
Cosmibuena,,,,shrub/tree,,
Coussarea,,,,,,
Coutarea,,,,shrub/tree,,
Craterispermum,,,,shrub/tree,,
Crossopteryx,x,,,,,
Cryptolepis,x,w/r,r,shrub/liana,,
Cuviera,y,,,,,
Cyclocotyla,,,,liana,,
Danais,,,,shrub/liana,,
Decanema,,y,,,,Herbarium sheets
Deppea,,,,shrub/subshrub,,
Desmidorchis,x,c,r,succulent,,
Dimetia,,,,subshrub/liana,,
Diplorhynchus,x,w/y,l,tree,,
Diplospora,,,,tree,,
Dolichopentas,,,,,,
Duroia,,,,tree,,
Dyera,x,w,l,tree,,
Elaeagia,,,,tree,,
Emmenopterys,,,,shrub,,
Epigynum,,,,liana,,
Eumachia,,,,shrub,,
Exallage,,,,shrub,,
Exostema,,,,shrub/tree,,
Fadogia,,,,,,
Fadogiella,,,,shrub,,
Faramea,,,,,,
Feretia,,,,,,
Funtumia,x,w,r,tree,,
Galianthe,,,,shrub/subshrub/liana,,
Galiniera,,,,shrub/tree,,
Galium,,,,subshrub,,
Gardenia,y,,,shrub,,
Geissospermum,x,w,l,tree,,
Genipa,,,,shrub/tree,,
Geophila,,,,subshrub,,
Gomphocarpus,x,w,r,shrub,,
Gongronema,x,w,r,liana,,
Gonioma,x,w,l,shrub,,
Gonzalagunia ,,,,shrub/tree,,POWO
Guettarda,y,,,shrub/tree,,
Gymnema,x,w,r,liana,,
Gyrostipula,,,,tree,,
Hamelia,,,,shrub/tree,,
Hancornia,x,w,l,tree,,
Heinsia,,,,,,
Hemidesmus,x,w,r,liana,,
Hexasepalum,,,,subshrub/liana,,
Hillia,,,,shrub/subshrub/tree,,
Himalrandia,,,,subshrub,,
Himatanthus,x,w,l,shrub,,
Hintonia,,,,,,
Hoffmannia,,,,shrub,,
Holarrhena,x,w,r,tree,,
Hoodia,y,c,r,succulent,,
Hunteria,x,w,l,tree,,
Hydnophytum,,,,liana,,
Hymenodictyon,y,,,,,
Isertia,,,,shrub/tree,,
Ixodonerium,,,,liana,,
Ixora,,,,shrub/tree,,
Joosia,,,,shrub/tree,,
Kanahia,x,w,r,subshrub,,
Keetia,,,,shrub/liana,,
Khasiaclunea,,,,shrub,,
Kohautia,,,,subshrub,,
Kopsia,x,w,l,tree,,
Ladenbergia,,,,tree,,
Landolphia,x,w,l,liana,,
Leptadenia,x,c,r,liana,,
Lerchea,,,,shrub,,
Leuconotis,x,w,l,liana,,
Ludekia,,,,tree,,
Macrocnemum,,,,,,
Manettia,,,,liana/subshrub,,
Marsdenia,x,w,r,shrub/liana,,
Massularia,,,,,,
Meyna,y,,,shrub/tree,,
