,Latin or scientific name,Common name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
288,Crassula rupestris,String of buttons,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CAL
289,Crassula spp,Crassula,Crassula,,,30014394-2,Genus,CAL
290,Crassula spp,Jade plant/jade tree,Crassula,,,30014394-2,Genus,CAL
291,Crataegus spp,Crataegus,Crataegus,,,60436254-2,Genus,CAL
292,Crataegus spp,Hawthorn,Crataegus,,,60436254-2,Genus,CAL
293,Crataegus spp,May bush,Crataegus,,,60436254-2,Genus,CAL
294,Crataegus spp,Thorn apple,Crataegus,,,60436254-2,Genus,CAL
295,Crocus spp,"Crocus, spring blooming ONLY",Crocus,,,20293-1,Genus,CAL
296,Crocus spp,"Dutch crocus, spring blooming ONLY",Crocus,,,20293-1,Genus,CAL
297,Crossandra spp,Crossandra,Crossandra,,,492-1,Genus,CAL
298,Crossandra spp,Firecracker flower,Crossandra,,,492-1,Genus,CAL
299,Crotolaria ramosissima,Crotolaria,,,,,,CAL
300,Cryptanthus lacerdae,Silver star,Cryptanthus lacerdae,Cryptanthus lacerdae,77176911-1,77176911-1,Species,CAL
301,Cryptanthus zonatus,Zebra plant,Cryptanthus zonatus,Cryptanthus zonatus,122644-1,122644-1,Species,CAL
302,Cucurbitaceae spp,Gourd,,,,,,CAL
303,Cuphea hyssopifolia,False heather,Cuphea hyssopifolia,Cuphea hyssopifolia,553043-1,553043-1,Species,CAL
304,Cuphea hyssopifolia,"Heather, Mexican",Cuphea hyssopifolia,Cuphea hyssopifolia,553043-1,553043-1,Species,CAL
305,Cuphea hyssopifolia,Mexican heather,Cuphea hyssopifolia,Cuphea hyssopifolia,553043-1,553043-1,Species,CAL
306,Cuphea spp,Firecracker plant,Cuphea,,,30000193-2,Genus,CAL
307,Cupressus sempervirens,Italian cypress,Cupressus sempervirens,Cupressus sempervirens,261974-1,261974-1,Species,CAL
308,Cyanotis kewensis,Teddy bear plant or vine,Cyanotis beddomei,Cyanotis beddomei,77105360-1,77105360-1,Species,CAL
309,Cydonia oblonga,"Quince, common",Cydonia oblonga,Cydonia oblonga,724549-1,724549-1,Species,CAL
310,Cymbidium spp,Orchid,Cymbidium,,,330383-2,Genus,CAL
311,Cynanchum spp,Cruel plant,Cynanchum,,,30401855-2,Genus,CAL
312,Cynanchum spp,Mosquito plant,Cynanchum,,,30401855-2,Genus,CAL
313,Cyphomandra betacea,Tomato tree,Solanum betaceum,Solanum betaceum,306169-2,306169-2,Species,CAL
314,Cyrtanthus spp,Fire lily,Cyrtanthus,,,331182-2,Genus,CAL
316,Dahlia spp,Dahlia,Dahlia,,,325940-2,Genus,CAL
317,Darlingtonia californica,Cobra lily or Cobra plant,Darlingtonia californica,Darlingtonia californica,76771-2,76771-2,Species,CAL
318,Darlingtonia californica,Pitcher plant,Darlingtonia californica,Darlingtonia californica,76771-2,76771-2,Species,CAL
319,Davallia canariensis,"Fern, deer's foot",Davallia canariensis,Davallia canariensis,17078300-1,17078300-1,Species,CAL
320,Davallia fejeensis,"Fern, hare",Davallia solida var. fejeensis,Davallia solida,17080730-1,17564870-1,Variety,CAL
321,Davallia fejeensis,"Fern, rabbitâs foot",Davallia solida var. fejeensis,Davallia solida,17080730-1,17564870-1,Variety,CAL
322,Davallia fejeensis,"Fern, squirrelâs foot",Davallia solida var. fejeensis,Davallia solida,17080730-1,17564870-1,Variety,CAL
323,Dichelostemma pulchellum,Brodiaea,Dichelostemma congestum,Dichelostemma congestum,533875-1,533875-1,Species,CAL
324,Dichelostemma pulchellum,Wild hyacinth,Dichelostemma congestum,Dichelostemma congestum,533875-1,533875-1,Species,CAL
325,Dietes spp,African iris,Dietes,,,331187-2,Genus,CAL
326,Dietes spp,Fort knight lily,Dietes,,,331187-2,Genus,CAL
327,Dimorphotheca pluvialis,African daisy,Dimorphotheca pluvialis,Dimorphotheca pluvialis,157385-3,157385-3,Species,CAL
328,Dimorphotheca pluvialis,Cape marigold,Dimorphotheca pluvialis,Dimorphotheca pluvialis,157385-3,157385-3,Species,CAL
329,Dinteranthus vanzylii,Living stones,Dinteranthus vanzylii,Dinteranthus vanzylii,361617-1,361617-1,Species,CAL
330,Dinteranthus wilmotianus,Split rock,Dinteranthus wilmotianus,Dinteranthus wilmotianus,361618-1,361618-1,Species,CAL
331,Dioscorea elephantipes,Elephantâs foot,Dioscorea elephantipes,Dioscorea elephantipes,317936-1,317936-1,Species,CAL
332,Diosma ericoides,Breath-of-heaven,Diosma hirsuta,Diosma hirsuta,772468-1,772468-1,Species,CAL
333,Distictis buccinatoria,Trumpet vine,Amphilophium buccinatorium,Amphilophium buccinatorium,77141945-1,77141945-1,Species,CAL
334,Dizygotheca elegantissima,Aralia,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CAL
335,Dizygotheca elegantissima,False aralia,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CAL
336,Dizygotheca elegantissima,Spider aralia,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CAL
337,Dracaena australis,Fountain dracaena,Cordyline obtecta,Cordyline obtecta,533623-1,533623-1,Species,CAL
338,Dracaena australis,Giant dracaena,Cordyline obtecta,Cordyline obtecta,533623-1,533623-1,Species,CAL
339,Dracaena australis,"Dracaena, giant",Cordyline obtecta,Cordyline obtecta,533623-1,533623-1,Species,CAL
340,Dracaena deremensis,"Dracaena, striped",Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CAL
341,Dracaena deremensis,Janet Craig plant,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CAL
342,Dracaena draco,Dragon tree,Dracaena draco,Dracaena draco,534171-1,534171-1,Species,CAL
343,Dracaena fragrans,Painted dragon lily,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CAL
344,Dracaena fragrans,Cornplant,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CAL
345,Dracaena fragrans,Cornstalk plant,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CAL
346,Dracaena fragrans,"Dragon lily, painted",Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CAL
347,Dracaena goldieana,Dracaena queen,Dracaena goldieana,Dracaena goldieana,534219-1,534219-1,Species,CAL
348,Dracaena goldieana,Queen of dracaenas,Dracaena goldieana,Dracaena goldieana,534219-1,534219-1,Species,CAL
349,Dracaena marginata,Madagascar dragon tree,Aloe purpurea,Aloe purpurea,529816-1,529816-1,Species,CAL
350,Dracaena sanderiana,Lucky bamboo,Dracaena sanderiana,Dracaena sanderiana,60471006-2,60471006-2,Species,CAL
351,Dracaena sanderiana,Ribbon plant,Dracaena sanderiana,Dracaena sanderiana,60471006-2,60471006-2,Species,CAL
352,Dracaena spp,Dracaena,Dracaena,,,30010732-2,Genus,CAL
353,Dracaena spp,"Dracaena, blue",Dracaena,,,30010732-2,Genus,CAL
354,Dracaena spp,Florida beauty,Dracaena,,,30010732-2,Genus,CAL
355,Dracaena spp,Gold dust dracaena,Dracaena,,,30010732-2,Genus,CAL
356,Dracaena spp,Spotted dracaena,Dracaena,,,30010732-2,Genus,CAL
357,Dracaena terminalis,Hawaiian good luck plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CAL
358,Dracaena terminalis,Ti plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CAL
359,Dracaena terminalis,Tree of kings,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CAL
360,Dracaena terminalis,Good luck plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CAL
361,Drosera or Droserae spp,Sundew,,,,,,CAL
362,Dryopteris marginalis,Evergreen woodfern,Dryopteris marginalis,Dryopteris marginalis,30064660-2,30064660-2,Species,CAL
363,Dryopteris marginalis,Leather leaf woodfern,Dryopteris marginalis,Dryopteris marginalis,30064660-2,30064660-2,Species,CAL
364,Duchesnea indica,Indian strawberry,Potentilla indica,Potentilla indica,728289-1,728289-1,Species,CAL
365,Duchesnea indica,Mock strawberry,Potentilla indica,Potentilla indica,728289-1,728289-1,Species,CAL
367,Echeveria ispp,Chicks and hens or Chickens and hens,,,,,,CAL
368,Echeveria spp,Mexican rosettes,Echeveria,,,30004414-2,Genus,CAL
369,Echeveria spp,Mexican snowball,Echeveria,,,30004414-2,Genus,CAL
370,Echeveria spp,Plush plant,Echeveria,,,30004414-2,Genus,CAL
371,Echeveria spp,"Chenille plant, maroon",Echeveria,,,30004414-2,Genus,CAL
372,Echeveria spp,Echeveria,Echeveria,,,30004414-2,Genus,CAL
373,Echeveria spp,Hen and chicks,Echeveria,,,30004414-2,Genus,CAL
374,Echeveria spp,Hens and chickens,Echeveria,,,30004414-2,Genus,CAL
375,Echeveria spp,Mother hen and chicks,Echeveria,,,30004414-2,Genus,CAL
376,Echeveria spp,Painted lady,Echeveria,,,30004414-2,Genus,CAL
377,Echeveria spp,Wax rosette,Echeveria,,,30004414-2,Genus,CAL
378,Echeveria spp,Mexican firecracker,Echeveria,,,30004414-2,Genus,CAL
379,Echinacea spp,Coneflower,Echinacea,,,30035795-2,Genus,CAL
380,Echinacea spp,Echinacea,Echinacea,,,30035795-2,Genus,CAL
381,Echinacea spp,Rudbeckia,Echinacea,,,30035795-2,Genus,CAL
382,Eichhornia crassipes,Water hyacinth,Pontederia crassipes,Pontederia crassipes,310928-2,310928-2,Species,CAL
383,Elaeagnus spp,Silver berry,Elaeagnus,,,30001965-2,Genus,CAL
384,Elaeagnus spp,Russian olive,Elaeagnus,,,30001965-2,Genus,CAL
385,Endymion hispanicus,Spanish bluebell,Hyacinthoides hispanica,Hyacinthoides hispanica,536678-1,536678-1,Species,CAL
386,Endymion italicus,"Squill, Italain",Hyacinthoides italica,Hyacinthoides italica,536679-1,536679-1,Species,CAL
387,Endymion non-scriptus,English bluebell,Hyacinthoides non-scripta,Hyacinthoides non-scripta,971733-1,971733-1,Species,CAL
388,Endymion spp,Wood hyacinth,Hyacinthoides,,,24371-1,Genus,CAL
389,Enterolobium cyclocarpum,Elephantâs ear,Enterolobium cyclocarpum,Enterolobium cyclocarpum,1037928-2,1037928-2,Species,CAL
390,Epidendrum spp,Orchid,Epidendrum,,,326435-2,Genus,CAL
391,Epilobium angustifolium,Fireweed,Epilobium angustifolium,Epilobium angustifolium,92411-2,92411-2,Species,CAL
392,Episcia cupreata,Chocolate soldier,Episcia cupreata,Episcia cupreata,380772-1,380772-1,Species,CAL
393,Episcia dianthiflora,Lace flower vine,Alsobia dianthiflora,Alsobia dianthiflora,378028-1,378028-1,Species,CAL
394,Episcia reptans,Flame violet,Episcia reptans,Episcia reptans,380813-1,380813-1,Species,CAL
395,Episcia reptans,Moss agate,Episcia reptans,Episcia reptans,380813-1,380813-1,Species,CAL
396,Eriogonum umbellatum,Indian tobacco,Eriogonum umbellatum,Eriogonum umbellatum,30010704-2,30010704-2,Species,CAL
397,Eriogonum umbellatum,Umbrella plant,Eriogonum umbellatum,Eriogonum umbellatum,30010704-2,30010704-2,Species,CAL
398,Eruca sativa,Rocket,Eruca vesicaria,Eruca vesicaria,1137625-2,1137625-2,Species,CAL
399,Erysimum spp,Mullein,Erysimum,,,329617-2,Genus,CAL
400,Escallonia spp,Escallonia,Escallonia,,,37033-1,Genus,CAL
401,Eschscholzia californica,California poppy,Eschscholzia californica,Eschscholzia californica,30043364-2,30043364-2,Species,CAL
402,Eucalyptus cordata,Silver gum,Eucalyptus cordata,Eucalyptus cordata,592825-1,592825-1,Species,CAL
403,Eucalyptus dalrympleana,Mountain gum,Eucalyptus dalrympleana,Eucalyptus dalrympleana,592858-1,592858-1,Species,CAL
404,Eugenia cyanocarpa,Eugenia,Syzygium oleosum,Syzygium oleosum,913387-1,913387-1,Species,CAL
405,Euphorbia pulcherrima,Christmas flower,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
406,Euphorbia pulcherrima,Christmas star,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
407,Euphorbia pulcherrima,Easter flower,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
408,Euphorbia pulcherrima,Flower of the Nativity,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
409,Euphorbia pulcherrima,Lobster plant,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
410,Euphorbia pulcherrima,Mexican flame tree or Mexican flameleaf,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
411,Euphorbia pulcherrima,Painted leaf,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
412,Euphorbia pulcherrima,Poinsettia,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
413,Euphorbia pulcherrima,Star of Bethlehem,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CAL
414,Euryops spp,Euryops,Euryops,,,8900-1,Genus,CAL
415,Exacum affine,Exacum,Exacum affine,Exacum affine,367449-1,367449-1,Species,CAL
416,Exacum affine,German violet,Exacum affine,Exacum affine,367449-1,367449-1,Species,CAL
417,Exacum affine,Persian violet,Exacum affine,Exacum affine,367449-1,367449-1,Species,CAL
419,Fagus spp,"Beech, American",Fagus,,,30048723-2,Genus,CAL
420,Fatsia japonica,Fatsia,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CAL
421,Fatsia japonica,Japanese aralia,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CAL
422,Fatsia japonica,Japanese fatsia,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CAL
423,Fatsia japonica,"Palm, bigleaf",Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CAL
424,Fatsia japonica,Paper plant,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CAL
425,Fatsia japonica,Bigleaf palm,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CAL
426,Fenestraria rhapalophylla,Baby's toes,,,,,,CAL
427,Ficus benjamina,Weeping fig,Ficus benjamina,Ficus benjamina,852486-1,852486-1,Species,CAL
428,Ficus benjamina,Ficus,Ficus benjamina,Ficus benjamina,852486-1,852486-1,Species,CAL
429,Ficus carica,Fig,Ficus carica,Ficus carica,852556-1,852556-1,Species,CAL
430,Ficus elastica,Rubber plant,Ficus elastica,Ficus elastica,60458499-2,60458499-2,Species,CAL
431,Ficus elastica,Rubber tree plant,Ficus elastica,Ficus elastica,60458499-2,60458499-2,Species,CAL
432,Ficus spp,Fiddle leaf fig,Ficus,,,327905-2,Genus,CAL
433,Ficus spp,Fiddle leaf rubber plant,Ficus,,,327905-2,Genus,CAL
434,Ficus spp,Creeping fig,Ficus,,,327905-2,Genus,CAL
435,Ficus spp,"Fig, climbing",Ficus,,,327905-2,Genus,CAL
436,Fittonia spp,Silver nerve,Fittonia,,,331611-2,Genus,CAL
437,Fittonia spp,Silver threads,Fittonia,,,331611-2,Genus,CAL
438,Fittonia spp,Fittonia,Fittonia,,,331611-2,Genus,CAL
439,Fittonia spp,Nerve plant,Fittonia,,,331611-2,Genus,CAL
440,Forsythia spp,Forsythia,Forsythia,,,331614-2,Genus,CAL
441,Forsythia spp,Golden bells,Forsythia,,,331614-2,Genus,CAL
442,Fragaria species,Wild strawberry,Fragaria,,,30014957-2,Genus,CAL
443,Freesia spp,Freesia,Freesia,,,331198-2,Genus,CAL
444,Fritillaria spp,Checker lily,Fritillaria,,,30008840-2,Genus,CAL
445,Fritillaria spp,Fritillaria,Fritillaria,,,30008840-2,Genus,CAL
446,Fuchsia spp,Fuchsia,Fuchsia,,,30000052-2,Genus,CAL
447,Fuchsia spp,Lady's ear drops,Fuchsia,,,30000052-2,Genus,CAL
449,Galtonia spp,"Hyacinth, summer",Ornithogalum,,,30000299-2,Genus,CAL
450,Gardenia jasminoides,Cape jasmine,Gardenia jasminoides,Gardenia jasminoides,751073-1,751073-1,Species,CAL
451,Gardenia jasminoides,Gardenia,Gardenia jasminoides,Gardenia jasminoides,751073-1,751073-1,Species,CAL
452,Gazania spp,Gazania,Gazania,,,331621-2,Genus,CAL
453,Gerbera jamesoni,Transvaal daisy,Gerbera jamesonii,Gerbera jamesonii,208893-1,208893-1,Species,CAL
454,Gerbera jamesonii,African daisy,Gerbera jamesonii,Gerbera jamesonii,208893-1,208893-1,Species,CAL
455,Gerbera jamesonii,Gerbera daisy,Gerbera jamesonii,Gerbera jamesonii,208893-1,208893-1,Species,CAL
456,Gesneria spp,Firecracker,Gesneria,,,30002796-2,Genus,CAL
457,Gesneria spp,Cardinal flower,Gesneria,,,30002796-2,Genus,CAL
458,Gesneria spp,Helmet flower,Gesneria,,,30002796-2,Genus,CAL
459,Gilia spp,Cup and saucer plant,Gilia,,,320317-2,Genus,CAL
460,Gloxinia perennis,Canterbury-bell gloxinia,Gloxinia perennis,Gloxinia perennis,381282-1,381282-1,Species,CAL
461,Gloxinia perennis,Gloxinia,Gloxinia perennis,Gloxinia perennis,381282-1,381282-1,Species,CAL
462,Godetia spp,Godetia,Clarkia,,,30001602-2,Genus,CAL
463,Graptopetalum paraguayense,Mother-of-pearl plant,Graptopetalum paraguayense,Graptopetalum paraguayense,113312-2,113312-2,Species,CAL
464,Gynura aurantiaca,Purple passion vine,Gynura aurantiaca,Gynura aurantiaca,211219-1,211219-1,Species,CAL
465,Gynura aurantiaca,Velvet plant,Gynura aurantiaca,Gynura aurantiaca,211219-1,211219-1,Species,CAL
466,Gypsophila paniculata,Babyâs breath,Gypsophila paniculata,Gypsophila paniculata,154563-1,154563-1,Species,CAL
468,Halesia spp,"Olive, wild",Halesia,,,331642-2,Genus,CAL
469,Halesia spp,Silver bell,Halesia,,,331642-2,Genus,CAL
470,Halesia spp,Snowbell tree,Halesia,,,331642-2,Genus,CAL
471,Halesia spp,Wild olive,Halesia,,,331642-2,Genus,CAL
472,Haworthia chalwinii,Column of pearls,Haworthiopsis coarctata var. coarctata,Haworthiopsis coarctata,77138006-1,77169621-1,Variety,CAL
473,Haworthia spp,Window plant,Haworthia,,,331203-2,Genus,CAL
474,Haworthia margaritifera,Pearl plant,Tulista pumila var. pumila,Tulista pumila,77138045-1,77172717-1,Variety,CAL
475,Hebe spp,Veronica,Veronica,,,30005997-2,Genus,CAL
476,Hedychium coronarium,Butterfly ginger,Hedychium coronarium,Hedychium coronarium,796836-1,796836-1,Species,CAL
477,Hedychium coronarium,Butterfly lily,Hedychium coronarium,Hedychium coronarium,796836-1,796836-1,Species,CAL
478,Hedychium coronarium,Ginger lily,Hedychium coronarium,Hedychium coronarium,796836-1,796836-1,Species,CAL
479,Hedychium coronarium,"Ginger, white",Hedychium coronarium,Hedychium coronarium,796836-1,796836-1,Species,CAL
480,Helianthus annuus,Sunflower,Helianthus annuus,Helianthus annuus,119003-2,119003-2,Species,CAL
481,Helichrysum bracteatum,Strawflower,Xerochrysum bracteatum,Xerochrysum bracteatum,962307-1,962307-1,Species,CAL
482,Helichrysum petiolatum,Licorice plant,Helichrysum petiolare,Helichrysum petiolare,213170-1,213170-1,Species,CAL
483,Heliconia spp,Firebird,Heliconia,,,331205-2,Genus,CAL
484,Heliconia spp,"Plantain, false",Heliconia,,,331205-2,Genus,CAL
485,Heliconia bihai,"Plantain, wild",Heliconia bihai,Heliconia bihai,796925-1,796925-1,Species,CAL
486,Heliconia psittacorum,Parakeet flower,Heliconia psittacorum,Heliconia psittacorum,796972-1,796972-1,Species,CAL
487,Heliconia psittacorum,Parrot's flower,Heliconia psittacorum,Heliconia psittacorum,796972-1,796972-1,Species,CAL
488,Heliconia humilis,Lobster claw,Heliconia psittacorum,Heliconia psittacorum,796972-1,796972-1,Species,CAL
489,Hermocallis spp,Day lily,,,,,,CAL
490,Hermocallis spp,Spider lily,,,,,,CAL
491,Hermocallis spp,"Lily, spider",,,,,,CAL
492,Hermocallis spp,Spider flower,,,,,,CAL
493,Hermocallis spp,Basket lily,,,,,,CAL
494,Hermocallis spp,"Lily, Peruvian",,,,,,CAL
495,Hermocallis spp,"Lily, filmy",,,,,,CAL
496,Hesperis spp,Sweet rocket,Hesperis,,,60436426-2,Genus,CAL
497,Heuchera sanguinea,Coral bells,Heuchera sanguinea,Heuchera sanguinea,791403-1,791403-1,Species,CAL
498,Heuchera sanguinea,Heuchera,Heuchera sanguinea,Heuchera sanguinea,791403-1,791403-1,Species,CAL
499,Heuchera sanguinea,Alumroot,Heuchera sanguinea,Heuchera sanguinea,791403-1,791403-1,Species,CAL
500,Hibiscus senensis,Rose of China,,,,,,CAL
501,Hibiscus spp,Althea,Hibiscus,,,328182-2,Genus,CAL
502,Hibiscus spp,China rose,Hibiscus,,,328182-2,Genus,CAL
503,Hibiscus spp,Chinese hibiscus,Hibiscus,,,328182-2,Genus,CAL
504,Hibiscus spp,Double rose of china,Hibiscus,,,328182-2,Genus,CAL
505,Hibiscus spp,Hawaiian hibiscus,Hibiscus,,,328182-2,Genus,CAL
506,Hibiscus spp,Hibiscus,Hibiscus,,,328182-2,Genus,CAL
507,Hibiscus schizopetalus,Japanese lantern,Hibiscus schizopetalus,Hibiscus schizopetalus,560792-1,560792-1,Species,CAL
508,Hibiscus sabdariffa,Roselle,Hibiscus sabdariffa,Hibiscus sabdariffa,326388-2,326388-2,Species,CAL
509,Hibiscus syriacus,Rose of Sharon,Hibiscus syriacus,Hibiscus syriacus,560890-1,560890-1,Species,CAL
510,Hoheria glabrata,Mountain ribbonwood,Hoheria glabrata,Hoheria glabrata,561006-1,561006-1,Species,CAL
511,Hosta spp,Hosta,Hosta,,,331214-2,Genus,CAL
512,Hosta spp,Plantain lily,Hosta,,,331214-2,Genus,CAL
513,Hoya spp,Honey plant,Hoya,,,60437256-2,Genus,CAL
514,Hoya spp,Hoya plant,Hoya,,,60437256-2,Genus,CAL
515,Hoya spp,Wax plant,Hoya,,,60437256-2,Genus,CAL
516,Hoya spp,Porcelain flower,Hoya,,,60437256-2,Genus,CAL
517,Hymenoxys grandiflora,Alpine goldflower or Alpine sunflower,Hymenoxys grandiflora,Hymenoxys grandiflora,126000-2,126000-2,Species,CAL
518,Hymenoxys grandiflora,Compass flower,Hymenoxys grandiflora,Hymenoxys grandiflora,126000-2,126000-2,Species,CAL
519,Hymenoxys grandiflora,Mountain sunflower,Hymenoxys grandiflora,Hymenoxys grandiflora,126000-2,126000-2,Species,CAL
520,Hymenoxys grandiflora,Old man of the mountains,Hymenoxys grandiflora,Hymenoxys grandiflora,126000-2,126000-2,Species,CAL
521,Hymenoxys grandiflora,"Sunflower, Alpine",Hymenoxys grandiflora,Hymenoxys grandiflora,126000-2,126000-2,Species,CAL
522,Hymenoxys grandiflora,"Sunflower, mountain",Hymenoxys grandiflora,Hymenoxys grandiflora,126000-2,126000-2,Species,CAL
523,Hymenoxys grandiflora,Sun god,Hymenoxys grandiflora,Hymenoxys grandiflora,126000-2,126000-2,Species,CAL
524,Hypocyrta spp,Goldfish plant,Nematanthus,,,331798-2,Genus,CAL
525,Hypoestes phyllostachya,Babyâs tears,Hypoestes phyllostachya,Hypoestes phyllostachya,49962-1,49962-1,Species,CAL
526,Hypoestes phyllostachya,Flamingo plant,Hypoestes phyllostachya,Hypoestes phyllostachya,49962-1,49962-1,Species,CAL
527,Hypoestes phyllostachya,Freckle face,Hypoestes phyllostachya,Hypoestes phyllostachya,49962-1,49962-1,Species,CAL
528,Hypoestes phyllostachya,Pink dot,Hypoestes phyllostachya,Hypoestes phyllostachya,49962-1,49962-1,Species,CAL
529,Hypoestes phyllostachya,Pink polka dot,Hypoestes phyllostachya,Hypoestes phyllostachya,49962-1,49962-1,Species,CAL
530,Hypoestes phyllostachya,Pink splash plant,Hypoestes phyllostachya,Hypoestes phyllostachya,49962-1,49962-1,Species,CAL
531,Hypoestes phyllostachya,Polka dot plant,Hypoestes phyllostachya,Hypoestes phyllostachya,49962-1,49962-1,Species,CAL
533,Impatiens spp,Lady slipper,Impatiens,,,325983-2,Genus,CAL
534,Impatients spp,Balsam,,,,,,CAL
535,Impateins spp,Touch-me-not,,,,,,CAL
536,Impatiens spp,Buzy Lizzie,Impatiens,,,325983-2,Genus,CAL
537,Impatients spp,Patience plant,,,,,,CAL
538,Impatients spp,Impatients,,,,,,CAL
539,Impatiens or Impatients spp,Patient Lucy,,,,,,CAL
540,Impatients spp,Busy Lizzy,,,,,,CAL
541,Incarvillea spp,"Gloxinia, hardy",Incarvillea,,,4106-1,Genus,CAL
542,Iresine spp,Bloodleaf plant,Iresine,,,327328-2,Genus,CAL
544,Jacaranda procera,Carob tree,Jacaranda copaia,Jacaranda copaia,109789-1,109789-1,Species,CAL
545,Jacaranda procera,Jacaranda tree,Jacaranda copaia,Jacaranda copaia,109789-1,109789-1,Species,CAL
546,Jasminum rex,Jasmine,Jasminum nobile,Jasminum nobile,609658-1,609658-1,Species,CAL
547,Jasminum sambac,Pikake,Jasminum sambac,Jasminum sambac,609755-1,609755-1,Species,CAL
548,Justicia brandegeana,Mexican shrimp plant,Justicia brandegeeana,Justicia brandegeeana,289220-2,289220-2,Species,CAL
549,Justicia brandegeana,Shrimp bush or Shrimp plant,Justicia brandegeeana,Justicia brandegeeana,289220-2,289220-2,Species,CAL
551,Kaempferia spp,Peacock plant,Kaempferia,,,329967-2,Genus,CAL
552,Kaempferia spp,Resurrection lily,Kaempferia,,,329967-2,Genus,CAL
553,Kalanchoe beharensis,Velvet leaf,Kalanchoe beharensis,Kalanchoe beharensis,274270-1,274270-1,Species,CAL
554,Kalanchoe blossfeldiana,Christmas kalanchoe,Kalanchoe blossfeldiana,Kalanchoe blossfeldiana,274279-1,274279-1,Species,CAL
555,Kalanchoe daigremontiana,Good luck plant,Kalanchoe daigremontiana,Kalanchoe daigremontiana,274315-1,274315-1,Species,CAL
556,Kalanchoe daigremontiana,Monkey plant,Kalanchoe daigremontiana,Kalanchoe daigremontiana,274315-1,274315-1,Species,CAL
557,Kalanchoe pinnata,Air plant,Kalanchoe pinnata,Kalanchoe pinnata,274438-1,274438-1,Species,CAL
558,Kalanchoe pinnata,Mother of millions,Kalanchoe pinnata,Kalanchoe pinnata,274438-1,274438-1,Species,CAL
559,Kalanchoe pinnata,Mother of thousands,Kalanchoe pinnata,Kalanchoe pinnata,274438-1,274438-1,Species,CAL
560,Kalanchoe pinnata (not the Sansevieria spp),Mother-in-law plant,Kalanchoe pinnata,Kalanchoe pinnata,274438-1,274438-1,Species,CAL
561,Kalanchoe spp,Fire ball plant,Kalanchoe,,,30060186-2,Genus,CAL
562,Kalanchoe spp,Good luck leaf,Kalanchoe,,,30060186-2,Genus,CAL
563,Kalanchoe spp,Kalanchoe,Kalanchoe,,,30060186-2,Genus,CAL
564,Kalanchoe spp,Living plant,Kalanchoe,,,30060186-2,Genus,CAL
565,Kalanchoe spp,Maternity plant,Kalanchoe,,,30060186-2,Genus,CAL
566,Kalanchoe spp,Mexican love plant,Kalanchoe,,,30060186-2,Genus,CAL
567,Kalanchoe spp,Miracle leaf,Kalanchoe,,,30060186-2,Genus,CAL
568,Kalanchoe spp,Multiplication plant,Kalanchoe,,,30060186-2,Genus,CAL
569,Kalanchoe spp,Plush plant,Kalanchoe,,,30060186-2,Genus,CAL
570,Kalanchoe tomentosa,Panda plant,Kalanchoe tomentosa,Kalanchoe tomentosa,274502-1,274502-1,Species,CAL
571,Kalanchoe tomentosa,Panda bear plant,Kalanchoe tomentosa,Kalanchoe tomentosa,274502-1,274502-1,Species,CAL
572,Kalanchoe uniflora,Coral bells,Kalanchoe uniflora,Kalanchoe uniflora,274508-1,274508-1,Species,CAL
