,Latin or scientific name,Common name,Rating,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
134,Arum spp,Arum,"1,2a",Arum,,,328149-2,Genus,CPCS
135,Asarum canadense,Wild ginger,4,Asarum canadense,Asarum canadense,93467-1,93467-1,Species,CPCS
136,Asclepias spp,Indian paint brush,4,Asclepias,,,30005968-2,Genus,CPCS
137,Asclepias spp,Milkweed,4,Asclepias,,,30005968-2,Genus,CPCS
138,Asclepias syriaca,Silk weed,4,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species,CPCS
139,Asclepias tuberosa,Butterfly weed,4,Asclepias tuberosa,Asclepias tuberosa,94704-1,94704-1,Species,CPCS
140,Astragalus spp,Locoweed,4,Astragalus,,,330028-2,Genus,CPCS
141,Atropa belladonna,Belladonna,4,Atropa bella-donna,Atropa bella-donna,814358-1,814358-1,Species,CPCS
142,Atropa belladonna,Deadly nightshade,4,Atropa bella-donna,Atropa bella-donna,814358-1,814358-1,Species,CPCS
143,Aucuba japonica,Japanese aucuba,3,Aucuba japonica,Aucuba japonica,271451-1,271451-1,Species,CPCS
144,Aucuba japonica,Japanese laurel,3,Aucuba japonica,Aucuba japonica,271451-1,271451-1,Species,CPCS
146,Berberis spp,Barberry,4,Berberis,,,328526-2,Genus,CPCS
147,Bougainvillea spp,Bougainvillea,1,Bougainvillea,,,331418-2,Genus,CPCS
148,Bougainvillea spp,Paper flower,1,Bougainvillea,,,331418-2,Genus,CPCS
149,Brosimum guainense,Snakewood,1,,,,,,CPCS
150,Browallia spp,Amethyst flower,1,Browallia,,,328952-2,Genus,CPCS
151,Browallia spp,Sapphire flower,1,Browallia,,,328952-2,Genus,CPCS
152,Brunfelsia americana,Lady-of-the-night,4,Brunfelsia americana,Brunfelsia americana,319114-2,319114-2,Species,CPCS
153,Brunfelsia spp,Morning-noon-and-night,4,Brunfelsia,,,328954-2,Genus,CPCS
154,Brunfelsia spp,Yesterday-and-today,4,Brunfelsia,,,328954-2,Genus,CPCS
155,Brunfelsia spp,Yesterday-today-and-tomorrow,4,Brunfelsia,,,328954-2,Genus,CPCS
156,Brunfelsia undulata,Rain tree,4,Brunfelsia undulata,Brunfelsia undulata,814695-1,814695-1,Species,CPCS
157,Bryonia spp,"Hops, wild",3,Bryonia,,,30074180-2,Genus,CPCS
158,Buxus sempervirens,Boxwood,14,Buxus sempervirens,Buxus sempervirens,340317-1,340317-1,Species,CPCS
160,Caesalpinia gilliesii,Bird of paradise,3,Erythrostemon gilliesii,Erythrostemon gilliesii,494656-1,494656-1,Species,CPCS
161,Caesalpinia mexicana,Mexican bird of paradise,3,Erythrostemon mexicanus,Erythrostemon mexicanus,60473357-2,60473357-2,Species,CPCS
162,Caesalpinia pulcherrima,Barbados flower,3,Caesalpinia pulcherrima,Caesalpinia pulcherrima,1164658-2,1164658-2,Species,CPCS
163,Caesalpinia pulcherrima,Peacock flower,3,Caesalpinia pulcherrima,Caesalpinia pulcherrima,1164658-2,1164658-2,Species,CPCS
164,Caesalpinia pulcherrima,Pride of Barbados,3,Caesalpinia pulcherrima,Caesalpinia pulcherrima,1164658-2,1164658-2,Species,CPCS
165,Caesalpinia spp,Barbados pride,3,Caesalpinia,,,30003203-2,Genus,CPCS
166,Caesalpinia spp,Poinciana,3,Caesalpinia,,,30003203-2,Genus,CPCS
167,Caladium,Angel wings,2a,Caladium,,,30005919-2,Genus,CPCS
168,Caladium,Caladium,2a,Caladium,,,30005919-2,Genus,CPCS
169,Caladium,Elephant's ear,2a,Caladium,,,30005919-2,Genus,CPCS
170,Caladium,Mother in law plant,2a,Caladium,,,30005919-2,Genus,CPCS
171,Caladium bicolor,Heart-of-Jesus,2a,Caladium bicolor,Caladium bicolor,30010088-2,30010088-2,Species,CPCS
172,Calla palustris,Wild calla,2a,Calla palustris,Calla palustris,86508-1,86508-1,Species,CPCS
173,Calluna vulgaris,Heath/Heather,4,Calluna vulgaris,Calluna vulgaris,327305-1,327305-1,Species,CPCS
