,wiki_Snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Allium spp.,en_wiki,Allium,,,30000901-2,Genus
1,Asparagus officinalis,en_wiki:fr_wiki,Asparagus officinalis,Asparagus officinalis,531229-1,531229-1,Species
2,Citrus limon,en_wiki,Citrus × limon,Citrus × limon,60454758-2,60454758-2,Species
3,Lathyrus sativus,en_wiki,Lathyrus sativus,Lathyrus sativus,501990-1,501990-1,Species
4,Malus domestica,en_wiki:bn_wiki,Malus domestica,Malus domestica,726282-1,726282-1,Species
5,Mangifera indica,en_wiki,Mangifera indica,Mangifera indica,69913-1,69913-1,Species
6,Manihot esculenta,en_wiki:fr_wiki,Manihot esculenta,Manihot esculenta,351790-1,351790-1,Species
7,Myristica fragrans,en_wiki,Myristica fragrans,Myristica fragrans,586076-1,586076-1,Species
8,Phaseolus lunatus,en_wiki,Phaseolus lunatus,Phaseolus lunatus,513918-1,513918-1,Species
9,Phaseolus vulgaris,en_wiki:de_wiki:hr_wiki,Phaseolus vulgaris,Phaseolus vulgaris,514191-1,514191-1,Species
10,Prunus cerasus,en_wiki,Prunus cerasus,Prunus cerasus,729574-1,729574-1,Species
11,Rheum rhaponticum,en_wiki,Rheum rhaponticum,Rheum rhaponticum,696786-1,696786-1,Species
12,Solanum lycopersicum,en_wiki:de_wiki:fr_wiki:hr_wiki,Solanum lycopersicum,Solanum lycopersicum,316947-2,316947-2,Species
13,Solanum tuberosum,en_wiki:de_wiki:fr_wiki:hr_wiki,Solanum tuberosum,Solanum tuberosum,821337-1,821337-1,Species
14,Vitis spp.,en_wiki,Vitis,,,325876-2,Genus
15,Abrus precatorius,en_wiki:bn_wiki:fr_wiki,Abrus precatorius,Abrus precatorius,469605-1,469605-1,Species
16,Aconitum spp.,en_wiki,Aconitum,,,326013-2,Genus
17,Actaea pachypoda,en_wiki,Actaea pachypoda,Actaea pachypoda,330907-2,330907-2,Species
18,Adenium obesum,en_wiki,Adenium obesum,Adenium obesum,76369-1,76369-1,Species
19,Adonis vernalis,en_wiki:fr_wiki:hu_wiki,Adonis vernalis,Adonis vernalis,305359-2,305359-2,Species
20,Aesculus hippocastanum,en_wiki:fr_wiki:hu_wiki,Aesculus hippocastanum,Aesculus hippocastanum,781594-1,781594-1,Species
21,Agave spp.,en_wiki,Agave,,,325900-2,Genus
22,Ageratina altissima,en_wiki,Ageratina altissima,Ageratina altissima,6815-2,6815-2,Species
23,Agrostemma githago,en_wiki:fr_wiki:hu_wiki,Agrostemma githago,Agrostemma githago,150316-1,150316-1,Species
24,Anemone nemorosa,en_wiki:fr_wiki,Anemonoides altaica,Anemonoides altaica,708736-1,708736-1,Species
25,Anthurium spp.,en_wiki,Anthurium,,,329747-2,Genus
26,Aquilegia spp.,en_wiki,Aquilegia,,,325954-2,Genus
27,Areca catechu,en_wiki,Areca catechu,Areca catechu,664107-1,664107-1,Species
28,Argemone mexicana,en_wiki,Argemone mexicana,Argemone mexicana,18816-2,18816-2,Species
29,Arnica montana,en_wiki:fr_wiki,Arnica montana,Arnica montana,30090722-2,30090722-2,Species
30,Arum maculatum,en_wiki:fr_wiki:hu_wiki,Arum maculatum,Arum maculatum,86067-1,86067-1,Species
31,Atropa belladonna,en_wiki:de_wiki:fr_wiki:hr_wiki:hu_wiki,Atropa bella-donna,Atropa bella-donna,814358-1,814358-1,Species
32,Brugmansia spp.,en_wiki:de_wiki:hr_wiki,Brugmansia,,,38303-1,Genus
33,Caladium spp.,en_wiki,Caladium,,,30005919-2,Genus
34,Calla palustris,en_wiki:fr_wiki,Calla palustris,Calla palustris,86508-1,86508-1,Species
35,Caltha palustris,en_wiki,Caltha palustris,Caltha palustris,42867-2,42867-2,Species
36,Cascabela thevetia,en_wiki:fr_wiki,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species
37,Cephalanthus occidentalis,en_wiki,Cephalanthus occidentalis,Cephalanthus occidentalis,319140-2,319140-2,Species
38,Cerbera odollam,en_wiki:fr_wiki,Cerbera odollam,Cerbera odollam,77913-1,77913-1,Species
39,Chelidonium majus,en_wiki:fr_wiki,Chelidonium majus,Chelidonium majus,303589-2,303589-2,Species
40,Cicuta spp.,en_wiki,Cicuta,,,39823-1,Genus
41,Cleistanthus collinus,en_wiki,Cleistanthus collinus,Cleistanthus collinus,341327-1,341327-1,Species
42,Clivia miniata,en_wiki:fr_wiki,Clivia miniata,Clivia miniata,994513-1,994513-1,Species
43,Codiaeum variegatum,en_wiki:hu_wiki,Codiaeum variegatum,Codiaeum variegatum,85073-3,85073-3,Species
44,Colchicum autumnale,en_wiki:de_wiki:fr_wiki:hr_wiki:hu_wiki,Colchicum autumnale,Colchicum autumnale,533232-1,533232-1,Species
45,Conium maculatum,en_wiki:de_wiki:fr_wiki:hr_wiki:hu_wiki,Conium maculatum,Conium maculatum,840668-1,840668-1,Species
46,Consolida spp.,en_wiki,,,,,
47,Convallaria majalis,en_wiki:de_wiki:fr_wiki:hr_wiki:hu_wiki,Convallaria majalis,Convallaria majalis,533487-1,533487-1,Species
48,Coriaria myrtifolia,en_wiki:fr_wiki,Coriaria myrtifolia,Coriaria myrtifolia,271361-1,271361-1,Species
49,Cytisus scoparius,en_wiki:fr_wiki,Cytisus scoparius,Cytisus scoparius,489963-1,489963-1,Species
50,Daphne spp.,en_wiki,Daphne,,,30024583-2,Genus
51,Datura spp.,en_wiki,Datura,,,30002853-2,Genus
52,Daucus carota,en_wiki,Daucus carota,Daucus carota,841063-1,841063-1,Species
53,Deathcamas,en_wiki,,,,,
54,Delphinium spp.,en_wiki,Delphinium,,,328251-2,Genus
55,Dendrocnide moroides,en_wiki,Dendrocnide moroides,Dendrocnide moroides,851456-1,851456-1,Species
56,Dicentra cucullaria,en_wiki,Dicentra cucullaria,Dicentra cucullaria,672639-1,672639-1,Species
57,Dichapetalum cymosum,en_wiki,Dichapetalum cymosum,Dichapetalum cymosum,163194-1,163194-1,Species
58,Dieffenbachia spp.,en_wiki:de_wiki:hr_wiki,Dieffenbachia,,,30002878-2,Genus
59,Digitalis purpurea,en_wiki:de_wiki:fr_wiki:hr_wiki:hu_wiki,Digitalis purpurea,Digitalis purpurea,802077-1,802077-1,Species
60,Dioscorea communis,en_wiki:fr_wiki,Dioscorea communis,Dioscorea communis,20005752-1,20005752-1,Species
61,Duranta erecta,en_wiki,Duranta erecta,Duranta erecta,330606-2,330606-2,Species
62,Erysimum cheiri,en_wiki:de_wiki:hr_wiki,Erysimum × cheiri,Erysimum × cheiri,283703-1,283703-1,Species
63,Euonymus europaeus,en_wiki:de_wiki:fr_wiki:hr_wiki,Euonymus europaeus,Euonymus europaeus,160876-1,160876-1,Species
64,Euphorbia pulcherrima,en_wiki:de_wiki:hr_wiki:hu_wiki,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species
65,Excoecaria agallocha,en_wiki,Excoecaria agallocha,Excoecaria agallocha,348815-1,348815-1,Species
66,Galanthus nivalis,en_wiki:fr_wiki,Galanthus nivalis,Galanthus nivalis,64496-1,64496-1,Species
67,Gelsemium sempervirens,en_wiki,Gelsemium sempervirens,Gelsemium sempervirens,60448812-2,60448812-2,Species
68,Gloriosa superba,en_wiki:de_wiki:hr_wiki,Gloriosa superba,Gloriosa superba,535953-1,535953-1,Species
69,Grevillea spp.,en_wiki,Grevillea,,,331633-2,Genus
70,Hedera helix,en_wiki:de_wiki:fr_wiki:hr_wiki,Hedera helix,Hedera helix,90723-1,90723-1,Species
71,Heliotropium indicum,en_wiki,Heliotropium indicum,Heliotropium indicum,116938-1,116938-1,Species
72,Helleborus niger,en_wiki:de_wiki:fr_wiki:hr_wiki,Helleborus niger,Helleborus niger,711348-1,711348-1,Species
73,Heracleum mantegazzianum,en_wiki:de_wiki:fr_wiki,Heracleum mantegazzianum,Heracleum mantegazzianum,843084-1,843084-1,Species
74,Heracleum sosnowskyi,en_wiki,Heracleum sosnowskyi,Heracleum sosnowskyi,843172-1,843172-1,Species
75,Hippomane mancinella,en_wiki:fr_wiki,Hippomane mancinella,Hippomane mancinella,349995-1,349995-1,Species
76,Hyacinthus orientalis,en_wiki:de_wiki:hr_wiki,Hyacinthus orientalis,Hyacinthus orientalis,536789-1,536789-1,Species
77,Hydrangea spp.,en_wiki,Hydrangea,,,30010546-2,Genus
78,Hyoscyamus niger,en_wiki:de_wiki:fr_wiki:hr_wiki:hu_wiki,Hyoscyamus niger,Hyoscyamus niger,815932-1,815932-1,Species
79,Ilex aquifolium,en_wiki:fr_wiki,Ilex aquifolium,Ilex aquifolium,83051-1,83051-1,Species
80,Iris sibirica,en_wiki,Iris sibirica,Iris sibirica,439087-1,439087-1,Species
81,Jacobaea vulgaris,en_wiki,Jacobaea vulgaris,Jacobaea vulgaris,226649-1,226649-1,Species
82,Kalanchoe delagoensis,en_wiki,Kalanchoe delagoensis,Kalanchoe delagoensis,274320-1,274320-1,Species
83,Kalmia latifolia,en_wiki,Kalmia latifolia,Kalmia latifolia,279164-2,279164-2,Species
84,Laburnum spp.,en_wiki,Laburnum,,,22728-1,Genus
85,Lamprocapnos spectabilis,en_wiki:de_wiki:hr_wiki,Lamprocapnos spectabilis,Lamprocapnos spectabilis,995841-1,995841-1,Species
86,Lantana camara,en_wiki,Lantana camara,Lantana camara,325686-2,325686-2,Species
87,Ligustrum spp.,en_wiki,Ligustrum,,,328108-2,Genus
88,Lilium spp.,en_wiki,Lilium,,,30009317-2,Genus
89,Lolium temulentum,en_wiki:fr_wiki,Lolium temulentum,Lolium temulentum,407516-1,407516-1,Species
90,Lupinus spp.,en_wiki,Lupinus,,,60436956-2,Genus
91,Malus florentina,en_wiki,Eriolobus florentinus,Eriolobus florentinus,724828-1,724828-1,Species
92,Mandragora officinarum,en_wiki:fr_wiki,Mandragora officinarum,Mandragora officinarum,816733-1,816733-1,Species
93,Melia azedarach,en_wiki,Melia azedarach,Melia azedarach,578949-1,578949-1,Species
94,Melianthus major,en_wiki,Melianthus major,Melianthus major,783659-1,783659-1,Species
95,Menispermum spp.,en_wiki,Menispermum,,,26970-1,Genus
