,Toxic plants: Scientific name,Common name,Toxicity class,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
0,Abies balsamea,Balsam fir,4,Abies balsamea,Abies balsamea,1084057-2,1084057-2,Species,UCANR
1,Abrus precatorius,Rosary bean; Rosary pea; Jequirity bean,1,Abrus precatorius,Abrus precatorius,469605-1,469605-1,Species,UCANR
2,Acalypha spp.,Chenille plant; Copperleaf; Firetail,24,Acalypha,,,327639-2,Genus,UCANR
3,Acer spp.,Maple,4,Acer,,,328248-2,Genus,UCANR
4,Achillea millefolium,Achillea; Yarrow,24,Achillea millefolium,Achillea millefolium,2294-2,2294-2,Species,UCANR
5,Acokanthera spp.,Bushman's poison; Wintersweet,1,Acokanthera,,,2171-1,Genus,UCANR
6,Aconitum spp.,Aconite; Monkshood,1,Aconitum,,,326013-2,Genus,UCANR
7,Aesculus spp.,Buckeye; California buckeye; Horse chestnut,2,Aesculus,,,36263-1,Genus,UCANR
8,Agapanthus spp.,African lily; Agapanthus; Lily-of-the-Nile,24,Agapanthus,,,331131-2,Genus,UCANR
9,Agave spp.,Agave; Century plant,234,Agave,,,325900-2,Genus,UCANR
10,Aglaonema spp.,Aglaonema; Chinese evergreen,34,Aglaonema,,,2671-1,Genus,UCANR
11,Ailanthus altissima,Ailanthus; Tree-of-heaven,24,Ailanthus altissima,Ailanthus altissima,813521-1,813521-1,Species,UCANR
12,Alcea rosea,Hollyhock,4,Alcea rosea,Alcea rosea,558713-1,558713-1,Species,UCANR
13,Allium spp.,Allium; Wild onion,2,Allium,,,30000901-2,Genus,UCANR
14,Alnus spp.,Alder,4,Alnus,,,30000643-2,Genus,UCANR
15,Alocasia spp.,Alocasia; Elephant's ear,34,Alocasia,,,1078078-2,Genus,UCANR
16,Alstroemeria spp.,Alstroemeria; Peruvian lily,24,Alstroemeria,,,326331-2,Genus,UCANR
17,Amaranthus caudatus,Love-lies-bleeding; Tassel flower,1,Amaranthus caudatus,Amaranthus caudatus,316347-2,316347-2,Species,UCANR
18,Amaryllis belladonna,Amaryllis; Belladonna lily; Naked lady,24,Amaryllis belladonna,Amaryllis belladonna,62705-1,62705-1,Species,UCANR
19,Ammi majus,Bishop's weed; False Queen Anne's lace,4,Ammi majus,Ammi majus,837486-1,837486-1,Species,UCANR
20,Anagallis arvensis,Scarlet pimpernel,24,Lysimachia arvensis,Lysimachia arvensis,77100386-1,77100386-1,Species,UCANR
21,Ananas comosus,Pineapple,4,Ananas comosus,Ananas comosus,12322-2,12322-2,Species,UCANR
22,Anemone spp.,Anemone; Pasque flower; Windflower,24,Anemone,,,330847-2,Genus,UCANR
23,Anthurium spp.,Anthurium,34,Anthurium,,,329747-2,Genus,UCANR
24,Aquilegia spp.,Columbine,2,Aquilegia,,,325954-2,Genus,UCANR
25,Arisaema triphyllum,Indian turnip; Jack-in-the-pulpit,34,Arisaema triphyllum,Arisaema triphyllum,1107169-2,1107169-2,Species,UCANR
26,Artemisia spp.,Sagebrush; Wormwood,4,Artemisia,,,30001021-2,Genus,UCANR
27,Arum spp.,Arum; Black calla; Italian arum,34,Arum,,,328149-2,Genus,UCANR
28,Asclepias spp.,Butterfly weed; Milkweed,24,Asclepias,,,30005968-2,Genus,UCANR
29,Asparagus densiflorus,Sprenger asparagus,4,Asparagus densiflorus,Asparagus densiflorus,531072-1,531072-1,Species,UCANR
30,Asparagus officinalis,Garden asparagus,4,Asparagus officinalis,Asparagus officinalis,531229-1,531229-1,Species,UCANR
31,Aster spp.,Aster,4,Aster,,,331068-2,Genus,UCANR
32,Atropa belladonna,Belladonna; Deadly nightshade,1,Atropa bella-donna,Atropa bella-donna,814358-1,814358-1,Species,UCANR
33,Aucuba japonica,Japanese aucuba,2,Aucuba japonica,Aucuba japonica,271451-1,271451-1,Species,UCANR
34,Begonia spp. (some species),Begonia,23,Begonia,,,327437-2,Genus,UCANR
35,Bellis perennis,English daisy,4,Bellis perennis,Bellis perennis,184409-1,184409-1,Species,UCANR
36,Berberis spp.,Barberry,24,Berberis,,,328526-2,Genus,UCANR
37,Betula spp.,Birch tree,24,Betula,,,328387-2,Genus,UCANR
38,Bougainvillea spp.,Bougainvillea (thorns),4,Bougainvillea,,,331418-2,Genus,UCANR
39,Brachychiton populneus,Bottle tree,4,Brachychiton populneus,Brachychiton populneus,822268-1,822268-1,Species,UCANR
40,Brugmansia spp.,Angel's trumpet; Jimson weed,1,Brugmansia,,,38303-1,Genus,UCANR
41,Buxus sempervirens,Boxwood,24,Buxus sempervirens,Buxus sempervirens,340317-1,340317-1,Species,UCANR
42,Cactus spp.,Cactus (thorns and sap),4,Mammillaria,,,331750-2,Genus,UCANR
43,Caesalpina gilliesii,Bird-of-paradise shrub; Poinciana,2,,,,,,UCANR
44,Caladium bicolor,Caladium,34,Caladium bicolor,Caladium bicolor,30010088-2,30010088-2,Species,UCANR
45,Calluna vulgaris,Heather,1,Calluna vulgaris,Calluna vulgaris,327305-1,327305-1,Species,UCANR
46,Caltha palustris,Marsh marigold,2,Caltha palustris,Caltha palustris,42867-2,42867-2,Species,UCANR
47,Campsis radicans,Trumpet creeper; Trumpet vine,4,Campsis radicans,Campsis radicans,30332621-2,30332621-2,Species,UCANR
48,Carissa macrocarpa,Natal plum,2,Carissa macrocarpa,Carissa macrocarpa,77727-1,77727-1,Species,UCANR
49,Caryota spp.,Fishtail palm,34,Caryota,,,31147-1,Genus,UCANR
50,Celastrus scandens,Bittersweet,2,Celastrus scandens,Celastrus scandens,319139-2,319139-2,Species,UCANR
51,Cestrum spp.,Cestrum; Jessamine; Night-blooming jessamine,1,,,,,,UCANR
52,Chamaemelum nobile,Chamomile,4,Chamaemelum nobile,Chamaemelum nobile,192489-1,192489-1,Species,UCANR
53,Chrysanthemum maximum,Shasta daisy,24,Leucanthemum maximum,Leucanthemum maximum,230047-1,230047-1,Species,UCANR
54,Chrysanthemum spp.,Chrysanthemum; Daisy; Marguerite daisy,24,,,,,,UCANR
55,Cicuta spp.,Water hemlock,1,Cicuta,,,39823-1,Genus,UCANR
56,Cinnamomum camphora,Camphor tree,2,Cinnamomum camphora,Cinnamomum camphora,463336-1,463336-1,Species,UCANR
57,Cissus rhombifolia,Grape ivy,4,Cissus alata,Cissus alata,311226-2,311226-2,Species,UCANR
58,Clematis spp.,Clematis,24,Clematis,,,329401-2,Genus,UCANR
59,Clivia spp.,"Clivia, Kaffir lily",24,Clivia,,,1408-1,Genus,UCANR
60,Codiaeum variegatum,Croton,24,Codiaeum variegatum,Codiaeum variegatum,85073-3,85073-3,Species,UCANR
61,Coffea arabica,Coffee plant,2,Coffea arabica,Coffea arabica,747038-1,747038-1,Species,UCANR
62,Colchicum autumnale,Autumn crocus; Meadow saffron,14,Colchicum autumnale,Colchicum autumnale,533232-1,533232-1,Species,UCANR
63,Colocasia esculenta,Taro,34,Colocasia esculenta,Colocasia esculenta,1170772-2,1170772-2,Species,UCANR
64,Colocasia spp.,Elephant's ear,34,Colocasia,,,331172-2,Genus,UCANR
65,Conium maculatum,Poison hemlock,1,Conium maculatum,Conium maculatum,840668-1,840668-1,Species,UCANR
66,Convallaria majalis,Lily-of-the-valley,14,Convallaria majalis,Convallaria majalis,533487-1,533487-1,Species,UCANR
67,Cornus spp.,Dogwood,4,Cornus,,,330228-2,Genus,UCANR
68,Cortaderia selloana,Pampas grass,1,Cortaderia selloana,Cortaderia selloana,66317-2,66317-2,Species,UCANR
69,Corynocarpus laevigata,New Zealand laurel,2,Corynocarpus laevigatus,Corynocarpus laevigatus,272100-1,272100-1,Species,UCANR
70,Cotinus coggygria,Smoke bush,4,Cotinus coggygria,Cotinus coggygria,69498-1,69498-1,Species,UCANR
71,Cotoneaster spp.,Cotoneaster,2,Cotoneaster,,,30040667-2,Genus,UCANR
72,Crassula argentea,Jade plant,24,Crassula ovata,Crassula ovata,273350-1,273350-1,Species,UCANR
73,Crinum spp.,Crinum lily,24,Crinum,,,30006609-2,Genus,UCANR
74,Cuphea hyssopifolia,False heather,4,Cuphea hyssopifolia,Cuphea hyssopifolia,553043-1,553043-1,Species,UCANR
75,Cycas revoluta,Sago palm,2,Cycas revoluta,Cycas revoluta,328823-2,328823-2,Species,UCANR
76,Cyclamen spp.,Cyclamen,24,Cyclamen,,,32774-1,Genus,UCANR
77,Cynodon dactylon,Bermudagrass,4,Cynodon dactylon,Cynodon dactylon,397065-1,397065-1,Species,UCANR
78,Cyperus alternifolius,Umbrella plant,2,Cyperus alternifolius,Cyperus alternifolius,303729-1,303729-1,Species,UCANR
79,Cypripedium spp.,Lady slipper orchid,4,Cypripedium,,,30008155-2,Genus,UCANR
80,Cytisus spp.,"Broom, Scotch broom",2,Cytisus,,,60455196-2,Genus,UCANR
81,Daphne spp.,Daphne,1,Daphne,,,30024583-2,Genus,UCANR
82,Daucus carota,Queen Anne's lace,4,Daucus carota,Daucus carota,841063-1,841063-1,Species,UCANR
83,Delphinium spp.,Delphinium; Larkspur,1,Delphinium,,,328251-2,Genus,UCANR
84,Dianthus barbatus,Sweet William,24,Dianthus barbatus,Dianthus barbatus,306674-2,306674-2,Species,UCANR
85,Dianthus caryophyllus,Carnation,24,Dianthus caryophyllus,Dianthus caryophyllus,153205-1,153205-1,Species,UCANR
86,Dianthus spp.,Pink,24,Dianthus,,,6245-1,Genus,UCANR
87,Dicentra spp.,Bleeding heart,4,Dicentra,,,331552-2,Genus,UCANR
88,Dichondra micrantha,Dichondra,4,Dichondra micrantha,Dichondra micrantha,79457-2,79457-2,Species,UCANR
89,Dieffenbachia spp.,Dieffenbachia; Dumb cane,3,Dieffenbachia,,,30002878-2,Genus,UCANR
90,Digitalis purpurea,Foxglove,1,Digitalis purpurea,Digitalis purpurea,802077-1,802077-1,Species,UCANR
91,Echium vulgare,Echium,14,Echium vulgare,Echium vulgare,115950-1,115950-1,Species,UCANR
92,Epipremnum aureum,Pothos,34,Epipremnum aureum,Epipremnum aureum,87014-1,87014-1,Species,UCANR
93,Erigeron spp.,Fleabane,4,Erigeron,,,326342-2,Genus,UCANR
94,Eriobotrya japonica,Loquat (seeds),1,Rhaphiolepis bibas,Rhaphiolepis bibas,77209608-1,77209608-1,Species,UCANR
95,Erythrina spp.,Coral tree,1,Erythrina,,,30007957-2,Genus,UCANR
96,Eucalyptus spp.,Blue gum; Eucalyptus,24,Eucalyptus,,,27534-1,Genus,UCANR
97,Euonymus spp.,Burning bush; Euonymus,2,Euonymus,,,331601-2,Genus,UCANR
98,Euphorbia spp.,Crown of thorns; Euphorbia; Gopher plant; Pencil tree; Poinsettia; Snow-on-the-mountain,24,Euphorbia,,,327729-2,Genus,UCANR
99,Festuca spp.,Fescue (grass),4,Festuca,,,328907-2,Genus,UCANR
100,Ficus carica and Ficus spp.,Fig,4,Ficus carica,Ficus carica,852556-1,852556-1,Species,UCANR
101,Ficus elastica,Rubber plant,4,Ficus elastica,Ficus elastica,60458499-2,60458499-2,Species,UCANR
102,Ficus lyrata,Fiddle-leaf fig,4,Ficus lyrata,Ficus lyrata,853158-1,853158-1,Species,UCANR
103,Ficus benjamina,Weeping fig,4,Ficus benjamina,Ficus benjamina,852486-1,852486-1,Species,UCANR
104,Fraxinus spp.,Ash,4,Fraxinus,,,328119-2,Genus,UCANR
105,Fritillaria meleagris,Checkered lily; Snakeshead,1,Fritillaria meleagris,Fritillaria meleagris,535213-1,535213-1,Species,UCANR
106,Gaillardia spp.,Blanket flower,4,Gaillardia,,,329192-2,Genus,UCANR
107,Galanthus spp.,Snowdrop,24,Galanthus,,,1471-1,Genus,UCANR
108,Gelsemium sempervirens,Carolina jessamine,14,Gelsemium sempervirens,Gelsemium sempervirens,60448812-2,60448812-2,Species,UCANR
109,Ginkgo biloba,Ginkgo; Maidenhair tree,4,Ginkgo biloba,Ginkgo biloba,262125-1,262125-1,Species,UCANR
110,Gladiolus spp.,Gladiolus,24,Gladiolus,,,30066908-2,Genus,UCANR
111,Glechoma hederacea,Creeping Charlie; Ground ivy,2,Glechoma hederacea,Glechoma hederacea,447338-1,447338-1,Species,UCANR
112,Gloriosa spp.,Climbing lily; Glory lily,1,Gloriosa,,,24299-1,Genus,UCANR
113,Grevillea spp.,Grevillea; Silk oak,4,Grevillea,,,331633-2,Genus,UCANR
114,Gypsophila paniculata,Baby's breath,4,Gypsophila paniculata,Gypsophila paniculata,154563-1,154563-1,Species,UCANR
115,Haemanthus spp.,Blood lily,24,Haemanthus,,,1483-1,Genus,UCANR
116,Hedera spp.,English ivy; Ivy,24,Hedera,,,30070080-2,Genus,UCANR
117,Heliotropum arborescens,Heliotrope,1,,,,,,UCANR
118,Helleborus spp.,Christmas rose; Hellebore; Lenten rose,14,Helleborus,,,33158-1,Genus,UCANR
119,Heteromeles arbutifolia,Toyon,1,Photinia arbutifolia,Photinia arbutifolia,30222858-2,30222858-2,Species,UCANR
120,Hippeastrum spp.,Amaryllis,2,Hippeastrum,,,331211-2,Genus,UCANR
121,Hyacinthus orientalis,Hyacinth,24,Hyacinthus orientalis,Hyacinthus orientalis,536789-1,536789-1,Species,UCANR
122,Hydrangea spp.,Hydrangea,14,Hydrangea,,,30010546-2,Genus,UCANR
123,Hymenocallis spp.,Spider lily,24,Hymenocallis,,,327249-2,Genus,UCANR
124,Hyoscyamus niger,Deadly nightshade; Black henbane,1,Hyoscyamus niger,Hyoscyamus niger,815932-1,815932-1,Species,UCANR
125,Hypericum calycinum,St. Johnswort,14,Hypericum calycinum,Hypericum calycinum,433287-1,433287-1,Species,UCANR
126,Iberis sempervirens,Evergreen candytuft,4,Iberis sempervirens,Iberis sempervirens,324670-2,324670-2,Species,UCANR
127,Ilex spp.,Holly (berries),2,Ilex,,,60437220-2,Genus,UCANR
128,Ipomoea spp.,Morning glory (seeds),1,Ipomoea,,,325789-2,Genus,UCANR
129,Iris spp.,Dutch iris; Iris,24,Iris,,,326330-2,Genus,UCANR
130,Jatropha spp.,Coral plant; Jatropha,24,Jatropha,,,325951-2,Genus,UCANR
131,Juglans spp.,Walnut,4,Juglans,,,30000723-2,Genus,UCANR
132,Juniperus spp.,Juniper,2,Juniperus,,,60436243-2,Genus,UCANR
133,Kalmia latifolia,Mountain laurel,2,Kalmia latifolia,Kalmia latifolia,279164-2,279164-2,Species,UCANR
134,Laburnum anagyroides,Goldenchain tree; Laburnum,2,Laburnum anagyroides,Laburnum anagyroides,501428-1,501428-1,Species,UCANR
135,Lantana camara,Lantana,1,Lantana camara,Lantana camara,325686-2,325686-2,Species,UCANR
136,Lathyrus odoratus,Sweet pea (seeds),2,Lathyrus odoratus,Lathyrus odoratus,501909-1,501909-1,Species,UCANR
137,Leucojum spp.,Snowflake,24,Leucojum,,,1529-1,Genus,UCANR
138,Ligustrum spp.,Ligustrum; Privet,24,Ligustrum,,,328108-2,Genus,UCANR
139,Lilium spp. (some species),Lily,24,Lilium,,,30009317-2,Genus,UCANR
140,Linum usitatissimum,Flax,4,Linum usitatissimum,Linum usitatissimum,544772-1,544772-1,Species,UCANR
141,Lobelia spp.,Cardinal flower; Lobelia,14,Lobelia,,,30001605-2,Genus,UCANR
142,Lupinus spp.,Lupine,1,Lupinus,,,60436956-2,Genus,UCANR
143,Lycopersicon esculentum,Tomato (non-fruit parts),14,Solanum lycopersicum,Solanum lycopersicum,316947-2,316947-2,Species,UCANR
144,Lycoris spp.,Spider lily,2,Lycoris,,,60455957-2,Genus,UCANR
