,Safe plants: Scientific name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
0,Abutilon pictum (Gillies ex Hook. & Arn.) Walp. ,Callianthe picta,Callianthe picta,77130215-1,77130215-1,Species,CliniTox
1,Abutilon striatum Dicks. ex Lindl. ,Callianthe striata,Callianthe striata,77130224-1,77130224-1,Species,CliniTox
2,Acaena buchananii Hook. f. ,Acaena buchananii,Acaena buchananii,719950-1,719950-1,Species,CliniTox
3,Acanthopanax senticosus (Rupr. & Maxim.) Harms ,Eleutherococcus senticosus,Eleutherococcus senticosus,90431-1,90431-1,Species,CliniTox
4,Acer campestre L. ,Acer campestre,Acer campestre,781250-1,781250-1,Species,CliniTox
5,Acer opalus Mill. ,Acer opalus,Acer opalus,781424-1,781424-1,Species,CliniTox
6,Acer platanoides L. ,Acer platanoides,Acer platanoides,781455-1,781455-1,Species,CliniTox
7,Achillea millefolium aggr. ,Achillea millefolium,Achillea millefolium,2294-2,2294-2,Species,CliniTox
8,Achillea nobilis L. ,Achillea nobilis,Achillea nobilis,2332-2,2332-2,Species,CliniTox
9,Achillea tomentosa L. ,Achillea tomentosa,Achillea tomentosa,174326-1,174326-1,Species,CliniTox
10,Achimenes coccinea (Scop.) Pers. ,Achimenes erecta,Achimenes erecta,2352-2,2352-2,Species,CliniTox
11,Achimenes erecta (Lam.) H.P. Fuchs ,Achimenes erecta,Achimenes erecta,2352-2,2352-2,Species,CliniTox
12,Actaea racemosa L. ,Actaea racemosa,Actaea racemosa,316204-2,316204-2,Species,CliniTox
13,Actaea spicata L. ,Actaea spicata,Actaea spicata,303913-2,303913-2,Species,CliniTox
14,Adiantum capillus-veneris L. ,Adiantum capillus-veneris,Adiantum capillus-veneris,325030-2,325030-2,Species,CliniTox
15,Aechmea fasciata (Lindl.) Baker ,Aechmea fasciata,Aechmea fasciata,121640-1,121640-1,Species,CliniTox
16,Aeonium arboreum (L.) Webb & Berthel. ,Aeonium arboreum,Aeonium arboreum,272194-1,272194-1,Species,CliniTox
17,Aeschynanthus radicans Jack ,Aeschynanthus radicans,Aeschynanthus radicans,377844-1,377844-1,Species,CliniTox
18,Agave americana L. ,Agave americana,Agave americana,319063-2,319063-2,Species,CliniTox
19,Aichryson laxum (Haw.) Bramwell ,Aichryson laxum,Aichryson laxum,272293-1,272293-1,Species,CliniTox
20,Alcea rosea L. ,Alcea rosea,Alcea rosea,558713-1,558713-1,Species,CliniTox
21,Alchemilla glaucescens Wallr. ,Alchemilla glaucescens,Alchemilla glaucescens,720605-1,720605-1,Species,CliniTox
22,Alchemilla hybrida aggr. ,Alchemilla hybrida,Alchemilla hybrida,1121580-2,1121580-2,Species,CliniTox
23,Alchemilla pratensis auct. ,,,,,,CliniTox
24,Alchemilla pubescens Lam. ,Alchemilla hybrida,Alchemilla hybrida,1121580-2,1121580-2,Species,CliniTox
25,Alchemilla vulgaris L. ,Alchemilla vulgaris,Alchemilla vulgaris,721079-1,721079-1,Species,CliniTox
26,Alchemilla xanthochlora aggr. ,Alchemilla xanthochlora,Alchemilla xanthochlora,721091-1,721091-1,Species,CliniTox
27,Allamanda cathartica L. ,Allamanda cathartica,Allamanda cathartica,319065-2,319065-2,Species,CliniTox
28,Allamanda hendersonii W. Bull ex Dombrain ,,,,,,CliniTox
29,Allamanda nobilis T. Moore ,Allamanda nobilis,Allamanda nobilis,8535-2,8535-2,Species,CliniTox
30,Aloysia citriodora Paláu ,,,,,,CliniTox
31,Aloysia triphylla Britton ,Aloysia citrodora,Aloysia citrodora,1015994-1,1015994-1,Species,CliniTox
32,Althaea officinalis L. ,Althaea officinalis,Althaea officinalis,558872-1,558872-1,Species,CliniTox
33,Althaea rosea (L.) Cav. ,Alcea rosea,Alcea rosea,558713-1,558713-1,Species,CliniTox
34,Amaranthus caudatus L. ,Amaranthus caudatus,Amaranthus caudatus,316347-2,316347-2,Species,CliniTox
35,Amaranthus dussii Sprenger ,Amaranthus caudatus,Amaranthus caudatus,316347-2,316347-2,Species,CliniTox
36,Amaranthus edulis Speg. ,Amaranthus caudatus,Amaranthus caudatus,316347-2,316347-2,Species,CliniTox
37,Amaranthus mantegazzianus Pass. ,Amaranthus caudatus,Amaranthus caudatus,316347-2,316347-2,Species,CliniTox
38,"Ananas ananas (L.) Voss, nom. inval. ",,,,,,CliniTox
39,Ananas comosus (L.) Merr. ,Ananas comosus,Ananas comosus,12322-2,12322-2,Species,CliniTox
40,"Ananas duckei hort., nom. inval. ",,,,,,CliniTox
41,Ananas sativus Schult. & Schult. f. ,Ananas comosus var. comosus,Ananas comosus,12322-2,77172865-1,Variety,CliniTox
42,"Ananas sativus var. duckei Camargo, nom. nud. ",Ananas comosus var. comosus,Ananas comosus,12322-2,77172865-1,Variety,CliniTox
43,Anastatica hierochuntica L. ,Anastatica hierochuntica,Anastatica hierochuntica,277878-1,277878-1,Species,CliniTox
44,Anthriscus sylvestris (L.) Hoffm. ,Anthriscus sylvestris,Anthriscus sylvestris,837969-1,837969-1,Species,CliniTox
45,Aphelandra squarrosa Nees ,Aphelandra squarrosa,Aphelandra squarrosa,315544-2,315544-2,Species,CliniTox
46,Apium graveolens L. ,Apium graveolens,Apium graveolens,838067-1,838067-1,Species,CliniTox
47,Aptenia cordifolia (L.f.) Schwantes ,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium,322566-2,322566-2,Species,CliniTox
48,Aralia canadensis Tourn. ,,,,,,CliniTox
49,Aralia elegantissima hort. Veitch ex Mast. ,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CliniTox
50,Aralia ginseng (C.A. Meyer) Baill. ,Panax ginseng,Panax ginseng,91472-1,91472-1,Species,CliniTox
51,Araucaria excelsa (Lamb.) W. T. Aiton ,,,,,,CliniTox
52,Araucaria heterophylla (Salisb.) Franco ,Araucaria heterophylla,Araucaria heterophylla,676669-1,676669-1,Species,CliniTox
53,Asparagopsis densiflorus Kunth ,Asparagus densiflorus,Asparagus densiflorus,531072-1,531072-1,Species,CliniTox
54,Asparagus caspius Hohen. ,Asparagus officinalis,Asparagus officinalis,531229-1,531229-1,Species,CliniTox
55,Asparagus densiflorus (Kunth) Jessop ,Asparagus densiflorus,Asparagus densiflorus,531072-1,531072-1,Species,CliniTox
56,Asparagus longifolius Fisch. ex Steud. ,,,,,,CliniTox
57,Asparagus myriocladus Baker ,Asparagus densiflorus,Asparagus densiflorus,531072-1,531072-1,Species,CliniTox
58,Asparagus officinalis L. ,Asparagus officinalis,Asparagus officinalis,531229-1,531229-1,Species,CliniTox
59,Asparagus polyphyllus Steven ex Ledeb. ,Asparagus officinalis,Asparagus officinalis,531229-1,531229-1,Species,CliniTox
60,Aspidistra elatior Blume ,Aspidistra elatior,Aspidistra elatior,531586-1,531586-1,Species,CliniTox
61,Asplenium nidus L. ,Asplenium nidus,Asplenium nidus,17048040-1,17048040-1,Species,CliniTox
62,Aster alpinus L. ,Aster alpinus,Aster alpinus,30147822-2,30147822-2,Species,CliniTox
63,Aster chinensis L. ,Callistephus chinensis,Callistephus chinensis,188023-1,188023-1,Species,CliniTox
64,Aster novi-belgii L. ,Symphyotrichum novi-belgii,Symphyotrichum novi-belgii,981864-1,981864-1,Species,CliniTox
65,Beloperone guttata Brandegee ,Justicia brandegeeana,Justicia brandegeeana,289220-2,289220-2,Species,CliniTox
66,Beloperone guttata Wassh. & L.B.Sm. ,Justicia brandegeeana,Justicia brandegeeana,289220-2,289220-2,Species,CliniTox
67,Betula alba L. ,Betula pubescens var. pubescens,Betula pubescens,295185-1,77167690-1,Variety,CliniTox
68,Betula pendula Roth ,Betula pendula,Betula pendula,295174-1,295174-1,Species,CliniTox
69,Betula pubescens Ehrh. ,Betula pubescens,Betula pubescens,295185-1,295185-1,Species,CliniTox
70,Betula verrucosa Ehrh. ,Betula pendula subsp. pendula,Betula pendula,295174-1,77167700-1,Subspecies,CliniTox
71,Bifora radians ,Bifora radians,Bifora radians,838717-1,838717-1,Species,CliniTox
72,Billbergia fasciata Lindl. ,Aechmea fasciata,Aechmea fasciata,121640-1,121640-1,Species,CliniTox
73,Billbergia nutans H. Wendl. ex Regel ,Billbergia nutans,Billbergia nutans,122153-1,122153-1,Species,CliniTox
74,Boswellia glabra Roxb. ,Boswellia serrata,Boswellia serrata,127067-1,127067-1,Species,CliniTox
75,Boswellia serrata Roxb. ex Colebr. ,Boswellia serrata,Boswellia serrata,127067-1,127067-1,Species,CliniTox
76,Bougainvillea glabra Choisy ,Bougainvillea glabra,Bougainvillea glabra,35444-2,35444-2,Species,CliniTox
77,Bougainvillea spectabilis Willd. ,Bougainvillea spectabilis,Bougainvillea spectabilis,604358-1,604358-1,Species,CliniTox
