,accepted,author,kingdom,Family,name,rank,powo_Snippet,Source,fqId,images,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
11,True,Benth.,Plantae,Solanaceae,Brunfelsia australis,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:37517-2),37517-2,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/09d0cbafee48b85ed65e919c662ff760.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/e3f0ea6291863b283b93fffc3ae29dea.jpg', 'caption': 'Brunfelsia&nbsp;australis&nbsp;Benth.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/79fc1379891a1d15f05956bda026d6bd.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/10669567b954c127ef441f2af763c51e.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/939e2d926d18bbdcc683314488464b8e.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/33be66fe24041c47305d71ee7bf86e88.jpg', 'caption': 'Brunfelsia australis Benth.'}]",Brunfelsia australis,37517-2,Species,Brunfelsia australis,37517-2
12,True,Norton,Plantae,Zygophyllaceae,Kallstroemia parviflora,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:873291-1),873291-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/dceddfc283661daaaf4249e780bd4fb6.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/4cb2bbe853fb10dfcca8b06d588cda4e.jpg', 'caption': 'Kallstroemia parviflora Norton'}]",Kallstroemia parviflora,873291-1,Species,Kallstroemia parviflora,873291-1
13,True,Poir.,Plantae,Asteraceae,Senecio madagascariensis,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:246209-1),246209-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/cc24a3b662dad8d4d27500784de6e150.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/745f7330b4c0d6546443d1d27de2dbe5.jpg', 'caption': 'Senecio madagascariensis Poir.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/fee1da581b69bda35369e144e578fd9a.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/02d02c45ab8a11832ba70568a154d4b6.jpg', 'caption': 'Senecio madagascariensis Poir.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/7f87573cab489e99b68f925550ca977b.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/8e875cfb08a130dc911efe76ba37b628.jpg', 'caption': 'Senecio madagascariensis Poir.'}]",Senecio madagascariensis,246209-1,Species,Senecio madagascariensis,246209-1
14,True,(Vahl) R.Br. ex Griseb.,Plantae,Acanthaceae,Lepidagathis alopecuroidea,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:51951-1),51951-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/d95434b9222eec417fc7c20938009dad.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/deeaf830ee18c01b660c696597d9e087.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/eca22ae231aa7f6fa60cb34ab18166a3.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/b7ea6118736456a0259d03a76f1226f7.jpg', 'caption': 'Lepidagathis alopecuroidea (Vahl) R.Br. ex Griseb.'}, {'thumbnail': '//storage.googleapis.com/powop-assets/fwta/v2/415_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/fwta/v2/415_fullsize.jpg', 'caption': 'LEPIDAGATHIS ALOPECUROIDES (Vahl) R. Br. ex Griseb. (ACANTHACEAE)'}]",Lepidagathis alopecuroidea,51951-1,Species,Lepidagathis alopecuroidea,51951-1
15,True,Spruce ex Müll.Arg.,Plantae,Apocynaceae,Malouetia nitida,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:79913-1),79913-1,,Malouetia nitida,79913-1,Species,Malouetia nitida,79913-1
16,True,(L.) R.M.King & H.Rob.,Plantae,Asteraceae,Ageratina altissima,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:6815-2),6815-2,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/b4fcc0149460c0fe5a99463bbfa6ae94.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/fa0bf8a742d1106a217175bc7ce3853e.jpg', 'caption': 'Ageratina altissima'}]",Ageratina altissima,6815-2,Species,Ageratina altissima,6815-2
17,True,L.,Plantae,Asteraceae,Parthenium hysterophorus,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:236510-1),236510-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/247c9acb0ef33f680070a22d7df72566.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/df89bb0af72179692e8dd2e46715a294.jpg', 'caption': 'Parthenium hysterophorus'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/51688d06b93518fe5f48b00ae72d043d.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/dea0bc4419b313d5800e9df16cfa0bbf.jpg', 'caption': 'Parthenium hysterophorus'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/3a31d4c7a629962e5e72b07dfd10bc19.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/5d552e9ecefca7d49a3800efa89c5e80.jpg', 'caption': 'Parthenium hysterophorus'}]",Parthenium hysterophorus,236510-1,Species,Parthenium hysterophorus,236510-1
18,True,Posada-Ar.,Plantae,Asteraceae,Tagetes apetala,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:252069-1),252069-1,,Tagetes apetala,252069-1,Species,Tagetes apetala,252069-1
19,True,(DC.) L.G.Lohmann,Plantae,Bignoniaceae,Fridericia japurensis,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:77142016-1),77142016-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/10f23995ac25d8e38403b35dbf99482b.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/9637f48aaa476eec6a82f27a43a814d7.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/d1843f28f97ef997c2e07060511a52fb.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/ece4b1ab7e94e34612bac14239ca6745.jpg', 'caption': 'Fridericia japurensis (DC.) L.G.Lohmann'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/ae6d79a145208ad4c39d4aa3f84713fd.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/5e00408a0e0d2413f60bcc97fd31c9a9.jpg', 'caption': 'Fridericia japurensis'}]",Fridericia japurensis,77142016-1,Species,Fridericia japurensis,77142016-1
20,True,L.,Plantae,Boraginaceae,Heliotropium europaeum,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:116833-1),116833-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/94703fdca37681398cb7a34d705b00d4.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/ad9614e1ea5a9fefcaa7406ccc3724bb.jpg', 'caption': 'Heliotropium europaeum'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/80a509e2b7cb3676ea2b75b8214f8419.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/034be2f63e50d0221d0881f416221e61.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/03de4d4401f0d4a04503023497851297.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/d657c9d3ff88041020202b00f79f30da.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Heliotropium europaeum,116833-1,Species,Heliotropium europaeum,116833-1
21,True,(Lehm.) Pfeiff.,Plantae,Cactaceae,Opuntia microdasys,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:136806-1),136806-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/93c4895463e4e377d5bf9e0f0cb34d1d.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/eaa67c5f900417063d0de9857f0d723c.jpg', 'caption': 'Opuntia microdasys'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/49b599ccdce9b0a3a250974c711ae039.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/5611d2b10e9dcb9f2c2d83783f5876dc.jpg', 'caption': 'Opuntia microdasys'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/f636fb8580fdf242be1fabc7dbe9eec8.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/cdb597184132ccb39831df054a763eb9.jpg', 'caption': 'Opuntia microdasys'}]",Opuntia microdasys,136806-1,Species,Opuntia microdasys,136806-1
22,True,(L.) G.Don,Plantae,Campanulaceae,Hippobroma longiflora,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:1133957-2),1133957-2,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/f5ba55bc356848b5b822a7af567df554.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/f24da527843e5e266bc169d833263996.jpg', 'caption': 'Hippobroma longiflora'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/8908bc998b4fd0d4b3cdbda66ff9d871.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/3d8c9a2d136cf9bf9148797e283492af.jpg', 'caption': 'Hippobroma longiflora'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/79c34b9ff39a4fe987d69f63cd1dbecb.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/e98c541b0e92115b63c5c692da4764ed.jpg', 'caption': 'Hippobroma longiflora'}]",Hippobroma longiflora,1133957-2,Species,Hippobroma longiflora,1133957-2
23,True,(Kunth) A.C.Sm.,Plantae,Celastraceae,Pristimera celastroides,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:210308-2),210308-2,"[{'thumbnail': '//storage.googleapis.com/powop-assets/neotropikey/Pristimera_celastroides_flowers_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/neotropikey/Pristimera_celastroides_flowers_fullsize.jpg', 'caption': 'Pristimera celastroides (Hippocrateaceae)'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/f8da67a29428e3921bd47bbb7f7753c8.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/ea5e03dd087e8ac112b239dbdebaff55.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/ddb6571ebe8dae942cc16c53e1b0b214.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/b514fdc321a234894e8d79ae2b7308a2.jpg', 'caption': 'Pristimera celastroides (Kunth) A.C.Sm.'}]",Pristimera celastroides,210308-2,Species,Pristimera celastroides,210308-2
24,True,Eckl. & Zeyh.,Plantae,Crassulaceae,Kalanchoe delagoensis,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:274320-1),274320-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/cbf68561dfd4d9deb2469d8b6c066060.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/9ca8df7cbb370d7b07052ec07695814a.jpg', 'caption': 'Kalanchoe delagoensis'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/5bb9127c2c38717781e88f3fed8a1c7c.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/5a537369a8f91db903c7c4184627aa62.jpg', 'caption': 'Kalanchoe serrata'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/781faed314fff77acf52fa4a563d498a.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/eeeba55ef4356d8958e99620cc9d44ae.jpg', 'caption': 'Kalanchoe delagoensis&nbsp;Eckl. &amp; Zeyh.'}]",Kalanchoe delagoensis,274320-1,Species,Kalanchoe delagoensis,274320-1
25,True,L.,Plantae,Euphorbiaceae,Croton flavens,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:342537-1),342537-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/b969aee1235e83b494d7611e897603d8.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/23147ebc8ebb94bca11c65df9972d0c0.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Croton flavens,342537-1,Species,Croton flavens,342537-1
26,True,L.,Plantae,Euphorbiaceae,Euphorbia maculata,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:347236-1),347236-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/bc22c6853694110bf5c89ffd61c305c9.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/81227d28fbc9ac8bd152c72b0f46e1a5.jpg', 'caption': 'Euphorbia maculata'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/4a033873a44ba120f260c86c0ca278b4.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/58f7781207973f37bab31fd43e019d29.jpg', 'caption': 'Euphorbia maculata'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/c1e19eadd6d9a7cabde8f840cdf32861.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/5dd2f65192781321a183bcd9d4e41c05.jpg', 'caption': 'Euphorbia maculata'}]",Euphorbia maculata,347236-1,Species,Euphorbia maculata,347236-1
27,True,Lag.,Plantae,Euphorbiaceae,Euphorbia nutans,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:101777-2),101777-2,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/ee4b78c9a5dd889c20711e7b51dacc40.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/e561db6ea868d109fe168bc13d3e840e.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/87d4e0c54b9eabe6a7b77737d3813b41.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/70fd52faa637a83954ed132601a1f856.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/6aacc440da930c23598cd73d7a956268.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/5c2c827ad5321f295a5431353eb39e8a.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Euphorbia nutans,101777-2,Species,Euphorbia nutans,101777-2
28,True,L.,Plantae,Euphorbiaceae,Tragia volubilis,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:315307-2),315307-2,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/560134de452e73da978613c91dc5b00e.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/1adbe267c36fb537e79ee7d7344f441c.jpg', 'caption': 'Tragia volubilis'}, {'thumbnail': '//storage.googleapis.com/powop-assets/neotropikey/Tragia_volubilis_WMT1516_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/neotropikey/Tragia_volubilis_WMT1516_fullsize.jpg', 'caption': 'Tragia volubilis (Euphorbiaceae)'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/98cadd4d1c23540ed02f68af5f31d658.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/cc0a78defe7367f0e0d2202e3df268c8.jpg', 'caption': 'Tragia volubilis L.'}]",Tragia volubilis,315307-2,Species,Tragia volubilis,315307-2
