,accepted,author,kingdom,Family,name,rank,powo_Snippet,Source,fqId,images,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
0,True,Ruiz & Pav.,Plantae,Acanthaceae,Mendoncia aspera,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:52381-1),52381-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/dceba9a1f03c955c48835ebba7cb1159.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/d58c3d66a37e5511368232b4937d2921.jpg', 'caption': 'Mendoncia aspera&nbsp;Ruiz &amp; Pav.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/49c93699c43dc0f6f1930182115e2c19.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/03675c8f761a68956509fde1a2fcbde4.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Mendoncia aspera,52381-1,Species,Mendoncia aspera,52381-1
1,True,Welw.,Plantae,Apocynaceae,Pachypodium lealii,Species, <b>Use</b>: <em>Poison</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:80706-1),80706-1,"[{'thumbnail': '//storage.googleapis.com/powop-assets/kew_profiles/STAG_001941_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/kew_profiles/STAG_001941_fullsize.jpg', 'caption': 'Pachypodium lealii (bottle tree)'}, {'thumbnail': '//storage.googleapis.com/powop-assets/kew_profiles/STAG_001942_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/kew_profiles/STAG_001942_fullsize.jpg', 'caption': 'Pachypodium lealii flower'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/53ed9308d20276c785ecf09b26333797.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/79bb930e0b1c1ddd0cbf9c1c63239090.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Pachypodium lealii,80706-1,Species,Pachypodium lealii,80706-1
2,True,(Bonpl.) H.Rob.,Plantae,Asteraceae,Lessingianthus rubricaulis,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:962014-1),962014-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/68f5b4f955d13d0601a3406f5392ca95.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/2410b22c66f0a83581d0dc7951a0bb9a.jpg', 'caption': 'Lessingianthus rubricaulis (Bonpl.) H.Rob.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/813c3917b97bbb3d0b1c7f3cc3843024.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/ce3c804c36d589e13fb9663b101d3587.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/7caa0f2478ccddc75fd55ee72fb50f1c.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/808f6bf0ccfcfa4b132ea7dd3b0dff0d.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Lessingianthus rubricaulis,962014-1,Species,Lessingianthus rubricaulis,962014-1
3,True,Jacq.,Plantae,Asteraceae,Wedelia fruticosa,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:60468294-2),60468294-2,,Wedelia fruticosa,60468294-2,Species,Wedelia fruticosa,60468294-2
4,True,(Sprague) L.G.Lohmann,Plantae,Bignoniaceae,Tanaecium bilabiatum,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:77100467-1),77100467-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/578fc653bb09dcca4e48e45dbb7ec95e.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/879c1398350c82087189d729ac19bc94.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/6fc5b46e3f0fd1f121843c6d25ce4db4.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/c1342bc98644c5d50f159ba0b260b6a4.jpg', 'caption': 'Tanaecium bilabiatum (Sprague) L.G.Lohmann'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/be3ffbf252c2b86a0bfad59fd28f219f.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/0d1385440a04e90156cda8df287c4153.jpg', 'caption': 'Tanaecium bilabiatum'}]",Tanaecium bilabiatum,77100467-1,Species,Tanaecium bilabiatum,77100467-1
5,True,G.Schellenb.,Plantae,Connaraceae,Connarus coriaceus,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:64164-2),64164-2,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/bbe5dcfef953eea8c3045c630e361a20.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/609ee874bfa160cd496cde548e7c96ad.jpg', 'caption': 'Connarus cf. coriaceus G. Schellenb.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/3e6305ea211fa70cbd5b7a74006a0209.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/ab67040c5133e463df083187492629d2.jpg', 'caption': 'Connarus cf. coriaceus G. Schellenb.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/7deb3b73572d64e6fca2ce7db847bac2.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/92656e6c8da9228c39e02c7312563ec4.jpg', 'caption': 'Connarus cf. coriaceus G. Schellenb.'}]",Connarus coriaceus,64164-2,Species,Connarus coriaceus,64164-2
6,True,Ruiz & Pav.,Plantae,Lythraceae,Cuphea ciliata,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:552931-1),552931-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/564a17b5040393253a5e65cb12004cb8.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/7fad74ba6aa518207fe00400597cb31e.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/0c66701649a97bce49a4f0f954b3c9b6.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/7563bd1abd46906912438cc1d4ca2fcd.jpg', 'caption': 'Cuphea ciliata'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/4af497222830ec7f5db70c35f2dca338.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/b7b57906b9f4ee0389f903714d982a93.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Cuphea ciliata,552931-1,Species,Cuphea ciliata,552931-1
7,True,Spruce ex Benth. & Hook.f.,Plantae,Ochnaceae,Wallacea insignis,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:607558-1),607558-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/598319897347e0605a161fd2eedb4deb.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/ab41fbf00bfd20f36d07b99a9e5c6f2d.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/bd77ec884e1b336aa6b69d335c596c61.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/bad55d8a2649e78b7a868308d5647b50.jpg', 'caption': 'Wallacea insignis Spruce ex Benth. &amp; Hook.f.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/829279d260ccf0bde808960cc1beea26.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/6d6d297d7ac03d69b93ff070fca39289.jpg', 'caption': 'Wallacea insignis'}]",Wallacea insignis,607558-1,Species,Wallacea insignis,607558-1
8,True,(Sw.) Zuloaga & Soderstr.,Plantae,Poaceae,Homolepis glutinosa,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:278239-2),278239-2,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/6156fc8e0f206410a269128e46bc2af7.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/8b80559eae14de9d5f9c63f91325f8ca.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/1a0f1217350940cf9c867601ead6a7c2.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/7e5dd0c925aec8c2f4eb77e42fd8ea6e.jpg', 'caption': 'Homolepis glutinosa (Sw.) Zuloaga &amp; Soderstr.'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/9e06c3222d78dd630034d0e4de0ed109.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/49fa3740f2684b1198febb2c81fe7dac.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Homolepis glutinosa,278239-2,Species,Homolepis glutinosa,278239-2
9,True,(Trin. & Rupr.) Barkworth,Plantae,Poaceae,Nassella neesiana,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:948410-1),948410-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/d39b5b04362725e45769de20934ba8e1.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/ed8aa8debfd862cc140246233ed36bd4.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/eb480425a4ad017df914afeea6c1e94b.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/2153a096c3e891649669f250c664a6d9.jpg', 'caption': ""A specimen from Kew's Herbarium""}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/62044fc4c9c147a6e7ceb077b333d58e.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/6cc26f254b314aaa0db468d4d6ed036d.jpg', 'caption': ""A specimen from Kew's Herbarium""}]",Nassella neesiana,948410-1,Species,Nassella neesiana,948410-1
10,True,(L.) U.Manns & Anderb.,Plantae,Primulaceae,Lysimachia minima,Species, <b>Use</b>: <em>Poisons</em>.,POWO pages(/taxon/urn:lsid:ipni.org:names:77100404-1),77100404-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/e200bad64e86498165342242918497a8.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/2aacd6951eae250445647846ac8f1bf4.jpg', 'caption': 'Lysimachia minima'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/4a6812ddbfcb5b0e812b0da21d6deb5b.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/4a1fb8ed4b7a83640a7fd5a4b2a2c684.jpg', 'caption': 'Lysimachia minima'}, {'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/287985f201201fd273c1cf06dcf701fc.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/5155f861e0342531090bf50f810f5e3d.jpg', 'caption': 'Lysimachia minima'}]",Lysimachia minima,77100404-1,Species,Lysimachia minima,77100404-1
