,Plant_number,TPPT_Snippet,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
11,P12,Equisetum palustre L.,Sumpf-Schachtelhalm,Marsh horsetail,Equisetum,Equisetaceae,"Europe, Asia and North America",74,domestic,Shore- and marsh plant,Jun.-Sep.,Aerial part (or whole plant),toxic,strong toxic,,,,Equisetum palustre,Equisetum palustre,30039890-2,30039890-2,Species,TPPT
12,P13,Equisetum fluviatile L.,Schlamm-Schachtelhalm,Water horsetail,Equisetum,Equisetaceae,"Europe, Asia and North America",43,domestic,Fresh water plant,May-Jul.,Aerial part (or whole plant),toxic,weak toxic,,,,Equisetum fluviatile,Equisetum fluviatile,30041462-2,30041462-2,Species,TPPT
13,P14,Pteridium aquilinum (L.) Kuhn,Adlerfarn,Bracken fern,Pteridium,Dennstaedtiaceae,global,52,domestic,Forest plant,Jul.-Sep.,Whole plant,toxic,very strong toxic,,,,Pteridium aquilinum,Pteridium aquilinum,17210060-1,17210060-1,Species,TPPT
14,P15,Dryopteris filix-mas (L.) Schott,Echter Wurmfarn,Male fern,Dryopteris ,Dryopteridaceae,global,88,domestic,Forest plant,Jul.-Sep.,Whole plant,strong toxic,toxic,,,,,,,,,TPPT
15,P16,Dryopteris affinis (Lowe) Fraser-Jenk.,Schuppiger Wurmfarn,Scaly male fern,Dryopteris ,Dryopteridaceae,Europe and Asia,40,domestic,Forest plant,Jul.-Sep.,Whole plant,strong toxic,toxic,,,,,,,,,TPPT
16,P17,Dryopteris carthusiana (Vill.) H. P. Fuchs,Dorniger Wurmfarn,Narrow buckler fern,Dryopteris ,Dryopteridaceae,"Europe, Asia and North America",51,domestic,Forest plant,Jul.-Aug.,Whole plant,strong toxic,toxic,,,,,,,,,TPPT
17,P18,Dryopteris cristata (L.) A. Gray,Kamm-Wurmfarn,Crested buckler fern,Dryopteris ,Dryopteridaceae,"Europe, Asia and North America",3,domestic,Forest plant,Jul.-Sep.,Whole plant,strong toxic,toxic,,,,,,,,,TPPT
18,P19,Dryopteris dilatata (Hoffm.) A. Gray,Breiter Wumfarn,Broad buckler fern,Dryopteris ,Dryopteridaceae,Europe and Siberia,79,domestic,Forest plant,Jul.-Aug.,Whole plant,strong toxic,toxic,,,,,,,,,TPPT
19,P20,Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy,Alpen-Wurmfarn,Northern buckler fern,Dryopteris ,Dryopteridaceae,Europe and Siberia,20,domestic,Forest plant,Jul.-Sep.,Whole plant,strong toxic,toxic,,,,,,,,,TPPT
20,P21,Dryopteris remota (Doell) Druce,Entferntfiedriger Wurmfarn,Scaly buckler fern,Dryopteris ,Dryopteridaceae,Europe and Asia,3,domestic,Forest plant,Jul.-Aug.,Whole plant,strong toxic,toxic,,,,,,,,,TPPT
21,P22,Dryopteris villarii (Bellardi) Schinz & Thell.,Villars' Wurmfarn,Villars'buckler fern,Dryopteris ,Dryopteridaceae,Southern and Central Europe,23,domestic,Mountain plant,Jul.-Aug.,Whole plant,strong toxic,toxic,,,,,,,,,TPPT
22,P23,Ephedra helvetica C. A. Mey.,Schweizer Meertraeubchen,,Ephedra,Ephedraceae,Alps,1.5,domestic,Pioneer plant,Apr.-May,Aerial part (or whole plant),toxic,,,,,Ephedra distachya subsp. helvetica,Ephedra distachya,383381-1,77189998-1,Subspecies,TPPT
26,P27,Pseudotsuga menziesii (Mirb.) Franco,Douglasfichte,Douglas fir,Pseudotsuga,Pinaceae,North America,6,alien,Forest plant,May,,weak toxic,weak toxic,,,,Pseudotsuga menziesii,Pseudotsuga menziesii,677141-1,677141-1,Species,TPPT
27,P28,Picea abies (L.) H. Karst.,Fichte,European spruce,Picea,Pinaceae,Northern and Central Europe,86,domestic,Forest plant,May,Whole plant,weak toxic,weak toxic,,,,Picea abies,Picea abies,262609-1,262609-1,Species,TPPT
28,P29,Pinus cembra L.,Arve,Swiss pine,Pinus,Pinaceae,Alps,38,domestic,Forest plant,Jun.-Aug.,Aerial part,weak toxic,weak toxic,,,,Pinus cembra,Pinus cembra,262848-1,262848-1,Species,TPPT
29,P30,Pinus sylvestris L.,Wald-Foehre,Scots pine,Pinus,Pinaceae,Europe and Siberia,54,domestic,Forest plant,May,Aerial part,weak toxic,weak toxic,,,,Pinus sylvestris,Pinus sylvestris,263353-1,263353-1,Species,TPPT
30,P31,Pinus nigra J. F. Arnold,Schwarz-Foehre,Black pine,Pinus,Pinaceae,Southern Europe,occasionally introduced ,alien,Forest plant,May-Jun.,Aerial part,weak toxic,weak toxic,,,,Pinus nigra,Pinus nigra,677088-1,677088-1,Species,TPPT
31,P32,Pinus mugo Turra,Berg-Foehre,Mountain pine,Pinus,Pinaceae,Southern and Central Europe,34,domestic,Forest plant,Jun.-Jul.,Aerial part,weak toxic,weak toxic,,,,Pinus mugo,Pinus mugo,677083-1,677083-1,Species,TPPT
32,P33,Larix decidua Mill.,Laerche,European larch,Larix,Pinaceae,Alps,77,domestic,Mountain plant,May-Jun.,Aerial part,weak toxic,weak toxic,,,,Larix decidua,Larix decidua,262420-1,262420-1,Species,TPPT
33,P34,Taxus baccata L. ,Eibe,English yew,Taxus,Taxaceae,Europe and Western Asia,45,domestic,Forest plant,Mar.-Apr.,Whole plant without aril (red seed coat),strong toxic,very strong toxic,,,,Taxus baccata,Taxus baccata,306036-2,306036-2,Species,TPPT
35,P36,Thuja occidentalis L.,Amerikanischer Lebensbaum,White cedar,Thuja,Cupressaceae,North America,occasionally introduced ,alien,Ornamental garden plant,Apr.,Seed (or whole plant),toxic,very strong toxic,,yes,,Thuja occidentalis,Thuja occidentalis,263956-1,263956-1,Species,TPPT
36,P37,Thuja orientalis L. ,Orientalischer Lebensbaum,Chinese thuja,Thuja,Cupressaceae,Eastern Asia,occasionally introduced ,alien,Ornamental garden plant,Apr.,Seed (or whole plant),toxic,very strong toxic,,yes,,Platycladus orientalis,Platycladus orientalis,677124-1,677124-1,Species,TPPT
37,P38,Thuja plicata D. Don,Riesen-Lebensbaum,Western redcedar,Thuja,Cupressaceae,North America,rarely introduced,alien,Ornamental garden plant,Apr.,Seed (or whole plant),toxic,,,yes,,Thuja plicata,Thuja plicata,60443333-2,60443333-2,Species,TPPT
38,P39,Juniperus communis L. s.l. (J. communis L. s.str. and J. communis subsp. alpina Celak.),Echter Wacholder,Common juniper,Juniperus,Cupressaceae,"Europe, Asia and North America",62,domestic,Forest and mountain plant,Apr.-Aug.,"Fruit, leaf (or whole plant)",toxic,toxic,,,,Juniperus communis,Juniperus communis,30088655-2,30088655-2,Species,TPPT
39,P40,Juniperus sabina L.,Sefistrauch,Savin juniper,Juniperus,Cupressaceae,Europe and Asia,12,domestic,Xerophyte,Apr.-May,"Fruit, leaf (or whole plant)",toxic,very strong toxic,,,,Juniperus sabina,Juniperus sabina,30166980-2,30166980-2,Species,TPPT
40,P41,Chamaecyparis lawsoniana (A. Murray bis) Parl.,Lawsons Zypresse (Scheinzypresse),Port orford cedar,Chamaecyparis,Cupressaceae,North America,rarely introduced,alien,Ornamental garden plant,Apr.,Whole plant,toxic,toxic,,yes,,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,261839-1,261839-1,Species,TPPT
41,P42,Nymphaea alba L.,Weise Seerose,White water lily,Nymphaea,Nymphaeaceae,Europe,23,domestic,Fresh water plant,Jun.-Aug.,"Flower, rhizome (or whole plant)",toxic,toxic,,,,Nymphaea alba,Nymphaea alba,171158-2,171158-2,Species,TPPT
42,P43,Nuphar lutea (L.) Sm.,Grosse Teichrose,Yellow water-lily,Nuphar,Nymphaeaceae,Europe and Asia,18,domestic,Fresh water plant,Jun.-Aug.,"Whole plant, highest concentrations in root",toxic,toxic,,,,Nuphar lutea,Nuphar lutea,30385379-2,30385379-2,Species,TPPT
43,P44,Nuphar pumila (Timm) DC. ,Kleine Teichrose,Least water-lily,Nuphar,Nymphaeaceae,Europe and Siberia,1,domestic,Fresh water plant,Jul.-Aug.,"Whole plant, highest concentrations in root",toxic,weak toxic,,,,Nuphar pumila,Nuphar pumila,605460-1,605460-1,Species,TPPT
45,P46,Asarum europaeum L.,Europaeischer Haselwurz,Hazelwort,Asarum,Aristolochiaceae,Europe and Siberia,25,domestic,Forest plant,Apr.-May,Whole plant,toxic,,,,,Asarum europaeum,Asarum europaeum,302682-2,302682-2,Species,TPPT
46,P47,Aristolochia clematitis L.,Echte Osterluzei,European birthwort,Aristolochia,Aristolochiaceae,Southern Europe,6,domestic,Weed and ruderal plant,May-Aug.,Whole plant,toxic,,,,,Aristolochia clematitis,Aristolochia clematitis,92841-1,92841-1,Species,TPPT
47,P48,Aristolochia rotunda L. ,Rundknollige Osterluzei,Round birthwort,Aristolochia,Aristolochiaceae,Mediterranean,0.3,domestic,Xerophyte,May,Whole plant,toxic,,,,,Aristolochia rotunda,Aristolochia rotunda,93291-1,93291-1,Species,TPPT
48,P49,Helleborus foetidus L. ,Stinkende Nieswurz,Setter wort,Helleborus,Ranunculaceae,South-western Europe,24,domestic,Forest plant,Mar.-Apr.,Aerial part (or whole plant),very strong toxic,strong toxic,,,,Helleborus foetidus,Helleborus foetidus,711317-1,711317-1,Species,TPPT
49,P50,Helleborus viridis L.,Gruene Nieswurz,Bear's foot,Helleborus,Ranunculaceae,Central Europe,9,domestic,Forest plant,Feb.-Apr.,Aerial part (or whole plant),very strong toxic,very strong toxic,,,,Helleborus viridis,Helleborus viridis,711386-1,711386-1,Species,TPPT
50,P51,Helleborus niger L.,Christrose,Christmas rose,Helleborus,Ranunculaceae,South-eastern Europe,1,domestic,Forest plant,Dec.-Mar.,Aerial part (or whole plant),very strong toxic,very strong toxic,,,,Helleborus niger,Helleborus niger,711348-1,711348-1,Species,TPPT
51,P52,Helleborus orientalis Lam.,Oestliche Nieswurz,Lenten rose,Helleborus,Ranunculaceae,Asia,rarely introduced,alien,Ornamental garden plant,Mar.-Apr.,Aerial part (or whole plant),very strong toxic,very strong toxic,,yes,,Helleborus orientalis,Helleborus orientalis,711354-1,711354-1,Species,TPPT
52,P53,Eranthis hyemalis (L.) Salisb.,Winterling,Winter aconite,Eranthis,Ranunculaceae,Southern Europe,9,alien,Forest plant,Jan.-Mar.,"Whole plant, highest concentrations in root",strong toxic,,,yes,,Eranthis hyemalis,Eranthis hyemalis,711189-1,711189-1,Species,TPPT
53,P54,Trollius europaeus L. ,Europaeische Trollblume,Globeflower,Trollius,Ranunculaceae,Europe and Siberia,76,domestic,Shore- and marsh plant,May-Jun.,Whole plant,toxic,,,,,Trollius europaeus,Trollius europaeus,306789-2,306789-2,Species,TPPT
54,P55,Isopyrum thalictroides L.,Muschelbluemchen,,Isopyrum,Ranunculaceae,Southern Europe,0.8,domestic,Forest plant,Apr.-May,,strong toxic,,,,,Isopyrum thalictroides,Isopyrum thalictroides,711481-1,711481-1,Species,TPPT
55,P56,Actaea spicata L.,Christophskraut,Bane berry,Actaea,Ranunculaceae,Europe and Asia,55,domestic,Forest plant,May-Jul.,Whole plant,toxic,,,,,Actaea spicata,Actaea spicata,303913-2,303913-2,Species,TPPT
56,P57,Caltha palustris L.,Sumpf-Dotterblume,Common marsh marigold,Caltha,Ranunculaceae,"Europe, Asia and North America",77,domestic,Shore- and marsh plant,Mar.-May,Whole plant,toxic,toxic,,,,Caltha palustris,Caltha palustris,42867-2,42867-2,Species,TPPT
57,P58,Aconitum napellus aggr. (A. compactum (Rchb.) Gayer and A. neomontanum Wulfen),Blauer Eisenhut,Blue Monkshood,Aconitum,Ranunculaceae,Europe,64,domestic,Mountain plant,Jun.-Aug.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,,Aconitum napellus,Aconitum napellus,707615-1,707615-1,Species,TPPT
58,P59,"Aconitum variegatum L. s.l. (A. variegatum L. s.str., A. variegatum subsp. rostratum (DC.) Gayer and A. variegatum subsp. paniculatum (Arcang.) Negodi)",Gescheckter Eisenhut,Manchurian monkshood,Aconitum,Ranunculaceae,Europe,20,domestic,Mountain plant,Jul.-Sep.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,,Aconitum variegatum,Aconitum variegatum,707931-1,707931-1,Species,TPPT
59,P60,Aconitum anthora L.,Giftheil-Eisenhut,Yellow monkshood,Aconitum,Ranunculaceae,Southern and Central Europe,0.5,domestic,Mountain plant,Aug.-Sep.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,,Aconitum anthora,Aconitum anthora,707158-1,707158-1,Species,TPPT
60,P61,"Aconitum vulparia aggr. (A. altissimum Mill., A. lamarckii Rchb., A. penninum (Ser.) Gayer and A. x platanifolium Degen & Gayer)",Gelber Eisenhut,Yellow wolfsbane,Aconitum,Ranunculaceae,Europe,34,domestic,Mountain plant,Jun.-Aug.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,,Aconitum vulparia,Aconitum vulparia,707955-1,707955-1,Species,TPPT
61,P62,Aconitum carmichaelii Debeaux,Herbsteisenhut,Carmichael's monkshood,Aconitum,Ranunculaceae,Asia,0,alien,Ornamental garden plant,Aug.-Oct.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,yes,,Aconitum carmichaeli,Aconitum carmichaeli,707241-1,707241-1,Species,TPPT
62,P63,Delphinium elatum L. ,Hoher Rittersporn,Bee larkspur,Delphinium,Ranunculaceae,Europe and Siberia,13,domestic,Mountain plant,Jul.-Aug.,Whole plant,very strong toxic,very strong toxic,,,,Delphinium elatum,Delphinium elatum,710585-1,710585-1,Species,TPPT
63,P64,Delphinium staphisagria L.,Mittelmeer-Rittersporn,Stavesacre,Delphinium,Ranunculaceae,Mediterranean,0,alien,Ornamental garden plant,Jun.-Jul.,Whole plant,very strong toxic,very strong toxic,,yes,,Delphinium staphisagria,Delphinium staphisagria,711034-1,711034-1,Species,TPPT
