,Plant_number,TPPT_Snippet,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
86,P87,Ranunculus repens L.,Kriechender Hahnenfuss,Creeping buttercup,Ranunculus,Ranunculaceae,Europe and Asia,69,domestic,Weed and ruderal plant,May-Sep.,Whole plant,toxic,weak toxic,,,,Ranunculus repens,Ranunculus repens,713678-1,713678-1,Species,TPPT
87,P88,Ranunculus lanuginosus L. ,Wolliger Hahnenfuss,Woolly buttercup,Ranunculus,Ranunculaceae,Europe,49,domestic,Forest plant,May-Aug.,Whole plant,toxic,,,,,Ranunculus lanuginosus,Ranunculus lanuginosus,713050-1,713050-1,Species,TPPT
88,P89,Ranunculus auricomus aggr.,Gold-Hahnenfuss,Goldilocks buttercup,Ranunculus,Ranunculaceae,Europe and Siberia,31,domestic,Forest plant,Apr.-Jun.,Whole plant,toxic,,,,,Ranunculus cassubicus subsp. cassubicus,Ranunculus cassubicus,712432-1,77226368-1,Subspecies,TPPT
89,P90,Ranunculus acris L. s.l. (R. acris L. s.str. and R. acris subsp. friesianus (Jord.) Syme),Scharfer Hahnenfuss,Meadow buttercup,Ranunculus,Ranunculaceae,Europe and Asia,85,domestic,Meadow plant,Apr.-Sep.,Whole plant,toxic,toxic,,,,Ranunculus acris,Ranunculus acris,712125-1,712125-1,Species,TPPT
90,P91,"Ranunculus montanus aggr. (R. breyninus Crantz, R. montanus Willd., R. carinthiacus Hoppe and R. villarsii DC.)",Berg-Hanenfuss,Mountain buttercup,Ranunculus,Ranunculaceae,Southern and Central Europe,65,domestic,Mountain plant,May-Aug.,Whole plant,toxic,,,,,Ranunculus montanus,Ranunculus montanus,713262-1,713262-1,Species,TPPT
91,P92,Ranunculus bulbosus L.,Knolliger Hanenfuss,Bulbous buttercup,Ranunculus,Ranunculaceae,Europe,58,domestic,Xerophyte,May-Jul.,Whole plant,toxic,toxic,,,,Ranunculus bulbosus,Ranunculus bulbosus,712367-1,712367-1,Species,TPPT
92,P93,Ranunculus sardous Crantz,Sardischer Hahnenfuss,Hairy buttercup,Ranunculus,Ranunculaceae,Mediterranean,5,domestic,Weed and ruderal plant,May-Jul.,Whole plant,toxic,toxic,,,,Ranunculus sardous,Ranunculus sardous,713757-1,713757-1,Species,TPPT
93,P94,Ranunculus muricatus L.,Stachefruechtiger Hahnenfuss,Spinyfruit buttercup,Ranunculus,Ranunculaceae,Mediterranean,1.5,domestic,Shore- and marsh plant,Apr.-May,Whole plant,toxic,,,,,Ranunculus muricatus,Ranunculus muricatus,324977-2,324977-2,Species,TPPT
94,P95,Ranunculus arvensis L.,Acker-Hahnenfuss,Corn buttercup,Ranunculus,Ranunculaceae,Mediterranean,23,domestic,Weed and ruderal plant,May-Jul.,Whole plant,toxic,toxic,,,,Ranunculus arvensis,Ranunculus arvensis,712240-1,712240-1,Species,TPPT
95,P96,Ranunculus pygmaeus Wahlenb.,Zwerg-Hahnenfuss,Pygmy buttercup,Ranunculus,Ranunculaceae,Alps and Arctic,0.2,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic,,,,,Ranunculus pygmaeus,Ranunculus pygmaeus,30253244-2,30253244-2,Species,TPPT
96,P97,Ranunculus sceleratus L.,Gift-Hahnenfuss,Celery-leaved buttercup,Ranunculus,Ranunculaceae,Europe and Asia,10,domestic,Weed and ruderal plant,Jun.-Aug.,Whole plant,strong toxic,strong toxic,,,,Ranunculus sceleratus,Ranunculus sceleratus,713776-1,713776-1,Species,TPPT
97,P98,Ranunculus ficaria L.,Scharbockskraut,Fig buttercup,Ranunculus,Ranunculaceae,Europe and Asia,50,domestic,Forest plant,Mar.-Apr.,Whole plant,toxic,toxic,,,,Ranunculus ficaria,Ranunculus ficaria,712703-1,712703-1,Species,TPPT
98,P99,Ranunculus thora L.,Schildblaettriger Hahnenfuss,Thora buttercup,Ranunculus,Ranunculaceae,Southern and Central Europe,4,domestic,Mountain plant,May-Jul.,Whole plant,strong toxic,,,,,Ranunculus thora,Ranunculus thora,713972-1,713972-1,Species,TPPT
99,P100,Ranunculus flammula L.,Kleiner Sumpf-Hahnenfuss,Lesser spearwort,Ranunculus,Ranunculaceae,"Europe, Asia and North America",27,domestic,Shore- and marsh plant,Jun.-Aug.,Whole plant,toxic,toxic,,,,Ranunculus flammula,Ranunculus flammula,30013390-2,30013390-2,Species,TPPT
100,P101,Ranunculus reptans L.,Wurzelnder Sumpf-Hahnenfuss,Greater creeping spearwort,Ranunculus,Ranunculaceae,"Europe, Asia and North America",7,domestic,Shore- and marsh plant,May-Sep.,Whole plant,toxic,,,,,Ranunculus reptans,Ranunculus reptans,300782-2,300782-2,Species,TPPT
101,P102,Ranunculus lingua L.,Grosser Sumpf-Hahnenfuss,Greater buttercup,Ranunculus,Ranunculaceae,Europe and Asia,13,domestic,Fresh water plant,Jun.-Aug.,Whole plant,toxic,toxic,,,,Ranunculus lingua,Ranunculus lingua,713102-1,713102-1,Species,TPPT
102,P103,Ranunculus gramineus L.,Grasblaettriger Hahnenfuss,Grassy-leaved buttercup,Ranunculus,Ranunculaceae,Western Europe,0.7,domestic,Xerophyte,Apr.-May,Whole plant,toxic,,,,,Ranunculus gramineus,Ranunculus gramineus,712828-1,712828-1,Species,TPPT
103,P104,Ranunculus alpestris L. ,Alpen-Hahnenfuss,Alpine buttercup,Ranunculus,Ranunculaceae,Southern and Central Europe,44,domestic,Mountain plant,Jun.-Aug.,Whole plant,toxic,,,,,Ranunculus alpestris,Ranunculus alpestris,712170-1,712170-1,Species,TPPT
104,P105,Ranunculus seguieri Vill.,Seguiers Hahnenfuss,Seguier's buttercup,Ranunculus,Ranunculaceae,Alps,0.2,domestic,Mountain plant,May-Jul.,Whole plant,toxic,,,,,Ranunculus seguieri,Ranunculus seguieri,713799-1,713799-1,Species,TPPT
105,P106,Ranunculus glacialis L.,Gletscher-Hahnenfuss,Glacier buttercup,Ranunculus,Ranunculaceae,Alps and Arctic,26,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic,,,,,Ranunculus glacialis,Ranunculus glacialis,217323-2,217323-2,Species,TPPT
106,P107,Ranunculus parnassiifolius L.,Herzblatt-Hahnenfuss,,Ranunculus,Ranunculaceae,Alps and Pyrenees,6,domestic,Mountain plant,Jul.,Whole plant,strong toxic,,,,,Ranunculus parnassifolius,Ranunculus parnassifolius,713443-1,713443-1,Species,TPPT
107,P108,Ranunculus aconitifolius L.,Eisenhutblaettriger Hahnenfuss,Aconite-leaf buttercup,Ranunculus,Ranunculaceae,Southern and Central Europe,70,domestic,Shore- and marsh plant,May-Jul.,Whole plant,toxic,weak toxic,,,,Ranunculus aconitifolius,Ranunculus aconitifolius,712121-1,712121-1,Species,TPPT
108,P109,Ranunculus platanifolius L.,Platanenblaettriger Hahnenfuss,Large white buttercup,Ranunculus,Ranunculaceae,Europe,40,domestic,Forest plant,Jun.-Jul.,Whole plant,toxic,,,,,Ranunculus platanifolius,Ranunculus platanifolius,713535-1,713535-1,Species,TPPT
109,P110,Ranunculus kuepferi Greuter & Burdet,Wegerich-Hahnenfuss,,Ranunculus,Ranunculaceae,Southern and Central Europe,23,domestic,Mountain plant,Jun.-Jul.,Whole plant,toxic,,,,,Ranunculus kuepferi,Ranunculus kuepferi,940919-1,940919-1,Species,TPPT
110,P111,Ranunculus fluitans Lam.,Flutender Wasserhahnenfuss,River water crowfoot,Ranunculus,Ranunculaceae,Western Europe,7,domestic,Fresh water plant,Jun.-Aug.,Whole plant,toxic,,,,,Ranunculus fluitans,Ranunculus fluitans,712741-1,712741-1,Species,TPPT
111,P112,"Ranunculus aquatilis aggr. (R. peltatus Schrank, R. penicillatus (Dumort.) Bab. and R. aquatilis L.)",Gemeiner Wasserhahnenfuss,Common water crowfoot,Ranunculus,Ranunculaceae,Europe,5,domestic,Fresh water plant,May-Sep.,Whole plant,toxic,,,,,Ranunculus aquatilis,Ranunculus aquatilis,300627-2,300627-2,Species,TPPT
112,P113,Ranunculus circinatus Sibth.,Spreizender Wasserhahnenfuss,Fan-leaved water crowfoot,Ranunculus,Ranunculaceae,Europe and Western Asia,11,domestic,Fresh water plant,May-Aug.,Whole plant,toxic,,,,,Ranunculus circinatus,Ranunculus circinatus,712473-1,712473-1,Species,TPPT
113,P114,Ranunculus trichophyllus Chaix s.l. (R. trichophyllus Chaix s.str. and R. trichophyllus subsp. eradicatus (Laest.) C. D. K. Cook),Haar-Wasserhahnenfuss,Thora buttercup,Ranunculus,Ranunculaceae,"Europe, Asia and North America",38,domestic,Fresh water plant,May-Aug.,Whole plant,toxic,,,,,Ranunculus confervoides,Ranunculus confervoides,1152383-2,1152383-2,Species,TPPT
114,P115,Ranunculus rionii Lagger,Rions Wasserhahnenfuss,Water crowfoot,Ranunculus,Ranunculaceae,Europe and Asia,0.5,domestic,Fresh water plant,May-Aug.,Whole plant,toxic,,,,,Ranunculus rionii,Ranunculus rionii,713700-1,713700-1,Species,TPPT
115,P116,Aquilegia vulgaris L.,Gemeine Akelei,Common columbine,Aquilegia,Ranunculaceae,Europe and Asia,42,domestic,Forest plant,May-Jul.,"Whole plant, highest concentrations in seed",toxic,,,,,Aquilegia vulgaris,Aquilegia vulgaris,306409-2,306409-2,Species,TPPT
116,P117,Aquilegia atrata W. D. J. Koch,Dunkle Akelei,Dark columbine,Aquilegia,Ranunculaceae,South-western Europe,42,domestic,Mountain plant,Jun.-Jul.,"Whole plant, highest concentrations in seed",toxic,,,,,Aquilegia atrata,Aquilegia atrata,708802-1,708802-1,Species,TPPT
117,P118,Aquilegia alpina L.,Alpen-Akelei,Alpine columbine,Aquilegia,Ranunculaceae,Alps,20,domestic,Mountain plant,Jul.-Sep.,"Whole plant, highest concentrations in seed",toxic,,,,,Aquilegia alpina,Aquilegia alpina,708794-1,708794-1,Species,TPPT
118,P119,Berberis vulgaris L.,Gemeine Berberitze,Barberry,Berberis,Berberidaceae,Southern Europe and Western Asia,65,domestic,Forest plant,May-Jun.,Root (or whole plant without fruit),weak toxic,weak toxic,,,,Berberis vulgaris,Berberis vulgaris,328527-2,328527-2,Species,TPPT
119,P120,Mahonia aquifolium (Pursh) Nutt.,Mahonie,Blue barberry,Mahonia,Berberidaceae,North America,7,alien,Ornamental garden plant,Apr.-May,"Whole plant, highest concentrations in bark, root",toxic,,yes,yes,,Berberis aquifolium,Berberis aquifolium,31334-2,31334-2,Species,TPPT
120,P121,Podophyllum peltatum L.,Fussblatt,Mandrake,Podophyllum,Berberidaceae,North America,0,alien,Ornamental garden plant,,Whole plant,strong toxic,,,yes,,Podophyllum peltatum,Podophyllum peltatum,107599-1,107599-1,Species,TPPT
121,P122,Papaver rhoeas L.,Klatsch-Mohn,Common poppy,Papaver,Papaveraceae,Mediterranean,43,domestic,Weed and ruderal plant,May-Sep.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic,toxic,,,,Papaver rhoeas,Papaver rhoeas,306058-2,306058-2,Species,TPPT
122,P123,Papaver dubium L.,Saat-Mohn,Longheaded poppy,Papaver,Papaveraceae,Mediterranean,33,domestic,Weed and ruderal plant,May-Jul.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic (unknown strength),,,,,Papaver dubium,Papaver dubium,673488-1,673488-1,Species,TPPT
123,P124,Papaver somniferum L.,Schlaf-Mohn,Opium poppy,Papaver,Papaveraceae,global,5,alien,Weed and ruderal plant,May-Jul.,"Whole plant, highest concentrations in capsule, latex (without seed)",strong toxic,strong toxic,,,,Papaver somniferum,Papaver somniferum,673724-1,673724-1,Species,TPPT
124,P125,Papaver argemone L.,Sand-Mohn,Long procklyhead poppy,Papaver,Papaveraceae,Mediterranean,9,domestic,Weed and ruderal plant,Apr.-Jun.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic (unknown strength),,,,,Papaver argemone,Papaver argemone,305858-2,305858-2,Species,TPPT
125,P126,Papaver croceum Ledeb.,Altaischer Mohn,Ice poppy,Papaver,Papaveraceae,Asia,6,alien,Mountain plant,Jul.-Aug.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic (unknown strength),,,,,Papaver croceum,Papaver croceum,673468-1,673468-1,Species,TPPT
126,P127,"Papaver alpinum aggr. (P. aurantacum Loisel., P. ocidentale (Markgr.) H. E. Hess & Landolt and P. sendtneri Hayek)",Alpen-Mohn,Dwarf poppy,Papaver,Papaveraceae,Alps,2,domestic,Mountain plant,Jul.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic (unknown strength),,,,,Papaver cambricum,Papaver cambricum,673433-1,673433-1,Species,TPPT
127,P128,Glaucium flavum Crantz,Gelber Hornmohn,Yellow hornet poppy,Glaucium,Papaveraceae,Western Europe,0.3,domestic,Pioneer plant,Jun.-Aug.,Whole plant,toxic,,,,,Glaucium flavum,Glaucium flavum,673167-1,673167-1,Species,TPPT
128,P129,Chelidonium majus L.,Schoellkraut,Greater celandine,Chelidonium,Papaveraceae,Europe and Asia,54,domestic,Weed and ruderal plant,Apr.-Sep.,Whole plant,strong toxic,strong toxic,,,,Chelidonium majus,Chelidonium majus,303589-2,303589-2,Species,TPPT
129,P130,Corydalis cava (L.) Schweigg & Koerte,Hohlknolliger Lerchensporn,Hollow root,Corydalis,Papaveraceae,Central Europe,35,domestic,Forest plant,Mar.-Apr.,"Whole plant, highest concentrations in bulb",toxic,,,,,Corydalis cava,Corydalis cava,672129-1,672129-1,Species,TPPT
130,P131,Corydalis intermedia (L.) Merat,Mittlerer Lerchensporn,Fumewort,Corydalis,Papaveraceae,Europe,12,domestic,Forest plant,Mar.-May,"Whole plant, highest concentrations in bulb",toxic,,,,,Corydalis intermedia,Corydalis intermedia,672295-1,672295-1,Species,TPPT
131,P132,Corydalis solida (L.) Clairv.,Festknolliger Lerchensporn,Fumewort,Corydalis,Papaveraceae,Europe,6,domestic,Forest plant,Mar.-May,"Whole plant, highest concentrations in bulb",toxic,,,,,Corydalis solida,Corydalis solida,60454743-2,60454743-2,Species,TPPT
132,P133,Corydalis lutea (L.) DC.,Gelber Lerchensporn,Common corydalis,Corydalis,Papaveraceae,Alps,21,domestic,Pioneer plant,Mar.-Sep.,"Whole plant, highest concentrations in bulb",toxic,,,,,Pseudofumaria lutea,Pseudofumaria lutea,673928-1,673928-1,Species,TPPT
133,P134,Corydalis alba (Mill.) Mansf.,Blassgelber Lerchensporn,White common corydalis,Corydalis,Papaveraceae,Alps,occasionally introduced ,alien,Ornamental garden plant,Jun.-Sep.,"Whole plant, highest concentrations in bulb",toxic,,,yes,,Pseudofumaria alba,Pseudofumaria alba,943202-1,943202-1,Species,TPPT
134,P135,Fumaria officinalis L. s.l.,Echter Erdrauch,Common fumatory,Fumaria,Papaveraceae,Europe and Asia,48,domestic,Weed and ruderal plant,May-Sep.,Aerial part (or whole plant),toxic,,,,,Fumaria officinalis,Fumaria officinalis,30017594-2,30017594-2,Species,TPPT
135,P136,Fumaria capreolata L.,Klimmender Erdrauch,White ramping fumitory,Fumaria,Papaveraceae,Mediterranean,3,domestic,Weed and ruderal plant,May-Sep.,Aerial part (or whole plant),toxic,,,,,Fumaria capreolata,Fumaria capreolata,672920-1,672920-1,Species,TPPT
136,P137,Fumaria schleicheri Soy.-Will.,Schleichers Erdrauch,,Fumaria,Papaveraceae,Eastern Europe and Western Asia,4,domestic,Weed and ruderal plant,May-Sep.,Aerial part (or whole plant),toxic,,,,,Fumaria schleicheri,Fumaria schleicheri,673104-1,673104-1,Species,TPPT
137,P138,Argemone mexicana L.,Stachelmohn,Prickly poppy,Argemone,Papaveraceae,America,0,alien,Ornamental garden plant,Jul.-Sep.,Whole plant,toxic,,,yes,,Argemone mexicana,Argemone mexicana,18816-2,18816-2,Species,TPPT
138,P139,Eschscholzia californica Cham.,Goldmohn (Schlafmuetzchen),California poppy,Eschscholzia,Papaveraceae,North America,0,alien,Ornamental garden plant,Jun.-Sep.,Aerial part (or whole plant),toxic,,,yes,,Eschscholzia californica,Eschscholzia californica,30043364-2,30043364-2,Species,TPPT
139,P140,Lamprocapnos spectabilitis (L.) Fukuhara,Traenendes Herz,Show dicentra,Lamprocapnos,Papaveraceae,Eastern Asia,0,alien,Ornamental garden plant,Apr.-May,"Whole plant, highest concentrations in root",toxic,,,yes,,Lamprocapnos,,,31686-1,Genus,TPPT
140,P141,Buxus sempervirens L.,Buchs,Common box tree,Buxus,Buxaceae,Southern Europe and Western Asia,18,domestic,Forest plant,Mar.-Apr.,Whole plant,strong toxic,strong toxic,,,,Buxus sempervirens,Buxus sempervirens,340317-1,340317-1,Species,TPPT
141,P142,Pachysandra terminalis Sieb. et Zucc.,Ysander (Dickmaennchen),Japanese Spurge,Pachysandre,Buxaceae,Japan,0,alien,Ornamental garden plant,Apr.-May,Whole plant,toxic,,,yes,,Pachysandra terminalis,Pachysandra terminalis,353208-1,353208-1,Species,TPPT
142,P143,Paeonia officinalis L.,Pfingstrose,Garden Peony,Paeonia,Paeoniaceae,Southern Europe,0.7,domestic,Forest plant,May-Jun.,Whole plant,toxic,,,yes,,Paeonia officinalis,Paeonia officinalis,711836-1,711836-1,Species,TPPT
144,P145,Sedum acre L.,Scharfer Mauerpfeffer,Goldmoss stonecrop,Sedum,Crassulaceae,Europe,49,domestic,Pioneer plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",toxic,toxic,,,,Sedum acre,Sedum acre,274996-1,274996-1,Species,TPPT
145,P146,Sedum album L.,Weisser Mauerpfeffer,White stonecrop,Sedum,Crassulaceae,Mediterranean,69,domestic,Pioneer plant,Jun.-Sep.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum album,Sedum album,275022-1,275022-1,Species,TPPT
146,P147,Sedum alpestre Vill.,Alpen-Mauerpfeffer,Alpine stonecrop,Sedum,Crassulaceae,Southern and Central Europe,41,domestic,Mountain plant,Jul.-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum alpestre,Sedum alpestre,275031-1,275031-1,Species,TPPT
147,P148,Sedum anacampseros L.,Rundblaettriges Fettkraut,Love-restorer,Sedum,Crassulaceae,Southern Europe,4,domestic,Mountain plant,Jul.-Sep.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Hylotelephium anacampseros,Hylotelephium anacampseros,274198-1,274198-1,Species,TPPT
148,P149,Sedum annuum L.,Einjaehriger Mauerpfeffer,Annual stonecrop,Sedum,Crassulaceae,Alps,24,domestic,Mountain plant,Jul.-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum annuum,Sedum annuum,284811-2,284811-2,Species,TPPT
149,P150,Sedum atratum L.,Dunkler Mauerpfeffer,Dark stonecrop,Sedum,Crassulaceae,Southern and Central Europe,48,domestic,Mountain plant,Jul.-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum atratum,Sedum atratum,275094-1,275094-1,Species,TPPT
150,P151,Sedum cepaea L.,Rispiges Fettkraut,Pink stonecrop,Sedum,Crassulaceae,Southern Europe,3,domestic,Pioneer plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum cepaea,Sedum cepaea,275208-1,275208-1,Species,TPPT
151,P152,Sedum dasyphyllum L.,Dickblaettriger Mauerpfeffer,Thick-leaved stonecrop,Sedum,Crassulaceae,Mediterranean,47,domestic,Pioneer plant,May-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum dasyphyllum,Sedum dasyphyllum,275301-1,275301-1,Species,TPPT
152,P153,Sedum hispanicum L.,Spanischer Mauerpfeffer,Spanish stonecrop,Sedum,Crassulaceae,Mediterranean,18,domestic,Pioneer plant,Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum hispanicum,Sedum hispanicum,275520-1,275520-1,Species,TPPT
153,P154,Sedum rubens L.,Roetlicher Mauerpfeffer,Red stonecrop,Sedum,Crassulaceae,Mediterranean,1.5,domestic,Pioneer plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum rubens,Sedum rubens,275980-1,275980-1,Species,TPPT
154,P155,"Sedum rupestre aggr. (S. montanum Songeon & E. Perrier, S. rupestre L., S. anopetalum DC. and S. sediforme (Jacq.) Pau)",Felsen-Mauerpfeffer,Blue stonecrop,Sedum,Crassulaceae,Mediterranean,20,domestic,Xerophyte,Jul.-Sep.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum annuum subsp. annuum,Sedum annuum,284811-2,77225691-1,Subspecies,TPPT
155,P156,Sedum sarmentosum Bunge,Kriechender Mauerpfeffer,Sringy stonecrop,Sedum,Crassulaceae,Eastern Asia,2,alien,Ornamental garden plant,Jun.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,yes,,Sedum sarmentosum,Sedum sarmentosum,276014-1,276014-1,Species,TPPT
156,P157,Sedum sexangulare L.,Milder Mauerpfeffer,Tasteless stonecrop,Sedum,Crassulaceae,Europe,52,domestic,Pioneer plant,Jun.-Aug.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum sexangulare,Sedum sexangulare,276056-1,276056-1,Species,TPPT
157,P158,"Sedum telephium L. s.l. (S. telephium L. s.str., S. telephium subsp. fabaria Kirschl. and S. telephium subsp. maximum (L.) Kirschl.)",Riesen-Fettkraut,Orpine,Sedum,Crassulaceae,Europe,35,domestic,Pioneer plant,Jun.-Sep.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Hylotelephium telephium,Hylotelephium telephium,274226-1,274226-1,Species,TPPT
158,P159,Sedum villosum L.,Moor-Mauerpfeffer,Hairy stonecrop,Sedum,Crassulaceae,Europe,9,domestic,Shore- and marsh plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,,,,Sedum villosum,Sedum villosum,284837-2,284837-2,Species,TPPT
159,P160,Sedum spurium M. Bieb.,Kaukasus-Fettkraut,Caucasian stonecrop,Sedum,Crassulaceae,Western Asia,21,alien,Weed and ruderal plant,Jun.-Jul.,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,yes,,,Phedimus spurius,Phedimus spurius,986636-1,986636-1,Species,TPPT
160,P161,Sedum stoloniferum S. G. Gmel,Auslaeuferbildendes Fettkraut,Stolon stonecrop,Sedum,Crassulaceae,Asia,occasionally introduced ,alien,Ornamental garden plant,,"Fruit, leaf (or whole plant)",weak toxic,weak toxic,yes,yes,,Phedimus stolonifer,Phedimus stolonifer,986638-1,986638-1,Species,TPPT
162,P163,Fagus sylvatica L.,Rot-Buche,Common Beech,Fagus,Fagaceae,Europe,55,domestic,Forest plant,Apr.-May,"Fruit, wood",weak toxic,weak toxic,,,,Fagus sylvatica,Fagus sylvatica,305836-2,305836-2,Species,TPPT
163,P164,Bryonia dioica Jacq.,Zweihaeusige Zaunruebe,White or red bryony,Bryonia,Cucurbitaceae,Western Europe,12,domestic,Forest plant,Jun.-Jul.,"Whole plant, highest concentrations in fruit, root",strong toxic,very strong toxic,,,,Bryonia cretica subsp. dioica,Bryonia cretica,291575-1,77200692-1,Subspecies,TPPT
164,P165,Bryonia alba L.,Weisse Zaunruebe,White bryony,Bryonia,Cucurbitaceae,Eastern Europe and Western Asia,0.5,domestic,Weed and ruderal plant,Jun.-Jul.,"Whole plant, highest concentrations in fruit, root",strong toxic,very strong toxic,,,,Bryonia alba,Bryonia alba,291541-1,291541-1,Species,TPPT
165,P166,Cucurbita pepo L.,"Zucchini, Kuerbis",Squash,Cucurbita,Cucurbitaceae,global,agriculture,alien,Agricultural plant,Jun.-Sep.,Fruit (or whole plant),very strong toxic (only wild growing plants),,,,yes,Cucurbita pepo,Cucurbita pepo,292416-1,292416-1,Species,TPPT
166,P167,Cucurbita maxima Duchesne,Hokkaidokuerbise,Squash,Cucurbita,Cucurbitaceae,global,agriculture,domestic,Agricultural plant,Jun.-Sep.,Whole plant,strong toxic (only wild growing plants),,,,yes,Cucurbita maxima,Cucurbita maxima,30006538-2,30006538-2,Species,TPPT
168,P169,Echinocystis lobata (Michx.) Torr. & A. Gray,Stachelgurke,Wild cucumber,Echinocystis,Cucurbitaceae,North America,rarely introduced,alien,Ornamental garden plant,,"Fruit, root",toxic (unknown strength),,yes,yes,,Echinocystis lobata,Echinocystis lobata,292597-1,292597-1,Species,TPPT
170,P171,Ecballium elaterium (L.) A. Rich.,Spritzgurke,Squirting cucumber,Ecballium,Cucurbitaceae,Mediterranean,0,domestic,Xerophyte,,Aerial part (or whole plant),strong toxic,,,,,Ecballium elaterium,Ecballium elaterium,292573-1,292573-1,Species,TPPT
173,P174,Quercus ilex L.,Stein-Eiche,Evergreen oak,Quercus,Fagaceae,Mediterranean,1.5,domestic,Ornamental garden plant,Apr.-May,"Bark, fruit, leaf",weak toxic,toxic,,yes,,Quercus ilex,Quercus ilex,296290-1,296290-1,Species,TPPT
174,P175,Quercus cerris L.,Zerr-Eiche,Turkey oak,Quercus,Fagaceae,South-eastern Europe,2,domestic,Forest plant,May,"Bark, fruit, leaf",weak toxic,toxic,,,,Quercus cerris,Quercus cerris,295941-1,295941-1,Species,TPPT
175,P176,Quercus pubescens Willd.,Flaum-Eiche,Northern red oak,Quercus,Fagaceae,Southern Europe,19,domestic,Forest plant,Apr.-May,"Bark, fruit, leaf",weak toxic,toxic,,,,Quercus pubescens,Quercus pubescens,326376-2,326376-2,Species,TPPT
176,P177,Quercus robur L.,Stiel-Eiche,English oak,Quercus,Fagaceae,Europe,46,domestic,Forest plant,Apr.-May,"Bark, fruit, leaf",weak toxic,toxic,,,,Quercus robur,Quercus robur,304293-2,304293-2,Species,TPPT
177,P178,Quercus petraea Liebl.,Trauben-Eiche,Sessile oak,Quercus,Fagaceae,Europe,42,domestic,Forest plant,Apr.-May,"Bark, fruit, leaf",weak toxic,toxic,,,,Quercus petraea,Quercus petraea,359961-1,359961-1,Species,TPPT
178,P179,Quercus rubra L.,Rot-Eiche,Champion oak,Quercus,Fagaceae,North America,occasionally introduced ,alien,Ornamental garden plant,May,"Bark, fruit, leaf",weak toxic,toxic,,yes,,Quercus rubra,Quercus rubra,296701-1,296701-1,Species,TPPT
179,P180,Quercus palustris Muencch.,Sumpf-Eiche,Pin oak,Quercus,Fagaceae,North America,rarely introduced,alien,Ornamental garden plant,May,"Bark, fruit, leaf",weak toxic,toxic,,yes,,Quercus palustris,Quercus palustris,359933-1,359933-1,Species,TPPT
180,P181,Humulus lupulus L.,Hopfen,Hop,Humulus,Cannabaceae,global,46,domestic,Forest plant,Jul.-Aug.,Fruit,weak toxic,,,,,Humulus lupulus,Humulus lupulus,303502-2,303502-2,Species,TPPT
181,P182,Cannabis sativa L. ,Hanf,Hemp,Cannabis,Cannabaceae,Asia,11,domestic,Ornamental garden plant,Jul.-Aug.,Flowering top of female plant,toxic,toxic,,yes,,Cannabis sativa,Cannabis sativa,306087-2,306087-2,Species,TPPT
182,P183,Ficus carica L.,Feigenbaum,Common fig,Ficus,Moraceae,Mediterranean,13,alien,Ornamental garden plant,May-Aug.,Leaf (or whole plant),weak toxic,weak toxic,,yes,,Ficus carica,Ficus carica,852556-1,852556-1,Species,TPPT
183,P184,Ficus elastica Roxb.,Gummibaum,Rubber fig,Ficus,Moraceae,Asia,rarely introduced,alien,Ornamental garden plant,,Leaf (or whole plant),weak toxic,weak toxic,,yes,,Ficus elastica,Ficus elastica,60458499-2,60458499-2,Species,TPPT
