,Cornell_Snippet,Common Name(s),Species MostOften Affected,Parts Poisonous,Primary Poison(s),Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Acer rubrum,"Red maple, Swamp maple, Soft maple",horses,leaves,gallic acid,Cornell CALS,Acer rubrum,Acer rubrum,1867-2,1867-2,Species
1,Abrus precatorius,Rosary Pea,all,seeds,abrin,Cornell CALS,Abrus precatorius,Abrus precatorius,469605-1,469605-1,Species
2,Aconitum spp.,"Monkshood, Aconite, Wolfsbane","humans, cattle, goats","leaves, roots, all",aconitine,Cornell CALS,Aconitum,,,326013-2,Genus
3,Actaea spp.,"Baneberry, Dolls Eyes, White Cohosh, Snakeberry",,"roots, sap, berries",protoanemonin,Cornell CALS,Actaea,,,33043-1,Genus
4,Aesculus spp.,"Horse Chestnut, Buckeye","humans, cattle, goats",fruit,"Unknown, possibly saportins, narcotic alkaloids, or glycosides.",Cornell CALS,Aesculus,,,36263-1,Genus
5,Agrostemma githago,Corn Cockle,"poultry, cattle, humans, goats",seeds,githagin,Cornell CALS,Agrostemma githago,Agrostemma githago,150316-1,150316-1,Species
6,Aleurites fordii,Tung Oil Tree,,"all,seeds",pharbol ester,Cornell CALS,Vernicia fordii,Vernicia fordii,358198-1,358198-1,Species
7,Allium spp.,"Commercial Onions, Wild Onions, Swamp Onions, Chives","cattle, horses, children","bulbs, lleaves",SMCO,Cornell CALS,Allium,,,30000901-2,Genus
8,Amanita spp.,"Monkey Agaric, Panther Cap, Death Cap, Death Angel",all,cap?,"toxalbumin, amatoxins",Cornell CALS,,,,,
9,A. muscaria,Fly Agaric,all,cap?,ibotenic acid and muscimol,Cornell CALS,,,,,
10,A. pantherina,Panther,all,cap?,ibotenic acid and muscimol,Cornell CALS,,,,,
11,A. verna,Destroying Angels,all,cap?,amatoxins,Cornell CALS,,,,,
12,Amaranthus spp.,Pigweed,"cattle, swine",leaves,nitrate,Cornell CALS,Amaranthus,,,327362-2,Genus
13,Amsinckia intermedia,Fiddleneck,"horses, swine, cattle",seeds,"intermedine, lycopsamine",Cornell CALS,Amsinckia menziesii var. intermedia,Amsinckia menziesii,11839-2,60470267-2,Variety
14,Apocynum spp.,Dogbane,"horses, cattle, humans, sheep, cats, dogs, goats",rhizome,apocynamarin,Cornell CALS,Apocynum,,,2211-1,Genus
15,Argemone mexicana,"Prickly Poppy, Mexican Poppy",goats,all,sanguinarine,Cornell CALS,Argemone mexicana,Argemone mexicana,18816-2,18816-2,Species
16,Arisaema spp.,Jack in the Pulpit,humans,all,oxalate,Cornell CALS,Arisaema,,,328148-2,Genus
17,Asclepias spp.,Milkweed,"sheep, cattle, goats","leaves, fruits, stems","desglucosyrioside, syrioside",Cornell CALS,Asclepias,,,30005968-2,Genus
18,Astragalus and Oxytropis spp.,Locoweed,"horse,sheep, cattle","flowers, leaves, stems","selenium, nitro compounds, swainsonine",Cornell CALS,Astragalus,,,330028-2,Genus
19,Atropa belladonna,"Belladonna, Deadly Nightshade","humans, goats",all,atropine and scopalamine,Cornell CALS,Atropa bella-donna,Atropa bella-donna,814358-1,814358-1,Species
20,"Brassica spp,","Rape, Cabbage, Turnips, Broccoli, Mustard","cattle, humans, swine, sheep, goats, poultry","roots, seeds","glucosinolates, brassica, anemia factor",Cornell CALS,Brassica,,,30043511-2,Genus
21,Caltha palustris,"Marsh Marigold, Cowslip",,leaves,protoanemonin,Cornell CALS,Caltha palustris,Caltha palustris,42867-2,42867-2,Species
22,Cannabis sativa,Marijuana,"dogs, ferrets, cats, goats","all, flower stalks","resins, THC",Cornell CALS,Cannabis sativa,Cannabis sativa,306087-2,306087-2,Species
23,Centaurea solstitialis,Yellow Star Thistle,horse,,,Cornell CALS,Centaurea solstitialis,Centaurea solstitialis,191626-1,191626-1,Species
24,Chelidonium majus,Celandine,"cattle, humans",roots,isoquinoline alkoids,Cornell CALS,Chelidonium majus,Chelidonium majus,303589-2,303589-2,Species
25,Chenopodium album,Lambs Quarters,"cattle, horses, humans, sheep, swine",all,nitrates,Cornell CALS,Chenopodium album,Chenopodium album,55993-2,55993-2,Species
26,Cicuta spp.,"Water Hemlock, Cowbane",all,"roots, all",cicutoxin,Cornell CALS,Cicuta,,,39823-1,Genus
27,Claviceps spp.,Ergot,all,fungus,indole alkaloid,Cornell CALS,,,,,
28,Conium maculatum,Poison Hemlock,all,all,coniine,Cornell CALS,Conium maculatum,Conium maculatum,840668-1,840668-1,Species
29,Coronilla varia,Crown Vetch,horse,,,Cornell CALS,Coronilla varia,Coronilla varia,487281-1,487281-1,Species
30,Convallaria majalis,Lily of the Valley,"cats, dogs, humans, goats",all,cardiac glycosides and saponins,Cornell CALS,Convallaria majalis,Convallaria majalis,533487-1,533487-1,Species
31,Daphne spp.,Daphne,"cats, dogs, humans","berries, all",mezereinic acid anhydride,Cornell CALS,Daphne,,,30024583-2,Genus
32,Datura spp.,"Jimsonweed, Downy Thornapple, Devils Trumpet, Angels Trumpet","cattle, humans, horses, goats","flowers, leaves, seeds","atropine, scopalamine, and hyoscyamine",Cornell CALS,Datura,,,30002853-2,Genus
33,Delphinium spp.,"Delphiniums, Larkspurs","cattle, humans, goats",all,"alkaloids delphinine, ajacine, and others",Cornell CALS,Delphinium,,,328251-2,Genus
34,Dicentra spp.,"Bleeding Heart, Squirrel Corn, Dutchmans Breeches","cats, cattle, humans",all,isoquinolone alkaloids,Cornell CALS,Dicentra,,,331552-2,Genus
35,Digitalis purpurea,Foxglove,"cats, cattle, dogs, goats, horses, humans","flowers, leaves, seeds",cardiac or steroid glycosides,Cornell CALS,Digitalis purpurea,Digitalis purpurea,802077-1,802077-1,Species
36,Equisetum arvense and other spp.,Horsetail,horse,,,Cornell CALS,Equisetum arvense,Equisetum arvense,300073-2,300073-2,Species
37,Eupatorium rugosum,White Snakeroot,"cattle, dogs, goats, horses, humans, rabbits, sheep",all,tremetone,Cornell CALS,Cronquistianthus bulliferus,Cronquistianthus bulliferus,69621-2,69621-2,Species
38,Euphorbia spp.,"Poinsettia, Spurges, Snow on the Mountain","cattle, horses, humans, sheep","leaves, stems and sap",phorbol esters,Cornell CALS,Euphorbia,,,327729-2,Genus
39,Fagoypyrum esculentum,Buckwheat,"horses, goats",,,Cornell CALS,,,,,
