,Latin name provided,latinNameNoAuthor,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
19,Abies pindrow,Abies pindrow,LITTOX,Abies pindrow,Abies pindrow,676605-1,676605-1,Species
20,Abies pinsapo,,LITTOX,Abies pinsapo,Abies pinsapo,676606-1,676606-1,Species
21,Abies webbiana,Abies webbiana,LITTOX,Abies spectabilis,Abies spectabilis,60474520-2,60474520-2,Species
22,Abietaceae,Abietaceae,LITTOX,,,,,
23,Abroma angusta,Abroma angusta,LITTOX,,,,,
24,Abronia fragrans,Abronia fragrans,LITTOX,Abronia fragrans,Abronia fragrans,326889-2,326889-2,Species
25,Abrus,Abrus,LITTOX,Abrus,,,21549-1,Genus
26,Abrus an 'abrin',Abrus an 'abrin',LITTOX,,,,,
27,Abrus canescens,Abrus canescens,LITTOX,Abrus canescens,Abrus canescens,469588-1,469588-1,Species
28,Abrus melanospermum,Abrus melanospermum,LITTOX,Abrus melanospermus,Abrus melanospermus,469600-1,469600-1,Species
29,Abrus melanospermus,Abrus melanospermus,LITTOX,Abrus melanospermus,Abrus melanospermus,469600-1,469600-1,Species
30,Abrus praecatorius,Abrus praecatorius,LITTOX,,,,,
31,Abrus precatorious,Abrus precatorious,LITTOX,,,,,
32,Abrus precatorius,Abrus precatorius,LITTOX,Abrus precatorius,Abrus precatorius,469605-1,469605-1,Species
33,Abrus precatorius as 'rosary pea',Abrus precatorius as 'rosary pea',LITTOX,Abrus precatorius,Abrus precatorius,469605-1,469605-1,Species
34,Abrus precatorius ssp. africanus,Abrus precatorius ssp. africanus,LITTOX,Abrus precatorius subsp. africanus,Abrus precatorius,469605-1,52515-3,Subspecies
35,Abrus precatorius ssp. precatorius,Abrus precatorius ssp. precatorius,LITTOX,Abrus precatorius,Abrus precatorius,469605-1,469605-1,Species
36,Abrus pulchellus,Abrus pulchellus,LITTOX,Abrus melanospermus subsp. melanospermus,Abrus melanospermus,469600-1,77213992-1,Subspecies
37,Abrus schimperi,Abrus schimperi,LITTOX,Abrus fruticulosus,Abrus fruticulosus,469592-1,469592-1,Species
38,Abrus tenuiflorus,Abrus tenuiflorus,LITTOX,Abrus melanospermus subsp. tenuiflorus,Abrus melanospermus,469600-1,1015486-1,Subspecies
39,Absidia,Absidia,LITTOX,,,,,
40,Absidia corymbifera,Absidia corymbifera,LITTOX,,,,,
41,Abuta,Abuta,LITTOX,Abuta,,,26864-1,Genus
42,Abuta grisebachii,Abuta grisebachii,LITTOX,Abuta grisebachii,Abuta grisebachii,580056-1,580056-1,Species
43,Abuta imene,Abuta imene,LITTOX,Abuta imene,Abuta imene,580059-1,580059-1,Species
44,Abuta rufescens,Abuta rufescens,LITTOX,Abuta rufescens,Abuta rufescens,580080-1,580080-1,Species
45,Abuta splendida,Abuta splendida,LITTOX,Abuta rufescens,Abuta rufescens,580080-1,580080-1,Species
46,Abutilon,Abutilon,LITTOX,Abutilon,,,30000557-2,Genus
47,Abutilon hybridum,Abutilon hybridum,LITTOX,,,,,
48,Abutilon indicum,Abutilon indicum,LITTOX,Abutilon indicum,Abutilon indicum,1101632-2,1101632-2,Species
49,Abutilon otocarpum,Abutilon otocarpum,LITTOX,Abutilon otocarpum,Abutilon otocarpum,558408-1,558408-1,Species
50,Abutilon oxycarpum,Abutilon oxycarpum,LITTOX,Abutilon oxycarpum,Abutilon oxycarpum,1203827-2,1203827-2,Species
51,Abutilon theophrasti,Abutilon theophrasti,LITTOX,Abutilon theophrasti,Abutilon theophrasti,1044174-2,1044174-2,Species
52,Abutilon x hybridum,Abutilon x hybridum,LITTOX,,,,,
53,Abutua imene,Abutua imene,LITTOX,,,,,
54,Abutua rufescens,Abutua rufescens,LITTOX,,,,,
55,Acacia,Acacia,LITTOX,Acacia,,,325783-2,Genus
56,Acacia acuminata,Acacia acuminata,LITTOX,Acacia acuminata,Acacia acuminata,469642-1,469642-1,Species
57,Acacia acuminata var. latifolia,Acacia acuminata var. latifolia,LITTOX,Acacia conniana,Acacia conniana,907730-1,907730-1,Species
58,Acacia adsurgens,Acacia adsurgens,LITTOX,Acacia adsurgens,Acacia adsurgens,469662-1,469662-1,Species
59,Acacia albida,Acacia albida,LITTOX,Vachellia tortuosa,Vachellia tortuosa,60441241-2,60441241-2,Species
60,Acacia amputata,Acacia amputata,LITTOX,Acacia amputata,Acacia amputata,1008324-1,1008324-1,Species
61,Acacia aneura,Acacia aneura,LITTOX,Acacia aneura,Acacia aneura,469715-1,469715-1,Species
62,Acacia angustissima,Acacia angustissima,LITTOX,Acaciella angustissima,Acaciella angustissima,712-2,712-2,Species
63,Acacia anthelminthica,Acacia anthelminthica,LITTOX,,,,,
64,Acacia arabica,Acacia arabica,LITTOX,Vachellia nilotica subsp. tomentosa,Vachellia nilotica,77089275-1,77131754-1,Subspecies
65,Acacia armata,Acacia armata,LITTOX,Acacia paradoxa,Acacia paradoxa,471079-1,471079-1,Species
66,Acacia as 'wattle',Acacia as 'wattle',LITTOX,,,,,
67,Acacia ataxacantha,Acacia ataxacantha,LITTOX,Senegalia ataxacantha,Senegalia ataxacantha,77130760-1,77130760-1,Species
68,Acacia atkinsiana,Acacia atkinsiana,LITTOX,Acacia atkinsiana,Acacia atkinsiana,899059-1,899059-1,Species
69,Acacia auriculiformis,Acacia auriculiformis,LITTOX,Acacia auriculiformis,Acacia auriculiformis,469784-1,469784-1,Species
70,Acacia bayleyana,,LITTOX,Acacia baileyana,Acacia baileyana,469798-1,469798-1,Species
71,Acacia beauverdiana,Acacia beauverdiana,LITTOX,Acacia beauverdiana,Acacia beauverdiana,469818-1,469818-1,Species
72,Acacia beaverdiana,Acacia beaverdiana,LITTOX,,,,,
73,Acacia berlandera,Acacia berlandera,LITTOX,,,,,
74,Acacia berlandieri,Acacia berlandieri,LITTOX,Senegalia berlandieri,Senegalia berlandieri,234302-2,234302-2,Species
75,Acacia binervata,Acacia binervata,LITTOX,Acacia binervata,Acacia binervata,469845-1,469845-1,Species
76,Acacia binervia,Acacia binervia,LITTOX,Acacia binervia,Acacia binervia,469846-1,469846-1,Species
77,Acacia bivenosa,Acacia bivenosa,LITTOX,Acacia bivenosa,Acacia bivenosa,469848-1,469848-1,Species
78,Acacia blakei,Acacia blakei,LITTOX,Acacia blakei,Acacia blakei,469849-1,469849-1,Species
79,Acacia blakei subsp. diphylla,Acacia blakei subsp. diphylla,LITTOX,Acacia blakei subsp. diphylla,Acacia blakei,469849-1,956490-1,Subspecies
80,Acacia bonariensis,Acacia bonariensis,LITTOX,Senegalia bonariensis,Senegalia bonariensis,60445198-2,60445198-2,Species
81,Acacia borrowi,Acacia borrowi,LITTOX,,,,,
82,Acacia bracteata,Acacia bracteata,LITTOX,Acacia saligna,Acacia saligna,471383-1,471383-1,Species
83,Acacia brevispica,Acacia brevispica,LITTOX,Senegalia brevispica,Senegalia brevispica,60453638-2,60453638-2,Species
84,Acacia burrowii,Acacia burrowii,LITTOX,Acacia burrowii,Acacia burrowii,469896-1,469896-1,Species
85,Acacia caesia,Acacia caesia,LITTOX,Senegalia intsia,Senegalia intsia,77132510-1,77132510-1,Species
86,Acacia caesiella,Acacia caesiella,LITTOX,Acacia caesiella,Acacia caesiella,469906-1,469906-1,Species
87,Acacia caffra,Acacia caffra,LITTOX,Senegalia caffra,Senegalia caffra,77089267-1,77089267-1,Species
88,Acacia calamifolia,Acacia calamifolia,LITTOX,Acacia calamifolia,Acacia calamifolia,469909-1,469909-1,Species
89,Acacia cambadgei,Acacia cambadgei,LITTOX,,,,,
90,Acacia cambagei,Acacia cambagei,LITTOX,Acacia cambagei,Acacia cambagei,469924-1,469924-1,Species
91,Acacia campylacantha,Acacia campylacantha,LITTOX,Senegalia polyacantha subsp. campylacantha,Senegalia polyacantha,60451312-2,77131648-1,Subspecies
92,Acacia cana,Acacia cana,LITTOX,Acacia cana,Acacia cana,469932-1,469932-1,Species
93,Acacia caroleae,Acacia caroleae,LITTOX,Acacia caroleae,Acacia caroleae,469947-1,469947-1,Species
94,Acacia catechu,Acacia catechu,LITTOX,Senegalia catechu,Senegalia catechu,77089268-1,77089268-1,Species
95,Acacia chariessa,Acacia chariessa,LITTOX,Senegalia chariessa,Senegalia chariessa,77130765-1,77130765-1,Species
96,Acacia cheelii,Acacia cheelii,LITTOX,Acacia cheelii,Acacia cheelii,469970-1,469970-1,Species
97,Acacia circinnata,Acacia circinnata,LITTOX,,,,,
98,Acacia clivicola,Acacia clivicola,LITTOX,Acacia clivicola,Acacia clivicola,470005-1,470005-1,Species
99,Acacia cochliacantha,Acacia cochliacantha,LITTOX,Vachellia campeachiana,Vachellia campeachiana,60441199-2,60441199-2,Species
100,Acacia cognata,Acacia cognata,LITTOX,Acacia cognata,Acacia cognata,470014-1,470014-1,Species
101,Acacia concinna,Acacia concinna,LITTOX,Senegalia rugata,Senegalia rugata,518300-1,518300-1,Species
102,Acacia concurrens,Acacia concurrens,LITTOX,Acacia concurrens,Acacia concurrens,470035-1,470035-1,Species
103,Acacia confusa,Acacia confusa,LITTOX,Acacia confusa,Acacia confusa,470039-1,470039-1,Species
104,Acacia conniana,Acacia conniana,LITTOX,Acacia conniana,Acacia conniana,907730-1,907730-1,Species
105,Acacia constricta,Acacia constricta,LITTOX,Vachellia constricta,Vachellia constricta,60441207-2,60441207-2,Species
106,Acacia cookii,Acacia cookii,LITTOX,Vachellia cookii,Vachellia cookii,60441208-2,60441208-2,Species
107,Acacia cornigera,Acacia cornigera,LITTOX,Vachellia cornigera,Vachellia cornigera,60441209-2,60441209-2,Species
108,Acacia costaricensis,Acacia costaricensis,LITTOX,Vachellia collinsii,Vachellia collinsii,60441206-2,60441206-2,Species
109,Acacia coulteri,Acacia coulteri,LITTOX,Mariosousa coulteri,Mariosousa coulteri,60446093-2,60446093-2,Species
110,Acacia crassa,Acacia crassa,LITTOX,Acacia crassa,Acacia crassa,470071-1,470071-1,Species
111,Acacia cunninghamii,Acacia cunninghamii,LITTOX,Acacia trinervata,Acacia trinervata,471683-1,471683-1,Species
112,Acacia curvinervia,Acacia curvinervia,LITTOX,Acacia curvinervia,Acacia curvinervia,470102-1,470102-1,Species
113,Acacia cyanophylla,Acacia cyanophylla,LITTOX,Acacia saligna,Acacia saligna,471383-1,471383-1,Species
114,Acacia cyperophylla,Acacia cyperophylla,LITTOX,Acacia cyperophylla,Acacia cyperophylla,470116-1,470116-1,Species
115,Acacia davyi,Acacia davyi,LITTOX,Vachellia davyi,Vachellia davyi,77131697-1,77131697-1,Species
116,Acacia dealbata,Acacia dealbata,LITTOX,Acacia dealbata,Acacia dealbata,470130-1,470130-1,Species
117,Acacia deanei,Acacia deanei,LITTOX,Acacia deanei,Acacia deanei,470133-1,470133-1,Species
118,Acacia deanei subsp. deanei,Acacia deanei subsp. deanei,LITTOX,Acacia deanei subsp. deanei,Acacia deanei,470133-1,62542-3,Subspecies
119,Acacia deanei subsp. paucijuga,Acacia deanei subsp. paucijuga,LITTOX,Acacia deanei subsp. paucijuga,Acacia deanei,470133-1,62553-3,Subspecies
120,Acacia decora,Acacia decora,LITTOX,Acacia decora,Acacia decora,470137-1,470137-1,Species
121,Acacia decurrens,Acacia decurrens,LITTOX,Acacia decurrens,Acacia decurrens,470138-1,470138-1,Species
122,Acacia delibrata,Acacia delibrata,LITTOX,Acacia delibrata,Acacia delibrata,470144-1,470144-1,Species
123,Acacia difformis,Acacia difformis,LITTOX,Acacia difformis,Acacia difformis,470175-1,470175-1,Species
124,Acacia dilatata,Acacia dilatata,LITTOX,Acacia dilatata,Acacia dilatata,470178-1,470178-1,Species
125,Acacia diphylla,Acacia diphylla,LITTOX,Acacia blakei subsp. diphylla,Acacia blakei,469849-1,956490-1,Subspecies
126,Acacia donnell-smithii,Acacia donnell-smithii,LITTOX,,,,,
127,Acacia doratoxylon,Acacia doratoxylon,LITTOX,Acacia doratoxylon,Acacia doratoxylon,470208-1,470208-1,Species
128,Acacia doratoxylon var. laxiflora,Acacia doratoxylon var. laxiflora,LITTOX,Acacia shirleyi,Acacia shirleyi,471465-1,471465-1,Species
129,Acacia doratoxylon var. ovata,Acacia doratoxylon var. ovata,LITTOX,Acacia granitica,Acacia granitica,470452-1,470452-1,Species
130,Acacia drepanalobium as 'arabic',Acacia drepanalobium as 'arabic',LITTOX,,,,,
131,Acacia dunnii,Acacia dunnii,LITTOX,Acacia dunnii,Acacia dunnii,470221-1,470221-1,Species
132,Acacia elata,Acacia elata,LITTOX,Acacia elata,Acacia elata,470237-1,470237-1,Species
133,Acacia eremea,Acacia eremea,LITTOX,Acacia cana,Acacia cana,469932-1,469932-1,Species
134,Acacia erioloba,Acacia erioloba,LITTOX,Vachellia edgeworthii,Vachellia edgeworthii,77131701-1,77131701-1,Species
135,Acacia erubescens,Acacia erubescens,LITTOX,Senegalia erubescens,Senegalia erubescens,77130781-1,77130781-1,Species
136,Acacia excelsa,Acacia excelsa,LITTOX,Acacia excelsa,Acacia excelsa,470288-1,470288-1,Species
137,Acacia exilis,Acacia exilis,LITTOX,Acacia exigua,Acacia exigua,77143661-1,77143661-1,Species
138,Acacia falcata,Acacia falcata,LITTOX,Acacia falcata,Acacia falcata,470299-1,470299-1,Species
139,Acacia farnesiana,Acacia farnesiana,LITTOX,Vachellia farnesiana,Vachellia farnesiana,1099713-2,1099713-2,Species
140,Acacia ferruginea,Acacia ferruginea,LITTOX,Senegalia ferruginea,Senegalia ferruginea,942625-1,942625-1,Species
141,Acacia floribunda,Acacia floribunda,LITTOX,Acacia floribunda,Acacia floribunda,470346-1,470346-1,Species
142,Acacia galpinii,Acacia galpinii,LITTOX,Senegalia galpinii,Senegalia galpinii,60453639-2,60453639-2,Species
143,Acacia georgina,Acacia georgina,LITTOX,,,,,
144,Acacia georginae,Acacia georginae,LITTOX,Acacia georginae,Acacia georginae,470392-1,470392-1,Species
145,Acacia georginae as 'gidgee',Acacia georginae as 'gidgee',LITTOX,Acacia georginae,Acacia georginae,470392-1,470392-1,Species
146,Acacia georginea,Acacia georginea,LITTOX,,,,,
147,Acacia gerrardii,Acacia gerrardii,LITTOX,Vachellia gerrardii,Vachellia gerrardii,77089274-1,77089274-1,Species
148,Acacia giraffae,Acacia giraffae,LITTOX,Vachellia erioloba,Vachellia erioloba,77089273-1,77089273-1,Species
149,Acacia glauca,Acacia glauca,LITTOX,Acaciella glauca,Acaciella glauca,77077786-1,77077786-1,Species
150,Acacia glaucescens,Acacia glaucescens,LITTOX,Acacia anceps,Acacia anceps,469707-1,469707-1,Species
151,Acacia globulifera,Acacia globulifera,LITTOX,Vachellia globulifera,Vachellia globulifera,60441218-2,60441218-2,Species
152,Acacia glomerosa,Acacia glomerosa,LITTOX,Senegalia polyphylla,Senegalia polyphylla,518289-1,518289-1,Species
153,Acacia gonocarpa,Acacia gonocarpa,LITTOX,Acacia gonocarpa,Acacia gonocarpa,470434-1,470434-1,Species
154,Acacia gracillima,Acacia gracillima,LITTOX,Acacia minniritchi,Acacia minniritchi,77143662-1,77143662-1,Species
155,Acacia grandicornuta,Acacia grandicornuta,LITTOX,Vachellia grandicornuta,Vachellia grandicornuta,60453644-2,60453644-2,Species
156,Acacia granitica,Acacia granitica,LITTOX,Acacia granitica,Acacia granitica,470452-1,470452-1,Species
157,Acacia greggii,Acacia greggii,LITTOX,Senegalia greggii,Senegalia greggii,234318-2,234318-2,Species
158,Acacia gregii,Acacia gregii,LITTOX,Senegalia greggii,Senegalia greggii,234318-2,234318-2,Species
159,Acacia greigii,Acacia greigii,LITTOX,,,,,
160,Acacia hamulosa,Acacia hamulosa,LITTOX,Senegalia hamulosa,Senegalia hamulosa,77150534-1,77150534-1,Species
161,Acacia harpophylla,Acacia harpophylla,LITTOX,Acacia harpophylla,Acacia harpophylla,470495-1,470495-1,Species
162,Acacia hebeclada,Acacia hebeclada,LITTOX,Vachellia hebeclada,Vachellia hebeclada,77131721-1,77131721-1,Species
163,Acacia holcocarpa,Acacia holcocarpa,LITTOX,Acacia julifera subsp. julifera,Acacia julifera,470632-1,68860-3,Subspecies
164,Acacia holosericea,Acacia holosericea,LITTOX,Acacia holosericea,Acacia holosericea,470538-1,470538-1,Species
165,Acacia homomalla,Acacia homomalla,LITTOX,Acacia binervia,Acacia binervia,469846-1,469846-1,Species
166,Acacia implexa,Acacia implexa,LITTOX,Acacia implexa,Acacia implexa,470576-1,470576-1,Species
167,Acacia julifera subsp. julifera,Acacia julifera subsp. julifera,LITTOX,Acacia julifera subsp. julifera,Acacia julifera,470632-1,68860-3,Subspecies
168,Acacia jurema,Acacia jurema,LITTOX,Mimosa tenuiflora,Mimosa tenuiflora,508775-1,508775-1,Species
169,Acacia karoo,Acacia karoo,LITTOX,Vachellia karroo,Vachellia karroo,77087189-1,77087189-1,Species
170,Acacia karroo,Acacia karroo,LITTOX,Vachellia karroo,Vachellia karroo,77087189-1,77087189-1,Species
171,Acacia kempeana,Acacia kempeana,LITTOX,Acacia kempeana,Acacia kempeana,470650-1,470650-1,Species
172,Acacia koa,Acacia koa,LITTOX,Acacia koa,Acacia koa,470659-1,470659-1,Species
173,Acacia kraussiana,Acacia kraussiana,LITTOX,Senegalia kraussiana,Senegalia kraussiana,77130792-1,77130792-1,Species
174,Acacia lasiocalyx,Acacia lasiocalyx,LITTOX,Acacia lasiocalyx,Acacia lasiocalyx,470691-1,470691-1,Species
175,Acacia lasiopetala,Acacia lasiopetala,LITTOX,Vachellia lasiopetala,Vachellia lasiopetala,77131738-1,77131738-1,Species
176,Acacia leiocalyx,Acacia leiocalyx,LITTOX,Acacia leiocalyx,Acacia leiocalyx,470721-1,470721-1,Species
177,Acacia leucophloea,Acacia leucophloea,LITTOX,Vachellia leucophloea,Vachellia leucophloea,77132539-1,77132539-1,Species
178,Acacia leuderitzii var. leuderitzii,Acacia leuderitzii var. leuderitzii,LITTOX,,,,,
179,Acacia ligulata,Acacia ligulata,LITTOX,Acacia ligulata,Acacia ligulata,470760-1,470760-1,Species
180,Acacia lindleyi,Acacia lindleyi,LITTOX,Acacia saligna,Acacia saligna,471383-1,471383-1,Species
181,Acacia litakunensis,Acacia litakunensis,LITTOX,Vachellia tortilis subsp. heteracantha,Vachellia tortilis,77087190-1,77131795-1,Subspecies
182,Acacia longifolia,Acacia longifolia,LITTOX,Acacia longifolia,Acacia longifolia,470782-1,470782-1,Species
183,Acacia longifolia var. longifolia,Acacia longifolia var. longifolia,LITTOX,Acacia dentifera,Acacia dentifera,470155-1,470155-1,Species
184,Acacia longiphyllodinae,Acacia longiphyllodinae,LITTOX,,,,,
185,Acacia longispicata,Acacia longispicata,LITTOX,Acacia longispicata,Acacia longispicata,470785-1,470785-1,Species
186,Acacia lysiphloia,Acacia lysiphloia,LITTOX,Acacia lysiphloia,Acacia lysiphloia,470811-1,470811-1,Species
187,Acacia maidenii,Acacia maidenii,LITTOX,Acacia maidenii,Acacia maidenii,470831-1,470831-1,Species
188,Acacia mearnsii,Acacia mearnsii,LITTOX,Acacia mearnsii,Acacia mearnsii,470860-1,470860-1,Species
189,Acacia meisneri,Acacia meisneri,LITTOX,Acacia meisneri,Acacia meisneri,470868-1,470868-1,Species
190,Acacia melaleucoides,Acacia melaleucoides,LITTOX,Vachellia sutherlandii,Vachellia sutherlandii,77079809-1,77079809-1,Species
191,Acacia melanoxylon,Acacia melanoxylon,LITTOX,Acacia melanoxylon,Acacia melanoxylon,470873-1,470873-1,Species
192,Acacia mellifera,Acacia mellifera,LITTOX,Senegalia mellifera,Senegalia mellifera,60453641-2,60453641-2,Species
193,Acacia mellifera subsp. Detinens,Acacia mellifera subsp. Detinens,LITTOX,Senegalia mellifera,Senegalia mellifera,60453641-2,60453641-2,Species
194,Acacia modesta,Acacia modesta,LITTOX,Senegalia modesta,Senegalia modesta,77089269-1,77089269-1,Species
195,Acacia molissima,Acacia molissima,LITTOX,Acacia pubescens,Acacia pubescens,77356-3,77356-3,Species
196,Acacia mollissima,Acacia mollissima,LITTOX,Acacia pubescens,Acacia pubescens,77356-3,77356-3,Species
197,Acacia monticola,Acacia monticola,LITTOX,Acacia monticola,Acacia monticola,470929-1,470929-1,Species
198,Acacia murrayana,Acacia murrayana,LITTOX,Acacia murrayana,Acacia murrayana,470953-1,470953-1,Species
199,Acacia nigrescens,Acacia nigrescens,LITTOX,Senegalia nigrescens,Senegalia nigrescens,77089270-1,77089270-1,Species
200,Acacia nilotica,Acacia nilotica,LITTOX,Vachellia nilotica,Vachellia nilotica,77089275-1,77089275-1,Species
201,Acacia nilotica ssp. kraussiana,Acacia nilotica ssp. kraussiana,LITTOX,Vachellia nilotica,Vachellia nilotica,77089275-1,77089275-1,Species
202,Acacia niopo,Acacia niopo,LITTOX,Anadenanthera peregrina,Anadenanthera peregrina,12268-2,12268-2,Species
203,Acacia nubica,Acacia nubica,LITTOX,Vachellia oerfota var. oerfota,Vachellia oerfota,77131761-1,77208487-1,Variety
204,Acacia olgana,Acacia olgana,LITTOX,Acacia olgana,Acacia olgana,471030-1,471030-1,Species
205,Acacia oswaldii,Acacia oswaldii,LITTOX,Acacia oswaldii,Acacia oswaldii,471050-1,471050-1,Species
206,Acacia oxycedrus,Acacia oxycedrus,LITTOX,Acacia oxycedrus,Acacia oxycedrus,471053-1,471053-1,Species
207,Acacia pachycarpa,Acacia pachycarpa,LITTOX,Acacia pachycarpa,Acacia pachycarpa,471058-1,471058-1,Species
208,Acacia pachyphloia,Acacia pachyphloia,LITTOX,Vachellia pachyphloia,Vachellia pachyphloia,77079805-1,77079805-1,Species
209,Acacia pallidiramosa,Acacia pallidiramosa,LITTOX,Acacia ligulata,Acacia ligulata,470760-1,470760-1,Species
210,Acacia paradoxa,Acacia paradoxa,LITTOX,Acacia paradoxa,Acacia paradoxa,471079-1,471079-1,Species
211,Acacia parramattensis,Acacia parramattensis,LITTOX,Acacia parramattensis,Acacia parramattensis,471083-1,471083-1,Species
212,Acacia paucijuga,Acacia paucijuga,LITTOX,Acacia deanei subsp. paucijuga,Acacia deanei,470133-1,62553-3,Subspecies
213,Acacia pennata,Acacia pennata,LITTOX,Senegalia pennata,Senegalia pennata,77125575-1,77125575-1,Species
214,Acacia penninervis,Acacia penninervis,LITTOX,Acacia penninervis,Acacia penninervis,471112-1,471112-1,Species
215,Acacia pentagona,Acacia pentagona,LITTOX,Senegalia pentagona,Senegalia pentagona,77131645-1,77131645-1,Species
216,Acacia permixta,Acacia permixta,LITTOX,Vachellia permixta,Vachellia permixta,77131767-1,77131767-1,Species
217,Acacia peuce,Acacia peuce,LITTOX,Acacia peuce,Acacia peuce,471136-1,471136-1,Species
218,Acacia phlebophylla,Acacia phlebophylla,LITTOX,Acacia phlebophylla,Acacia phlebophylla,76171-3,76171-3,Species
219,Acacia plumosa,Acacia plumosa,LITTOX,Piptadenia trisperma,Piptadenia trisperma,514458-1,514458-1,Species
220,Acacia polyacantha subsp. Campylacantha,Acacia polyacantha subsp. Campylacantha,LITTOX,Senegalia polyacantha,Senegalia polyacantha,60451312-2,60451312-2,Species
221,Acacia polyantha,Acacia polyantha,LITTOX,Albizia inundata,Albizia inundata,1208750-2,1208750-2,Species
222,Acacia polybotrya,Acacia polybotrya,LITTOX,Acacia polybotrya,Acacia polybotrya,471184-1,471184-1,Species
223,Acacia polyphylla,Acacia polyphylla,LITTOX,Parasenegalia visco,Parasenegalia visco,77175804-1,77175804-1,Species
224,Acacia pruinocarpa,Acacia pruinocarpa,LITTOX,Acacia pruinocarpa,Acacia pruinocarpa,471224-1,471224-1,Species
225,Acacia pubifolia,Acacia pubifolia,LITTOX,Acacia pubifolia,Acacia pubifolia,471253-1,471253-1,Species
226,Acacia pulchella,Acacia pulchella,LITTOX,Acacia pulchella,Acacia pulchella,471259-1,471259-1,Species
227,Acacia pulchella var glaberrima,Acacia pulchella var glaberrima,LITTOX,Acacia pulchella var. glaberrima,Acacia pulchella,471259-1,77550-3,Variety
228,Acacia pulchella var. goadbyi,Acacia pulchella var. goadbyi,LITTOX,Acacia pulchella var. goadbyi,Acacia pulchella,471259-1,884554-1,Variety
229,Acacia pulchella var. pulchella,Acacia pulchella var. pulchella,LITTOX,Acacia pulchella var. pulchella,Acacia pulchella,471259-1,77214022-1,Variety
230,Acacia pulchella var. reflexa,Acacia pulchella var. reflexa,LITTOX,Acacia pulchella var. reflexa,Acacia pulchella,471259-1,884555-1,Variety
231,Acacia pulchella var. subsessilis,Acacia pulchella var. subsessilis,LITTOX,Acacia amputata,Acacia amputata,1008324-1,1008324-1,Species
232,Acacia pycnantha,Acacia pycnantha,LITTOX,Acacia pycnantha,Acacia pycnantha,471275-1,471275-1,Species
233,Acacia pycnostachya,Acacia pycnostachya,LITTOX,Acacia pycnostachya,Acacia pycnostachya,471278-1,471278-1,Species
234,Acacia pyrifolia,Acacia pyrifolia,LITTOX,Acacia pyrifolia,Acacia pyrifolia,471279-1,471279-1,Species
235,Acacia resinimarginea,Acacia resinimarginea,LITTOX,Acacia resinimarginea,Acacia resinimarginea,471307-1,471307-1,Species
236,Acacia rhodophloia,Acacia rhodophloia,LITTOX,Acacia rhodophloia,Acacia rhodophloia,471320-1,471320-1,Species
237,Acacia rigidula,Acacia rigidula,LITTOX,Vachellia rigidula,Vachellia rigidula,60441232-2,60441232-2,Species
238,Acacia riparia,Acacia riparia,LITTOX,Senegalia polyphylla,Senegalia polyphylla,518289-1,518289-1,Species
239,Acacia robusta,Acacia robusta,LITTOX,Vachellia robusta,Vachellia robusta,77131776-1,77131776-1,Species
240,Acacia roemerana,Acacia roemerana,LITTOX,Senegalia roemeriana,Senegalia roemeriana,234358-2,234358-2,Species
241,Acacia roemeriana,Acacia roemeriana,LITTOX,Senegalia roemeriana,Senegalia roemeriana,234358-2,234358-2,Species
