,Latin name provided,latinNameNoAuthor,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Abacopteris multilineata,Abacopteris multilineata,LITTOX,Thelypteris nudata,Thelypteris nudata,17460270-1,17460270-1,Species
1,Abarema jiringa,Abarema jiringa,LITTOX,,,,,
2,Abatia tomentosa,Abatia tomentosa,LITTOX,Abatia americana,Abatia americana,779358-1,779358-1,Species
3,Abelia uniflora,Abelia uniflora,LITTOX,Abelia uniflora,Abelia uniflora,148235-1,148235-1,Species
4,Abelia x grandiflora,Abelia x grandiflora,LITTOX,,,,,
5,Abelmoschus,Abelmoschus,LITTOX,Abelmoschus,,,30399273-2,Genus
6,Abelmoschus esculentus,Abelmoschus esculentus,LITTOX,Abelmoschus esculentus,Abelmoschus esculentus,558006-1,558006-1,Species
7,Abelmoschus moschatus,Abelmoschus moschatus,LITTOX,Abelmoschus moschatus,Abelmoschus moschatus,558023-1,558023-1,Species
8,Abies,Abies,LITTOX,Abies,,,325655-2,Genus
9,Abies alba,Abies alba,LITTOX,Abies alba,Abies alba,60468511-2,60468511-2,Species
10,Abies amabillis,Abies amabillis,LITTOX,,,,,
11,Abies balsamae,Abies balsamae,LITTOX,,,,,
12,Abies balsamea,Abies balsamea,LITTOX,Abies balsamea,Abies balsamea,1084057-2,1084057-2,Species
13,Abies excelsa,Abies excelsa,LITTOX,Picea abies var. abies,Picea abies,262609-1,77172071-1,Variety
14,Abies grandis,Abies grandis,LITTOX,Abies grandis,Abies grandis,1033427-2,1033427-2,Species
15,Abies magnifica,Abies magnifica,LITTOX,Abies magnifica,Abies magnifica,325664-2,325664-2,Species
16,Abies neprolexis,Abies neprolexis,LITTOX,,,,,
17,Abies nordmanniana,Abies nordmanniana,LITTOX,Abies nordmanniana,Abies nordmanniana,261599-1,261599-1,Species
18,Abies pectinata,Abies pectinata,LITTOX,Abies alba,Abies alba,60468511-2,60468511-2,Species
