,Toxic plants: Scientific name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
0,Acalypha chamaedrifolia (Lam.) Mull. Arg. ,Acalypha chamaedrifolia,Acalypha chamaedrifolia,1012504-2,1012504-2,Species,CliniTox
1,Acalypha hispida Burm.f. ,Acalypha hispida,Acalypha hispida,337478-1,337478-1,Species,CliniTox
2,Acalypha reptans Sw. ,Acalypha chamaedrifolia,Acalypha chamaedrifolia,1012504-2,1012504-2,Species,CliniTox
3,Aethusa cynapium L. ,Aethusa cynapium,Aethusa cynapium,837341-1,837341-1,Species,CliniTox
4,Agaricus sinuatus Pers. ,,,,,,CliniTox
5,Aglaonema commutatum Schott. ,Aglaonema commutatum,Aglaonema commutatum,84050-1,84050-1,Species,CliniTox
6,Aglaonema modestum Schott ex Engl. ,Aglaonema modestum,Aglaonema modestum,84081-1,84081-1,Species,CliniTox
7,Allium latifolium Gilib. ,Allium ursinum,Allium ursinum,529088-1,529088-1,Species,CliniTox
8,Allium nemorale Salisb. ,Allium ursinum,Allium ursinum,529088-1,529088-1,Species,CliniTox
9,Allium schoenoprasum L. ,Allium schoenoprasum,Allium schoenoprasum,528823-1,528823-1,Species,CliniTox
10,Allium ursinum L. ,Allium ursinum,Allium ursinum,529088-1,529088-1,Species,CliniTox
11,Alocasia sanderiana W. Bull ,Alocasia sanderiana,Alocasia sanderiana,84242-1,84242-1,Species,CliniTox
12,Aloe barbadensis Mill. ,Aloe vera,Aloe vera,530017-1,530017-1,Species,CliniTox
13,Aloe ferox Mill. ,Aloe ferox,Aloe ferox,529449-1,529449-1,Species,CliniTox
14,Aloe vera (L.) Burm. f. ,Aloe vera,Aloe vera,530017-1,530017-1,Species,CliniTox
15,Aloe vulgaris Lam. ,Aloe vera,Aloe vera,530017-1,530017-1,Species,CliniTox
16,Aneilema nudiflorum Wall. ,Murdannia nudiflora,Murdannia nudiflora,172873-1,172873-1,Species,CliniTox
17,Anemone nemorosa L. ,Anemonoides nemorosa,Anemonoides nemorosa,13537-2,13537-2,Species,CliniTox
18,Angelica archangelica L. ,Angelica archangelica,Angelica archangelica,837560-1,837560-1,Species,CliniTox
19,Angelica officinalis Hoffm. ,Angelica archangelica subsp. archangelica,Angelica archangelica,837560-1,77228879-1,Subspecies,CliniTox
20,Angelica sylvestris L. ,Angelica sylvestris,Angelica sylvestris,837777-1,837777-1,Species,CliniTox
21,Anthurium andreanum Linden ex Andre ,,,,,,CliniTox
22,Argyreia nervosa (Burm.f.) Bojer ,Argyreia nervosa,Argyreia nervosa,265238-1,265238-1,Species,CliniTox
23,Artemisia absinthium L. ,Artemisia absinthium,Artemisia absinthium,300106-2,300106-2,Species,CliniTox
24,Asclepias cornuti  Decne. ,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species,CliniTox
25,Asclepias curassavica L. ,Asclepias curassavica,Asclepias curassavica,94213-1,94213-1,Species,CliniTox
26,Asclepias nivea L. var. curassavica (L.) Kuntze ,Asclepias curassavica,Asclepias curassavica,94213-1,94213-1,Species,CliniTox
27,Asclepias syriaca L. ,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species,CliniTox
28,Aspidium filix-mas (L.) Sw. ,Dryopteris filix-mas,Dryopteris filix-mas,30345915-2,30345915-2,Species,CliniTox
29,Atragene alpina L. ,Clematis alpina,Clematis alpina,709469-1,709469-1,Species,CliniTox
30,Bambusa vulgaris Schrad. ex J.C. Wendl. ,Bambusa vulgaris,Bambusa vulgaris,392574-1,392574-1,Species,CliniTox
31,Bambusa vulgaris Schrad. ex J.C. Wendl. var. vittata Riviere ,Bambusa vulgaris,Bambusa vulgaris,392574-1,392574-1,Species,CliniTox
32,Beaucarnea recurvata Lem. ,Beaucarnea recurvata,Beaucarnea recurvata,531735-1,531735-1,Species,CliniTox
33,Berteroa incana (L.) DC. ,Berteroa incana,Berteroa incana,278924-1,278924-1,Species,CliniTox
34,Beta vulgaris L. ,Beta vulgaris,Beta vulgaris,164505-1,164505-1,Species,CliniTox
35,Boletus satanas Lenz. ,,,,,,CliniTox
36,Brassica nigra (L.) W.D.J. Koch ,Brassica nigra,Brassica nigra,279422-1,279422-1,Species,CliniTox
37,Caladium bicolor (Aiton) Vent. ,Caladium bicolor,Caladium bicolor,30010088-2,30010088-2,Species,CliniTox
38,Calla aethiopica L. ,Zantedeschia aethiopica,Zantedeschia aethiopica,89403-1,89403-1,Species,CliniTox
39,Calla palustris L. ,Calla palustris,Calla palustris,86508-1,86508-1,Species,CliniTox
40,Callisia fragrans (Lindl.) Woodson ,Callisia fragrans,Callisia fragrans,42441-2,42441-2,Species,CliniTox
41,Caltha palustris L. ,Caltha palustris,Caltha palustris,42867-2,42867-2,Species,CliniTox
42,Cannabis sativa L. ,Cannabis sativa,Cannabis sativa,306087-2,306087-2,Species,CliniTox
43,Carduus marianus L. ,Silybum marianum,Silybum marianum,249211-1,249211-1,Species,CliniTox
44,Chaerophyllum temulum L. ,Chaerophyllum temulum,Chaerophyllum temulum,840275-1,840275-1,Species,CliniTox
45,Chamaecyparis lawsoniana (A. Murray bis) Parl. ,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,261839-1,261839-1,Species,CliniTox
46,Chrysanthemum vulgare (L.) Bernh. ,Tanacetum vulgare,Tanacetum vulgare,252568-1,252568-1,Species,CliniTox
47,Clematis alpina (L.) Mill. ,Clematis alpina,Clematis alpina,709469-1,709469-1,Species,CliniTox
48,Clematis recta L. ,Clematis recta,Clematis recta,710023-1,710023-1,Species,CliniTox
49,Clematis tangutica (Maxim.) Korsh. ,Clematis tangutica,Clematis tangutica,710111-1,710111-1,Species,CliniTox
