,Toxic plants: Scientific name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
50,Clematis vitalba L. ,Clematis vitalba,Clematis vitalba,319145-2,319145-2,Species,CliniTox
51,Clematis-Hybride ,Clematis,,,329401-2,Genus,CliniTox
52,Clivia miniata (Lindl.) Regel ,Clivia miniata,Clivia miniata,994513-1,994513-1,Species,CliniTox
53,Codiaeum variegatum (L.) A. Juss. ,Codiaeum variegatum,Codiaeum variegatum,85073-3,85073-3,Species,CliniTox
54,Coffea arabica L. ,Coffea arabica,Coffea arabica,747038-1,747038-1,Species,CliniTox
55,Coffea canephora Pierre ex A. Froehner ,Coffea canephora,Coffea canephora,747068-1,747068-1,Species,CliniTox
56,Coffea robusta L. Linden ,Coffea canephora,Coffea canephora,747068-1,747068-1,Species,CliniTox
57,Commelina anomala (Torr.) Woodson ,Tinantia anomala,Tinantia anomala,173144-1,173144-1,Species,CliniTox
58,Commelina diffusa Burm. f. ,Commelina diffusa,Commelina diffusa,172020-1,172020-1,Species,CliniTox
59,Commelina nudiflora L. ,Murdannia nudiflora,Murdannia nudiflora,172873-1,172873-1,Species,CliniTox
60,Commelinantia anomala (Torr.) Tharp ,Tinantia anomala,Tinantia anomala,173144-1,173144-1,Species,CliniTox
61,Consolida ajacis (L.) Schur ,Delphinium ajacis,Delphinium ajacis,77254-2,77254-2,Species,CliniTox
62,Consolida regalis Gray ,Delphinium consolida,Delphinium consolida,306669-2,306669-2,Species,CliniTox
63,Convolvulus arvensis L. ,Convolvulus arvensis,Convolvulus arvensis,265849-1,265849-1,Species,CliniTox
64,Convolvulus nervosus Burm. f. ,Argyreia nervosa,Argyreia nervosa,265238-1,265238-1,Species,CliniTox
65,Convolvulus speciosus Linn. f. ,Ipomoea sagittata,Ipomoea sagittata,269719-1,269719-1,Species,CliniTox
66,Convolvulus tricolor L. ,Convolvulus tricolor,Convolvulus tricolor,267127-1,267127-1,Species,CliniTox
67,Coronilla varia L. ,Coronilla varia,Coronilla varia,487281-1,487281-1,Species,CliniTox
68,Crocus albiflorus Kit. ,Crocus vernus,Crocus vernus,60461938-2,60461938-2,Species,CliniTox
69,Crocus sativus L. ,Crocus sativus,Crocus sativus,436688-1,436688-1,Species,CliniTox
70,Crocus vernus (L.) Hill subsp. albiflorus (Kit.) Asch. & Gr. ,Crocus vernus,Crocus vernus,60461938-2,60461938-2,Species,CliniTox
71,Croton variegatus L. ,Codiaeum variegatum,Codiaeum variegatum,85073-3,85073-3,Species,CliniTox
72,Cupressus sempervirens L. ,Cupressus sempervirens,Cupressus sempervirens,261974-1,261974-1,Species,CliniTox
73,Cycas revoluta Thunb. ,Cycas revoluta,Cycas revoluta,328823-2,328823-2,Species,CliniTox
74,Cyclamen persicum Mill. ,Cyclamen persicum,Cyclamen persicum,700765-1,700765-1,Species,CliniTox
75,Cynanchum vincetoxicum (L.) Pers. ,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,102810-1,102810-1,Species,CliniTox
76,Cytisus scoparius (L.) Link ,Cytisus scoparius,Cytisus scoparius,489963-1,489963-1,Species,CliniTox
77,Delphinium ajacis L. ,Delphinium ajacis,Delphinium ajacis,77254-2,77254-2,Species,CliniTox
78,Delphinium consolida L. ,Delphinium consolida,Delphinium consolida,306669-2,306669-2,Species,CliniTox
79,Dracaena fragrans (L.) Ker Gawl. ,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CliniTox
80,Dracaena marginata Lam. ,Dracaena reflexa var. angustifolia,Dracaena reflexa,534338-1,77189099-1,Variety,CliniTox
81,Dracaena reflexa var. angustifolia Baker ,Dracaena reflexa var. angustifolia,Dracaena reflexa,534338-1,77189099-1,Variety,CliniTox
82,Dryopteris filix-mas (L.) Schott ,Dryopteris filix-mas,Dryopteris filix-mas,30345915-2,30345915-2,Species,CliniTox
83,Echium vulgare L. ,Echium vulgare,Echium vulgare,115950-1,115950-1,Species,CliniTox
84,Entoloma eulividum Noordel. ,,,,,,CliniTox
85,Entoloma lividum (Bull.) Quél. ,,,,,,CliniTox
86,Entoloma sinuatum (Pers.) P. Kumm. ,,,,,,CliniTox
87,Epipremnum aureum (Linden & Andre) G.S. Bunting ,Epipremnum aureum,Epipremnum aureum,87014-1,87014-1,Species,CliniTox
88,Epipremnum pinnatum 'Aureum' (L.) Engl. ,Epipremnum pinnatum,Epipremnum pinnatum,87046-1,87046-1,Species,CliniTox
89,Equisetum ramosissimum Desf. ,Equisetum ramosissimum,Equisetum ramosissimum,93010-2,93010-2,Species,CliniTox
90,Euphorbia bojeri Hook. ,Euphorbia milii var. milii,Euphorbia milii,347359-1,77168365-1,Variety,CliniTox
91,Euphorbia milii Des Moul. ex Boiss. ,Euphorbia milii,Euphorbia milii,347359-1,347359-1,Species,CliniTox
92,Euphorbia splendens Bojer ex Hook. ,Euphorbia splendens,Euphorbia splendens,348333-1,348333-1,Species,CliniTox
93,Fraxinus excelsior L. ,Fraxinus excelsior,Fraxinus excelsior,609009-1,609009-1,Species,CliniTox
94,Galanthus nivalis L. ,Galanthus nivalis,Galanthus nivalis,64496-1,64496-1,Species,CliniTox
95,Galega officinalis L. ,Galega officinalis,Galega officinalis,495681-1,495681-1,Species,CliniTox
96,Genista germanica L. ,Genista germanica,Genista germanica,496060-1,496060-1,Species,CliniTox
97,Genista scoparia (L.) Lam. ,Cytisus scoparius,Cytisus scoparius,489963-1,489963-1,Species,CliniTox
98,Ginkgo biloba L. ,Ginkgo biloba,Ginkgo biloba,262125-1,262125-1,Species,CliniTox
99,Glycine floribunda Willd. ,Wisteria floribunda,Wisteria floribunda,525791-1,525791-1,Species,CliniTox
100,Glycine sinensis Sims ,Wisteria sinensis,Wisteria sinensis,60459148-2,60459148-2,Species,CliniTox
101,Haemanthus albiflos Jacq. ,Haemanthus albiflos,Haemanthus albiflos,64682-1,64682-1,Species,CliniTox
102,Haemanthus albomaculatus Baker ,Haemanthus albiflos,Haemanthus albiflos,64682-1,64682-1,Species,CliniTox
103,Haemanthus coccineus L. ,Haemanthus coccineus,Haemanthus coccineus,64715-1,64715-1,Species,CliniTox
104,Haemanthus concolor Herb. ,Haemanthus coccineus,Haemanthus coccineus,64715-1,64715-1,Species,CliniTox
105,Haemanthus tigrinus Jacq. ,Haemanthus coccineus,Haemanthus coccineus,64715-1,64715-1,Species,CliniTox
106,Hedera helix L. ,Hedera helix,Hedera helix,90723-1,90723-1,Species,CliniTox
107,Heracleum mantegazzianum Sommier & Levier ,Heracleum mantegazzianum,Heracleum mantegazzianum,843084-1,843084-1,Species,CliniTox
108,Hypericum acutum Moench ,Hypericum tetrapterum var. tetrapterum,Hypericum tetrapterum,433905-1,77173039-1,Variety,CliniTox
109,Hypericum maculatum Crantz s.l. ,Hypericum maculatum,Hypericum maculatum,325096-2,325096-2,Species,CliniTox
110,Hypericum perforatum L.s.str. ,Hypericum perforatum,Hypericum perforatum,433719-1,433719-1,Species,CliniTox
111,Hypericum tetrapterum Fr. ,Hypericum tetrapterum,Hypericum tetrapterum,433905-1,433905-1,Species,CliniTox
112,Ilex aquifolium L. ,Ilex aquifolium,Ilex aquifolium,83051-1,83051-1,Species,CliniTox
113,Ilex verticillata (L.) A. Gray ,Ilex verticillata,Ilex verticillata,83852-1,83852-1,Species,CliniTox
114,Indigofera enneaphylla L. ,Indigofera linnaei,Indigofera linnaei,499579-1,499579-1,Species,CliniTox
115,Indigofera hirsuta L. ,Indigofera hirsuta,Indigofera hirsuta,499456-1,499456-1,Species,CliniTox
116,Indigofera lespedezioides Kunth ,Indigofera lespedezioides,Indigofera lespedezioides,499569-1,499569-1,Species,CliniTox
117,Indigofera linnaei Ali ,Indigofera linnaei,Indigofera linnaei,499579-1,499579-1,Species,CliniTox
118,Indigofera pascuorum Benth. ,Indigofera lespedezioides,Indigofera lespedezioides,499569-1,499569-1,Species,CliniTox
119,Indigofera spicata Forssk. ,Indigofera spicata,Indigofera spicata,500027-1,500027-1,Species,CliniTox
120,Ipomoea tricolor Cav. ,Ipomoea tricolor,Ipomoea tricolor,269966-1,269966-1,Species,CliniTox
121,Iris pseudacorus L. ,Iris pseudacorus,Iris pseudacorus,438992-1,438992-1,Species,CliniTox
122,Juniperus communis L.s.l. ,Juniperus communis,Juniperus communis,30088655-2,30088655-2,Species,CliniTox
123,Kalanchoe blossfeldiana Poelln. ,Kalanchoe blossfeldiana,Kalanchoe blossfeldiana,274279-1,274279-1,Species,CliniTox
124,Kalanchoe globulifera H. Perrier var. coccinea H. Perrier ,Kalanchoe globulifera,Kalanchoe globulifera,274347-1,274347-1,Species,CliniTox
125,Lantana camara L. ,Lantana camara,Lantana camara,325686-2,325686-2,Species,CliniTox
126,Lathyrus latifolius L. ,Lathyrus latifolius,Lathyrus latifolius,501802-1,501802-1,Species,CliniTox
127,Lathyrus odoratus L. ,Lathyrus odoratus,Lathyrus odoratus,501909-1,501909-1,Species,CliniTox
128,Lathyrus sativus L. ,Lathyrus sativus,Lathyrus sativus,501990-1,501990-1,Species,CliniTox
129,Lathyrus sylvestris L. ,Lathyrus sylvestris,Lathyrus sylvestris,502035-1,502035-1,Species,CliniTox
130,Lathyrus tuberosus L. ,Lathyrus tuberosus,Lathyrus tuberosus,502065-1,502065-1,Species,CliniTox
131,Ligustrum vulgare L. ,Ligustrum vulgare,Ligustrum vulgare,610130-1,610130-1,Species,CliniTox
132,Lonicera xylosteum L. ,Lonicera xylosteum,Lonicera xylosteum,149194-1,149194-1,Species,CliniTox
133,Lupinus albus L. ,Lupinus albus,Lupinus albus,504069-1,504069-1,Species,CliniTox
134,Lupinus angustifolius L. ,Lupinus angustifolius,Lupinus angustifolius,504124-1,504124-1,Species,CliniTox
135,Lupinus luteus L. ,Lupinus luteus,Lupinus luteus,504707-1,504707-1,Species,CliniTox
136,Lupinus sativus Gaertn. ,Lupinus albus subsp. albus,Lupinus albus,504069-1,77190403-1,Subspecies,CliniTox
137,Malva microcarpa Desf. ,Malva parviflora var. parviflora,Malva parviflora,561830-1,77226426-1,Variety,CliniTox
138,Malva parviflora L. ,Malva parviflora,Malva parviflora,561830-1,561830-1,Species,CliniTox
139,Malva rotundifolia Auct. ,Malva sylvestris var. sylvestris,Malva sylvestris,561932-1,77226650-1,Variety,CliniTox
140,Mentha pulegium L. ,Mentha pulegium,Mentha pulegium,451022-1,451022-1,Species,CliniTox
141,Monstera deliciosa Liebm. ,Monstera deliciosa,Monstera deliciosa,87478-1,87478-1,Species,CliniTox
142,Murdannia nudiflora (L.) Brenan ,Murdannia nudiflora,Murdannia nudiflora,172873-1,172873-1,Species,CliniTox
143,Narcissus pseudonarcissus L. ,Narcissus pseudonarcissus,Narcissus pseudonarcissus,66177-1,66177-1,Species,CliniTox
144,Nicandra physalodes (L.) Gaertn. ,Nicandra physalodes,Nicandra physalodes,816832-1,816832-1,Species,CliniTox
145,Nolina recurvata (Lem.) Hemsl. ,Beaucarnea recurvata,Beaucarnea recurvata,531735-1,531735-1,Species,CliniTox
146,Nuphar lutea (L.) Sm. ,Nuphar lutea,Nuphar lutea,30385379-2,30385379-2,Species,CliniTox
147,Nymphaea alba L. ,Nymphaea alba,Nymphaea alba,171158-2,171158-2,Species,CliniTox
148,Nymphaea lutea L. ,Nuphar lutea,Nuphar lutea,30385379-2,30385379-2,Species,CliniTox
149,Nymphaea-Hybriden ,Nymphaea,,,330032-2,Genus,CliniTox
150,Ornithogalum umbellatum L. ,Ornithogalum umbellatum,Ornithogalum umbellatum,539600-1,539600-1,Species,CliniTox
151,Oxalis acetosella L. ,Oxalis acetosella,Oxalis acetosella,30012601-2,30012601-2,Species,CliniTox
152,Papaver rhoeas L. ,Papaver rhoeas,Papaver rhoeas,306058-2,306058-2,Species,CliniTox
153,Paris quadrifolia L. ,Paris quadrifolia,Paris quadrifolia,539724-1,539724-1,Species,CliniTox
154,Pastinaca sativa L. ,Pastinaca sativa,Pastinaca sativa,845768-1,845768-1,Species,CliniTox
155,Persea americana Mill. ,Persea americana,Persea americana,325643-2,325643-2,Species,CliniTox
156,Persea gratissima C.F.Gaertn. ,Persea americana,Persea americana,325643-2,325643-2,Species,CliniTox
157,Persea nubigena L.O.Williams ,Persea americana,Persea americana,325643-2,325643-2,Species,CliniTox
158,Philodendron bipinnatifidum Schott ex Endl. ,Thaumatophyllum bipinnatifidum,Thaumatophyllum bipinnatifidum,77178497-1,77178497-1,Species,CliniTox
159,Philodendron hederaceum (Jacq.) Schott ,Philodendron hederaceum,Philodendron hederaceum,87797-1,87797-1,Species,CliniTox
160,Philodendron micans K. Koch ,Philodendron hederaceum var. hederaceum,Philodendron hederaceum,87797-1,77170908-1,Variety,CliniTox
161,Philodendron oxycardium Schott ,Philodendron hederaceum var. oxycardium,Philodendron hederaceum,87797-1,20007818-1,Variety,CliniTox
162,Philodendron scandens K. Koch & Sello ,Philodendron hederaceum var. hederaceum,Philodendron hederaceum,87797-1,77170908-1,Variety,CliniTox
163,Philodendron selloum K. Koch ,,,,,,CliniTox
164,Phytolacca americana L. ,Phytolacca americana,Phytolacca americana,323290-2,323290-2,Species,CliniTox
165,Phytolacca decandra L. ,Phytolacca americana var. americana,Phytolacca americana,323290-2,77227503-1,Variety,CliniTox
166,Pinus ponderosa P. Lawson & C. Lawson ,Pinus ponderosa,Pinus ponderosa,307165-2,307165-2,Species,CliniTox
167,Polygonatum multiflorum (L.) All. ,Polygonatum multiflorum,Polygonatum multiflorum,30081981-2,30081981-2,Species,CliniTox
168,Polygonatum odoratum (Mill.) Druce ,Polygonatum odoratum,Polygonatum odoratum,540195-1,540195-1,Species,CliniTox
169,Polygonatum officinale All. ,Polygonatum odoratum var. odoratum,Polygonatum odoratum,540195-1,77170809-1,Variety,CliniTox
170,Polypodium filix-mas L. ,Dryopteris filix-mas,Dryopteris filix-mas,30345915-2,30345915-2,Species,CliniTox
171,Quercus borealis Michx. ,Quercus rubra,Quercus rubra,296701-1,296701-1,Species,CliniTox
172,Quercus cerris L. ,Quercus cerris,Quercus cerris,295941-1,295941-1,Species,CliniTox
173,Quercus ilex L. ,Quercus ilex,Quercus ilex,296290-1,296290-1,Species,CliniTox
174,Quercus lanuginosa Thuill. ,Quercus pubescens subsp. pubescens,Quercus pubescens,326376-2,77171677-1,Subspecies,CliniTox
175,Quercus palustris Münchh. ,Quercus palustris,Quercus palustris,359933-1,359933-1,Species,CliniTox
176,Quercus pedunculata Ehrh. ,,,,,,CliniTox
177,Quercus petraea (Matt.) Liebl. ,Quercus petraea,Quercus petraea,359961-1,359961-1,Species,CliniTox
178,Quercus pubescens Willd. ,Quercus pubescens,Quercus pubescens,326376-2,326376-2,Species,CliniTox
179,Quercus robur L. ,Quercus robur,Quercus robur,304293-2,304293-2,Species,CliniTox
180,Quercus rubra L. ,Quercus rubra,Quercus rubra,296701-1,296701-1,Species,CliniTox
181,Quercus sempervirens Mill. ,Quercus ilex,Quercus ilex,296290-1,296290-1,Species,CliniTox
182,Quercus sessiliflora Salisb. ,Quercus petraea subsp. petraea,Quercus petraea,359961-1,77169785-1,Subspecies,CliniTox
183,Quercus sessilis Ehrh. ex Schur ,,,,,,CliniTox
184,Ranunculus acris L.s.l. ,Ranunculus acris,Ranunculus acris,712125-1,712125-1,Species,CliniTox
185,Ranunculus arvensis L. ,Ranunculus arvensis,Ranunculus arvensis,712240-1,712240-1,Species,CliniTox
186,Ranunculus bulbosus L. ,Ranunculus bulbosus,Ranunculus bulbosus,712367-1,712367-1,Species,CliniTox
187,Ranunculus flammula L. ,Ranunculus flammula,Ranunculus flammula,30013390-2,30013390-2,Species,CliniTox
188,Ranunculus lingua L. ,Ranunculus lingua,Ranunculus lingua,713102-1,713102-1,Species,CliniTox
189,Ranunculus philonotis Retz. ,Ranunculus repens,Ranunculus repens,713678-1,713678-1,Species,CliniTox
190,Ranunculus sardous Crantz ,Ranunculus sardous,Ranunculus sardous,713757-1,713757-1,Species,CliniTox
191,Rectanthera fragrans (Lindl.) O.Deg. ,Callisia fragrans,Callisia fragrans,42441-2,42441-2,Species,CliniTox
192,Rhodophyllus lividus (Bull.) Quél. ,,,,,,CliniTox
193,Rhodophyllus sinuatus (Bull.) Quél. ,,,,,,CliniTox
194,Rhoeo discolor (L'Her.) Hance ,Tradescantia spathacea,Tradescantia spathacea,173471-1,173471-1,Species,CliniTox
195,Rhoeo spathacea (Sw.) Stearn ,Tradescantia spathacea,Tradescantia spathacea,173471-1,173471-1,Species,CliniTox
196,Rubroboletus satanas (Lenz) K. Zhao & Zhu L. Yang ,,,,,,CliniTox
197,Rudbeckia laciniata L. ,Rudbeckia laciniata,Rudbeckia laciniata,241716-1,241716-1,Species,CliniTox
198,Sambucus ebulus L. ,Sambucus ebulus,Sambucus ebulus,149315-1,149315-1,Species,CliniTox
199,Sambucus nigra L. ,Sambucus nigra,Sambucus nigra,30122169-2,30122169-2,Species,CliniTox
200,Sambucus racemosa L. ,Sambucus racemosa,Sambucus racemosa,30056767-2,30056767-2,Species,CliniTox
201,Sarothamnus scoparius Koch. ,Cytisus scoparius,Cytisus scoparius,489963-1,489963-1,Species,CliniTox
202,Scindaptus aureus Linden & Andre ,,,,,,CliniTox
203,Securigera varia (L.) Lassen ,Coronilla varia,Coronilla varia,487281-1,487281-1,Species,CliniTox
204,Silybum maculatum (Scop.) Moench ,Silybum marianum,Silybum marianum,249211-1,249211-1,Species,CliniTox
205,Silybum marianum (L.) Gaertn. ,Silybum marianum,Silybum marianum,249211-1,249211-1,Species,CliniTox
206,Solanum pseudocapsicum L. ,Solanum pseudocapsicum,Solanum pseudocapsicum,316948-2,316948-2,Species,CliniTox
207,Spartium scoparius L. ,Cytisus scoparius,Cytisus scoparius,489963-1,489963-1,Species,CliniTox
208,Spathiphyllum floribundum (Linden & Andre) N.E.Br. ,Spathiphyllum floribundum,Spathiphyllum floribundum,88963-1,88963-1,Species,CliniTox
209,Spironema fragrans Lindl. ,Callisia fragrans,Callisia fragrans,42441-2,42441-2,Species,CliniTox
210,Spironema orthandrum Lindb. ,Callisia fragrans,Callisia fragrans,42441-2,42441-2,Species,CliniTox
211,Symphoricarpos albus (L.) S.F. Blake ,Symphoricarpos albus,Symphoricarpos albus,149485-1,149485-1,Species,CliniTox
212,Symphoricarpos racemosus Michaux. ,Symphoricarpos albus var. albus,Symphoricarpos albus,149485-1,77225049-1,Variety,CliniTox
213,Symphoricarpos rivularis Suksd. ,Symphoricarpos albus var. laevigatus,Symphoricarpos albus,149485-1,247030-2,Variety,CliniTox
214,Syngonium podophyllum Schott ,Syngonium podophyllum,Syngonium podophyllum,89152-1,89152-1,Species,CliniTox
215,Tanacetum vulgare L. ,Tanacetum vulgare,Tanacetum vulgare,252568-1,252568-1,Species,CliniTox
216,Tinantia anomala (Torr.) C.B. Clarke ,Tinantia anomala,Tinantia anomala,173144-1,173144-1,Species,CliniTox
217,Tradescantia anomala Torr. ,Tinantia anomala,Tinantia anomala,173144-1,173144-1,Species,CliniTox
218,Tradescantia discolor L'Her. ,Tradescantia spathacea,Tradescantia spathacea,173471-1,173471-1,Species,CliniTox
219,Tradescantia malabarica L. ,Murdannia nudiflora,Murdannia nudiflora,172873-1,172873-1,Species,CliniTox
220,Tradescantia spathacea Sw. ,Tradescantia spathacea,Tradescantia spathacea,173471-1,173471-1,Species,CliniTox
221,Trisetum flavescens (L.) P. Beauv. ,Trisetum flavescens,Trisetum flavescens,425194-1,425194-1,Species,CliniTox
222,Tulipa gesneriana L. ,Tulipa gesneriana,Tulipa gesneriana,542923-1,542923-1,Species,CliniTox
223,Tussilago farfara L. ,Tussilago farfara,Tussilago farfara,256904-1,256904-1,Species,CliniTox
224,Viburnum lantana L. ,Viburnum lantana,Viburnum lantana,326265-2,326265-2,Species,CliniTox
225,Viburnum opulus L. ,Viburnum opulus,Viburnum opulus,326268-2,326268-2,Species,CliniTox
226,Viburnum plicatum Thunb. ,Viburnum plicatum,Viburnum plicatum,149876-1,149876-1,Species,CliniTox
227,Viburnum rhytidophyllum Hemsl. ,Viburnum rhytidophyllum,Viburnum rhytidophyllum,149902-1,149902-1,Species,CliniTox
228,Viburnum tinus L. ,Viburnum tinus,Viburnum tinus,326271-2,326271-2,Species,CliniTox
229,Viburnum x bodnantense Aberc. ,,,,,,CliniTox
230,Vincetoxicum hirundinaria Medik. ,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,102810-1,102810-1,Species,CliniTox
231,Vincetoxicum officinale Moench ,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,102810-1,102810-1,Species,CliniTox
232,Wisteria floribunda (Willd.) DC. ,Wisteria floribunda,Wisteria floribunda,525791-1,525791-1,Species,CliniTox
233,Wisteria sinensis (Sims) DC. ,Wisteria sinensis,Wisteria sinensis,60459148-2,60459148-2,Species,CliniTox
234,Zantedeschia aethiopica (L.) Spreng. ,Zantedeschia aethiopica,Zantedeschia aethiopica,89403-1,89403-1,Species,CliniTox
235,Adonis aestivalis L. ,Adonis aestivalis,Adonis aestivalis,708056-1,708056-1,Species,CliniTox
236,Adonis vernalis L. ,Adonis vernalis,Adonis vernalis,305359-2,305359-2,Species,CliniTox
237,Aesculus hippocastanum L. ,Aesculus hippocastanum,Aesculus hippocastanum,781594-1,781594-1,Species,CliniTox
238,Agaricus muscarius Agar. ,,,,,,CliniTox
239,Agrostemma githago L. ,Agrostemma githago,Agrostemma githago,150316-1,150316-1,Species,CliniTox
240,Allium cepa L. ,Allium cepa,Allium cepa,527795-1,527795-1,Species,CliniTox
241,Allium sativum L. ,Allium sativum,Allium sativum,528796-1,528796-1,Species,CliniTox
242,Amanita muscaria (L.) Lam. ,,,,,,CliniTox
243,Amanita pantherina var. pantherina (DC. ex Fr.) Krombh. ,,,,,,CliniTox
244,Amaryllis belladonna L. ,Amaryllis belladonna,Amaryllis belladonna,62705-1,62705-1,Species,CliniTox
245,Amaryllis haemanthoidea Tratt. ,Haemanthus amarylloides subsp. amarylloides,Haemanthus amarylloides,64684-1,77171285-1,Subspecies,CliniTox
