,CPCS_Snippet,Common name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
1,Abelia spp,Abelia,Abelia,,,30049036-2,Genus,CPCS
2,Abeliophyllum distichum,"Forsythia, white",Abeliophyllum distichum,Abeliophyllum distichum,608603-1,608603-1,Species,CPCS
3,Abies balsamea,Balsam tree,Abies balsamea,Abies balsamea,1084057-2,1084057-2,Species,CPCS
4,Abies spp,Fir tree,Abies,,,325655-2,Genus,CPCS
5,Abronia fragrans,"Lantana, wild",Abronia fragrans,Abronia fragrans,326889-2,326889-2,Species,CPCS
6,Abronia fragrans,"Snowball, prairie",Abronia fragrans,Abronia fragrans,326889-2,326889-2,Species,CPCS
7,Abronia spp,Wild lantana,Abronia,,,326868-2,Genus,CPCS
8,Abutilon theophrasti,Abutilon hemp,Abutilon theophrasti,Abutilon theophrasti,1044174-2,1044174-2,Species,CPCS
9,Abutilon theophrasti,Velvet leaf,Abutilon theophrasti,Abutilon theophrasti,1044174-2,1044174-2,Species,CPCS
10,Acanthus spp,Acanthus,Acanthus,,,344-1,Genus,CPCS
11,Acanthus spp,Artist's acanthus,Acanthus,,,344-1,Genus,CPCS
12,Acanthus spp,Bearâs breech,Acanthus,,,344-1,Genus,CPCS
13,Acanthus spp,Mountain acanthus,Acanthus,,,344-1,Genus,CPCS
14,Acer pseudoplantanas,Mock plane,,,,,,CPCS
15,Acer pseudoplatanus,Sycamore,Acer pseudoplatanus,Acer pseudoplatanus,781462-1,781462-1,Species,CPCS
16,Acer spp,Maple tree,Acer,,,328248-2,Genus,CPCS
17,Achimenes spp,Magic flower,Achimenes,,,16884-1,Genus,CPCS
18,Actinidia polygama,Silver vine,Actinidia polygama,Actinidia polygama,60472666-2,60472666-2,Species,CPCS
19,Adiantum capillus,Venus's hair,Adiantum capillus-veneris,Adiantum capillus-veneris,325030-2,325030-2,Species,CPCS
20,Adiantum capillus,Venus's hair fern,Adiantum capillus-veneris,Adiantum capillus-veneris,325030-2,325030-2,Species,CPCS
21,Adiantum decorum,Maid fern,Adiantum raddianum,Adiantum raddianum,17012580-1,17012580-1,Species,CPCS
22,Adiantum decorum,Maidenhair fern,Adiantum raddianum,Adiantum raddianum,17012580-1,17012580-1,Species,CPCS
23,Aechmea spp,Urn plant,Aechmea,,,328345-2,Genus,CPCS
24,Aechmea spp,Living vase,Aechmea,,,328345-2,Genus,CPCS
25,Aechmea marmorata,Grecian vase,Quesnelia marmorata,Quesnelia marmorata,216612-2,216612-2,Species,CPCS
26,Aechmea marmorata,Billbergia,Quesnelia marmorata,Quesnelia marmorata,216612-2,216612-2,Species,CPCS
27,Aegopodium podagraria,Bishop's elder or Bishop's weed,Aegopodium podagraria,Aegopodium podagraria,5849-2,5849-2,Species,CPCS
28,Aegopodium podagraria,Ground elder,Aegopodium podagraria,Aegopodium podagraria,5849-2,5849-2,Species,CPCS
29,Aegopodium podagraria,White ash,Aegopodium podagraria,Aegopodium podagraria,5849-2,5849-2,Species,CPCS
30,Aeschnanthus spp,Pipe plant,,,,,,CPCS
31,Aeschynanthus spp,Basket plant or vine,Aeschynanthus,,,331325-2,Genus,CPCS
32,Aeschynanthus spp,Bayberry,Aeschynanthus,,,331325-2,Genus,CPCS
33,Aeschynanthus spp,Lipstick plant,Aeschynanthus,,,331325-2,Genus,CPCS
34,Aeschynanthus spp,Lipstick vine,Aeschynanthus,,,331325-2,Genus,CPCS
35,Aglaonema modestum,Chinese evergreen,Aglaonema modestum,Aglaonema modestum,84081-1,84081-1,Species,CPCS
36,Aglaonema spp,Aglaonema,Aglaonema,,,2671-1,Genus,CPCS
37,Aglaonema spp,Silver evergreen,Aglaonema,,,2671-1,Genus,CPCS
38,Aglaonema spp,Silver king,Aglaonema,,,2671-1,Genus,CPCS
39,Aglaonema spp,Silver queen,Aglaonema,,,2671-1,Genus,CPCS
40,Aglianthemum scoparium,Rush rose,,,,,,CPCS
41,Ajuga remota or Ajuga reptans,Ajuga,Ajuga reptans,Ajuga reptans,444664-1,444664-1,Species,CPCS
42,Ajuga spp,Carpet bugle,Ajuga,,,20646-1,Genus,CPCS
43,Albizia,Albizia,Albizia,,,30017224-2,Genus,CPCS
44,Albizia julibrissin,Mimosa,Albizia julibrissin,Albizia julibrissin,473275-1,473275-1,Species,CPCS
45,Albizia julibrissin,Silk tree,Albizia julibrissin,Albizia julibrissin,473275-1,473275-1,Species,CPCS
46,Albizia julibrisson,Acacia,,,,,,CPCS
47,Alpinia mutica,Orchid ginger,Alpinia mutica,Alpinia mutica,795340-1,795340-1,Species,CPCS
48,Alpinia nutans,Pink porcelain lily,Alpinia nutans,Alpinia nutans,795347-1,795347-1,Species,CPCS
49,Alpinia nutans,Shell flower,Alpinia nutans,Alpinia nutans,795347-1,795347-1,Species,CPCS
50,Alpinia nutans,Shell ginger,Alpinia nutans,Alpinia nutans,795347-1,795347-1,Species,CPCS
51,Alternanthera spp,Snowball,Alternanthera,,,327196-2,Genus,CPCS
52,Althaea rosea,Hollyhock,Alcea rosea,Alcea rosea,558713-1,558713-1,Species,CPCS
53,Alyssum spp,Alyssum,Alyssum,,,60433920-2,Genus,CPCS
54,Alyssum spp,Gold dust plant,Alyssum,,,60433920-2,Genus,CPCS
55,Alyssum spp,Sweet alyssum,Alyssum,,,60433920-2,Genus,CPCS
56,Anredera cordifolia,Madeira vine,Anredera cordifolia,Anredera cordifolia,14549-2,14549-2,Species,CPCS
57,Antigonon leptopus,Chain of love,Antigonon leptopus,Antigonon leptopus,15860-2,15860-2,Species,CPCS
58,Antigonon leptopus,Coral vine,Antigonon leptopus,Antigonon leptopus,15860-2,15860-2,Species,CPCS
59,Antigonon leptopus,Love vine,Antigonon leptopus,Antigonon leptopus,15860-2,15860-2,Species,CPCS
60,Antigonon leptopus,Mexican creeper,Antigonon leptopus,Antigonon leptopus,15860-2,15860-2,Species,CPCS
61,Antigonon leptopus,Mountain rose,Antigonon leptopus,Antigonon leptopus,15860-2,15860-2,Species,CPCS
62,Antigonon leptopus,Pink vine,Antigonon leptopus,Antigonon leptopus,15860-2,15860-2,Species,CPCS
63,Antigonon leptopus,Queenâs jewels,Antigonon leptopus,Antigonon leptopus,15860-2,15860-2,Species,CPCS
64,Antirrhinum majus,Snapdragon,Antirrhinum majus,Antirrhinum majus,799180-1,799180-1,Species,CPCS
65,Aphelandra spp,Aphelandra,Aphelandra,,,30000831-2,Genus,CPCS
66,Aphelandra spp,Fiery spike,Aphelandra,,,30000831-2,Genus,CPCS
67,Aphelandra spp,Saffron spike,Aphelandra,,,30000831-2,Genus,CPCS
68,Aphelandra squarrosa,Zebra plant,Aphelandra squarrosa,Aphelandra squarrosa,315544-2,315544-2,Species,CPCS
69,Aponogeton senetralis,Madagascar lace plant,,,,,,CPCS
70,Aptenia cordifolia,Baby sun rose,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium,322566-2,322566-2,Species,CPCS
71,Aptenia cordifolia,Ice plant,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium,322566-2,322566-2,Species,CPCS
72,Aquilegia spp,Columbine,Aquilegia,,,325954-2,Genus,CPCS
73,Araucaria cunninghamii,Hoop pine,Araucaria cunninghamii,Araucaria cunninghamii,60455476-2,60455476-2,Species,CPCS
74,Araucaria heterophylla,Norfolk pine,Araucaria heterophylla,Araucaria heterophylla,676669-1,676669-1,Species,CPCS
75,Araucaria heterophylla,Norfolk island pine,Araucaria heterophylla,Araucaria heterophylla,676669-1,676669-1,Species,CPCS
76,Arbutus menziesil,Madrone,,,,,,CPCS
77,Arbutus spp,Manzanita,Arbutus,,,30008667-2,Genus,CPCS
78,Arbutus unedo,Arbutus,Arbutus unedo,Arbutus unedo,326526-1,326526-1,Species,CPCS
79,Arbutus unedo,Cane apple,Arbutus unedo,Arbutus unedo,326526-1,326526-1,Species,CPCS
80,Arbutus unedo,Strawberry tree,Arbutus unedo,Arbutus unedo,326526-1,326526-1,Species,CPCS
81,Arctostaphylos tomentosa,"Manzanita, woolly",Arctostaphylos tomentosa,Arctostaphylos tomentosa,30024713-2,30024713-2,Species,CPCS
82,Ardisia spp,Coral berry,Ardisia,,,327477-2,Genus,CPCS
83,Ardisia spp,Spice berry,Ardisia,,,327477-2,Genus,CPCS
84,Aregelia spp,Blushing bromeliad,Nidularium,,,328329-2,Genus,CPCS
85,Aregelia spp,Crimson cup,Nidularium,,,328329-2,Genus,CPCS
86,Aregelia spp,Fingernail plant,Nidularium,,,328329-2,Genus,CPCS
87,Ariocarpus fissuratus,Living rock,Ariocarpus fissuratus,Ariocarpus fissuratus,19054-2,19054-2,Species,CPCS
88,Ariocarpus fissuratus,Star rock,Ariocarpus fissuratus,Ariocarpus fissuratus,19054-2,19054-2,Species,CPCS
89,Aronia spp,Chokeberry,Aronia,,,331370-2,Genus,CPCS
90,Asparagus densiflorus cv sprengeri,Asparagus fern,Asparagus densiflorus,Asparagus densiflorus,531072-1,531072-1,Species,CPCS
91,Asparagus densiflorus cv sprengeri,Emerald feather or Emerald fern,Asparagus densiflorus,Asparagus densiflorus,531072-1,531072-1,Species,CPCS
