,Common name,UCANR_Snippet,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
27,Bellflower; Campanula,Campanula spp.,Campanula,,,30027807-2,Genus,UCANR
28,Canna lily,Canna generalis,Canna × hybrida,Canna × hybrida,77208084-1,77208084-1,Species,UCANR
29,Ice plant,Carpobrotus spp.,Carpobrotus,,,328405-2,Genus,UCANR
30,Cattleya orchid,Cattleya spp.,Cattleya,,,28960-1,Genus,UCANR
31,Cockscomb,Celosia spp.,Celosia,,,327360-2,Genus,UCANR
32,Bachelor's button; Cornflower,Centaurea cyanus,Centaurea cyanus,Centaurea cyanus,190310-1,190310-1,Species,UCANR
33,Carob tree; St. John's bread,Ceratonia siliqua,Ceratonia siliqua,Ceratonia siliqua,485647-1,485647-1,Species,UCANR
34,Palo Verde,Cercidium spp.,Parkinsonia,,,328170-2,Genus,UCANR
35,Rosary vine,Ceropegia woodii,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,UCANR
36,Spider plant,Chlorophytum comosum,Chlorophytum comosum,Chlorophytum comosum,532810-1,532810-1,Species,UCANR
37,Areca palm,Chrysalidocarpus lutescens,Dypsis lutescens,Dypsis lutescens,985360-1,985360-1,Species,UCANR
38,Rockrose,Cistus spp.,Cistus,,,30101376-2,Genus,UCANR
39,Cleome; Spider flower,Cleome hasslerana,Cleome houtteana,Cleome houtteana,147105-1,147105-1,Species,UCANR
40,Job's tears,Coix lacryma-jobi,Coix lacryma-jobi,Coix lacryma-jobi,30100521-2,30100521-2,Species,UCANR
41,Coleus,Coleus hybridus,Coleus scutellarioides,Coleus scutellarioides,446165-1,446165-1,Species,UCANR
42,Goldfish plant,Columnea spp.,Columnea,,,30002865-2,Genus,UCANR
43,Coprosma; Mirror plant,Coprosma spp.,Coprosma,,,34398-1,Genus,UCANR
44,Ti plant,Cordyline terminalis,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,UCANR
45,Coreopsis,Coreopsis grandiflora,Coreopsis grandiflora,Coreopsis grandiflora,20005010-1,20005010-1,Species,UCANR
46,Cosmos,Cosmos bipinnatus,Cosmos bipinnatus,Cosmos bipinnatus,198320-1,198320-1,Species,UCANR
47,Hawthorn,Crataegus spp.,Crataegus,,,60436254-2,Genus,UCANR
48,Dutch crocus *; Spring-blooming crocus *,Crocus vernus,Crocus vernus,Crocus vernus,60461938-2,60461938-2,Species,UCANR
49,Holly fern,Cyrtomium falcatum,Cyrtomium falcatum,Cyrtomium falcatum,17268360-1,17268360-1,Species,UCANR
