,Plants with Activity Synergy,Chemical Count,Total PPM,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
0,Abelmoschus esculentus,2,140.0,Abelmoschus esculentus,Abelmoschus esculentus,558006-1,558006-1,Species,USDA(Duke)
1,Acacia nilotica,1,,Vachellia nilotica,Vachellia nilotica,77089275-1,77089275-1,Species,USDA(Duke)
2,Acacia farnesiana,1,,Vachellia farnesiana,Vachellia farnesiana,1099713-2,1099713-2,Species,USDA(Duke)
3,Achillea millefolium,2,,Achillea millefolium,Achillea millefolium,2294-2,2294-2,Species,USDA(Duke)
4,Acinos suaveolens,1,,Clinopodium suaveolens,Clinopodium suaveolens,445868-1,445868-1,Species,USDA(Duke)
5,Aconitum napellus,1,,Aconitum napellus,Aconitum napellus,707615-1,707615-1,Species,USDA(Duke)
6,Aconitum carmichaelii,1,,Aconitum carmichaeli,Aconitum carmichaeli,707241-1,707241-1,Species,USDA(Duke)
7,Acorus calamus,1,7900.0,Acorus calamus,Acorus calamus,84009-1,84009-1,Species,USDA(Duke)
8,Actaea spicata,1,,Actaea spicata,Actaea spicata,303913-2,303913-2,Species,USDA(Duke)
9,Actaea rubra,1,,Actaea rubra,Actaea rubra,1082557-2,1082557-2,Species,USDA(Duke)
10,Actaea racemosa,1,,Actaea racemosa,Actaea racemosa,316204-2,316204-2,Species,USDA(Duke)
11,Actaea pachypoda,1,,Actaea pachypoda,Actaea pachypoda,330907-2,330907-2,Species,USDA(Duke)
12,Aesculus hippocastanum,2,60000.0,Aesculus hippocastanum,Aesculus hippocastanum,781594-1,781594-1,Species,USDA(Duke)
13,Aloe vera,2,,Aloe vera,Aloe vera,530017-1,530017-1,Species,USDA(Duke)
14,Althaea officinalis,1,,Althaea officinalis,Althaea officinalis,558872-1,558872-1,Species,USDA(Duke)
15,Anacardium occidentale,1,0.04,Anacardium occidentale,Anacardium occidentale,319068-2,319068-2,Species,USDA(Duke)
16,Anamirta cocculus,1,,Anamirta cocculus,Anamirta cocculus,580121-1,580121-1,Species,USDA(Duke)
17,Ananas comosus,1,,Ananas comosus,Ananas comosus,12322-2,12322-2,Species,USDA(Duke)
