,tdwg3_codes
0,AFG
1,AGE
2,AGS
3,AGW
4,ALG
5,ANG
6,ASS
7,BAN
8,BEN
9,BKN
10,BLZ
11,BOL
12,BOR
13,BOT
14,BUR
15,BZC
16,BZE
17,BZL
18,BZN
19,BZS
20,CAB
21,CAF
22,CBD
23,CHA
24,CHC
25,CHH
26,CHI
27,CHM
28,CHN
29,CHQ
30,CHS
31,CHT
32,CHX
33,CLM
34,CMN
35,COM
36,CON
37,COS
38,CPP
39,CPV
40,CVI
41,DJI
42,DOM
43,ECU
44,EGY
45,EHM
46,ELS
47,EQG
48,ERI
49,ETH
50,FRG
51,GAB
52,GAM
53,GGI
54,GHA
55,GNB
56,GST
57,GUA
58,GUI
59,GUY
60,HAI
61,HON
62,IND
63,IRN
64,IRQ
65,IVO
66,JAW
67,KAZ
68,KEN
69,KGZ
70,KOR
71,LAO
72,LBR
73,LBS
74,LBY
75,LIN
76,LSI
77,MDG
78,MLI
79,MLW
80,MLY
81,MOL
82,MOR
83,MOZ
84,MTN
85,MXC
86,MXE
87,MXG
88,MXI
89,MXN
90,MXS
91,MXT
92,MYA
93,NAM
94,NAT
95,NEP
96,NGA
97,NGR
98,NIC
99,NTA
100,NWG
101,OFS
102,OMA
103,PAK
104,PAN
105,PAR
106,PER
107,PHI
108,QLD
109,REU
110,RWA
111,SAU
112,SEN
113,SIE
114,SOL
115,SOM
116,SRL
117,SUD
118,SUL
119,SUM
120,SUR
121,SWZ
122,TAN
123,TCS
124,THA
125,TKM
126,TOG
127,TUN
128,TUR
129,TVL
130,TZK
131,UGA
132,UZB
133,VAN
134,VEN
135,VIE
136,WAU
137,WSA
138,YEM
139,ZAI
140,ZAM
141,ZIM
