plant_id,family,taxon_name,refstand,ref_short
wcs3030,Apocynaceae,Adenium obesum,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs3030,Apocynaceae,Adenium obesum,1101,"Hagers Handbuch (Hänsel et al., 1992-1998)"
wcs3030,Apocynaceae,Adenium obesum,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs3030,Apocynaceae,Adenium obesum,100215,"Handbook of Arabian Medicinal Plants (Ghazanfar, 1994)"
wcs3030,Apocynaceae,Adenium obesum,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs3030,Apocynaceae,Adenium obesum,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs3030,Apocynaceae,Adenium obesum,100034,"SEPASAL database (Kew, 1999)"
wcs3030,Apocynaceae,Adenium obesum,100181,SOTWP 2016: PROTA (2015)
wcs3030,Apocynaceae,Adenium obesum,100183,SOTWP 2016: Useful Plants and Fungi Project (2015)
wcs3030,Apocynaceae,Adenium obesum,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs3030,Apocynaceae,Adenium obesum,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs3038,Apocynaceae,Adenium oleifolium,1101,"Hagers Handbuch (Hänsel et al., 1992-1998)"
wcs3038,Apocynaceae,Adenium oleifolium,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs3038,Apocynaceae,Adenium oleifolium,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs3038,Apocynaceae,Adenium oleifolium,100034,"SEPASAL database (Kew, 1999)"
wcs3038,Apocynaceae,Adenium oleifolium,100181,SOTWP 2016: PROTA (2015)
wcs3038,Apocynaceae,Adenium oleifolium,100183,SOTWP 2016: Useful Plants and Fungi Project (2015)
wcs3038,Apocynaceae,Adenium oleifolium,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs3046,Apocynaceae,Adenium swazicum,100181,SOTWP 2016: PROTA (2015)
wcs3046,Apocynaceae,Adenium swazicum,100183,SOTWP 2016: Useful Plants and Fungi Project (2015)
wcs3238,Rubiaceae,Adina cordifolia,100221,"Ayurvedic Med. Pl. of Sri Lanka (Samarasuriya et al., 2020)"
wcs3238,Rubiaceae,Adina cordifolia,100245,"Demand & Supply of Med. Pl. in India (Ved et al., 2015)"
wcs3238,Rubiaceae,Adina cordifolia,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs3238,Rubiaceae,Adina cordifolia,6667,"Plants and People of Nepal (Manandhar, 2002)"
wcs3238,Rubiaceae,Adina cordifolia,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs3238,Rubiaceae,Adina cordifolia,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs3238,Rubiaceae,Adina cordifolia,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs488952,Rubiaceae,Adina eurhyncha,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs3240,Rubiaceae,Adina fagifolia,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs3268,Rubiaceae,Adina pilulifera,100241,"WHODrug Herbal Substances, Suppl. 2021 (WHO-UMC, 2021)"
wcs3268,Rubiaceae,Adina pilulifera,3586,Zhonghua Bencao: Materia Medica of China (1998)
wcs3275,Rubiaceae,Adina rubella,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs3275,Rubiaceae,Adina rubella,100023,U.S. FDA Substance Registration System (2016)
wcs3275,Rubiaceae,Adina rubella,100217,"WHODrug Herbal Substances (WHO-UMC, 2019)"
wcs3275,Rubiaceae,Adina rubella,3586,Zhonghua Bencao: Materia Medica of China (1998)
wcs3282,Rubiaceae,Adina trichotoma,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs3282,Rubiaceae,Adina trichotoma,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs528355,Rubiaceae,Adolphoduckea maynensis,100242,"Plants for Malaria, Plants for Fever (Milliken, 2021)"
wcs216317,Rubiaceae,Afrocanthium keniense,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs216317,Rubiaceae,Afrocanthium keniense,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs216319,Rubiaceae,Afrocanthium lactescens,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs216320,Rubiaceae,Afrocanthium mundianum,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs216324,Rubiaceae,Afrocanthium pseudorandii,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs4408,Apocynaceae,Aganosma cymosa,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs4408,Apocynaceae,Aganosma cymosa,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs316895,Apocynaceae,Aganosma heynei,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs316895,Apocynaceae,Aganosma heynei,100245,"Demand & Supply of Med. Pl. in India (Ved et al., 2015)"
wcs316895,Apocynaceae,Aganosma heynei,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs316895,Apocynaceae,Aganosma heynei,100229,"Medicinal Plant Marketing in Bangladesh (Dixie et al., 2003)"
wcs316895,Apocynaceae,Aganosma heynei,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs316895,Apocynaceae,Aganosma heynei,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs4439,Apocynaceae,Aganosma wallichii,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs4439,Apocynaceae,Aganosma wallichii,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs4439,Apocynaceae,Aganosma wallichii,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs4439,Apocynaceae,Aganosma wallichii,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs4551,Rubiaceae,Agathisanthemum bojeri,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs4551,Rubiaceae,Agathisanthemum bojeri,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs4551,Rubiaceae,Agathisanthemum bojeri,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs4554,Rubiaceae,Agathisanthemum bojeri subsp. bojeri,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs4560,Rubiaceae,Agathisanthemum globosum,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs4560,Rubiaceae,Agathisanthemum globosum,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5010,Rubiaceae,Aidia cochinchinensis,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs5010,Rubiaceae,Aidia cochinchinensis,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs5010,Rubiaceae,Aidia cochinchinensis,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5010,Rubiaceae,Aidia cochinchinensis,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5016,Rubiaceae,Aidia densiflora,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs5016,Rubiaceae,Aidia densiflora,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs5016,Rubiaceae,Aidia densiflora,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5022,Rubiaceae,Aidia genipiflora,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5022,Rubiaceae,Aidia genipiflora,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs5038,Rubiaceae,Aidia micrantha,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs5038,Rubiaceae,Aidia micrantha,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5038,Rubiaceae,Aidia micrantha,100181,SOTWP 2016: PROTA (2015)
wcs5038,Rubiaceae,Aidia micrantha,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5059,Rubiaceae,Aidia racemosa,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs5076,Rubiaceae,Aidia vitiensis,2102,"Fijian Medicinal Plants (Cambie & Ash, 1994)"
wcs5085,Rubiaceae,Aidiopsis orophila,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5146,Rubiaceae,Airosperma trichotomum,2102,"Fijian Medicinal Plants (Cambie & Ash, 1994)"
wcs5464,Apocynaceae,Alafia barteri,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs5464,Apocynaceae,Alafia barteri,100029,"Med. Plants in Lagos, Nigeria. (Olowokudejo, 2008)"
wcs5464,Apocynaceae,Alafia barteri,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs5464,Apocynaceae,Alafia barteri,100181,SOTWP 2016: PROTA (2015)
wcs5464,Apocynaceae,Alafia barteri,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs5464,Apocynaceae,Alafia barteri,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5465,Apocynaceae,Alafia benthamii,100181,SOTWP 2016: PROTA (2015)
wcs5465,Apocynaceae,Alafia benthamii,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs5470,Apocynaceae,Alafia caudata,100181,SOTWP 2016: PROTA (2015)
wcs5470,Apocynaceae,Alafia caudata,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5477,Apocynaceae,Alafia erythrophthalma,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5479,Apocynaceae,Alafia fuscata,100181,SOTWP 2016: PROTA (2015)
wcs5487,Apocynaceae,Alafia landolphioides,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs5487,Apocynaceae,Alafia landolphioides,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs5487,Apocynaceae,Alafia landolphioides,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5488,Apocynaceae,Alafia lucida,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs5488,Apocynaceae,Alafia lucida,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5488,Apocynaceae,Alafia lucida,100181,SOTWP 2016: PROTA (2015)
wcs5488,Apocynaceae,Alafia lucida,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs5488,Apocynaceae,Alafia lucida,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5496,Apocynaceae,Alafia multiflora,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs5496,Apocynaceae,Alafia multiflora,100181,SOTWP 2016: PROTA (2015)
wcs5496,Apocynaceae,Alafia multiflora,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs5496,Apocynaceae,Alafia multiflora,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5501,Apocynaceae,Alafia pauciflora,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5501,Apocynaceae,Alafia pauciflora,100181,SOTWP 2016: PROTA (2015)
wcs5502,Apocynaceae,Alafia perrieri,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5502,Apocynaceae,Alafia perrieri,100181,SOTWP 2016: PROTA (2015)
wcs5502,Apocynaceae,Alafia perrieri,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5508,Apocynaceae,Alafia schumannii,100181,SOTWP 2016: PROTA (2015)
wcs5508,Apocynaceae,Alafia schumannii,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs5510,Apocynaceae,Alafia thouarsii,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs5510,Apocynaceae,Alafia thouarsii,100181,SOTWP 2016: PROTA (2015)
wcs5681,Rubiaceae,Alberta magna,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs6016,Rubiaceae,Alibertia edulis,100242,"Plants for Malaria, Plants for Fever (Milliken, 2021)"
wcs6030,Rubiaceae,Alibertia latifolia,100242,"Plants for Malaria, Plants for Fever (Milliken, 2021)"
wcs468598,Rubiaceae,Alibertia patinoi,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs468598,Rubiaceae,Alibertia patinoi,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs468598,Rubiaceae,Alibertia patinoi,100023,U.S. FDA Substance Registration System (2016)
wcs6154,Apocynaceae,Allamanda blanchetii,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs6154,Apocynaceae,Allamanda blanchetii,8426,"Med. Pl. N.E.Brazil (Fátima Agra et al., 2008)"
wcs6154,Apocynaceae,Allamanda blanchetii,8428,"Med. & Pois. Pl. N.E.Braz. (Agra et al., 2007)"
wcs6154,Apocynaceae,Allamanda blanchetii,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs6157,Apocynaceae,Allamanda cathartica,100221,"Ayurvedic Med. Pl. of Sri Lanka (Samarasuriya et al., 2020)"
wcs6157,Apocynaceae,Allamanda cathartica,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs6157,Apocynaceae,Allamanda cathartica,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs6157,Apocynaceae,Allamanda cathartica,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs6157,Apocynaceae,Allamanda cathartica,100187,"Med. Plants for Diabetes in C. America (Giovannini et al., 2016)"
wcs6157,Apocynaceae,Allamanda cathartica,8425,"Med. Pl. E. Nicaragua (Coe et al., 1996)"
wcs6157,Apocynaceae,Allamanda cathartica,8747,"Med. Pl. Latin America (Duke, 2009)"
wcs6157,Apocynaceae,Allamanda cathartica,8426,"Med. Pl. N.E.Brazil (Fátima Agra et al., 2008)"
wcs6157,Apocynaceae,Allamanda cathartica,6513,"Med. & Pois. Pl. 2 (Valkenburg et al., 1999)"
wcs6157,Apocynaceae,Allamanda cathartica,8428,"Med. & Pois. Pl. N.E.Braz. (Agra et al., 2007)"
wcs6157,Apocynaceae,Allamanda cathartica,100242,"Plants for Malaria, Plants for Fever (Milliken, 2021)"
wcs6157,Apocynaceae,Allamanda cathartica,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs6157,Apocynaceae,Allamanda cathartica,100178,SOTWP 2016: Kew Economic Botany Collection (2015)
wcs6157,Apocynaceae,Allamanda cathartica,100182,"SOTWP 2016: Plants for Malaria, Plants for Fever (Milliken, 2015)"
wcs6157,Apocynaceae,Allamanda cathartica,100181,SOTWP 2016: PROTA (2015)
wcs6157,Apocynaceae,Allamanda cathartica,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs6157,Apocynaceae,Allamanda cathartica,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs6176,Apocynaceae,Allamanda schottii,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs6176,Apocynaceae,Allamanda schottii,6513,"Med. & Pois. Pl. 2 (Valkenburg et al., 1999)"
wcs6176,Apocynaceae,Allamanda schottii,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs6176,Apocynaceae,Allamanda schottii,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs6997,Apocynaceae,Alstonia angustifolia,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs6997,Apocynaceae,Alstonia angustifolia,6513,"Med. & Pois. Pl. 2 (Valkenburg et al., 1999)"
wcs6997,Apocynaceae,Alstonia angustifolia,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs6997,Apocynaceae,Alstonia angustifolia,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7001,Apocynaceae,Alstonia angustiloba,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs7001,Apocynaceae,Alstonia angustiloba,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs7001,Apocynaceae,Alstonia angustiloba,6513,"Med. & Pois. Pl. 2 (Valkenburg et al., 1999)"
wcs7001,Apocynaceae,Alstonia angustiloba,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7007,Apocynaceae,Alstonia boonei,8406,"Ghana Herbal Pharmacopoeia (Busia, 2007)"
wcs7007,Apocynaceae,Alstonia boonei,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs7007,Apocynaceae,Alstonia boonei,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs7007,Apocynaceae,Alstonia boonei,6369,"Herbs of Commerce (McGuffin et al., 2000)"
wcs7007,Apocynaceae,Alstonia boonei,8422,"Med. Pl. Trop. W. Africa II (Oliver-Bever, 1983)"
wcs7007,Apocynaceae,Alstonia boonei,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs7007,Apocynaceae,Alstonia boonei,100181,SOTWP 2016: PROTA (2015)
wcs7007,Apocynaceae,Alstonia boonei,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs7007,Apocynaceae,Alstonia boonei,8394,"Substances in Medicines, Australia (TGA, 2007)"
wcs7007,Apocynaceae,Alstonia boonei,100023,U.S. FDA Substance Registration System (2016)
wcs7007,Apocynaceae,Alstonia boonei,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7014,Apocynaceae,Alstonia congensis,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs7014,Apocynaceae,Alstonia congensis,100029,"Med. Plants in Lagos, Nigeria. (Olowokudejo, 2008)"
wcs7014,Apocynaceae,Alstonia congensis,100178,SOTWP 2016: Kew Economic Botany Collection (2015)
wcs7014,Apocynaceae,Alstonia congensis,100179,SOTWP 2016: Useful Plants of West Tropical Africa (2015)
wcs7014,Apocynaceae,Alstonia congensis,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7016,Apocynaceae,Alstonia constricta,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs7016,Apocynaceae,Alstonia constricta,6369,"Herbs of Commerce (McGuffin et al., 2000)"
wcs7016,Apocynaceae,Alstonia constricta,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs7016,Apocynaceae,Alstonia constricta,7279,"Med. Pl. of the World (Wyk & Wink, 2004)"
wcs7016,Apocynaceae,Alstonia constricta,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs7016,Apocynaceae,Alstonia constricta,100034,"SEPASAL database (Kew, 1999)"
wcs7016,Apocynaceae,Alstonia constricta,100178,SOTWP 2016: Kew Economic Botany Collection (2015)
wcs7016,Apocynaceae,Alstonia constricta,8394,"Substances in Medicines, Australia (TGA, 2007)"
wcs7016,Apocynaceae,Alstonia constricta,100023,U.S. FDA Substance Registration System (2016)
wcs7016,Apocynaceae,Alstonia constricta,8450,"U.S. Homeopathic Pharmacopoeia (HPUS, 2009)"
wcs7016,Apocynaceae,Alstonia constricta,100217,"WHODrug Herbal Substances (WHO-UMC, 2019)"
wcs7016,Apocynaceae,Alstonia constricta,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7018,Apocynaceae,Alstonia costata,2102,"Fijian Medicinal Plants (Cambie & Ash, 1994)"
wcs7018,Apocynaceae,Alstonia costata,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs7043,Apocynaceae,Alstonia iwahigensis,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs7043,Apocynaceae,Alstonia iwahigensis,6513,"Med. & Pois. Pl. 2 (Valkenburg et al., 1999)"
wcs7043,Apocynaceae,Alstonia iwahigensis,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7060,Apocynaceae,Alstonia longifolia,100242,"Plants for Malaria, Plants for Fever (Milliken, 2021)"
wcs7064,Apocynaceae,Alstonia macrophylla,100221,"Ayurvedic Med. Pl. of Sri Lanka (Samarasuriya et al., 2020)"
wcs7064,Apocynaceae,Alstonia macrophylla,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs7064,Apocynaceae,Alstonia macrophylla,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs7064,Apocynaceae,Alstonia macrophylla,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs7064,Apocynaceae,Alstonia macrophylla,6513,"Med. & Pois. Pl. 2 (Valkenburg et al., 1999)"
wcs7064,Apocynaceae,Alstonia macrophylla,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs7064,Apocynaceae,Alstonia macrophylla,100178,SOTWP 2016: Kew Economic Botany Collection (2015)
wcs7064,Apocynaceae,Alstonia macrophylla,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7066,Apocynaceae,Alstonia mairei,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7066,Apocynaceae,Alstonia mairei,3586,Zhonghua Bencao: Materia Medica of China (1998)
wcs7073,Apocynaceae,Alstonia neriifolia,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7092,Apocynaceae,Alstonia pneumatophora,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs7099,Apocynaceae,Alstonia rostrata,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs7099,Apocynaceae,Alstonia rostrata,3586,Zhonghua Bencao: Materia Medica of China (1998)
wcs7103,Apocynaceae,Alstonia scholaris,100221,"Ayurvedic Med. Pl. of Sri Lanka (Samarasuriya et al., 2020)"
wcs7103,Apocynaceae,Alstonia scholaris,8388,Ayurvedic Pharm. of India (1999-2011)
wcs7103,Apocynaceae,Alstonia scholaris,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
wcs7103,Apocynaceae,Alstonia scholaris,8547,"Demand & Supply of Med. Pl. in India (Ved et al., 2008)"
wcs7103,Apocynaceae,Alstonia scholaris,100245,"Demand & Supply of Med. Pl. in India (Ved et al., 2015)"
wcs7103,Apocynaceae,Alstonia scholaris,100021,"Encyclopedia of Herb. Medicine (Bartram, 1995)"
wcs7103,Apocynaceae,Alstonia scholaris,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs7103,Apocynaceae,Alstonia scholaris,6369,"Herbs of Commerce (McGuffin et al., 2000)"
