plant_id,family,taxon_name,refstand,ref_short
wcs2160,Apocynaceae,Acokanthera laevigata,100181,SOTWP 2016: PROTA (2015)
wcs2164,Apocynaceae,Acokanthera oblongifolia,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs2164,Apocynaceae,Acokanthera oblongifolia,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs2164,Apocynaceae,Acokanthera oblongifolia,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs2164,Apocynaceae,Acokanthera oblongifolia,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs2164,Apocynaceae,Acokanthera oblongifolia,100181,SOTWP 2016: PROTA (2015)
wcs2164,Apocynaceae,Acokanthera oblongifolia,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs2165,Apocynaceae,Acokanthera oppositifolia,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs2165,Apocynaceae,Acokanthera oppositifolia,1101,"Hagers Handbuch (Hänsel et al., 1992-1998)"
wcs2165,Apocynaceae,Acokanthera oppositifolia,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs2165,Apocynaceae,Acokanthera oppositifolia,7279,"Med. Pl. of the World (Wyk & Wink, 2004)"
wcs2165,Apocynaceae,Acokanthera oppositifolia,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs2165,Apocynaceae,Acokanthera oppositifolia,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs2165,Apocynaceae,Acokanthera oppositifolia,100034,"SEPASAL database (Kew, 1999)"
wcs2165,Apocynaceae,Acokanthera oppositifolia,100178,SOTWP 2016: Kew Economic Botany Collection (2015)
wcs2165,Apocynaceae,Acokanthera oppositifolia,100181,SOTWP 2016: PROTA (2015)
wcs2165,Apocynaceae,Acokanthera oppositifolia,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs2171,Apocynaceae,Acokanthera schimperi,1180,"GRIN Report: World Economic Plants (Wiersema, 1999)"
wcs2171,Apocynaceae,Acokanthera schimperi,1101,"Hagers Handbuch (Hänsel et al., 1992-1998)"
wcs2171,Apocynaceae,Acokanthera schimperi,2095,"Handbook African Med. Pl. (Iwu, 1993)"
wcs2171,Apocynaceae,Acokanthera schimperi,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs2171,Apocynaceae,Acokanthera schimperi,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs2171,Apocynaceae,Acokanthera schimperi,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs2171,Apocynaceae,Acokanthera schimperi,100034,"SEPASAL database (Kew, 1999)"
wcs2171,Apocynaceae,Acokanthera schimperi,100178,SOTWP 2016: Kew Economic Botany Collection (2015)
wcs2171,Apocynaceae,Acokanthera schimperi,100181,SOTWP 2016: PROTA (2015)
wcs2171,Apocynaceae,Acokanthera schimperi,100183,SOTWP 2016: Useful Plants and Fungi Project (2015)
wcs2382,Rubiaceae,Acranthera grandiflora,100236,"Indian Med. Pl. Database (TDU, 2020)"
wcs3021,Apocynaceae,Adenium boehmianum,1101,"Hagers Handbuch (Hänsel et al., 1992-1998)"
wcs3021,Apocynaceae,Adenium boehmianum,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs3021,Apocynaceae,Adenium boehmianum,100034,"SEPASAL database (Kew, 1999)"
wcs3021,Apocynaceae,Adenium boehmianum,100181,SOTWP 2016: PROTA (2015)
wcs3021,Apocynaceae,Adenium boehmianum,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs3027,Apocynaceae,Adenium multiflorum,1101,"Hagers Handbuch (Hänsel et al., 1992-1998)"
wcs3027,Apocynaceae,Adenium multiflorum,6796,"Med. and Magical Pl. of S. Africa (Arnold et al., 2002)"
wcs3027,Apocynaceae,Adenium multiflorum,8734,"Med. Pl. Trop. Africa (Schmelzer et al., 2008)"
wcs3027,Apocynaceae,Adenium multiflorum,5525,"Pl. Med. Totius Mundi (Penso & Proserpio, 1997)"
wcs3027,Apocynaceae,Adenium multiflorum,100034,"SEPASAL database (Kew, 1999)"
wcs3027,Apocynaceae,Adenium multiflorum,100181,SOTWP 2016: PROTA (2015)
wcs3027,Apocynaceae,Adenium multiflorum,100183,SOTWP 2016: Useful Plants and Fungi Project (2015)
wcs3027,Apocynaceae,Adenium multiflorum,3561,"World Dictionary of Med. & Pois. Pl. (Quattrocchi, 2012)"
wcs3030,Apocynaceae,Adenium obesum,100228,"Conservation of Indonesian Medicinal Plants (Cahyaningsih, 2020)"
