,Genera,spines,latex,corolla,Ref,Manual_snippet,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Acokanthera,x,w,l,,,Acokanthera,,,2171-1,Genus
1,Adenium,x,c,r,,,Adenium,,,2172-1,Genus
2,Adina,,,,,,Adina,,,34103-1,Genus
3,Agathisanthemum,,,,,,Agathisanthemum,,,34107-1,Genus
4,Aidia,,,,,,Aidia,,,327845-2,Genus
5,Alafia,x,w,r,,,Alafia,,,2180-1,Genus
6,Alibertia,,,,,,Alibertia,,,30011980-2,Genus
7,Allamanda,x,w,l,,,Allamanda,,,2182-1,Genus
8,Alseis,,,,,,Alseis,,,34120-1,Genus
9,Alstonia,x,w,l,,,Alstonia,,,331333-2,Genus
10,Alyxia,x,w,l,,,Alyxia,,,331334-2,Genus
11,Amaioua,,,,,,Amaioua,,,34121-1,Genus
12,Amphineurion,x,w,r,,,Amphineurion,,,2193-1,Genus
13,Antirhea,,,,,,Antirhea,,,327846-2,Genus
14,Aoranthe,,,,,,Aoranthe,,,925123-1,Genus
15,Apteranthes,x,c,r,,,Apteranthes,,,3206-1,Genus
16,Arachnothryx,,,,,,Arachnothryx,,,328092-2,Genus
17,Arcytophyllum,,,,,,Arcytophyllum,,,34169-1,Genus
18,Argostemma,,,,,,Argostemma,,,34173-1,Genus
19,Asperula,x,,,,,Asperula,,,331373-2,Genus
20,Aspidosperma,x,r/o/y,l,,,Aspidosperma,,,2217-1,Genus
21,Atractogyne,,,,,,Atractogyne,,,34186-1,Genus
22,Baissea,,,,,,Baissea,,,2218-1,Genus
23,Bathysa,,,,,,Bathysa,,,34203-1,Genus
24,Bertiera,,,,,,Bertiera,,,329744-2,Genus
25,Breonadia,,,,,,Breonadia,,,34251-1,Genus
26,Breonia,,,,,,Breonia,,,34253-1,Genus
27,Burchellia,,,,,,Burchellia,,,34265-1,Genus
28,Calotropis,x,w,r,,,Calotropis,,,30369062-2,Genus
29,Calycophyllum,,,,,,Calycophyllum,,,34281-1,Genus
30,Canthium,y,,,,,Canthium,,,34290-1,Genus
31,Capirona,,,,,,Capirona,,,34292-1,Genus
32,Carapichea,,,,,,Carapichea,,,30206104-2,Genus
33,Carissa,y,w,l/r,,,Carissa,,,2243-1,Genus
34,Cascabela,x,w,l,,,Cascabela,,,2250-1,Genus
35,Catharanthus,x,w,r,,,Catharanthus,,,2251-1,Genus
36,Catunaregam,y,,,,,Catunaregam,,,34310-1,Genus
37,Caudanthera,x,c,r,,,Caudanthera,,,986774-1,Genus
38,Cephalanthus,x,,,,,Cephalanthus,,,34312-1,Genus
39,Chassalia,x,,,,,Chassalia,,,34342-1,Genus
40,Chilocarpus,x,w,l,,,Chilocarpus,,,2260-1,Genus
41,Chimarrhis,x,r/c,,,,Chimarrhis,,,34349-1,Genus
42,Chiococca,,,,,,Chiococca,,,30010725-2,Genus
43,Ciliosemina,,,,,,Ciliosemina,,,77065716-1,Genus
44,Cinchona,,,,,,Cinchona,,,329816-2,Genus
45,Coccocypselum,,,,,,Coccocypselum,,,331499-2,Genus
46,Coelospermum,,,,,,Coelospermum,,,327850-2,Genus
47,Coffea,,w,,,,Coffea,,,325985-2,Genus
48,Condaminea,,,,,,Condaminea,,,34392-1,Genus
49,Condylocarpon,x,w,l,,,Condylocarpon,,,328988-2,Genus
50,Coptosperma,,,,,,Coptosperma,,,34402-1,Genus
51,Cordiera,,,,,,Cordiera,,,30011006-2,Genus
52,Corynanthe,,,,,,Corynanthe,,,34406-1,Genus
53,Cosmibuena,,,,,,Cosmibuena,,,331521-2,Genus
54,Coussarea,,,,,,Coussarea,,,34412-1,Genus
