,Genus,Accepted_Name,Accepted_ID,Accepted_Species,Accepted_Species_ID,Accepted_Rank,alk_diterpenoid,alk_imidazole,alk_indole,alk_indolizidine,alk_indolizine(to_confirm),alk_isoquinoline,alk_mia,alk_misc. one n,alk_misc. two n,alk_monoterpene,alk_naphthyridine,alk_peptide,alk_piperidine,alk_purine,alk_pyrazine,alk_pyridine,alk_pyrrole,alk_pyrrolidine,alk_pyrrolizidine,alk_quinazoline,alk_quinoline,alk_quinolizidine,alk_simple amine,alk_spermidine,alk_steroidal,alk_to_confirm
0,Alafia,Alafia caudata,76422-1,Alafia caudata,76422-1,Species,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Alafia,Alafia multiflora,76446-1,Alafia multiflora,76446-1,Species,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alstonia,Alstonia angustifolia,105718-3,Alstonia angustifolia,105718-3,Species,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Alstonia,Alstonia angustiloba,76507-1,Alstonia angustiloba,76507-1,Species,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alstonia,Alstonia boonei,76511-1,Alstonia boonei,76511-1,Species,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alstonia,Alstonia congensis,76517-1,Alstonia congensis,76517-1,Species,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Alstonia,Alstonia constricta,76518-1,Alstonia constricta,76518-1,Species,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Alstonia,Alstonia coriacea,76520-1,Alstonia coriacea,76520-1,Species,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alstonia,Alstonia deplanchei,76527-1,Alstonia deplanchei,76527-1,Species,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alstonia,Alstonia lanceolifera,76546-1,Alstonia lanceolifera,76546-1,Species,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
