,genus,Habit,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
35,Amphineurion,li,Amphineurion,,,2193-1,Genus
36,Amphistemon,subsh,Amphistemon,,,77107060-1,Genus
37,Amsonia,hb,Amsonia,,,2194-1,Genus
38,Ancylobothrys,li,Ancylobothrys,,,2198-1,Genus
39,Anechites,li,Anechites,,,2200-1,Genus
40,Anemotrochus,li/sh/subsh,Anemotrochus,,,77159825-1,Genus
41,Angadenia,li,Angadenia,,,2201-1,Genus
42,Anisopus,li,Anisopus,,,3194-1,Genus
43,Anisotoma,hb/subsh,Anisotoma,,,3195-1,Genus
44,Anodendron,li,Anodendron,,,2205-1,Genus
45,Antherostele,sh/subsh,Antherostele,,,327847-2,Genus
46,Anthorrhiza,hb/subsh,Anthorrhiza,,,956788-1,Genus
47,Anthospermopsis,subsh,Anthospermopsis,,,998208-1,Genus
48,Anthospermum,sh/subsh,Anthospermum,,,34146-1,Genus
49,Antirhea,sh/tr,Antirhea,,,327846-2,Genus
50,Aoranthe,li/sh/subsh,Aoranthe,,,925123-1,Genus
51,Aphanocarpus,subsh/sh,Aphanocarpus,,,297000-2,Genus
52,Apocynum,hb,Apocynum,,,2211-1,Genus
53,Appunia,sh/subsh/tr,Appunia,,,30087424-2,Genus
54,Apteranthes,sc,Apteranthes,,,3206-1,Genus
55,Arachnothryx,sh/tr,Arachnothryx,,,328092-2,Genus
56,Araujia,li,Araujia,,,3207-1,Genus
57,Arcytophyllum,sh,Arcytophyllum,,,34169-1,Genus
58,Argocoffeopsis,li/sh/subsh,Argocoffeopsis,,,34171-1,Genus
59,Argostemma,sh/subsh,Argostemma,,,34173-1,Genus
60,Artia,li,Artia,,,2215-1,Genus
61,Asclepias,hb,Asclepias,,,30005968-2,Genus
62,Asketanthera,li,Asketanthera,,,296561-2,Genus
63,Asperula,hb,Asperula,,,331373-2,Genus
64,Aspidoglossum,hb,Aspidoglossum,,,3212-1,Genus
65,Aspidonepsis,hb,Aspidonepsis,,,970653-1,Genus
66,Aspidosperma,tr,Aspidosperma,,,2217-1,Genus
67,Astephanus,li/subsh,Astephanus,,,30037892-2,Genus
68,Asterostemma,li,Asterostemma,,,3215-1,Genus
69,Atherandra,li,Atherandra,,,3217-1,Genus
70,Atractocarpus,tr/sh,Atractocarpus,,,34185-1,Genus
71,Atractogyne,li,Atractogyne,,,34186-1,Genus
72,Augusta,sh/subsh,Augusta,,,331377-2,Genus
73,Aulacocalyx,sh/subsh/tr,Aulacocalyx,,,34189-1,Genus
74,Australluma,sc,Australluma,,,986757-1,Genus
75,Badusa,tr/sh,Badusa,,,327848-2,Genus
76,Baharuia,li/sh/subsh,Baharuia,,,986035-1,Genus
77,Bahiella,li,Bahiella,,,60443102-2,Genus
78,Baissea,li,Baissea,,,2218-1,Genus
79,Ballyanthus,sc,Ballyanthus,,,1019379-1,Genus
80,Balmea,tr/sh,Balmea,,,298112-2,Genus
81,Barjonia,sh/subsh,Barjonia,,,3223-1,Genus
82,Baroniella,li,Baroniella,,,3224-1,Genus
83,Baseonema,li,Baseonema,,,3226-1,Genus
84,Batesanthus,li,Batesanthus,,,3228-1,Genus
85,Bathysa,sh/tr,Bathysa,,,34203-1,Genus
86,Batopedina,subsh,Batopedina,,,34205-1,Genus
87,Baynesia,sc,Baynesia,,,1018355-1,Genus
88,Beaumontia,li,Beaumontia,,,2221-1,Genus
89,Belonophora,sh/subsh/tr,Belonophora,,,34213-1,Genus
90,Benkara,sh/subsh,Benkara,,,37458-1,Genus
91,Berghesia,sh/subsh,Berghesia,,,34216-1,Genus
92,Bertiera,sh/tr,Bertiera,,,329744-2,Genus
93,Bikkia,sh/subsh/tr,Bikkia,,,34228-1,Genus
94,Blepharidium,sh/subsh/tr,Blepharidium,,,34234-1,Genus
95,Blepharodon,li,Blepharodon,,,3236-1,Genus
96,Bobea,tr/sh,Bobea,,,34237-1,Genus
97,Boholia,sh/subsh,Boholia,,,34238-1,Genus
98,Bothriospora,sh/subsh,Bothriospora,,,34245-1,Genus
99,Botryarrhena,tr/sh,Botryarrhena,,,295957-2,Genus
100,Boucerosia,sc,Boucerosia,,,3239-1,Genus
101,Bousigonia,li,Bousigonia,,,2234-1,Genus
102,Bouvardia,sh/subsh,Bouvardia,,,30000353-2,Genus
103,Brachytome,sh/subsh,Brachytome,,,34248-1,Genus
104,Bradea,subsh,Bradea,,,296047-2,Genus
105,Bremeria,tr/sh,Bremeria,,,77065878-1,Genus
106,Brenania,tr/sh,Brenania,,,34250-1,Genus
107,Breonadia,tr,Breonadia,,,34251-1,Genus
108,Breonia,tr,Breonia,,,34253-1,Genus
109,Bridsonia,hb/subsh,Bridsonia,,,77177795-1,Genus
110,Buckollia,li/sh/subsh,Buckollia,,,978336-1,Genus
111,Bullockia,sh/subsh/tr,Bullockia,,,77101424-1,Genus
112,Bungarimba,sh/subsh/tr,Bungarimba,,,77063586-1,Genus
113,Burchellia,tr/sh,Burchellia,,,34265-1,Genus
114,Byrsophyllum,tr/sh,Byrsophyllum,,,34270-1,Genus
115,Calciphila,subsh,Calciphila,,,60446024-2,Genus
116,Callichilia,sh/subsh,Callichilia,,,2237-1,Genus
117,Callipeltis,hb,Callipeltis,,,34278-1,Genus
118,Calochone,li/sh/subsh,Calochone,,,34279-1,Genus
119,Calocrater,subsh/sh,Calocrater,,,2272-1,Genus
120,Calotropis,sh,Calotropis,,,30369062-2,Genus
121,Calycophyllum,tr,Calycophyllum,,,34281-1,Genus
122,Calycosia,sh/subsh/tr,Calycosia,,,34282-1,Genus
123,Calycosiphonia,sh/subsh/tr,Calycosiphonia,,,893034-1,Genus
124,Calyptranthera,li/subsh,Calyptranthera,,,988402-1,Genus
125,Cameraria,sh/subsh,Cameraria,,,2239-1,Genus
126,Campestigma,li/sh/subsh,Campestigma,,,3252-1,Genus
127,Camptocarpus,li/sh/subsh,Camptocarpus,,,331455-2,Genus
128,Canephora,tr/sh,Canephora,,,34288-1,Genus
129,Canthium,sh/tr,Canthium,,,34290-1,Genus
130,Canthiumera,tr/sh,Canthiumera,,,77195139-1,Genus
131,Capirona,tr/sh,Capirona,,,34292-1,Genus
132,Carajasia,subsh,Carajasia,,,77146978-1,Genus
133,Caralluma,sc,Caralluma,,,30343894-2,Genus
134,Carapichea,sh/tr/subsh,Carapichea,,,30206104-2,Genus
135,Carissa,sh,Carissa,,,2243-1,Genus
136,Carpacoce,subsh,Carpacoce,,,34299-1,Genus
137,Carphalea,sh/subsh/tr,Carphalea,,,34300-1,Genus
138,Carruthersia,li,Carruthersia,,,2248-1,Genus
139,Carterella,hb,Carterella,,,30219602-2,Genus
140,Carvalhoa,sh/subsh/tr,Carvalhoa,,,2249-1,Genus
141,Casasia,tr/sh,Casasia,,,34304-1,Genus
142,Cascabela,sh,Cascabela,,,2250-1,Genus
143,Catesbaea,sh/subsh,Catesbaea,,,30059171-2,Genus
144,Catharanthus,subsh,Catharanthus,,,2251-1,Genus
145,Catunaregam,sh/tr,Catunaregam,,,34310-1,Genus
146,Caudanthera,sc,Caudanthera,,,986774-1,Genus
147,Cephalanthus,sh/tr,Cephalanthus,,,34312-1,Genus
148,Ceratopyxis,sh/subsh,Ceratopyxis,,,34318-1,Genus
149,Cerbera,sh/subsh/tr,Cerbera,,,60436653-2,Genus
150,Cerberiopsis,tr/sh,Cerberiopsis,,,2253-1,Genus
151,Ceriscoides,sh/subsh/tr,Ceriscoides,,,1123761-2,Genus
152,Ceropegia,hb,Ceropegia,,,328162-2,Genus
153,Chaetostachydium,sh/subsh,Chaetostachydium,,,34324-1,Genus
154,Chalepophyllum,sh/subsh/tr,Chalepophyllum,,,34327-1,Genus
155,Chamaeclitandra,subsh/sh,Chamaeclitandra,,,2257-1,Genus
156,Chamaepentas,sh/subsh,Chamaepentas,,,34330-1,Genus
157,Chapelieria,sh/subsh/tr,Chapelieria,,,34335-1,Genus
158,Chassalia,sh/tr/subsh,Chassalia,,,34342-1,Genus
159,Chilocarpus,sh,Chilocarpus,,,2260-1,Genus
160,Chimarrhis,tr,Chimarrhis,,,34349-1,Genus
161,Chiococca,sh/tr,Chiococca,,,30010725-2,Genus
162,Chione,sh/subsh/tr,Chione,,,329733-2,Genus
163,Chlorocyathus,li/hb,Chlorocyathus,,,3264-1,Genus
164,Chomelia,tr/sh,Chomelia,,,328093-2,Genus
165,Chonemorpha,li,Chonemorpha,,,331489-2,Genus
166,Cibirhiza,li,Cibirhiza,,,925113-1,Genus
167,Ciliosemina,tr/sh,Ciliosemina,,,77065716-1,Genus
168,Cinchona,sh/subsh,Cinchona,,,329816-2,Genus
169,Cinchonopsis,tr/sh,Cinchonopsis,,,983791-1,Genus
170,Cionura,hb/subsh/sh,Cionura,,,3270-1,Genus
171,Cladoceras,hb/subsh,Cladoceras,,,34370-1,Genus
172,Clarkella,hb,Clarkella,,,34371-1,Genus
173,Cleghornia,li,Cleghornia,,,2264-1,Genus
174,Clitandra,li,Clitandra,,,2266-1,Genus
175,Coccochondra,sh/subsh,Coccochondra,,,893533-1,Genus
176,Coccocypselum,subsh,Coccocypselum,,,331499-2,Genus
177,Coddia,sh/subsh,Coddia,,,893039-1,Genus
178,Coelospermum,li,Coelospermum,,,327850-2,Genus
179,Coffea,sh/tr,Coffea,,,325985-2,Genus
180,Colletoecema,sh/subsh/tr,Colletoecema,,,34388-1,Genus
181,Condaminea,sh/tr,Condaminea,,,34392-1,Genus
182,Condylocarpon,tr/sh,Condylocarpon,,,328988-2,Genus
183,Conomitra,hb,Conomitra,,,3281-1,Genus
184,Conostomium,subsh,Conostomium,,,34395-1,Genus
185,Coprosma,sh/subsh,Coprosma,,,34398-1,Genus
186,Coptophyllum,hb,Coptophyllum,,,331515-2,Genus
187,Coptosapelta,li/sh/subsh,Coptosapelta,,,34401-1,Genus
188,Coptosperma,sh/subsh/tr,Coptosperma,,,34402-1,Genus
189,Cordiera,sh/tr/subsh,Cordiera,,,30011006-2,Genus
190,Cordylogyne,hb,Cordylogyne,,,3284-1,Genus
191,Cordylostigma,hb,Cordylostigma,,,77107951-1,Genus
192,Corynanthe,tr,Corynanthe,,,34406-1,Genus
193,Coryphothamnus,subsh/sh,Coryphothamnus,,,296910-2,Genus
194,Cosmibuena,sh/tr,Cosmibuena,,,331521-2,Genus
195,Cosmocalyx,tr/sh,Cosmocalyx,,,296914-2,Genus
196,Cosmostigma,li,Cosmostigma,,,3287-1,Genus
197,Couma,tr/sh,Couma,,,2277-1,Genus
198,Coussarea,sh/subsh/tr,Coussarea,,,34412-1,Genus
199,Coutaportla,subsh/sh,Coutaportla,,,296973-2,Genus
200,Coutarea,sh/tr,Coutarea,,,34414-1,Genus
201,Coutareopsis,sh/subsh/tr,Coutareopsis,,,77187930-1,Genus
202,Cowiea,tr/sh,Cowiea,,,34418-1,Genus
203,Craspidospermum,tr/sh,Craspidospermum,,,2280-1,Genus
204,Craterispermum,sh/tr,Craterispermum,,,34420-1,Genus
205,Cremaspora,hb/subsh/tr/sh,Cremaspora,,,34423-1,Genus
206,Crioceras,sh/subsh/tr,Crioceras,,,2281-1,Genus
207,Cristobalia,subsh,Cristobalia,,,60473391-2,Genus
208,Crobylanthe,sh/subsh,Crobylanthe,,,34427-1,Genus
209,Crossopteryx,sh/subsh/tr,Crossopteryx,,,34430-1,Genus
210,Crucianella,subsh,Crucianella,,,30040449-2,Genus
211,Cruciata,hb,Cruciata,,,34433-1,Genus
212,Cruckshanksia,hb,Cruckshanksia,,,331524-2,Genus
213,Crusea,hb,Crusea,,,329735-2,Genus
214,Cryptolepis,sh/li,Cryptolepis,,,3291-1,Genus
215,Cryptostegia,li,Cryptostegia,,,3293-1,Genus
216,Cubanola,sh/subsh/tr,Cubanola,,,298249-2,Genus
217,Cuviera,sh/subsh/tr,Cuviera,,,331533-2,Genus
218,Cyanoneuron,subsh/sh,Cyanoneuron,,,1001902-1,Genus
219,Cycladenia,hb,Cycladenia,,,2285-1,Genus
220,Cyclocotyla,li,Cyclocotyla,,,2286-1,Genus
221,Cyclophyllum,sh/subsh,Cyclophyllum,,,34452-1,Genus
222,Cylindropsis,li/sh/subsh,Cylindropsis,,,2289-1,Genus
223,Cynanchum,li/sh/subsh,Cynanchum,,,30401855-2,Genus
224,Damnacanthus,sh/subsh,Damnacanthus,,,34456-1,Genus
225,Danais,sh/li,Danais,,,34457-1,Genus
226,Debia,hb,Debia,,,77147270-1,Genus
227,Decalepis,li,Decalepis,,,3313-1,Genus
228,Deccania,tr/sh,Deccania,,,893278-1,Genus
229,Declieuxia,subsh,Declieuxia,,,34464-1,Genus
230,Dendrosipanea,sh/subsh,Dendrosipanea,,,296724-2,Genus
231,Denscantia,li/subsh,Denscantia,,,20005653-1,Genus
232,Dentella,subsh,Dentella,,,34469-1,Genus
233,Deppea,sh/subsh,Deppea,,,328103-2,Genus
234,Desmidorchis,sc,Desmidorchis,,,3319-1,Genus
235,Dewevrella,li,Dewevrella,,,2296-1,Genus
236,Dialypetalanthus,tr/sh,Dialypetalanthus,,,296738-2,Genus
237,Dibrachionostylus,subsh,Dibrachionostylus,,,34475-1,Genus
238,Dibridsonia,sh/subsh/tr,Dibridsonia,,,77195146-1,Genus
239,Dichilanthe,tr/sh,Dichilanthe,,,34476-1,Genus
240,Dictyophleba,li,Dictyophleba,,,2298-1,Genus
241,Didymaea,hb/subsh,Didymaea,,,328101-2,Genus
242,Didymochlamys,subsh,Didymochlamys,,,34482-1,Genus
243,Didymosalpinx,sh/subsh,Didymosalpinx,,,34485-1,Genus
244,Dimetia,subsh/li,Dimetia,,,34487-1,Genus
245,Diodia,hb,Diodia,,,60014714-3,Genus
246,Dioecrescis,sh/subsh/tr,Dioecrescis,,,893279-1,Genus
247,Dioicodendron,hb/subsh,Dioicodendron,,,296441-2,Genus
248,Diplolepis,li/sh/subsh,Diplolepis,,,30132335-2,Genus
249,Diplorhynchus,tr,Diplorhynchus,,,2301-1,Genus
250,Diplospora,tr,Diplospora,,,327853-2,Genus
251,Dirichletia,sh/subsh,Dirichletia,,,34501-1,Genus
252,Dischidanthus,li,Dischidanthus,,,2303-1,Genus
253,Dischidia,li/subsh,Dischidia,,,3332-1,Genus
254,Dischidiopsis,li/subsh,Dischidia,,,3332-1,Genus
255,Discospermum,sh/subsh/tr,Discospermum,,,327854-2,Genus
256,Ditassa,li/subsh,Ditassa,,,3334-1,Genus
257,Ditrichanthus,sh/subsh,Ditrichanthus,,,77150862-1,Genus
258,Diyaminauclea,tr/sh,Diyaminauclea,,,34507-1,Genus
259,Dolianthus,sh/subsh,Dolianthus,,,25053-1,Genus
260,Dolichodelphys,sh/subsh/tr,Dolichodelphys,,,34510-1,Genus
261,Dolicholobium,sh/subsh/tr,Dolicholobium,,,327855-2,Genus
262,Dolichometra,subsh,Dolichometra,,,34512-1,Genus
263,Dolichopentas,subsh/sh,Dolichopentas,,,77086219-1,Genus
264,Dolichopetalum,li,Dolichopetalum,,,3337-1,Genus
265,Donnellyanthus,sh/subsh,Donnellyanthus,,,77115776-1,Genus
266,Dregea,li,Dregea,,,331574-2,Genus
267,Duidania,sh/subsh/tr,Duidania,,,297173-2,Genus
268,Dunnia,sh/subsh,Dunnia,,,34525-1,Genus
269,Duperrea,sh/subsh/tr,Duperrea,,,34526-1,Genus
270,Duroia,tr,Duroia,,,327394-2,Genus
271,Durringtonia,hb,Durringtonia,,,893447-1,Genus
272,Duvalia,sc,Duvalia,,,3343-1,Genus
273,Duvaliandra,sc,Duvaliandra,,,3344-1,Genus
274,Duvaliaranthus,sc,× Duvaliaranthus,,,3345-1,Genus
275,Dyera,tr,Dyera,,,2308-1,Genus
276,Echidnopsis,sc,Echidnopsis,,,3347-1,Genus
277,Echites,li,Echites,,,30002973-2,Genus
278,Ectadium,subsh/sh,Ectadium,,,3350-1,Genus
279,Ecua,li,Ecua,,,989505-1,Genus
280,Edithcolea,sc,Edithcolea,,,3352-1,Genus
281,Edrastima,hb/subsh,Edrastima,,,60467433-2,Genus
282,Eizia,subsh/sh,Eizia,,,298263-2,Genus
283,Elaeagia,tr,Elaeagia,,,30043270-2,Genus
284,Elytropus,li,Elytropus,,,2317-1,Genus
285,Emicocarpus,hb,Emicocarpus,,,3356-1,Genus
286,Emmenopterys,sh,Emmenopterys,,,34549-1,Genus
287,Emmeorhiza,li/sh/subsh,Emmeorhiza,,,34550-1,Genus
288,Emplectanthus,li/subsh,Emplectanthus,,,3357-1,Genus
289,Empogona,sh/subsh/tr,Empogona,,,34552-1,Genus
290,Eosanthe,sh/subsh/tr,Eosanthe,,,295451-2,Genus
291,Ephippiocarpa,sh/subsh,Ephippiocarpa,,,2319-1,Genus
292,Epigynum,li,Epigynum,,,2321-1,Genus
293,Epistemma,li/sh/subsh,Epistemma,,,893162-1,Genus
294,Eriosemopsis,hb/subsh,Eriosemopsis,,,34565-1,Genus
295,Erithalis,sh/subsh/tr,Erithalis,,,327126-2,Genus
296,Ernodea,sh/subsh,Ernodea,,,327128-2,Genus
297,Euclinia,sh/subsh/tr,Euclinia,,,34576-1,Genus
298,Eucorymbia,li,Eucorymbia,,,2325-1,Genus
299,Eumachia,sh,Eumachia,,,34578-1,Genus
300,Eustegia,hb,Eustegia,,,3363-1,Genus
301,Everistia,sh/subsh/tr,Everistia,,,1007226-1,Genus
302,Exallage,sh,Exallage,,,34589-1,Genus
303,Exallosperma,sh/subsh,Exallosperma,,,77178881-1,Genus
304,Exostema,sh/tr,Exostema,,,1057956-2,Genus
305,Fadogia,subsh,Fadogia,,,34596-1,Genus
306,Fadogiella,sh,Fadogiella,,,34597-1,Genus
307,Fanninia,hb,Fanninia,,,3368-1,Genus
308,Faramea,sh/subsh/tr,Faramea,,,34600-1,Genus
309,Farquharia,li,Farquharia,,,2329-1,Genus
310,Ferdinandusa,tr/sh,Ferdinandusa,,,34602-1,Genus
311,Feretia,sh/subsh/tr,Feretia,,,34605-1,Genus
312,Fergusonia,hb/subsh,Fergusonia,,,34606-1,Genus
313,Fernelia,sh/subsh,Fernelia,,,34607-1,Genus
314,Finlaysonia,li,Finlaysonia,,,3370-1,Genus
315,Fischeria,li,Fischeria,,,30025794-2,Genus
316,Flagenium,sh/subsh/tr,Flagenium,,,34611-1,Genus
317,Flexanthera,tr/sh,Flexanthera,,,295370-2,Genus
318,Fockea,li/hb,Fockea,,,3373-1,Genus
319,Foonchewia,sh/subsh,Foonchewia,,,77161514-1,Genus
320,Forsteronia,li,Forsteronia,,,328996-2,Genus
321,Fosbergia,tr/sh,Fosbergia,,,996473-1,Genus
322,Funastrum,li/subsh,Funastrum,,,3376-1,Genus
323,Funtumia,tr,Funtumia,,,295871-2,Genus
324,Gaertnera,sh/subsh/tr,Gaertnera,,,331617-2,Genus
325,Galactophora,sh/subsh,Galactophora,,,295864-2,Genus
326,Galianthe,sh/subsh/li,Galianthe,,,34622-1,Genus
327,Galiasperula,hb,× Galiasperula,,,34623-1,Genus
328,Galiniera,sh/tr,Galiniera,,,34624-1,Genus
329,Galium,subsh,Galium,,,325955-2,Genus
330,Gallienia,sh/subsh,Gallienia,,,34628-1,Genus
331,Galopina,hb/subsh,Galopina,,,34632-1,Genus
332,Ganguelia,subsh,Ganguelia,,,988633-1,Genus
333,Gardenia,sh,Gardenia,,,331627-2,Genus
334,Gardeniopsis,sh/subsh/tr,Gardeniopsis,,,34639-1,Genus
335,Geissospermum,tr,Geissospermum,,,2340-1,Genus
336,Genianthus,li/subsh,Genianthus,,,3377-1,Genus
337,Genipa,sh/tr,Genipa,,,34640-1,Genus
338,Gentingia,sh/subsh/tr,Gentingia,,,925148-1,Genus
339,Geophila,subsh,Geophila,,,331623-2,Genus
340,Gillespiea,sh/subsh/tr,Gillespiea,,,34647-1,Genus
341,Gleasonia,tr/sh,Gleasonia,,,297333-2,Genus
342,Glionnetia,tr/sh,Glionnetia,,,893372-1,Genus
343,Globulostylis,sh/subsh/tr,Globulostylis,,,34649-1,Genus
344,Glossostelma,hb,Glossostelma,,,3381-1,Genus
345,Glossostipula,tr/sh,Glossostipula,,,925008-1,Genus
346,Gomphocalyx,hb,Gomphocalyx,,,294735-2,Genus
347,Gomphocarpus,sh,Gomphocarpus,,,30051534-2,Genus
348,Gongronema,li,Gongronema,,,3384-1,Genus
349,Gonioma,sh,Gonioma,,,2342-1,Genus
350,Goniostemma,li/sh/subsh,Goniostemma,,,3387-1,Genus
351,Gonolobus,li/subsh,Gonolobus,,,30002727-2,Genus
352,Gonzalagunia,sh/tr,Gonzalagunia,,,34659-1,Genus
353,Greenea,tr/sh,Greenea,,,34662-1,Genus
354,Greeniopsis,tr/sh,Greeniopsis,,,327857-2,Genus
355,Guettarda,sh/tr,Guettarda,,,34671-1,Genus
356,Guihaiothamnus,subsh,Guihaiothamnus,,,1007331-1,Genus
357,Gunnessia,li,Gunnessia,,,925292-1,Genus
358,Gymnanthera,li/sh/subsh,Gymnanthera,,,3397-1,Genus
359,Gymnema,li,Gymnema,,,3398-1,Genus
360,Gynochthodes,li,Gynochthodes,,,34676-1,Genus
361,Gyrostelma,subsh,Gyrostelma,,,3401-1,Genus
362,Gyrostipula,tr,Gyrostipula,,,34679-1,Genus
363,Habroneuron,li/sh/subsh,Habroneuron,,,298236-2,Genus
364,Hamelia,sh/tr,Hamelia,,,34686-1,Genus
365,Hancornia,tr,Hancornia,,,328990-2,Genus
366,Haplophyton,subsh,Haplophyton,,,2356-1,Genus
367,Hedstromia,tr/sh,Hedstromia,,,34692-1,Genus
368,Hedyotis,subsh,Hedyotis,,,30001807-2,Genus
369,Hedythyrsus,hb,Hedythyrsus,,,34695-1,Genus
370,Heinsenia,sh/subsh/tr,Heinsenia,,,34696-1,Genus
371,Heinsia,sh/subsh/tr,Heinsia,,,34697-1,Genus
372,Hekistocarpa,subsh,Hekistocarpa,,,34698-1,Genus
373,Hemidesmus,li,Hemidesmus,,,3409-1,Genus
374,Hemipogon,subsh,Hemipogon,,,3410-1,Genus
375,Henriquezia,tr/sh,Henriquezia,,,34704-1,Genus
376,Heterophyllaea,sh/subsh,Heterophyllaea,,,34705-1,Genus
377,Heterostemma,li,Heterostemma,,,3412-1,Genus
378,Hexasepalum,subsh/li,Hexasepalum,,,34707-1,Genus
379,Heynella,subsh,Heynella,,,3415-1,Genus
380,Hiepia,hb/subsh,Hoya,,,60437256-2,Genus
381,Hillia,sh/subsh/tr,Hillia,,,30000270-2,Genus
382,Himalrandia,subsh,Himalrandia,,,34716-1,Genus
383,Himatanthus,sh,Himatanthus,,,30058664-2,Genus
384,Hindsia,sh/subsh,Hindsia,,,34717-1,Genus
385,Hintonia,sh/subsh/tr,Hintonia,,,297578-2,Genus
386,Hippotis,sh/subsh/tr,Hippotis,,,34719-1,Genus
387,Hodgkinsonia,tr/sh,Hodgkinsonia,,,34721-1,Genus
388,Hoffmannia,sh,Hoffmannia,,,34722-1,Genus
389,Holarrhena,tr,Holarrhena,,,2371-1,Genus
390,Holstianthus,sh/subsh,Holstianthus,,,924980-1,Genus
391,Homollea,sh/subsh,Homollea,,,34730-1,Genus
392,Hoodia,sc,Hoodia,,,3425-1,Genus
393,Hoodiapelia,sc,× Hoodiapelia,,,3427-1,Genus
394,Hoodiorbea,sc,× Hoodiorbea,,,60435757-2,Genus
395,Hoodiotriche,sc,× Hoodiotriche,,,60435759-2,Genus
396,Houstonia,subsh,Houstonia,,,30006515-2,Genus
397,Hoya,li,Hoya,,,60437256-2,Genus
398,Huernia,sc,Huernia,,,3432-1,Genus
399,Hunteria,tr,Hunteria,,,2377-1,Genus
400,Hutchinsonia,sh/subsh,Hutchinsonia,,,34736-1,Genus
401,Hydnophytum,li,Hydnophytum,,,34737-1,Genus
402,Hydrophylax,subsh,Hydrophylax,,,34738-1,Genus
403,Hylaea,tr/sh,Hylaea,,,1006671-1,Genus
404,Hymenocoleus,subsh,Hymenocoleus,,,34745-1,Genus
405,Hymenodictyon,tr/sh,Hymenodictyon,,,327858-2,Genus
406,Hyperacanthus,sh/subsh/tr,Hyperacanthus,,,893455-1,Genus
407,Hypobathrum,sh/subsh,Hypobathrum,,,34753-1,Genus
408,Hypolobus,li/subsh,Hypolobus,,,3440-1,Genus
409,Hyptianthera,sh/subsh/tr,Hyptianthera,,,34755-1,Genus
410,Ibatia,li,Ibatia,,,3441-1,Genus
411,Ichnocarpus,li,Ichnocarpus,,,331670-2,Genus
412,Involucrella,subsh,Involucrella,,,77147288-1,Genus
413,Ischnolepis,li,Ischnolepis,,,3445-1,Genus
414,Isertia,sh/tr,Isertia,,,34762-1,Genus
415,Isidorea,sh/subsh,Isidorea,,,34764-1,Genus
416,Isonema,hb/subsh,Isonema,,,2382-1,Genus
417,Ixodonerium,li,Ixodonerium,,,2383-1,Genus
418,Ixora,sh/tr,Ixora,,,30043713-2,Genus
419,Jackiopsis,tr/sh,Jackiopsis,,,34768-1,Genus
420,Janotia,tr/sh,Janotia,,,34770-1,Genus
421,Jasminanthes,li,Jasminanthes,,,3449-1,Genus
422,Jobinia,li/subsh,Jobinia,,,3451-1,Genus
423,Joosia,sh/tr,Joosia,,,34774-1,Genus
424,Jovetia,subsh/sh,Jovetia,,,34775-1,Genus
425,Kadua,subsh,Kadua,,,34778-1,Genus
426,Kailarsenia,sh/subsh,Kailarsenia,,,893299-1,Genus
427,Kajewskiella,sh/subsh/tr,Kajewskiella,,,34779-1,Genus
