,genus,Habit,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Acokanthera,sh,Acokanthera,,,2171-1,Genus
1,Acranthera,subsh,Acranthera,,,331317-2,Genus
2,Acrobotrys,sh/subsh,Acrobotrys,,,295729-2,Genus
3,Acrosynanthus,sh/subsh,Acrosynanthus,,,295733-2,Genus
4,Acunaeanthus,sh/subsh/tr,Acunaeanthus,,,298325-2,Genus
5,Adenium,sc,Adenium,,,2172-1,Genus
6,Adenorandia,sh/subsh/tr,Adenorandia,,,981077-1,Genus
7,Adina,sh/tr,Adina,,,34103-1,Genus
8,Adolphoduckea,tr/sh,Adolphoduckea,,,77187867-1,Genus
9,Afrocanthium,tr/sh,Afrocanthium,,,77062247-1,Genus
10,Aganosma,li,Aganosma,,,2176-1,Genus
11,Agathisanthemum,sh/subsh,Agathisanthemum,,,34107-1,Genus
12,Agouticarpa,tr/sh,Agouticarpa,,,327793-2,Genus
13,Aidia,li,Aidia,,,327845-2,Genus
14,Aidiopsis,sh/subsh/tr,Aidiopsis,,,925011-1,Genus
15,Airosperma,sh/subsh/tr,Airosperma,,,34110-1,Genus
16,Alafia,li,Alafia,,,2180-1,Genus
17,Alberta,tr/sh,Alberta,,,34112-1,Genus
18,Aleisanthia,sh/subsh,Aleisanthia,,,34113-1,Genus
19,Aleisanthiopsis,tr/sh,Aleisanthiopsis,,,995636-1,Genus
20,Alibertia,sh/tr,Alibertia,,,30011980-2,Genus
21,Allamanda,sh,Allamanda,,,2182-1,Genus
22,Alleizettella,sh/subsh,Alleizettella,,,34118-1,Genus
23,Allomarkgrafia,li,Allomarkgrafia,,,2183-1,Genus
24,Allowoodsonia,tr/sh,Allowoodsonia,,,2184-1,Genus
25,Alseis,sh/tr,Alseis,,,34120-1,Genus
26,Alstonia,tr,Alstonia,,,331333-2,Genus
27,Alyxia,tr,Alyxia,,,331334-2,Genus
28,Amaioua,sh/tr,Amaioua,,,34121-1,Genus
29,Amalocalyx,li,Amalocalyx,,,2188-1,Genus
30,Amaracarpus,sh/subsh,Amaracarpus,,,34123-1,Genus
31,Ambelania,tr/sh,Ambelania,,,30003984-2,Genus
32,Ampelamus,li/subsh,Ampelamus,,,316972-2,Genus
33,Amphiasma,sh/subsh,Amphiasma,,,34129-1,Genus
34,Amphidasya,subsh/sh,Amphidasya,,,296620-2,Genus
