,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,Reference
11770,236,Chinese Traits,Allium senescens,2569,Allium senescens,1670773,11431011,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
11801,236,Chinese Traits,Artemisia frigida,5187,Artemisia frigida,1670774,11431156,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
11832,236,Chinese Traits,Artemisia sacrorum,5190,Artemisia gmelinii,1670775,11431299,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
11863,236,Chinese Traits,Artemisia sacrorum var glauca,5190,Artemisia gmelinii,1670776,11431432,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
11894,236,Chinese Traits,Astragalus galactites,5842,Astragalus galactites,1670777,11431565,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
11925,236,Chinese Traits,Cleistogenes squarrosa,13360,Cleistogenes squarrosa,1670779,11431754,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
11956,236,Chinese Traits,Euphorbia humifusa,23456,Euphorbia humifusa,1670781,11431923,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
11987,236,Chinese Traits,Lespedeza davurica,33015,Lespedeza davurica,1670782,11432068,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
12018,236,Chinese Traits,Polygala tenuifolia,43184,Polygala tenuifolia,1670784,11432237,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
12045,236,Chinese Traits,Potentilla discolor,43660,Potentilla discolor,1670785,11432357,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
12076,236,Chinese Traits,Scutellaria baicalensis,49254,Scutellaria baicalensis,1670786,11432489,1184.0,Stem latex production,2507,Latex,Latex,no,"Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169180"
