,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Manual_snippet,Sources
1,Adenium,,,2172-1,Genus,r,Manual
5,Alafia,,,2180-1,Genus,r,Manual
12,Amphineurion,,,2193-1,Genus,r,Manual
15,Apteranthes,,,3206-1,Genus,r,Manual
28,Calotropis,,,30369062-2,Genus,r,Manual
35,Catharanthus,,,2251-1,Genus,r,Manual
37,Caudanthera,,,986774-1,Genus,r,Manual
58,Cryptolepis,,,3291-1,Genus,r,Manual
64,Desmidorchis,,,3319-1,Genus,r,Manual
81,Funtumia,,,295871-2,Genus,r,Manual
89,Gomphocarpus,,,30051534-2,Genus,r,Manual
90,Gongronema,,,3384-1,Genus,r,Manual
94,Gymnema,,,3398-1,Genus,r,Manual
99,Hemidesmus,,,3409-1,Genus,r,Manual
106,Holarrhena,,,2371-1,Genus,r,Manual
107,Hoodia,,,3425-1,Genus,r,Manual
115,Kanahia,,,3453-1,Genus,r,Manual
122,Leptadenia,,,3469-1,Genus,r,Manual
128,Marsdenia,,,331758-2,Genus,r,Manual
133,Mondia,,,3516-1,Genus,r,Manual
134,Monolluma,,,986816-1,Genus,r,Manual
136,Motandra,,,2442-1,Genus,r,Manual
150,Pachypodium,,,30028643-2,Genus,r,Manual
157,Pentalinon,,,2502-1,Genus,r,Manual
160,Pergularia,,,3585-1,Genus,r,Manual
161,Periploca,,,3588-1,Genus,r,Manual
196,Secamone,,,30167675-2,Genus,r,Manual
203,Streptocaulon,,,3733-1,Genus,r,Manual
204,Strophanthus,,,2582-1,Genus,r,Manual
213,Vallaris,,,2616-1,Genus,r,Manual
216,Vincetoxicum,,,30010004-2,Genus,r,Manual
222,Xysmalobium,,,3801-1,Genus,r,Manual
