,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,try_Snippet,Compiled_Sources
0,1001478-1,Fadogia luangwae,Fadogia luangwae,1001478-1,Species," <b>Appearance</b>: Suffrutescent herb 10–16 cm tall, <b>Inflorescence</b>:  <em>pubescent</em>., <b>Leaf</b>:  narrowed to the base, appressed velvety grey <em>pubescent</em> on both, with 3–4 slender <em>hairy</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1001478-1)']
1,1001481-1,Pyrostria chapmanii,Pyrostria chapmanii,1001481-1,Species, <b>Leaf</b>:  as conspicuous tufts of <em>hair</em>; petioles 3–7 mm long; stipules 5–7 mm long,,['POWO pages(/taxon/urn:lsid:ipni.org:names:1001481-1)']
2,1001969-1,Pachycarpus firmus,Pachycarpus firmus,1001969-1,Species," 0.3–0.8 m tall, <b>Appearance</b>: Stems erect, <b>Inflorescence</b>: Peduncles 1–4 cm long, <b>Leaf</b>:  parallel secondary veins, <b>Leaf</b>: Leaves with petiole 2–6 mm long, <em>pubescent</em>; lamina, densely <em>pubescent</em>, densely spreading-<em>pubescent</em>, indumentum of spreading white <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1001969-1)']
3,1001970-1,Pachycarpus pachyglossus,Pachycarpus pachyglossus,1001970-1,Species," <b>Appearance</b>:  <em>hairs</em>, <b>Appearance</b>:  but sometimes branching below, <b>Inflorescence</b>:  spreading-<em>pubescent</em>, <b>Leaf</b>:  parallel secondary veins, <b>Leaf</b>: Leaves with petiole 1–5 mm long, <em>pubescent</em>; lamina, densely <em>pubescent</em> with spreading white, indumentum of spreading white <em>hairs</em>, not elongating noticably in fruit.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1001970-1)']
4,1001971-1,Pachycarpus richardsiae,Pachycarpus richardsiae,1001971-1,Species," <b>Appearance</b>:  <em>pubescent</em> with spreading white hairs, <b>Appearance</b>:  pubescent with spreading white <em>hairs</em>, <b>Inflorescence</b>:  spreading-<em>pubescent</em>., <b>Leaf</b>:  of spreading white <em>hairs</em> on both upper and lower surfaces, <b>Leaf</b>: Leaves with petiole 1–5 mm long, <em>pubescent</em>; lamina",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1001971-1)']
5,100220-1,Pachycarpus concolor,Pachycarpus concolor,100220-1,Species," 4–14 mm long, <b>Appearance</b>:  <em>hairs</em>, <b>Appearance</b>:  branched below, <b>Inflorescence</b>: Bracts filiform, <b>Leaf</b>:  <em>hairs</em> on both upper and lower surfaces, <b>Leaf</b>: Leaves spreading, <em>pubescent</em>., <em>pubescent</em>; lamina, densely <em>pubescent</em> with spreading white or rusty, petiole 1–10 mm long",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100220-1)']
6,100235-1,Pachycarpus grantii,Pachycarpus grantii,100235-1,Species," 4–10 mm long, <b>Appearance</b>: , <b>Inflorescence</b>: Bracts filiform, <b>Leaf</b>:  <em>hairs</em> on both upper and lower surfaces., <b>Leaf</b>: Leaves with petiole 2–10 mm long, <em>pubescent</em>., <em>pubescent</em>; lamina, densely <em>pubescent</em> to villous with spreading white hairs, densely pubescent to villous with spreading white <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100235-1)']
7,100241-1,Pachycarpus lineolatus,Pachycarpus lineolatus,100241-1,Species," <b>Appearance</b>:  <em>pubescent</em> with spreading white hairs, <b>Appearance</b>:  pubescent with spreading white <em>hairs</em>, <b>Appearance</b>: Hispid-<em>hairy</em> all over, <b>Inflorescence</b>:  spreading-<em>pubescent</em>., <b>Leaf</b>: , <b>Leaf</b>: Leaves with petiole (2–)5–13 mm long, <em>pubescent</em>; lamina, indumentum of slightly scabrid spreading white <em>hairs</em> on both upper",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100241-1)']
8,100260-1,Pachycarpus spurius,Pachycarpus spurius,100260-1,Species," 0.8–2 m long, <b>Appearance</b>:  with spreading white <em>hairs</em>, <b>Appearance</b>: Stems erect, <b>Inflorescence</b>: Bracts filiform, <b>Leaf</b>:  upper and lower surfaces with minute scabrid <em>hairs</em>, <b>Leaf</b>: Leaves with petiole 3–10(–15) mm long, <em>pubescent</em>., <em>pubescent</em>; lamina, densely <em>pubescent</em>, unbranched, ± 10 mm long",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100260-1)']
9,100371-1,Pergularia daemia,Pergularia daemia,100371-1,Species," <b>Appearance</b>:  with stiff spreading <em>hairs</em>, <b>Appearance</b>: Scrambling twiner; stems and inflorescences <em>pubescent</em>, <b>Leaf</b>:  <em>hairs</em> principally restricted to veins beneath to densely, <b>Leaf</b>:  to shortly attenuate, <em>pubescent</em> with stiff, base strongly cordate",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100371-1)']
