,Count
Total,1138
MPNS,710
WEP (Wiersema 2013),229
USDA(Duke),48
USDA Plants Database,468
CPCS toxic,14
SpeciesProfileVernacular,11
TPPT,11
UCANR Toxic,5
PPAfrica-botswana-commonnames,5
Cornell CALS,1
CPCS nontoxic,6
UCANR NonToxic,3
Wiki,40
POWO,39
