,Name,Language,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
805,Vinca major subsp. major,['pt'],Vinca major subsp. major,Vinca major,82697-1,77171099-1,Subspecies
806,Vinca minor,"['es', 'en', 'fr', 'it', 'pt','zh']",Vinca minor,Vinca minor,82701-1,82701-1,Species
807,Vincetoxicum auriculatum,['en'],Vincetoxicum auriculatum,Vincetoxicum auriculatum,102680-1,102680-1,Species
808,Vincetoxicum diplostigma,['en'],Vincetoxicum diplostigma,Vincetoxicum diplostigma,77190216-1,77190216-1,Species
809,Vincetoxicum funebre,['fr'],Vincetoxicum funebre,Vincetoxicum funebre,102785-1,102785-1,Species
810,Vincetoxicum hirundinaria,"['es', 'en', 'fr', 'it', 'pt','zh']",Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,102810-1,102810-1,Species
811,Vincetoxicum lineare,['en'],Vincetoxicum lineare,Vincetoxicum lineare,77190252-1,77190252-1,Species
812,Vincetoxicum linifolium,['en'],Vincetoxicum linifolium,Vincetoxicum linifolium,102847-1,102847-1,Species
813,Vincetoxicum nigrum,"['es', 'en', 'fr', 'pt']",Vincetoxicum nigrum,Vincetoxicum nigrum,1088174-2,1088174-2,Species
814,Vincetoxicum rossicum,['en'],Vincetoxicum rossicum,Vincetoxicum rossicum,60456000-2,60456000-2,Species
815,Vincetoxicum woollsii,['en'],Vincetoxicum woollsii,Vincetoxicum woollsii,103048-1,103048-1,Species
816,Voacanga africana,"['es', 'en', 'fr', 'it']",Voacanga africana,Voacanga africana,82719-1,82719-1,Species
817,Voacanga caudiflora,['fr'],Voacanga caudiflora,Voacanga caudiflora,82726-1,82726-1,Species
818,Voacanga foetida,['en'],Voacanga foetida,Voacanga foetida,82734-1,82734-1,Species
819,Voacanga grandifolia,['en'],Voacanga grandifolia,Voacanga grandifolia,82740-1,82740-1,Species
820,Voacanga havilandii,['en'],Voacanga havilandii,Voacanga havilandii,82742-1,82742-1,Species
821,Voacanga thouarsii,['en'],Voacanga thouarsii,Voacanga thouarsii,82760-1,82760-1,Species
822,Willughbeia cirrhifera,['en'],Willughbeia cirrhifera,Willughbeia cirrhifera,82776-1,82776-1,Species
823,Willughbeia coriacea,"['es', 'fr']",Willughbeia coriacea,Willughbeia coriacea,82779-1,82779-1,Species
824,Willughbeia edulis,['en'],Willughbeia edulis,Willughbeia edulis,1009147-1,1009147-1,Species
825,Willughbeia sarawacensis,['en'],Willughbeia sarawacensis,Willughbeia sarawacensis,82810-1,82810-1,Species
826,Wrightia angustifolia,['en'],Wrightia angustifolia,Wrightia angustifolia,82827-1,82827-1,Species
827,Wrightia annamensis,['en'],Wrightia annamensis,Wrightia annamensis,82828-1,82828-1,Species
828,Wrightia antidysenterica,"['es', 'en']",Wrightia antidysenterica,Wrightia antidysenterica,82830-1,82830-1,Species
829,Wrightia demartiniana,['en'],Wrightia demartiniana,Wrightia demartiniana,82845-1,82845-1,Species
830,Wrightia dubia,['en'],Wrightia dubia,Wrightia dubia,82847-1,82847-1,Species
831,Wrightia laevis,"['en','zh']",Wrightia laevis,Wrightia laevis,82858-1,82858-1,Species
832,Wrightia lanceolata,"['en', 'fr']",Wrightia lanceolata,Wrightia lanceolata,82859-1,82859-1,Species
833,Wrightia lecomtei,"['en', 'fr']",Wrightia lecomtei,Wrightia lecomtei,82861-1,82861-1,Species
834,Wrightia natalensis,['en'],Wrightia natalensis,Wrightia natalensis,82868-1,82868-1,Species
835,Wrightia pubescens,"['en','zh']",Wrightia pubescens,Wrightia pubescens,82875-1,82875-1,Species
836,Wrightia religiosa,['en'],Wrightia religiosa,Wrightia religiosa,82877-1,82877-1,Species
837,Wrightia tinctoria,"['en', 'fr']",Wrightia tinctoria,Wrightia tinctoria,82890-1,82890-1,Species
838,Wrightia viridiflora,"['en', 'fr']",Wrightia viridiflora,Wrightia viridiflora,82893-1,82893-1,Species
839,Xysmalobium samoritourei,['en'],Xysmalobium samoritourei,Xysmalobium samoritourei,77095650-1,77095650-1,Species
840,Xysmalobium undulatum,['es'],Xysmalobium undulatum,Xysmalobium undulatum,103155-1,103155-1,Species
841,Zygostelma benthamii,['en'],Zygostelma benthamii,Zygostelma benthamii,103165-1,103165-1,Species
842,Acrobotrys discolor,"['es', 'en', 'pt']",Acrobotrys discolor,Acrobotrys discolor,3533-2,3533-2,Species
843,Acunaeanthus tinifolius,"['es', 'en']",Acunaeanthus tinifolius,Acunaeanthus tinifolius,4173-2,4173-2,Species
844,Adenorandia kalbreyeri,"['es', 'en']",Adenorandia kalbreyeri,Adenorandia kalbreyeri,979701-1,979701-1,Species
845,Adina cordifolia,"['es', 'en']",Adina cordifolia,Adina cordifolia,742903-1,742903-1,Species
846,Adina fagifolia,['es'],Adina fagifolia,Adina fagifolia,742905-1,742905-1,Species
847,Adina trichotoma,['es'],Adina trichotoma,Adina trichotoma,742939-1,742939-1,Species
848,Afrocanthium keniense,['en'],Afrocanthium keniense,Afrocanthium keniense,77062250-1,77062250-1,Species
849,Afrocanthium kilifiense,['en'],Afrocanthium kilifiense,Afrocanthium kilifiense,77062251-1,77062251-1,Species
850,Afrocanthium pseudoverticillatum,['en'],Afrocanthium pseudoverticillatum,Afrocanthium pseudoverticillatum,77062258-1,77062258-1,Species
851,Afrocanthium shabanii,['en'],Afrocanthium shabanii,Afrocanthium shabanii,77062262-1,77062262-1,Species
852,Afrocanthium siebenlistii,['en'],Afrocanthium siebenlistii,Afrocanthium siebenlistii,77062263-1,77062263-1,Species
853,Afrocanthium vollesenii,['en'],Afrocanthium vollesenii,Afrocanthium vollesenii,77062264-1,77062264-1,Species
854,Aidia cochinchinensis,"['en', 'fr','zh']",Aidia cochinchinensis,Aidia cochinchinensis,742957-1,742957-1,Species
855,Aidia densiflora,"['es', 'fr']",Aidia densiflora,Aidia densiflora,742958-1,742958-1,Species
856,Aidia gardneri,['en'],Aidia gardneri,Aidia gardneri,742959-1,742959-1,Species
857,Aidia quintasii,['fr'],Aidia quintasii,Aidia quintasii,742967-1,742967-1,Species
858,Aidia rhacodosepala,['fr'],Aidia rhacodosepala,Aidia rhacodosepala,742968-1,742968-1,Species
859,Aidia wattii,['fr'],Aidia wattii,Aidia wattii,742975-1,742975-1,Species
860,Aidiopsis orophila,"['es', 'en']",Aidiopsis orophila,Aidiopsis orophila,989548-1,989548-1,Species
861,Alberta magna,"['es', 'en']",Alberta magna,Alberta magna,742988-1,742988-1,Species
862,Alibertia edulis,"['es', 'en', 'pt']",Alibertia edulis,Alibertia edulis,743001-1,743001-1,Species
863,Alibertia patinoi,['en'],Alibertia patinoi,Alibertia patinoi,77116169-1,77116169-1,Species
864,Alleizettella leucocarpa,"['en','zh']",Alleizettella leucocarpa,Alleizettella leucocarpa,911718-1,911718-1,Species
865,Alleizettella rubra,['en'],Alleizettella rubra,Alleizettella rubra,743038-1,743038-1,Species
866,Alseis lugonis,"['es', 'en']",Alseis lugonis,Alseis lugonis,306707-2,306707-2,Species
867,Amphidasya elegans,['en'],Amphidasya elegans,Amphidasya elegans,322148-2,322148-2,Species
868,Amphidasya longicalycina,['es'],Amphidasya longicalycina,Amphidasya longicalycina,1164710-2,1164710-2,Species
869,Anthospermopsis catechosperma,['en'],Anthospermopsis catechosperma,Anthospermopsis catechosperma,998209-1,998209-1,Species
870,Anthospermum aethiopicum,['en'],Anthospermum aethiopicum,Anthospermum aethiopicum,743351-1,743351-1,Species
871,Anthospermum asperuloides,"['en', 'fr']",Anthospermum asperuloides,Anthospermum asperuloides,743358-1,743358-1,Species
872,Aoranthe penduliflora,['en'],Aoranthe penduliflora,Aoranthe penduliflora,945443-1,945443-1,Species
873,Aphanocarpus steyermarkii,"['es', 'en']",Aphanocarpus steyermarkii,Aphanocarpus steyermarkii,15944-2,15944-2,Species
874,Arachnothryx chimboracensis,['en'],Arachnothryx chimboracensis,Arachnothryx chimboracensis,17340-2,17340-2,Species
875,Arachnothryx fosbergii,['en'],Arachnothryx fosbergii,Arachnothryx fosbergii,17351-2,17351-2,Species
876,Arachnothryx peruviana,['es'],Arachnothryx peruviana,Arachnothryx peruviana,17369-2,17369-2,Species
877,Arcytophyllum nitidum,['es'],Arcytophyllum nitidum,Arcytophyllum nitidum,743608-1,743608-1,Species
878,Argocoffeopsis lemblinii,"['es', 'en']",Argocoffeopsis lemblinii,Argocoffeopsis lemblinii,908345-1,908345-1,Species
879,Argostemma ophirense,['en'],Argostemma ophirense,Argostemma ophirense,743757-1,743757-1,Species
880,Asperula abbreviata,['en'],Asperula abbreviata,Asperula abbreviata,743859-1,743859-1,Species
881,Asperula abchasica,['en'],Asperula abchasica,Asperula abchasica,743860-1,743860-1,Species
882,Asperula accrescens,['en'],Asperula accrescens,Asperula accrescens,743861-1,743861-1,Species
883,Asperula acuminata,['en'],Asperula acuminata,Asperula acuminata,77096367-1,77096367-1,Species
884,Asperula affinis,['en'],Asperula affinis,Asperula affinis,743864-1,743864-1,Species
885,Asperula albiflora,['en'],Asperula albiflora,Asperula albiflora,743866-1,743866-1,Species
886,Asperula ambleia,['en'],Asperula ambleia,Asperula ambleia,743872-1,743872-1,Species
887,Asperula apuana,['en'],Asperula apuana,Asperula apuana,77121229-1,77121229-1,Species
888,Asperula arcadiensis,['en'],Asperula arcadiensis,Asperula arcadiensis,743877-1,743877-1,Species
889,Asperula aristata,"['es', 'en', 'fr', 'pt']",Asperula aristata,Asperula aristata,743880-1,743880-1,Species
890,Asperula aristata subsp. scabra,"['es', 'pt']",Asperula aristata subsp. scabra,Asperula aristata,743880-1,77188758-1,Subspecies
891,Asperula arvensis,"['es', 'en', 'fr', 'pt']",Asperula arvensis,Asperula arvensis,743883-1,743883-1,Species
892,Asperula assamica,['en'],Asperula assamica,Asperula assamica,743886-1,743886-1,Species
893,Asperula asterocephala,['en'],Asperula asterocephala,Asperula asterocephala,743888-1,743888-1,Species
894,Asperula brachyantha,['en'],Asperula brachyantha,Asperula brachyantha,743910-1,743910-1,Species
895,Asperula breviflora,"['es', 'en']",Asperula breviflora,Asperula breviflora,743912-1,743912-1,Species
896,Asperula conferta,['en'],Asperula conferta,Asperula conferta,743942-1,743942-1,Species
897,Asperula crassula,['en'],Asperula crassula,Asperula crassula,905691-1,905691-1,Species
898,Asperula cynanchica,"['es', 'en', 'fr', 'pt']",Asperula cynanchica,Asperula cynanchica,743955-1,743955-1,Species
899,Asperula cypria,['en'],Asperula cypria,Asperula cypria,743956-1,743956-1,Species
900,Asperula euryphylla,['es'],Asperula euryphylla,Asperula euryphylla,743977-1,743977-1,Species
901,Asperula galioides,['es'],Asperula galioides,Asperula galioides,743992-1,743992-1,Species
902,Asperula gunnii,"['es', 'en']",Asperula gunnii,Asperula gunnii,744012-1,744012-1,Species
903,Asperula gussonei,['en'],Asperula gussonei,Asperula gussonei,744014-1,744014-1,Species
904,Asperula hercegovina,['en'],Asperula hercegovina,Asperula hercegovina,744016-1,744016-1,Species
905,Asperula hexaphylla,['fr'],Asperula hexaphylla,Asperula hexaphylla,744018-1,744018-1,Species
906,Asperula hirsuta,['pt'],Asperula hirsuta,Asperula hirsuta,744020-1,744020-1,Species
907,Asperula hirta,['fr'],Asperula hirta,Asperula hirta,744022-1,744022-1,Species
908,Asperula involucrata,['en'],Asperula involucrata,Asperula involucrata,744036-1,744036-1,Species
909,Asperula lilaciflora,['en'],Asperula lilaciflora,Asperula lilaciflora,744056-1,744056-1,Species
910,Asperula mungieri,['en'],Asperula mungieri,Asperula mungieri,744085-1,744085-1,Species
911,Asperula naufraga,['en'],Asperula naufraga,Asperula naufraga,1015321-1,1015321-1,Species
912,Asperula nitida,['en'],Asperula nitida,Asperula nitida,744095-1,744095-1,Species
913,Asperula oblanceolata,['es'],Asperula oblanceolata,Asperula oblanceolata,77096369-1,77096369-1,Species
914,Asperula orientalis,"['es', 'en','zh']",Asperula orientalis,Asperula orientalis,744104-1,744104-1,Species
915,Asperula paui,['fr'],Asperula paui,Asperula paui,744113-1,744113-1,Species
916,Asperula podlechii,['en'],Asperula podlechii,Asperula podlechii,77067761-1,77067761-1,Species
917,Asperula purpurea,['en'],Asperula purpurea,Asperula purpurea,744143-1,744143-1,Species
918,Asperula pusilla,['en'],Asperula pusilla,Asperula pusilla,744144-1,744144-1,Species
919,Asperula rumelica,['en'],Asperula rumelica,Asperula rumelica,744156-1,744156-1,Species
920,Asperula rupicola,['en'],Asperula rupicola,Asperula rupicola,744158-1,744158-1,Species
921,Asperula scoparia,['en'],Asperula scoparia,Asperula scoparia,744167-1,744167-1,Species
922,Asperula serotina,['en'],Asperula serotina,Asperula serotina,910045-1,910045-1,Species
923,Asperula sintenisii,['en'],Asperula sintenisii,Asperula sintenisii,744178-1,744178-1,Species
924,Asperula subsimplex,['es'],Asperula subsimplex,Asperula subsimplex,744192-1,744192-1,Species
925,Asperula subulifolia,['en'],Asperula subulifolia,Asperula subulifolia,744193-1,744193-1,Species
926,Asperula taurina,['en'],Asperula taurina,Asperula taurina,744199-1,744199-1,Species
927,Asperula taygetea,['en'],Asperula taygetea,Asperula taygetea,744201-1,744201-1,Species
928,Asperula tetraphylla,"['es', 'en']",Asperula tetraphylla,Asperula tetraphylla,77096368-1,77096368-1,Species
929,Asperula tinctoria,"['es', 'en', 'fr']",Asperula tinctoria,Asperula tinctoria,744208-1,744208-1,Species
930,Asperula virgata,['en'],Asperula virgata,Asperula virgata,744223-1,744223-1,Species
931,Asperula wimmeriana,['en'],Asperula wimmeriana,Asperula wimmeriana,744226-1,744226-1,Species
932,Asperula xylorrhiza,['en'],Asperula xylorrhiza,Asperula xylorrhiza,744230-1,744230-1,Species
933,Astiella delicatula,"['es', 'en']",Astiella delicatula,Astiella delicatula,744240-1,744240-1,Species
934,Atractocarpus benthamianus,"['es', 'en']",Atractocarpus benthamianus,Atractocarpus benthamianus,1008717-1,1008717-1,Species
935,Atractocarpus chartaceus,['en'],Atractocarpus chartaceus,Atractocarpus chartaceus,1008719-1,1008719-1,Species
936,Atractocarpus fitzalanii,['en'],Atractocarpus fitzalanii,Atractocarpus fitzalanii,1008720-1,1008720-1,Species
937,Atractocarpus heterophyllus,['en'],Atractocarpus heterophyllus,Atractocarpus heterophyllus,941754-1,941754-1,Species
938,Atractocarpus hirtus,['en'],Atractocarpus hirtus,Atractocarpus hirtus,1008722-1,1008722-1,Species
939,Atractocarpus stipularis,['en'],Atractocarpus stipularis,Atractocarpus stipularis,948115-1,948115-1,Species
940,Aulacocalyx camerooniana,['fr'],Aulacocalyx camerooniana,Aulacocalyx camerooniana,77068591-1,77068591-1,Species
941,Aulacocalyx lamprophylla,['fr'],Aulacocalyx lamprophylla,Aulacocalyx lamprophylla,744271-1,744271-1,Species
942,Aulacocalyx mapiana,['fr'],Aulacocalyx mapiana,Aulacocalyx mapiana,1021440-1,1021440-1,Species
943,Aulacocalyx pallens,['fr'],Aulacocalyx pallens,Aulacocalyx pallens,997856-1,997856-1,Species
944,Balmea stormiae,"['en','zh']",Balmea stormiae,Balmea stormiae,744305-1,744305-1,Species
945,Belonophora coffeoides,['en'],Belonophora coffeoides,Belonophora coffeoides,744393-1,744393-1,Species
946,Belonophora coriacea,['en'],Belonophora coriacea,Belonophora coriacea,744394-1,744394-1,Species
947,Belonophora ongensis,"['en', 'fr']",Belonophora ongensis,Belonophora ongensis,1013766-1,1013766-1,Species
948,Belonophora talbotii,['en'],Belonophora talbotii,Belonophora talbotii,744400-1,744400-1,Species
949,Belonophora wernhamii,"['en', 'fr']",Belonophora wernhamii,Belonophora wernhamii,744401-1,744401-1,Species
950,Benzonia corymbosa,['en'],Benzonia corymbosa,Benzonia corymbosa,744403-1,744403-1,Species
951,Berghesia coccinea,['en'],Berghesia coccinea,Berghesia coccinea,744404-1,744404-1,Species
952,Bertiera borbonica,['fr'],Bertiera borbonica,Bertiera borbonica,744422-1,744422-1,Species
953,Bertiera elabensis,['fr'],Bertiera elabensis,Bertiera elabensis,744435-1,744435-1,Species
954,Bertiera heterophylla,['fr'],Bertiera heterophylla,Bertiera heterophylla,77077713-1,77077713-1,Species
955,Bertiera laxa,['fr'],Bertiera laxa,Bertiera laxa,744452-1,744452-1,Species
956,Bertiera laxissima,['fr'],Bertiera laxissima,Bertiera laxissima,744453-1,744453-1,Species
957,Bertiera lejolyana,['fr'],Bertiera lejolyana,Bertiera lejolyana,77103754-1,77103754-1,Species
958,Bertiera pauloi,['en'],Bertiera pauloi,Bertiera pauloi,744474-1,744474-1,Species
959,Bertiera pedicellata,['fr'],Bertiera pedicellata,Bertiera pedicellata,744475-1,744475-1,Species
960,Bertiera rosseeliana,['fr'],Bertiera rosseeliana,Bertiera rosseeliana,77071334-1,77071334-1,Species
961,Bertiera rufa,['fr'],Bertiera rufa,Bertiera rufa,744481-1,744481-1,Species
962,Bikkia tetrandra,"['es', 'en', 'fr']",Bikkia tetrandra,Bikkia tetrandra,744572-1,744572-1,Species
963,Blepharidium guatemalense,"['es', 'en']",Blepharidium guatemalense,Blepharidium guatemalense,33764-2,33764-2,Species
964,Bobea sandwicensis,['en'],Bobea sandwicensis,Bobea sandwicensis,744601-1,744601-1,Species
965,Bobea timonioides,['en'],Bobea timonioides,Bobea timonioides,744604-1,744604-1,Species
966,Boholia nematostylis,['en'],Boholia nematostylis,Boholia nematostylis,744606-1,744606-1,Species
967,Bothriospora corymbosa,"['es', 'en']",Bothriospora corymbosa,Bothriospora corymbosa,745007-1,745007-1,Species
968,Bouvardia longiflora,"['es', 'en']",Bouvardia longiflora,Bouvardia longiflora,745065-1,745065-1,Species
969,Bouvardia ternifolia,"['es', 'en']",Bouvardia ternifolia,Bouvardia ternifolia,745109-1,745109-1,Species
970,Bremeria landia,['fr'],Bremeria landia,Bremeria landia,77111445-1,77111445-1,Species
971,Breonadia salicina,"['es', 'en']",Breonadia salicina,Breonadia salicina,910167-1,910167-1,Species
972,Bruxanelia indica,['en'],Bruxanelia indica,Bruxanelia indica,745164-1,745164-1,Species
973,Burchellia bubalina,"['es', 'en']",Burchellia bubalina,Burchellia bubalina,745198-1,745198-1,Species
974,Byrsophyllum ellipticum,['en'],Byrsophyllum ellipticum,Byrsophyllum ellipticum,745208-1,745208-1,Species
975,Byrsophyllum tetrandrum,['en'],Byrsophyllum tetrandrum,Byrsophyllum tetrandrum,745209-1,745209-1,Species
976,Callipeltis cucullaris,['es'],Callipeltis cucullaris,Callipeltis cucullaris,745228-1,745228-1,Species
977,Calochone acuminata,['en'],Calochone acuminata,Calochone acuminata,745231-1,745231-1,Species
978,Calycophyllum candidissimum,"['es', 'en']",Calycophyllum candidissimum,Calycophyllum candidissimum,745241-1,745241-1,Species
979,Calycophyllum multiflorum,['es'],Calycophyllum multiflorum,Calycophyllum multiflorum,43051-2,43051-2,Species
980,Calycophyllum spruceanum,"['es', 'en', 'fr', 'pt']",Calycophyllum spruceanum,Calycophyllum spruceanum,745249-1,745249-1,Species
981,Calycosiphonia macrochlamys,['en'],Calycosiphonia macrochlamys,Calycosiphonia macrochlamys,908482-1,908482-1,Species
982,Canthium angustifolium,['en'],Canthium angustifolium,Canthium angustifolium,745310-1,745310-1,Species
983,Canthium coromandelicum,"['es', 'en']",Canthium coromandelicum,Canthium coromandelicum,745378-1,745378-1,Species
984,Canthium inerme,"['es', 'en']",Canthium inerme,Canthium inerme,745470-1,745470-1,Species
985,Canthium lucidum,['es'],Canthium lucidum,Canthium lucidum,745511-1,745511-1,Species
986,Carajasia cangae,['en'],Carajasia cangae,Carajasia cangae,77146979-1,77146979-1,Species
987,Carapichea ipecacuanha,"['es', 'en', 'fr', 'it','zh']",Carapichea ipecacuanha,Carapichea ipecacuanha,1214950-2,1214950-2,Species
988,Carterella alexanderae,['en'],Carterella alexanderae,Carterella alexanderae,274154-2,274154-2,Species
989,Casasia acunae,['en'],Casasia acunae,Casasia acunae,47907-2,47907-2,Species
990,Casasia calophylla,['en'],Casasia calophylla,Casasia calophylla,47908-2,47908-2,Species
991,Casasia clusiifolia,['en'],Casasia clusiifolia,Casasia clusiifolia,47910-2,47910-2,Species
992,Casasia domingensis,['en'],Casasia domingensis,Casasia domingensis,47911-2,47911-2,Species
993,Casasia ekmanii,['en'],Casasia ekmanii,Casasia ekmanii,47912-2,47912-2,Species
994,Casasia jacquinioides,['en'],Casasia jacquinioides,Casasia jacquinioides,47915-2,47915-2,Species
995,Casasia longipes,['en'],Casasia longipes,Casasia longipes,47916-2,47916-2,Species
996,Casasia nigrescens,['en'],Casasia nigrescens,Casasia nigrescens,47917-2,47917-2,Species
997,Casasia samuelssonii,['en'],Casasia samuelssonii,Casasia samuelssonii,47922-2,47922-2,Species
998,Catesbaea melanocarpa,['en'],Catesbaea melanocarpa,Catesbaea melanocarpa,50018-2,50018-2,Species
999,Catesbaea phyllacantha,['es'],Catesbaea phyllacantha,Catesbaea phyllacantha,745897-1,745897-1,Species
1000,Catunaregam spinosa,"['en','zh']",Catunaregam spinosa,Catunaregam spinosa,745904-1,745904-1,Species
1001,Cephalanthus angustifolius,['es'],Cephalanthus angustifolius,Cephalanthus angustifolius,746200-1,746200-1,Species
1002,Cephalanthus glabratus,"['es', 'en']",Cephalanthus glabratus,Cephalanthus glabratus,52091-2,52091-2,Species
1003,Cephalanthus occidentalis,"['es', 'en', 'fr']",Cephalanthus occidentalis,Cephalanthus occidentalis,319140-2,319140-2,Species
1004,Cephalanthus salicifolius,['en'],Cephalanthus salicifolius,Cephalanthus salicifolius,746233-1,746233-1,Species
1005,Ceratopyxis verbenacea,"['es', 'en']",Ceratopyxis verbenacea,Ceratopyxis verbenacea,746245-1,746245-1,Species
1006,Chalepophyllum guyanense,['en'],Chalepophyllum guyanense,Chalepophyllum guyanense,746259-1,746259-1,Species
1007,Chapelieria madagascariensis,['en'],Chapelieria madagascariensis,Chapelieria madagascariensis,746273-1,746273-1,Species
1008,Chassalia bipindensis,['fr'],Chassalia bipindensis,Chassalia bipindensis,77075904-1,77075904-1,Species
1009,Chassalia bosseri,['fr'],Chassalia bosseri,Chassalia bosseri,901690-1,901690-1,Species
1010,Chassalia corallioides,['fr'],Chassalia corallioides,Chassalia corallioides,912221-1,912221-1,Species
1011,Chassalia cristata,['fr'],Chassalia cristata,Chassalia cristata,746358-1,746358-1,Species
1012,Chassalia curviflora,"['en','zh']",Chassalia curviflora,Chassalia curviflora,746289-1,746289-1,Species
1013,Chassalia gaertneroides,['fr'],Chassalia gaertneroides,Chassalia gaertneroides,912222-1,912222-1,Species
1014,Chassalia laikomensis,['fr'],Chassalia laikomensis,Chassalia laikomensis,1017493-1,1017493-1,Species
1015,Chimarrhis cymosa,['fr'],Chimarrhis cymosa,Chimarrhis cymosa,318431-2,318431-2,Species
1016,Chimarrhis hookeri,['en'],Chimarrhis hookeri,Chimarrhis hookeri,56522-2,56522-2,Species
1017,Chiococca alba,"['es', 'en', 'pt']",Chiococca alba,Chiococca alba,56535-2,56535-2,Species
1018,Chiococca filipes,['pt'],Chiococca filipes,Chiococca filipes,56570-2,56570-2,Species
1019,Chiococca insularis,['pt'],Chiococca insularis,Chiococca insularis,77145922-1,77145922-1,Species
1020,Chione venosa,"['es', 'en']",Chione venosa,Chione venosa,56650-2,56650-2,Species
1021,Cinchona calisaya,"['es', 'en', 'fr', 'it']",Cinchona calisaya,Cinchona calisaya,746718-1,746718-1,Species
1022,Cinchona hirsuta,['es'],Cinchona hirsuta,Cinchona hirsuta,746793-1,746793-1,Species
1023,Cinchona lancifolia,['es'],Cinchona lancifolia,Cinchona lancifolia,746806-1,746806-1,Species
1024,Cinchona officinalis,"['es', 'en', 'fr', 'pt','zh']",Cinchona officinalis,Cinchona officinalis,58723-2,58723-2,Species
1025,Cinchona pubescens,"['es', 'en', 'fr','zh']",Cinchona pubescens,Cinchona pubescens,746872-1,746872-1,Species
1026,Cinchona rugosa,['es'],Cinchona rugosa,Cinchona rugosa,77188096-1,77188096-1,Species
1027,Cinchonopsis amazonica,"['es', 'en']",Cinchonopsis amazonica,Cinchonopsis amazonica,983792-1,983792-1,Species
1028,Cladoceras subcapitatum,"['es', 'en']",Cladoceras subcapitatum,Cladoceras subcapitatum,746930-1,746930-1,Species
1029,Clarkella nana,"['en','zh']",Clarkella nana,Clarkella nana,746931-1,746931-1,Species
1030,Coddia rudis,"['es', 'en']",Coddia rudis,Coddia rudis,908557-1,908557-1,Species
1031,Coelopyrena salicifolia,['en'],Coelopyrena salicifolia,Coelopyrena salicifolia,747003-1,747003-1,Species
1032,Coelospermum reticulatum,"['es', 'en']",Coelospermum reticulatum,Coelospermum reticulatum,747019-1,747019-1,Species
1033,Coffea abbayesii,['en'],Coffea abbayesii,Coffea abbayesii,747023-1,747023-1,Species
1034,Coffea affinis,['en'],Coffea affinis,Coffea affinis,747026-1,747026-1,Species
1035,Coffea anthonyi,['fr'],Coffea anthonyi,Coffea anthonyi,77097813-1,77097813-1,Species
1036,Coffea arabica,"['es', 'en', 'fr', 'it', 'pt','zh']",Coffea arabica,Coffea arabica,747038-1,747038-1,Species
1037,Coffea bakossii,['fr'],Coffea bakossii,Coffea bakossii,20007995-1,20007995-1,Species
1038,Coffea benghalensis,['en'],Coffea benghalensis,Coffea benghalensis,747048-1,747048-1,Species
1039,Coffea canephora,"['es', 'en', 'fr', 'it', 'pt','zh']",Coffea canephora,Coffea canephora,747068-1,747068-1,Species
1040,Coffea charrieriana,"['en', 'fr', 'it']",Coffea charrieriana,Coffea charrieriana,77092347-1,77092347-1,Species
1041,Coffea congensis,"['fr','zh']",Coffea congensis,Coffea congensis,747081-1,747081-1,Species
1042,Coffea costatifructa,['fr'],Coffea costatifructa,Coffea costatifructa,977413-1,977413-1,Species
1043,Coffea fotsoana,['fr'],Coffea fotsoana,Coffea fotsoana,77063636-1,77063636-1,Species
1044,Coffea kapakata,['en'],Coffea kapakata,Coffea kapakata,977414-1,977414-1,Species
1045,Coffea leonimontana,['fr'],Coffea leonimontana,Coffea leonimontana,994601-1,994601-1,Species
1046,Coffea liberica,"['en', 'fr', 'it', 'pt','zh']",Coffea liberica,Coffea liberica,747169-1,747169-1,Species
1047,Coffea magnistipula,['en'],Coffea magnistipula,Coffea magnistipula,994035-1,994035-1,Species
1048,Coffea mapiana,['fr'],Coffea mapiana,Coffea mapiana,77074166-1,77074166-1,Species
1049,Coffea mauritiana,['fr'],Coffea mauritiana,Coffea mauritiana,747190-1,747190-1,Species
1050,Coffea montekupensis,['fr'],Coffea montekupensis,Coffea montekupensis,998693-1,998693-1,Species
1051,Coffea pocsii,['fr'],Coffea pocsii,Coffea pocsii,977412-1,977412-1,Species
1052,Coffea racemosa,['en'],Coffea racemosa,Coffea racemosa,747242-1,747242-1,Species
1053,Coffea stenophylla,"['en', 'fr', 'it','zh']",Coffea stenophylla,Coffea stenophylla,747266-1,747266-1,Species
1054,Colletoecema magna,['fr'],Colletoecema magna,Colletoecema magna,77095339-1,77095339-1,Species
1055,Condaminea elegans,['en'],Condaminea elegans,Condaminea elegans,318424-2,318424-2,Species
1056,Condaminea glabrata,['fr'],Condaminea glabrata,Condaminea glabrata,747331-1,747331-1,Species
1057,Condaminea microcarpa,['fr'],Condaminea microcarpa,Condaminea microcarpa,1152991-2,1152991-2,Species
1058,Coprosma acerosa,['en'],Coprosma acerosa,Coprosma acerosa,747357-1,747357-1,Species
1059,Coprosma acutifolia,['en'],Coprosma acutifolia,Coprosma acutifolia,747358-1,747358-1,Species
1060,Coprosma arborea,['en'],Coprosma arborea,Coprosma arborea,747363-1,747363-1,Species
1061,Coprosma areolata,['en'],Coprosma areolata,Coprosma areolata,747366-1,747366-1,Species
1062,Coprosma autumnalis,['en'],Coprosma autumnalis,Coprosma autumnalis,747371-1,747371-1,Species
1063,Coprosma baueri,"['es', 'en']",Coprosma baueri,Coprosma baueri,747373-1,747373-1,Species
