,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,Sources
0,99811-1,Mondia ecornuta,Mondia ecornuta,99811-1,Species, <b>Use</b>: Root extract drunk as <em>antimalarial</em> and anti-oxyuriasis,POWO pages(/taxon/urn:lsid:ipni.org:names:99811-1):
1,95951-1,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,Species, <b>Use</b>: Extract administered as antidote to <em>malaria</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:95951-1):Manual
2,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,,:Manual
3,76417-1,Alafia barteri,Alafia barteri,76417-1,Species,,:Manual
4,319065-2,Allamanda cathartica,Allamanda cathartica,319065-2,Species,,:Manual
5,76597-1,Alstonia spectabilis,Alstonia spectabilis,76597-1,Species,,:Manual
6,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,,:Manual
7,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,,:Manual
8,77074602-1,Amphineurion marginatum,Amphineurion marginatum,77074602-1,Species,,:Manual
9,94213-1,Asclepias curassavica,Asclepias curassavica,94213-1,Species,,:Manual
10,77433-1,Aspidosperma polyneuron,Aspidosperma polyneuron,77433-1,Species,,:Manual
11,22062-2,Aspidosperma schultesii,Aspidosperma schultesii,22062-2,Species,,:Manual
12,77367-1,Aspidosperma excelsum,Aspidosperma excelsum,77367-1,Species,,:Manual
13,22058-2,Aspidosperma rigidum,Aspidosperma rigidum,22058-2,Species,,:Manual
14,77405-1,Aspidosperma megalocarpon,Aspidosperma megalocarpon,77405-1,Species,,:Manual
15,315552-2,Aspidosperma parvifolium,Aspidosperma parvifolium,315552-2,Species,,:Manual
16,77440-1,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco,77440-1,Species,,:Manual
17,77467-1,Aspidosperma tomentosum,Aspidosperma tomentosum,77467-1,Species,,:Manual
18,22004-2,Aspidosperma megaphyllum,Aspidosperma megaphyllum,22004-2,Species,,:Manual
19,77465-1,Aspidosperma subincanum,Aspidosperma subincanum,77465-1,Species,,:Manual
20,21933-2,Aspidosperma auriculatum,Aspidosperma auriculatum,21933-2,Species,,:Manual
21,77354-1,Aspidosperma discolor,Aspidosperma discolor,77354-1,Species,,:Manual
22,978337-1,Buckollia volubilis,Buckollia volubilis,978337-1,Species,,:Manual
23,1004515-2,Calotropis procera,Calotropis procera,1004515-2,Species,,:Manual
24,95173-1,Calotropis gigantea,Calotropis gigantea,95173-1,Species,,:Manual
25,77756-1,Carissa spinarum,Carissa spinarum,77756-1,Species,,:Manual
26,47927-2,Cascabela thevetia,Cascabela thevetia,47927-2,Species,,:Manual
27,77880-1,Catharanthus roseus,Catharanthus roseus,77880-1,Species,,:Manual
28,20009959-1,Caudanthera edulis,Caudanthera edulis,20009959-1,Species,,:Manual
29,77906-1,Cerbera manghas,Cerbera manghas,77906-1,Species,,:Manual
30,77158572-1,Cryptolepis nigrescens,Cryptolepis nigrescens,77158572-1,Species,,:Manual
31,78310-1,Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,78310-1,Species,,:Manual
