,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,Sources
32,97427-1,Fischeria stellata,Fischeria stellata,97427-1,Species,,:Manual
33,79099-1,Funtumia elastica,Funtumia elastica,79099-1,Species,,:Manual
34,79098-1,Funtumia africana,Funtumia africana,79098-1,Species,,:Manual
35,1006780-1,Geissospermum sericeum,Geissospermum sericeum,1006780-1,Species,,:Manual
36,79123-1,Geissospermum laeve,Geissospermum laeve,79123-1,Species,,:Manual
37,108063-2,Geissospermum argenteum,Geissospermum argenteum,108063-2,Species,,:Manual
38,97692-1,Gomphocarpus semilunatus,Gomphocarpus semilunatus,97692-1,Species,,:Manual
39,122690-2,Himatanthus bracteatus,Himatanthus bracteatus,122690-2,Species,,:Manual
40,122688-2,Himatanthus articulatus,Himatanthus articulatus,122688-2,Species,,:Manual
41,77136056-1,Himatanthus revolutus,Himatanthus revolutus,77136056-1,Species,,:Manual
42,79318-1,Holarrhena pubescens,Holarrhena pubescens,79318-1,Species,,:Manual
43,79302-1,Holarrhena floribunda,Holarrhena floribunda,79302-1,Species,,:Manual
44,79368-1,Hunteria umbellata,Hunteria umbellata,79368-1,Species,,:Manual
45,79497-1,Kopsia fruticosa,Kopsia fruticosa,79497-1,Species,,:Manual
46,79582-1,Landolphia buchananii,Landolphia buchananii,79582-1,Species,,:Manual
47,79672-1,Landolphia owariensis,Landolphia owariensis,79672-1,Species,,:Manual
48,79639-1,Landolphia lanceolata,Landolphia lanceolata,79639-1,Species,,:Manual
49,77143808-1,Leptadenia lanceolata,Leptadenia lanceolata,77143808-1,Species,,:Manual
50,98978-1,Leptadenia madagascariensis,Leptadenia madagascariensis,98978-1,Species,,:Manual
51,99198-1,Marsdenia latifolia,Marsdenia latifolia,99198-1,Species,,:Manual
52,99812-1,Mondia whitei,Mondia whitei,99812-1,Species,,:Manual
53,77158413-1,Motandra paniculata,Motandra paniculata,77158413-1,Species,,:Manual
54,80460-1,Nerium oleander,Nerium oleander,80460-1,Species,,:Manual
55,182946-2,Parahancornia fasciculata,Parahancornia fasciculata,182946-2,Species,,:Manual
56,100371-1,Pergularia daemia,Pergularia daemia,100371-1,Species,,:Manual
57,100470-1,Periploca linearifolia,Periploca linearifolia,100470-1,Species,,:Manual
58,997252-1,Petchia erythrocarpa,Petchia erythrocarpa,997252-1,Species,,:Manual
59,997251-1,Petchia cryptophlebia,Petchia cryptophlebia,997251-1,Species,,:Manual
60,81115-1,Picralima nitida,Picralima nitida,81115-1,Species,,:Manual
61,81143-1,Pleiocarpa mutica,Pleiocarpa mutica,81143-1,Species,,:Manual
62,81275-1,Plumeria rubra,Plumeria rubra,81275-1,Species,,:Manual
63,81171-1,Plumeria alba,Plumeria alba,81171-1,Species,,:Manual
64,81663-1,Rauvolfia tetraphylla,Rauvolfia tetraphylla,81663-1,Species,,:Manual
65,81667-1,Rauvolfia verticillata,Rauvolfia verticillata,81667-1,Species,,:Manual
66,81591-1,Rauvolfia mombasiana,Rauvolfia mombasiana,81591-1,Species,,:Manual
67,81673-1,Rauvolfia vomitoria,Rauvolfia vomitoria,81673-1,Species,,:Manual
68,81757-1,Saba comorensis,Saba comorensis,81757-1,Species,,:Manual
69,77079518-1,Secamone afzelii,Secamone afzelii,77079518-1,Species,,:Manual
70,102040-1,Streptocaulon juventas,Streptocaulon juventas,102040-1,Species,,:Manual
71,81900-1,Strophanthus hispidus,Strophanthus hispidus,81900-1,Species,,:Manual
72,81881-1,Strophanthus eminii,Strophanthus eminii,81881-1,Species,,:Manual
73,82157-1,Tabernaemontana hystrix,Tabernaemontana hystrix,82157-1,Species,,:Manual
74,82269-1,Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,82269-1,Species,,:Manual
75,82109-1,Tabernaemontana elegans,Tabernaemontana elegans,82109-1,Species,,:Manual
76,82697-1,Vinca major,Vinca major,82697-1,Species,,:Manual
77,60457664-2,Vincetoxicum atratum,Vincetoxicum atratum,60457664-2,Species,,:Manual
78,102886-1,Vincetoxicum mukdenense,Vincetoxicum mukdenense,102886-1,Species,,:Manual
79,82719-1,Voacanga africana,Voacanga africana,82719-1,Species,,:Manual
80,82875-1,Wrightia pubescens,Wrightia pubescens,82875-1,Species,,:Manual
81,82847-1,Wrightia dubia,Wrightia dubia,82847-1,Species,,:Manual
82,150353-3,Wrightia pubescens subsp. pubescens,Wrightia pubescens,82875-1,Subspecies,,:Manual
83,742948-1,Agathisanthemum bojeri,Agathisanthemum bojeri,742948-1,Species,,:Manual
84,742950-1,Agathisanthemum globosum,Agathisanthemum globosum,742950-1,Species,,:Manual
85,743370-1,Anthospermum emirnense,Anthospermum emirnense,743370-1,Species,,:Manual
86,945441-1,Aoranthe cladantha,Aoranthe cladantha,945441-1,Species,,:Manual
87,910167-1,Breonadia salicina,Breonadia salicina,910167-1,Species,,:Manual
88,745437-1,Canthium glaucum,Canthium glaucum,745437-1,Species,,:Manual
89,77210192-1,Capirona macrophylla,Capirona macrophylla,77210192-1,Species,,:Manual
90,1214950-2,Carapichea ipecacuanha,Carapichea ipecacuanha,1214950-2,Species,,:Manual
91,745903-1,Catunaregam nilotica,Catunaregam nilotica,745903-1,Species,,:Manual
92,77065717-1,Ciliosemina pedunculata,Ciliosemina pedunculata,77065717-1,Species,,:Manual
93,746718-1,Cinchona calisaya,Cinchona calisaya,746718-1,Species,,:Manual
94,58723-2,Cinchona officinalis,Cinchona officinalis,58723-2,Species,,:Manual
95,746872-1,Cinchona pubescens,Cinchona pubescens,746872-1,Species,,:Manual
96,20009937-1,Coptosperma graveolens,Coptosperma graveolens,20009937-1,Species,,:Manual
97,67491-2,Coutarea hexandra,Coutarea hexandra,67491-2,Species,,:Manual
98,747810-1,Craterispermum laurinum,Craterispermum laurinum,747810-1,Species,,:Manual
99,747858-1,Crossopteryx febrifuga,Crossopteryx febrifuga,747858-1,Species,,:Manual
100,748127-1,Danais breviflora,Danais breviflora,748127-1,Species,,:Manual
101,748129-1,Danais cernua,Danais cernua,748129-1,Species,,:Manual
102,748144-1,Danais fragrans,Danais fragrans,748144-1,Species,,:Manual
103,748175-1,Danais verticillata,Danais verticillata,748175-1,Species,,:Manual
104,77086225-1,Dolichopentas longiflora,Dolichopentas longiflora,77086225-1,Species,,:Manual
105,1125915-2,Exostema caribaeum,Exostema caribaeum,1125915-2,Species,,:Manual
106,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,748960-1,Species,,:Manual
107,749030-1,Fadogiella stigmatoloba,Fadogiella stigmatoloba,749030-1,Species,,:Manual
108,749328-1,Feretia apodanthera,Feretia apodanthera,749328-1,Species,,:Manual
109,751285-1,Gardenia ternifolia,Gardenia ternifolia,751285-1,Species,,:Manual
110,890351-1,Gardenia ternifolia subsp. jovis-tonantis,Gardenia ternifolia,751285-1,Subspecies,,:Manual
111,751291-1,Gardenia thunbergia,Gardenia thunbergia,751291-1,Species,,:Manual
112,750904-1,Gardenia aqualla,Gardenia aqualla,750904-1,Species,,:Manual
113,751250-1,Gardenia sokotensis,Gardenia sokotensis,751250-1,Species,,:Manual
114,751331-1,Genipa americana,Genipa americana,751331-1,Species,,:Manual
115,751452-1,Geophila obvallata,Geophila obvallata,751452-1,Species,,:Manual
116,752069-1,Guettarda speciosa,Guettarda speciosa,752069-1,Species,,:Manual
117,752194-1,Hamelia patens,Hamelia patens,752194-1,Species,,:Manual
118,122717-2,Hintonia latiflora,Hintonia latiflora,122717-2,Species,,:Manual
119,753556-1,Hymenodictyon louhavate,Hymenodictyon louhavate,753556-1,Species,,:Manual
120,753635-1,Isertia hypoleuca,Isertia hypoleuca,753635-1,Species,,:Manual
121,943147-1,Keetia hispida,Keetia hispida,943147-1,Species,,:Manual
122,943149-1,Keetia leucantha,Keetia leucantha,943149-1,Species,,:Manual
123,943140-1,Keetia zanzibarica,Keetia zanzibarica,943140-1,Species,,:Manual
124,1106418-2,Ladenbergia oblongifolia,Ladenbergia oblongifolia,1106418-2,Species,,:Manual
125,756228-1,Mitracarpus hirtus,Mitracarpus hirtus,756228-1,Species,,:Manual
126,756304-1,Mitragyna stipulosa,Mitragyna stipulosa,756304-1,Species,,:Manual
127,756298-1,Mitragyna ledermannii,Mitragyna ledermannii,756298-1,Species,,:Manual
128,756296-1,Mitragyna inermis,Mitragyna inermis,756296-1,Species,,:Manual
129,756419-1,Morinda lucida,Morinda lucida,756419-1,Species,,:Manual
130,756356-1,Morinda chrysorhiza,Morinda chrysorhiza,756356-1,Species,,:Manual
131,756428-1,Morinda morindoides,Morinda morindoides,756428-1,Species,,:Manual
132,756359-1,Morinda citrifolia,Morinda citrifolia,756359-1,Species,,:Manual
133,77078143-1,Nauclea officinalis,Nauclea officinalis,77078143-1,Species,,:Manual
134,757089-1,Nauclea diderrichii,Nauclea diderrichii,757089-1,Species,,:Manual
135,757144-1,Nauclea latifolia,Nauclea latifolia,757144-1,Species,,:Manual
136,757209-1,Nauclea pobeguinii,Nauclea pobeguinii,757209-1,Species,,:Manual
137,757181-1,Nauclea orientalis,Nauclea orientalis,757181-1,Species,,:Manual
138,77149703-1,Palicourea woronovii,Palicourea woronovii,77149703-1,Species,,:Manual
139,759636-1,Pavetta corymbosa,Pavetta corymbosa,759636-1,Species,,:Manual
140,760027-1,Pavetta schumanniana,Pavetta schumanniana,760027-1,Species,,:Manual
141,759639-1,Pavetta crassipes,Pavetta crassipes,759639-1,Species,,:Manual
142,760224-1,Pentanisia ouranogyne,Pentanisia ouranogyne,760224-1,Species,,:Manual
143,760275-1,Pentas lanceolata,Pentas lanceolata,760275-1,Species,,:Manual
144,915422-1,Psydrax subcordatus,Psydrax subcordatus,915422-1,Species,,:Manual
145,915400-1,Psydrax acutiflorus,Psydrax acutiflorus,915400-1,Species,,:Manual
146,944182-1,Pyrostria phyllanthoidea,Pyrostria phyllanthoidea,944182-1,Species,,:Manual
147,764561-1,Remijia ferruginea,Remijia ferruginea,764561-1,Species,,:Manual
148,77086243-1,Rhodopentas bussei,Rhodopentas bussei,77086243-1,Species,,:Manual
149,765120-1,Rothmannia engleriana,Rothmannia engleriana,765120-1,Species,,:Manual
150,765127-1,Rothmannia hispida,Rothmannia hispida,765127-1,Species,,:Manual
151,223858-2,Rudgea cornifolia,Rudgea cornifolia,223858-2,Species,,:Manual
152,765759-1,Rytigynia nigerica,Rytigynia nigerica,765759-1,Species,,:Manual
153,224936-2,Sabicea amazonensis,Sabicea amazonensis,224936-2,Species,,:Manual
154,765972-1,Sabicea villosa,Sabicea villosa,765972-1,Species,,:Manual
155,766148-1,Schismatoclada concinna,Schismatoclada concinna,766148-1,Species,,:Manual
156,766134-1,Schismatoclada farahimpensis,Schismatoclada farahimpensis,766134-1,Species,,:Manual
157,766150-1,Schismatoclada viburnoides,Schismatoclada viburnoides,766150-1,Species,,:Manual
158,77111993-1,Schizocalyx cuspidatus,Schizocalyx cuspidatus,77111993-1,Species,,:Manual
159,20010093-1,Solenandra mexicana,Solenandra mexicana,20010093-1,Species,,:Manual
160,77187956-1,Solenandra sanctae-luciae,Solenandra sanctae-luciae,77187956-1,Species,,:Manual
161,766896-1,Spermacoce princeae,Spermacoce princeae,766896-1,Species,,:Manual
162,766585-1,Spermacoce alata,Spermacoce alata,766585-1,Species,,:Manual
163,768250-1,Uncaria guianensis,Uncaria guianensis,768250-1,Species,,:Manual
164,769430-1,Urophyllum arboreum,Urophyllum arboreum,769430-1,Species,,:Manual
165,77067582-1,Vangueria agrestis,Vangueria agrestis,77067582-1,Species,,:Manual
166,77169958-1,Vangueria infausta subsp. infausta,Vangueria infausta,769741-1,Subspecies,,:Manual
167,769766-1,Vangueria madagascariensis,Vangueria madagascariensis,769766-1,Species,,:Manual
168,770432-1,Wendlandia burkillii,Wendlandia burkillii,770432-1,Species,,:Manual
