,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,Compiled_Sources
0,1004515-2,Calotropis procera,Calotropis procera,1004515-2,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:1004515-2)', 'MPNS', 'Manual']"
1,100911-1,Ruehssia macrophylla,Ruehssia macrophylla,100911-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,['POWO pages(/taxon/urn:lsid:ipni.org:names:100911-1)']
2,105364-2,Forsteronia graciloides,Forsteronia graciloides,105364-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:105364-2)', 'MPNS']"
3,109024-2,Geophila repens,Geophila repens,109024-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:109024-2)', 'MPNS']"
4,1106418-2,Ladenbergia oblongifolia,Ladenbergia oblongifolia,1106418-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:1106418-2)', 'MPNS', 'Manual']"
5,1215741-2,Ladenbergia macrocarpa,Ladenbergia macrocarpa,1215741-2,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:1215741-2)', 'MPNS', 'Manual']"
6,134610-2,Ladenbergia muzonensis,Ladenbergia muzonensis,134610-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:134610-2)', 'MPNS', 'Manual']"
7,17992-2,Arcytophyllum filiforme,Arcytophyllum filiforme,17992-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:17992-2)', 'MPNS']"
8,181080-2,Palicourea lineariflora,Palicourea lineariflora,181080-2,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,['POWO pages(/taxon/urn:lsid:ipni.org:names:181080-2)']
9,217918-2,Rauvolfia leptophylla,Rauvolfia leptophylla,217918-2,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:217918-2)', 'MPNS']"
10,278892-2,Isertia laevis,Isertia laevis,278892-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:278892-2)', 'MPNS']"
11,30007294-2,Galium aparine,Galium aparine,30007294-2,Species, <b>Use</b>: ; it is also reputed to have a number of <em>medicinal</em> properties.,"['POWO pages(/taxon/urn:lsid:ipni.org:names:30007294-2)', 'MPNS']"
12,30107991-2,Gonzalagunia panamensis,Gonzalagunia panamensis,30107991-2,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:30107991-2)', 'MPNS']"
13,30132318-2,Mesechites trifidus,Mesechites trifidus,30132318-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:30132318-2)', 'MPNS']"
14,319065-2,Allamanda cathartica,Allamanda cathartica,319065-2,Species," <b>Use</b>: Ornamental, <em>medicinal</em>.","['POWO pages(/taxon/urn:lsid:ipni.org:names:319065-2)', 'MPNS', 'Manual']"
