,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,Compiled_Sources
15,56535-2,Chiococca alba,Chiococca alba,56535-2,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:56535-2)', 'MPNS', 'Manual']"
16,743001-1,Alibertia edulis,Alibertia edulis,743001-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:743001-1)', 'MPNS', 'Manual']"
17,744444-1,Bertiera guianensis,Bertiera guianensis,744444-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,['POWO pages(/taxon/urn:lsid:ipni.org:names:744444-1)']
18,746872-1,Cinchona pubescens,Cinchona pubescens,746872-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:746872-1)', 'MPNS', 'Manual']"
19,747038-1,Coffea arabica,Coffea arabica,747038-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:747038-1)', 'MPNS', 'Manual']"
20,748737-1,Elaeagia utilis,Elaeagia utilis,748737-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,['POWO pages(/taxon/urn:lsid:ipni.org:names:748737-1)']
21,749120-1,Faramea glandulosa,Faramea glandulosa,749120-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:749120-1)', 'MPNS']"
22,750043-1,Galium hypocarpium,Galium hypocarpium,750043-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:750043-1)', 'MPNS']"
23,750229-1,Galium mexicanum,Galium mexicanum,750229-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:750229-1)', 'MPNS']"
24,751291-1,Gardenia thunbergia,Gardenia thunbergia,751291-1,Species," <b>Use</b>: Ornamental, <em>medicinal</em>, as a raw material.","['POWO pages(/taxon/urn:lsid:ipni.org:names:751291-1)', 'MPNS', 'Manual']"
25,752194-1,Hamelia patens,Hamelia patens,752194-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:752194-1)', 'MPNS', 'Manual']"
26,753632-1,Isertia haenkeana,Isertia haenkeana,753632-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:753632-1)', 'MPNS', 'Manual']"
27,756228-1,Mitracarpus hirtus,Mitracarpus hirtus,756228-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:756228-1)', 'MPNS', 'Manual']"
28,757486-1,Nertera granadensis,Nertera granadensis,757486-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016)., <b>Use</b>: Folk <em>medicine</em>: used to prevent cancer (Galvis &amp; Morales","['POWO pages(/taxon/urn:lsid:ipni.org:names:757486-1)', 'MPNS']"
29,759121-1,Palicourea guianensis,Palicourea guianensis,759121-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,['POWO pages(/taxon/urn:lsid:ipni.org:names:759121-1)']
30,759300-1,Palicourea rigida,Palicourea rigida,759300-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:759300-1)', 'MPNS', 'Manual']"
31,767031-1,Spermacoce verticillata,Spermacoce verticillata,767031-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:767031-1)', 'MPNS']"
32,770293-1,Warszewiczia coccinea,Warszewiczia coccinea,770293-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:770293-1)', 'MPNS']"
33,77115588-1,Palicourea acuminata,Palicourea acuminata,77115588-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:77115588-1)', 'MPNS']"
34,77115635-1,Palicourea tomentosa,Palicourea tomentosa,77115635-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:77115635-1)', 'MPNS', 'Manual']"
35,77161818-1,Palicourea longirostris,Palicourea longirostris,77161818-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,['POWO pages(/taxon/urn:lsid:ipni.org:names:77161818-1)']
36,77202779-1,Palicourea boqueronensis,Palicourea boqueronensis,77202779-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:77202779-1)', 'MPNS']"
37,77433-1,Aspidosperma polyneuron,Aspidosperma polyneuron,77433-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:77433-1)', 'MPNS', 'Manual']"
38,77880-1,Catharanthus roseus,Catharanthus roseus,77880-1,Species," <b>Use</b>: <em>Medicinal</em>, ornamental.","['POWO pages(/taxon/urn:lsid:ipni.org:names:77880-1)', 'MPNS', 'Manual']"
39,80121-1,Mascarenhasia arborescens,Mascarenhasia arborescens,80121-1,Species," <b>Use</b>: Traditional <em>medicine</em>, ornamental, source of natural rubber.","['POWO pages(/taxon/urn:lsid:ipni.org:names:80121-1)', 'MPNS']"
40,82327-1,Tabernaemontana sananho,Tabernaemontana sananho,82327-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:82327-1)', 'MPNS', 'Manual']"
41,86135-2,Duroia hirsuta,Duroia hirsuta,86135-2,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:86135-2)', 'MPNS']"
42,90501-2,Emmeorhiza umbellata,Emmeorhiza umbellata,90501-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:90501-2)', 'MPNS']"
43,936959-1,Ramosmania rodriguesii,Ramosmania rodriguesii,936959-1,Species, <b>Use</b>: Locals on Rodrigues use it in a tea for <em>medicinal</em> uses.,"['POWO pages(/taxon/urn:lsid:ipni.org:names:936959-1)', 'MPNS']"
44,94213-1,Asclepias curassavica,Asclepias curassavica,94213-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, <b>Use</b>: Flowers - Used in folk <em>medicine</em> (García Barriga 1975)., Instituto","['POWO pages(/taxon/urn:lsid:ipni.org:names:94213-1)', 'MPNS', 'Manual']"
45,95945-1,Cryptolepis obtusa,Cryptolepis obtusa,95945-1,Species, <b>Use</b>: <em>Medicinal</em> plant,"['POWO pages(/taxon/urn:lsid:ipni.org:names:95945-1)', 'MPNS']"
46,97427-1,Fischeria stellata,Fischeria stellata,97427-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:97427-1)', 'MPNS', 'Manual']"
47,97610-1,Gomphocarpus fruticosus,Gomphocarpus fruticosus,97610-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,"['POWO pages(/taxon/urn:lsid:ipni.org:names:97610-1)', 'MPNS']"
48,98342-1,Hoodia gordonii,Hoodia gordonii,98342-1,Species," <b>Use</b>: , <em>medicinal</em>.","['POWO pages(/taxon/urn:lsid:ipni.org:names:98342-1)', 'MPNS']"
49,98854-1,Ibatia maritima,Ibatia maritima,98854-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,['POWO pages(/taxon/urn:lsid:ipni.org:names:98854-1)']
50,990656-1,Cynanchum blyttioides,Cynanchum blyttioides,990656-1,Species, <b>Use</b>: Fruits edible; fruit and latex <em>medicinal</em>.,['POWO pages(/taxon/urn:lsid:ipni.org:names:990656-1)']
51,899079-1,Acokanthera laevigata,Acokanthera laevigata,899079-1,Species,,['MPNS']
52,77164695-1,Acokanthera oblongifolia,Acokanthera oblongifolia,77164695-1,Species,,['MPNS']
53,76349-1,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,Species,,['MPNS']
54,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,,"['MPNS', 'Manual']"
55,742833-1,Acranthera grandiflora,Acranthera grandiflora,742833-1,Species,,['MPNS']
56,76360-1,Adenium boehmianum,Adenium boehmianum,76360-1,Species,,['MPNS']
57,76366-1,Adenium multiflorum,Adenium multiflorum,76366-1,Species,,['MPNS']
58,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,,['MPNS']
59,76370-1,Adenium oleifolium,Adenium oleifolium,76370-1,Species,,['MPNS']
60,76374-1,Adenium swazicum,Adenium swazicum,76374-1,Species,,['MPNS']
61,742903-1,Adina cordifolia,Adina cordifolia,742903-1,Species,,['MPNS']
62,77142551-1,Adina eurhyncha,Adina eurhyncha,77142551-1,Species,,['MPNS']
63,742905-1,Adina fagifolia,Adina fagifolia,742905-1,Species,,['MPNS']
64,742927-1,Adina pilulifera,Adina pilulifera,742927-1,Species,,['MPNS']
65,742932-1,Adina rubella,Adina rubella,742932-1,Species,,['MPNS']
66,742939-1,Adina trichotoma,Adina trichotoma,742939-1,Species,,['MPNS']
67,77187928-1,Adolphoduckea maynensis,Adolphoduckea maynensis,77187928-1,Species,,"['MPNS', 'Manual']"
68,77062250-1,Afrocanthium keniense,Afrocanthium keniense,77062250-1,Species,,['MPNS']
69,77062252-1,Afrocanthium lactescens,Afrocanthium lactescens,77062252-1,Species,,['MPNS']
70,77062253-1,Afrocanthium mundianum,Afrocanthium mundianum,77062253-1,Species,,['MPNS']
71,77062257-1,Afrocanthium pseudorandii,Afrocanthium pseudorandii,77062257-1,Species,,['MPNS']
72,76388-1,Aganosma cymosa,Aganosma cymosa,76388-1,Species,,['MPNS']
73,77125846-1,Aganosma heynei,Aganosma heynei,77125846-1,Species,,"['MPNS', 'Manual']"
74,76413-1,Aganosma wallichii,Aganosma wallichii,76413-1,Species,,['MPNS']
75,742948-1,Agathisanthemum bojeri,Agathisanthemum bojeri,742948-1,Species,,"['MPNS', 'Manual']"
76,77167442-1,Agathisanthemum bojeri subsp. bojeri,Agathisanthemum bojeri,742948-1,Subspecies,,['MPNS']
77,742950-1,Agathisanthemum globosum,Agathisanthemum globosum,742950-1,Species,,"['MPNS', 'Manual']"
78,742957-1,Aidia cochinchinensis,Aidia cochinchinensis,742957-1,Species,,['MPNS']
79,742958-1,Aidia densiflora,Aidia densiflora,742958-1,Species,,['MPNS']
80,742960-1,Aidia genipiflora,Aidia genipiflora,742960-1,Species,,['MPNS']
81,742963-1,Aidia micrantha,Aidia micrantha,742963-1,Species,,['MPNS']
82,911695-1,Aidia racemosa,Aidia racemosa,911695-1,Species,,['MPNS']
83,20001139-1,Aidia vitiensis,Aidia vitiensis,20001139-1,Species,,['MPNS']
84,989548-1,Aidiopsis orophila,Aidiopsis orophila,989548-1,Species,,['MPNS']
85,742981-1,Airosperma trichotomum,Airosperma trichotomum,742981-1,Species,,['MPNS']
86,76417-1,Alafia barteri,Alafia barteri,76417-1,Species,,"['MPNS', 'Manual']"
87,76418-1,Alafia benthamii,Alafia benthamii,76418-1,Species,,['MPNS']
88,76422-1,Alafia caudata,Alafia caudata,76422-1,Species,,['MPNS']
89,991376-1,Alafia erythrophthalma,Alafia erythrophthalma,991376-1,Species,,['MPNS']
90,76427-1,Alafia fuscata,Alafia fuscata,76427-1,Species,,['MPNS']
91,77176689-1,Alafia landolphioides,Alafia landolphioides,77176689-1,Species,,['MPNS']
92,76437-1,Alafia lucida,Alafia lucida,76437-1,Species,,['MPNS']
93,76446-1,Alafia multiflora,Alafia multiflora,76446-1,Species,,['MPNS']
94,76451-1,Alafia pauciflora,Alafia pauciflora,76451-1,Species,,['MPNS']
95,76452-1,Alafia perrieri,Alafia perrieri,76452-1,Species,,['MPNS']
96,76456-1,Alafia schumannii,Alafia schumannii,76456-1,Species,,['MPNS']
97,76459-1,Alafia thouarsii,Alafia thouarsii,76459-1,Species,,['MPNS']
98,742988-1,Alberta magna,Alberta magna,742988-1,Species,,['MPNS']
99,8399-2,Alibertia latifolia,Alibertia latifolia,8399-2,Species,,"['MPNS', 'Manual']"
100,77116169-1,Alibertia patinoi,Alibertia patinoi,77116169-1,Species,,['MPNS']
101,76468-1,Allamanda blanchetii,Allamanda blanchetii,76468-1,Species,,['MPNS']
102,76487-1,Allamanda schottii,Allamanda schottii,76487-1,Species,,['MPNS']
103,105718-3,Alstonia angustifolia,Alstonia angustifolia,105718-3,Species,,['MPNS']
104,76507-1,Alstonia angustiloba,Alstonia angustiloba,76507-1,Species,,['MPNS']
105,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,,"['MPNS', 'Manual']"
106,76517-1,Alstonia congensis,Alstonia congensis,76517-1,Species,,"['MPNS', 'Manual']"
107,76518-1,Alstonia constricta,Alstonia constricta,76518-1,Species,,['MPNS']
108,76521-1,Alstonia costata,Alstonia costata,76521-1,Species,,['MPNS']
109,76543-1,Alstonia iwahigensis,Alstonia iwahigensis,76543-1,Species,,['MPNS']
110,10153-2,Alstonia longifolia,Alstonia longifolia,10153-2,Species,,"['MPNS', 'Manual']"
111,76556-1,Alstonia macrophylla,Alstonia macrophylla,76556-1,Species,,['MPNS']
112,76557-1,Alstonia mairei,Alstonia mairei,76557-1,Species,,['MPNS']
113,76563-1,Alstonia neriifolia,Alstonia neriifolia,76563-1,Species,,['MPNS']
114,76578-1,Alstonia pneumatophora,Alstonia pneumatophora,76578-1,Species,,['MPNS']
115,76584-1,Alstonia rostrata,Alstonia rostrata,76584-1,Species,,['MPNS']
116,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,,"['MPNS', 'Manual']"
117,76595-1,Alstonia spatulata,Alstonia spatulata,76595-1,Species,,['MPNS']
118,76597-1,Alstonia spectabilis,Alstonia spectabilis,76597-1,Species,,"['MPNS', 'Manual']"
119,76602-1,Alstonia venenata,Alstonia venenata,76602-1,Species,,['MPNS']
120,76608-1,Alstonia yunnanensis,Alstonia yunnanensis,76608-1,Species,,['MPNS']
121,76620-1,Alyxia baillonii,Alyxia baillonii,76620-1,Species,,['MPNS']
122,76628-1,Alyxia buxifolia,Alyxia buxifolia,76628-1,Species,,['MPNS']
123,76641-1,Alyxia concatenata,Alyxia concatenata,76641-1,Species,,['MPNS']
124,76680-1,Alyxia halmaheirae,Alyxia halmaheirae,76680-1,Species,,['MPNS']
125,76720-1,Alyxia markgrafii,Alyxia markgrafii,76720-1,Species,,['MPNS']
126,76721-1,Alyxia menglungensis,Alyxia menglungensis,76721-1,Species,,['MPNS']
127,76764-1,Alyxia pullei,Alyxia pullei,76764-1,Species,,['MPNS']
128,76771-1,Alyxia reinwardtii,Alyxia reinwardtii,76771-1,Species,,['MPNS']
129,76779-1,Alyxia rostrata,Alyxia rostrata,76779-1,Species,,['MPNS']
130,76797-1,Alyxia sinensis,Alyxia sinensis,76797-1,Species,,['MPNS']
131,76804-1,Alyxia stellata,Alyxia stellata,76804-1,Species,,['MPNS']
132,76814-1,Alyxia tisserantii,Alyxia tisserantii,76814-1,Species,,['MPNS']
133,76826-1,Amalocalyx microlobus,Amalocalyx microlobus,76826-1,Species,,['MPNS']
134,77074602-1,Amphineurion marginatum,Amphineurion marginatum,77074602-1,Species,,"['MPNS', 'Manual']"
135,76906-1,Amsonia elliptica,Amsonia elliptica,76906-1,Species,,['MPNS']
136,77167486-1,Amsonia tomentosa var. tomentosa,Amsonia tomentosa,76934-1,Variety,,['MPNS']
137,76966-1,Ancylobothrys amoena,Ancylobothrys amoena,76966-1,Species,,['MPNS']
138,76968-1,Ancylobothrys capensis,Ancylobothrys capensis,76968-1,Species,,['MPNS']
139,76971-1,Ancylobothrys petersiana,Ancylobothrys petersiana,76971-1,Species,,['MPNS']
140,77012-1,Angadenia berteroi,Angadenia berteroi,77012-1,Species,,['MPNS']
141,980053-1,Anisopus efulensis,Anisopus efulensis,980053-1,Species,,['MPNS']
142,77061-1,Anodendron affine,Anodendron affine,77061-1,Species,,['MPNS']
143,77064-1,Anodendron candolleanum,Anodendron candolleanum,77064-1,Species,,['MPNS']
144,77158412-1,Anodendron parviflorum,Anodendron parviflorum,77158412-1,Species,,['MPNS']
145,743351-1,Anthospermum aethiopicum,Anthospermum aethiopicum,743351-1,Species,,['MPNS']
146,743380-1,Anthospermum herbaceum,Anthospermum herbaceum,743380-1,Species,,['MPNS']
147,743405-1,Anthospermum rigidum,Anthospermum rigidum,743405-1,Species,,['MPNS']
148,955219-1,Anthospermum rigidum subsp. pumilum,Anthospermum rigidum,743405-1,Subspecies,,['MPNS']
149,743450-1,Antirhea bifurcata,Antirhea bifurcata,743450-1,Species,,['MPNS']
150,743451-1,Antirhea borbonica,Antirhea borbonica,743451-1,Species,,['MPNS']
151,945441-1,Aoranthe cladantha,Aoranthe cladantha,945441-1,Species,,"['MPNS', 'Manual']"
152,945443-1,Aoranthe penduliflora,Aoranthe penduliflora,945443-1,Species,,['MPNS']
153,16503-2,Apocynum androsaemifolium,Apocynum androsaemifolium,16503-2,Species,,['MPNS']
154,16527-2,Apocynum cannabinum,Apocynum cannabinum,16527-2,Species,,['MPNS']
155,16576-2,Apocynum × floribundum,Apocynum × floribundum,16576-2,Species,,['MPNS']
156,77225-1,Apocynum pictum,Apocynum pictum,77225-1,Species,,['MPNS']
157,77279-1,Apocynum venetum,Apocynum venetum,77279-1,Species,,['MPNS']
158,77190050-1,Apocynum venetum subsp. lancifolium,Apocynum venetum,77279-1,Subspecies,,['MPNS']
159,20009957-1,Apteranthes tuberculata,Apteranthes tuberculata,20009957-1,Species,,['MPNS']
160,94045-1,Araujia angustifolia,Araujia angustifolia,94045-1,Species,,['MPNS']
161,77114651-1,Araujia brachystephana,Araujia brachystephana,77114651-1,Species,,['MPNS']
162,77114654-1,Araujia odorata,Araujia odorata,77114654-1,Species,,['MPNS']
163,30117279-2,Araujia sericifera,Araujia sericifera,30117279-2,Species,,['MPNS']
164,77114656-1,Araujia stuckertiana,Araujia stuckertiana,77114656-1,Species,,['MPNS']
165,743608-1,Arcytophyllum nitidum,Arcytophyllum nitidum,743608-1,Species,,['MPNS']
166,908343-1,Argocoffeopsis afzelii,Argocoffeopsis afzelii,908343-1,Species,,['MPNS']
167,942887-1,Argocoffeopsis eketensis,Argocoffeopsis eketensis,942887-1,Species,,['MPNS']
168,908347-1,Argocoffeopsis rupestris,Argocoffeopsis rupestris,908347-1,Species,,['MPNS']
169,743694-1,Argostemma hameliifolium,Argostemma hameliifolium,743694-1,Species,,['MPNS']
170,743739-1,Argostemma montanum,Argostemma montanum,743739-1,Species,,['MPNS']
171,743764-1,Argostemma pauciflorum,Argostemma pauciflorum,743764-1,Species,,['MPNS']
172,743799-1,Argostemma sarmentosum,Argostemma sarmentosum,743799-1,Species,,['MPNS']
173,743830-1,Argostemma uniflorum,Argostemma uniflorum,743830-1,Species,,['MPNS']
174,94076-1,Asclepias albens,Asclepias albens,94076-1,Species,,['MPNS']
175,21135-2,Asclepias albicans,Asclepias albicans,21135-2,Species,,['MPNS']
176,60445583-2,Asclepias amplexicaulis,Asclepias amplexicaulis,60445583-2,Species,,['MPNS']
177,21143-2,Asclepias asperula,Asclepias asperula,21143-2,Species,,['MPNS']
178,21144-2,Asclepias asperula subsp. capricornu,Asclepias asperula,21143-2,Subspecies,,['MPNS']
179,94121-1,Asclepias aurea,Asclepias aurea,94121-1,Species,,['MPNS']
180,21153-2,Asclepias californica,Asclepias californica,21153-2,Species,,['MPNS']
181,21169-2,Asclepias cordifolia,Asclepias cordifolia,21169-2,Species,,['MPNS']
182,94202-1,Asclepias crispa,Asclepias crispa,94202-1,Species,,['MPNS']
183,94206-1,Asclepias cryptoceras,Asclepias cryptoceras,94206-1,Species,,['MPNS']
184,94208-1,Asclepias cucullata,Asclepias cucullata,94208-1,Species,,['MPNS']
185,94209-1,Asclepias cultriformis,Asclepias cultriformis,94209-1,Species,,['MPNS']
186,94232-1,Asclepias densiflora,Asclepias densiflora,94232-1,Species,,['MPNS']
187,290400-2,Asclepias engelmanniana,Asclepias engelmanniana,290400-2,Species,,['MPNS']
188,94258-1,Asclepias eriocarpa,Asclepias eriocarpa,94258-1,Species,,['MPNS']
189,94260-1,Asclepias erosa,Asclepias erosa,94260-1,Species,,['MPNS']
190,94266-1,Asclepias exaltata,Asclepias exaltata,94266-1,Species,,['MPNS']
191,94272-1,Asclepias fascicularis,Asclepias fascicularis,94272-1,Species,,['MPNS']
192,94287-1,Asclepias flexuosa,Asclepias flexuosa,94287-1,Species,,['MPNS']
193,94313-1,Asclepias gibba,Asclepias gibba,94313-1,Species,,['MPNS']
194,94337-1,Asclepias hallii,Asclepias hallii,94337-1,Species,,['MPNS']
195,94345-1,Asclepias humilis,Asclepias humilis,94345-1,Species,,['MPNS']
196,94351-1,Asclepias incarnata,Asclepias incarnata,94351-1,Species,,['MPNS']
197,77172626-1,Asclepias incarnata subsp. incarnata,Asclepias incarnata,94351-1,Subspecies,,['MPNS']
198,94357-1,Asclepias involucrata,Asclepias involucrata,94357-1,Species,,['MPNS']
199,94386-1,Asclepias latifolia,Asclepias latifolia,94386-1,Species,,['MPNS']
200,94400-1,Asclepias linaria,Asclepias linaria,94400-1,Species,,['MPNS']
201,94449-1,Asclepias meliodora,Asclepias meliodora,94449-1,Species,,['MPNS']
202,94450-1,Asclepias mellodora,Asclepias mellodora,94450-1,Species,,['MPNS']
203,94451-1,Asclepias mexicana,Asclepias mexicana,94451-1,Species,,['MPNS']
204,94452-1,Asclepias meyeriana,Asclepias meyeriana,94452-1,Species,,['MPNS']
205,94494-1,Asclepias nyctaginifolia,Asclepias nyctaginifolia,94494-1,Species,,['MPNS']
206,30270360-2,Asclepias perennis,Asclepias perennis,30270360-2,Species,,['MPNS']
207,21264-2,Asclepias pilgeriana,Asclepias pilgeriana,21264-2,Species,,['MPNS']
208,21273-2,Asclepias pumila,Asclepias pumila,21273-2,Species,,['MPNS']
209,94581-1,Asclepias quadrifolia,Asclepias quadrifolia,94581-1,Species,,['MPNS']
210,21290-2,Asclepias scheryi,Asclepias scheryi,21290-2,Species,,['MPNS']
211,94654-1,Asclepias speciosa,Asclepias speciosa,94654-1,Species,,['MPNS']
212,94663-1,Asclepias stellifera,Asclepias stellifera,94663-1,Species,,['MPNS']
213,94664-1,Asclepias stenophylla,Asclepias stenophylla,94664-1,Species,,['MPNS']
214,94672-1,Asclepias subulata,Asclepias subulata,94672-1,Species,,['MPNS']
215,21298-2,Asclepias subverticillata,Asclepias subverticillata,21298-2,Species,,['MPNS']
216,319076-2,Asclepias syriaca,Asclepias syriaca,319076-2,Species,,['MPNS']
217,94704-1,Asclepias tuberosa,Asclepias tuberosa,94704-1,Species,,['MPNS']
218,21321-2,Asclepias tuberosa subsp. tuberosa,Asclepias tuberosa,94704-1,Subspecies,,['MPNS']
219,94722-1,Asclepias verticillata,Asclepias verticillata,94722-1,Species,,['MPNS']
220,1167930-2,Asclepias viridiflora,Asclepias viridiflora,1167930-2,Species,,['MPNS']
221,94737-1,Asclepias viridis,Asclepias viridis,94737-1,Species,,['MPNS']
222,744171-1,Asperula setosa,Asperula setosa,744171-1,Species,,['MPNS']
223,744208-1,Asperula tinctoria,Asperula tinctoria,744208-1,Species,,['MPNS']
224,77325-1,Aspidosperma album,Aspidosperma album,77325-1,Species,,"['MPNS', 'Manual']"
