,Unnamed: 0.1,coordinateUncertaintyInMeters,year,individualCount,gbifID,is_cultivated_observation,Beck_KG_V1_present,mean_annual_air_temperature,temp_seasonality,bio10,bio11,annual_precipitation_amount,bio15,bio16,bio17,breakline_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,water_capacity,latitude,longitude,Unnamed: 0
count,2890021.0,1857630.0,2594538.0,457670.0,2890021.0,0.0,2890021.0,2890021.0,2890021.0,2890021.0,2890021.0,2890021.0,2890021.0,2890021.0,2890021.0,2890021.0,2890021.0,2890021.0,2514124.0,2514005.0,2501266.0,2861298.0,2513941.0,2861298.0,2890021.0,2890021.0,2890021.0
mean,1445010.0,2008.5891906353802,1997.8794899130403,6.708582603185701,2157111149.9842367,,15.122668312790807,12.964177441985624,509.3840704221631,19.53884280859411,6.488889365073477,1231.9191425067138,35.22295414189777,451.5831640454745,182.95126527507728,406.2042326165528,409.2269146141153,2.52278606798942,3613.218203845916,59.16824950507415,541.2545518995647,2039.3147974532571,63.89162385406627,22.79753031340141,28.072405945881147,10.199003671816648,1447798.7119927502
std,834277.3454943905,23137.57299994094,25.883748003032714,721.9802121180362,911960280.8292253,,8.38309884893497,6.674807809975675,247.47177178184518,4.830230915230938,9.120011953639885,841.5554832692882,26.042432629843983,336.82118536877005,159.36925897556557,493.6748195693094,523.4132024243836,3.1034332916026814,1807.3836899157645,7.698519768100248,404.9197293311247,2053.9679149667454,22.378116628088414,4.062156387580951,32.2633387427898,73.23503965394526,858328.537085568
min,0.0,0.01,1600.0,0.0,406021.0,,0.0,-16.5739994049072,9.31144142150879,-5.68798828125,-41.515869140625,0.880133450031281,4.63717269897461,0.383389204740524,0.0,-271.473907470703,-412.0,0.0,220.492401123047,38.5390167236328,11.2649726867676,0.0,8.87650394439697,2.94697117805481,-55.8333,-179.96875,0.0
25%,722505.0,15.98,1987.0,1.0,1312762340.0,,8.0,8.55300045013428,341.139617919922,16.0121574401855,0.719042956829071,744.20458984375,16.3342895507812,242.20832824707,104.325843811035,77.9571838378906,65.0,0.526548027992249,2338.2158203125,53.0583610534668,284.793212890625,1098.53442382812,48.4744987487793,20.6690883636475,7.87236,-6.783862,740644.0
50%,1445010.0,100.0,2005.0,1.0,2418733826.0,,15.0,10.7057504653931,553.957153320312,18.3034172058105,4.269775390625,935.513305664062,25.7450141906738,315.590850830078,158.307189941406,230.586822509766,218.0,1.27935409545898,3375.36669921875,58.7358245849609,409.740509033203,1627.63403320312,60.1621589660645,23.1650943756104,43.552777,5.92954,1396004.0
75%,2167515.0,1250.0,2018.0,1.0,2909283995.0,,26.0,17.2754993438721,662.140014648438,23.2586421966553,11.452880859375,1401.65795898438,45.6897392272949,535.980346679688,211.12678527832,534.381896972656,526.0,3.25611782073975,4479.81787109375,64.1321640014648,652.130981445312,2132.21337890625,75.9626617431641,25.0988578796387,51.188097,17.0344,2216861.0
max,2890020.0,10282830.0,2022.0,450000.0,3756823397.0,,30.0,32.7750015258789,2303.0185546875,38.7428207397461,30.0682621002197,6553.5,200.859390258789,5403.5029296875,2980.3056640625,5774.90869140625,7681.0,23.4671764373779,22187.208984375,91.990348815918,4023.31567382812,45306.88671875,157.445083618164,61.537239074707,78.6589,179.97833,3004023.0
