,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,Sources
0,2180-1,Alafia,nan,nan,Genus,,:Manual:
1,76826-1,Amalocalyx microlobus,Amalocalyx microlobus,76826-1,Species,,:Manual:
2,986798-1,Apteranthes europaea var. judaica,Apteranthes europaea,94041-1,Variety,,:Manual:
3,20009957-1,Apteranthes tuberculata,Apteranthes tuberculata,20009957-1,Species,,:Manual:
4,30117279-2,Araujia sericifera,Araujia sericifera,30117279-2,Species,,:Manual:
5,94213-1,Asclepias curassavica,Asclepias curassavica,94213-1,Species,"""['Asclepin', 'Calactin', 'Calotropin', 'Uscharidin']""",:Manual:KNApSAcK
6,94351-1,Asclepias incarnata,Asclepias incarnata,94351-1,Species,,:Manual:
7,94678-1,Asclepias sullivantii,Asclepias sullivantii,94678-1,Species,,:Manual:
8,319076-2,Asclepias syriaca,Asclepias syriaca,319076-2,Species,"""['Aspecioside']""",:Manual:KNApSAcK
9,94853-1,Baroniella acuminata,Baroniella acuminata,94853-1,Species,,:Manual:
10,986841-1,Boucerosia indica,Boucerosia indica,986841-1,Species,,:Manual:
11,94979-1,Boucerosia pauciflora,Boucerosia pauciflora,94979-1,Species,,:Manual:
12,94990-1,Boucerosia umbellata,Boucerosia umbellata,94990-1,Species,,:Manual:
13,60452656-2,Caralluma adscendens var. gracilis,Caralluma adscendens,95198-1,Variety,,:Manual:
14,95198-1,Caralluma adscendens,Caralluma adscendens,95198-1,Species,,:Manual:
15,95238-1,Caralluma dalzielii,Caralluma dalzielii,95238-1,Species,,274.0:Manual:
16,95260-1,Caralluma fimbriata,Caralluma fimbriata,95260-1,Species,,:Manual:
17,95370-1,Caralluma stalagmifera,Caralluma stalagmifera,95370-1,Species,,:Manual:
18,77880-1,Catharanthus roseus,Catharanthus roseus,77880-1,Species,"""['Brassinolide', 'Castasterone', '6-Oxocampestanol', 'Cathasterone']""",:Manual:KNApSAcK
19,986775-1,Caudanthera sinaica,Caudanthera sinaica,986775-1,Species,,:Manual:
20,95585-1,Ceropegia fusca,Ceropegia fusca,95585-1,Species,,:Manual:
21,95869-1,Cionura erecta,Cionura erecta,95869-1,Species,,:Manual:
22,96387-1,Cynanchum maximoviczii,Cynanchum maximoviczii,96387-1,Species,,:Manual:
23,96394-1,Cynanchum menarandrense,Cynanchum menarandrense,96394-1,Species,,:Manual:
24,96697-1,Cynanchum wilfordii,Cynanchum wilfordii,96697-1,Species,,:Manual:
25,96815-1,Desmidorchis aucheriana,Desmidorchis aucheriana,96815-1,Species,,:Manual:
26,20009963-1,Desmidorchis flava,Desmidorchis flava,20009963-1,Species,,:Manual:
27,986779-1,Desmidorchis penicillata,Desmidorchis penicillata,986779-1,Species,,:Manual:
28,96827-1,Desmidorchis retrospiciens,Desmidorchis retrospiciens,96827-1,Species,,:Manual:
29,96939-1,Dischidia formosana,Dischidia formosana,96939-1,Species,,:Manual:
30,97241-1,Dregea sinensis,Dregea sinensis,97241-1,Species,,:Manual:
31,874569-1,Dregea sinensis var. corrugata,Dregea sinensis,97241-1,Variety,,:Manual:
32,78866-1,Epigynum auritum,Epigynum auritum,78866-1,Species,,:Manual:
33,977405-1,Epigynum cochinchinensis,Epigynum cochinchinensis,977405-1,Species,,:Manual:
34,79098-1,Funtumia africana,Funtumia africana,79098-1,Species,,:Manual:
35,79099-1,Funtumia elastica,Funtumia elastica,79099-1,Species,,:Manual:
36,97610-1,Gomphocarpus fruticosus,Gomphocarpus fruticosus,97610-1,Species,,:Manual:
37,98170-1,Gymnema griffithii,Gymnema griffithii,98170-1,Species,,:Manual:
38,60454719-2,Gymnema sylvestre,Gymnema sylvestre,60454719-2,Species,,:Manual:
39,98238-1,Gymnema yunnanense,Gymnema yunnanense,98238-1,Species,,:Manual:
40,60443873-2,Hemidesmus indicus,Hemidesmus indicus,60443873-2,Species,,:Manual:
41,79318-1,Holarrhena pubescens,Holarrhena pubescens,79318-1,Species,,:Manual:
42,98342-1,Hoodia gordonii,Hoodia gordonii,98342-1,Species,,:Manual:
43,107308-3,Hoya carnosa,Hoya carnosa,107308-3,Species,,:Manual:
44,98512-1,Hoya kerrii,Hoya kerrii,98512-1,Species,,:Manual:
45,98543-1,Hoya longifolia,Hoya longifolia,98543-1,Species,,:Manual:
46,77173117-1,Hoya verticillata var. verticillata,Hoya verticillata,98729-1,Variety,,:Manual:
47,982441-1,Jasminanthes mucronata,Jasminanthes mucronata,982441-1,Species,,:Manual:
48,79456-1,Kibatalia laurifolia,Kibatalia laurifolia,79456-1,Species,,:Manual:
49,77143808-1,Leptadenia lanceolata,Leptadenia lanceolata,77143808-1,Species,,:Manual:
50,98980-1,Leptadenia pyrotechnica,Leptadenia pyrotechnica,98980-1,Species,,:Manual:
51,20009712-1,Leptadenia reticulata,Leptadenia reticulata,20009712-1,Species,,:Manual:
52,151981-2,Mandevilla illustris,Mandevilla illustris,151981-2,Species,,:Manual:
53,152033-2,Mandevilla pentlandiana,Mandevilla pentlandiana,152033-2,Species,,:Manual:
54,280388-2,Mandevilla pohliana,Mandevilla pohliana,280388-2,Species,,:Manual:
55,99126-1,Marsdenia cundurango,Marsdenia cundurango,99126-1,Species,,:Manual:
56,99150-1,Marsdenia flavescens,Marsdenia flavescens,99150-1,Species,,:Manual:
57,99153-1,Marsdenia formosana,Marsdenia formosana,99153-1,Species,,:Manual:
58,99177-1,Marsdenia hainanensis,Marsdenia hainanensis,99177-1,Species,,:Manual:
59,900257-1,Marsdenia incisa,Marsdenia incisa,900257-1,Species,,:Manual:
60,99193-1,Marsdenia koi,Marsdenia koi,99193-1,Species,,:Manual:
61,99198-1,Marsdenia latifolia,Marsdenia latifolia,99198-1,Species,,:Manual:
62,99243-1,Marsdenia oreophila,Marsdenia oreophila,99243-1,Species,,:Manual:
63,99275-1,Marsdenia rostrata,Marsdenia rostrata,99275-1,Species,,:Manual:
64,99281-1,Marsdenia roylei,Marsdenia roylei,99281-1,Species,,:Manual:
65,99317-1,Marsdenia taylorii,Marsdenia taylorii,99317-1,Species,,:Manual:
66,99319-1,Marsdenia tenacissima,Marsdenia tenacissima,99319-1,Species,,:Manual:
67,99325-1,Marsdenia tinctoria,Marsdenia tinctoria,99325-1,Species,,:Manual:
68,99328-1,Marsdenia tomentosa,Marsdenia tomentosa,99328-1,Species,,:Manual:
69,986817-1,Monolluma quadrangula,Monolluma quadrangula,986817-1,Species,,:Manual:
70,99829-1,Myriopteron extensum,Myriopteron extensum,99829-1,Species,,:Manual:
71,80460-1,Nerium oleander,Nerium oleander,80460-1,Species,"""['Adynerin']""",:Manual:KNApSAcK
72,99924-1,Orbea variegata,Orbea variegata,99924-1,Species,,:Manual:
73,99950-1,Orthanthera viminea,Orthanthera viminea,99950-1,Species,,:Manual:
74,60458242-2,Oxystelma esculentum,Oxystelma esculentum,60458242-2,Species,,:Manual:
75,100241-1,Pachycarpus lineolatus,Pachycarpus lineolatus,100241-1,Species,,:Manual:
76,942488-1,Pentalinon andrieuxii,Pentalinon andrieuxii,942488-1,Species,,:Manual:
77,100435-1,Periploca calophylla,Periploca calophylla,100435-1,Species,,:Manual:
78,20007318-1,Periploca chrysantha,Periploca chrysantha,20007318-1,Species,,:Manual:
79,100454-1,Periploca forrestii,Periploca forrestii,100454-1,Species,,:Manual:
80,100459-1,Periploca graeca,Periploca graeca,100459-1,Species,,:Manual:
81,100502-1,Periploca sepium,Periploca sepium,100502-1,Species,,:Manual:
82,81256-1,Plumeria obtusa,Plumeria obtusa,81256-1,Species,,:Manual:
83,81319-1,Pottsia laxiflora,Pottsia laxiflora,81319-1,Species,,:Manual:
84,101435-1,Solenostemma oleifolium,Solenostemma oleifolium,101435-1,Species,,:Manual:
85,101594-1,Stapelia gigantea,Stapelia gigantea,101594-1,Species,,:Manual:
86,101605-1,Stapelia grandiflora,Stapelia grandiflora,101605-1,Species,,:Manual:
87,102040-1,Streptocaulon juventas,Streptocaulon juventas,102040-1,Species,,:Manual:
88,102161-1,Telosma pallida,Telosma pallida,102161-1,Species,,:Manual:
89,102163-1,Telosma procumbens,Telosma procumbens,102163-1,Species,,:Manual:
90,82528-1,Trachelospermum asiaticum,Trachelospermum asiaticum,82528-1,Species,,:Manual:
91,102666-1,Vincetoxicum amplexicaule,Vincetoxicum amplexicaule,102666-1,Species,,:Manual:
92,77176914-1,Vincetoxicum ascyrifolium,Vincetoxicum ascyrifolium,77176914-1,Species,,:Manual:
93,60457664-2,Vincetoxicum atratum,Vincetoxicum atratum,60457664-2,Species,,:Manual:
94,946567-1,Vincetoxicum chekiangense,Vincetoxicum chekiangense,946567-1,Species,,:Manual:
95,102721-1,Vincetoxicum chinense,Vincetoxicum chinense,102721-1,Species,,:Manual:
96,946558-1,Vincetoxicum forrestii,Vincetoxicum forrestii,946558-1,Species,,:Manual:
97,946566-1,Vincetoxicum glaucescens,Vincetoxicum glaucescens,946566-1,Species,,:Manual:
98,102810-1,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,102810-1,Species,,:Manual:
99,102886-1,Vincetoxicum mukdenense,Vincetoxicum mukdenense,102886-1,Species,,:Manual:
