,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,powo_Snippet,Sources
0,76366-1,Adenium multiflorum,Adenium multiflorum,76366-1,Species,,,:Manual::
1,77125846-1,Aganosma heynei,Aganosma heynei,77125846-1,Species,,,:Manual::
2,76417-1,Alafia barteri,Alafia barteri,76417-1,Species,,,:Manual::
3,76422-1,Alafia caudata,Alafia caudata,76422-1,Species,,,:Manual::
4,76446-1,Alafia multiflora,Alafia multiflora,76446-1,Species,,,:Manual::
5,319065-2,Allamanda cathartica,Allamanda cathartica,319065-2,Species,,,:Manual::
6,76487-1,Allamanda schottii,Allamanda schottii,76487-1,Species,,,:Manual::
7,105718-3,Alstonia angustifolia,Alstonia angustifolia,105718-3,Species,"""['Affinisine', '(+)-Quebrachidine', '(-)-Vincamajine', 'Normacusine B', '16R,19E-Isositsirikine', 'Norfluorocurarine', 'Talcarpine', 'Alstonisine', '10-Methoxyaffinisine', 'Isoalstonisine', 'Macrogentine', 'Alstonoxine A', 'Alstonoxine B', 'Alstofoline', 'Affinisine oxindole', 'Lagumicine', 'Alstonerine', 'Alstophylline', 'N(4)-Methyl-N(4),21-seco-talpinine', '10-O-Methylsarpagine', 'Alstoumerine', 'Cathafoline', 'Cathafoline N(4)-oxide', '11-Hydroxystrictamine', '11-Methoxystrictamine', 'Vincorine', '10-Methoxyvincamajine', 'Sitsirikine', '11-Methoxyakuammicine', 'Alstovine', '19,20-Didehydro-10-methoxytalcarpine', 'Villalstonine', '10-Methoxycathafoline', 'Strictamine']""",,:Manual:KNApSAcK:
8,76507-1,Alstonia angustiloba,Alstonia angustiloba,76507-1,Species,"""['16R,19E-Isositsirikine', 'Condylocarpine', 'Stemmadenine', 'Angustilocine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine']""",,:Manual:KNApSAcK:
9,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,,,:Manual::
10,76517-1,Alstonia congensis,Alstonia congensis,76517-1,Species,"""['Echitamine', 'Echitamidine']""",,:Manual:KNApSAcK:
11,10153-2,Alstonia longifolia,Alstonia longifolia,10153-2,Species,,,:Manual::
12,76556-1,Alstonia macrophylla,Alstonia macrophylla,76556-1,Species,"""['Affinisine', '(+)-Quebrachidine', '(-)-Vincamajine', 'Talcarpine', 'Alstonisine', '10-Methoxyaffinisine', 'Alstonoxine B', 'Alstonerine', 'Alstophylline', 'N(4)-Methyl-N(4),21-seco-talpinine', '10-O-Methylsarpagine', 'Cathafoline', 'Vincorine', 'Villalstonine', '10-Methoxycathafoline', 'Vincamajine 17-O-veratrate', '19-Hydroxy-19,20-Dihydrovincamajine', '(+)-Alstomacroline', 'Alstomicine', '6-Oxoalstophylline', 'Macrodasine A', 'Macrodasine B', 'Macrocarpine A', 'Macrocarpine B', 'N1-Demethylalstophylline', 'Perhentinine', 'Alstomaline', '10,11-Dimethoxynareline', 'Alstohentine', 'Vincoridine', 'Quaternine', 'Volkensine', ""10,11-Dimethoxy-1-methyldeacetylpicraline-3',4',5'-trimethoxy-benzoate"", '6-Methoxy-4-methylquinoline', 'Alstiphyllanine A', 'Alstiphyllanine B', 'Alstiphyllanine C', 'Alstiphyllanine D']""",,:Manual:KNApSAcK:
13,76557-1,Alstonia mairei,Alstonia mairei,76557-1,Species,"""['Sarpagine', 'Skimmianine', 'Tetrahydroalstonine']""",,:Manual:KNApSAcK:
14,76578-1,Alstonia pneumatophora,Alstonia pneumatophora,76578-1,Species,,,:Manual::
15,76584-1,Alstonia rostrata,Alstonia rostrata,76584-1,Species,,,:Manual::
16,76585-1,Alstonia rupestris,Alstonia rupestris,76585-1,Species,,,:Manual::
17,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,"""['Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', 'Echitamine', 'Echitamidine', 'Akuammiline', 'Picraline', 'Tetrahydroalstonine', '(-)-Akuammicine:Akuammicine', 'Akuammidine', 'Salutaridine', 'Cantleyine', 'Leuconoxine', 'Hydroxy-19,20-dihydroakuammicine', 'N(4)-Demethylechitamine', 'Picrinine', 'Pseudoakuammigine', 'Tubotaiwine', '(+)-Dicentrine', 'Vallesamine', 'Vallesiachotamine', '(-)-Discretamine', 'Corypalmine', 'Deacetylakuammiline', '6,7-seco-Angustilobine B', 'Manilamine', 'Akuammicine N-oxide', 'Echitamidine N-oxide', 'Echitamidine-N-oxide 19-O-beta-D-glucopyranoside', 'Nb-Demethylalstogustine N-oxide', 'Isogentialutine']""",,:Manual:KNApSAcK:
18,76602-1,Alstonia venenata,Alstonia venenata,76602-1,Species,"""['(+)-Raucaffrinoline', '(-)-Echitoveniline', '(-)-Kopsinine', '19-Epi-(+)-echitoveniline', 'Alstovenine', 'Venenatine', 'Venoxidine']""",,:Manual:KNApSAcK:
19,76608-1,Alstonia yunnanensis,Alstonia yunnanensis,76608-1,Species,"""['Normacusine B', 'Lochnericine', 'Picraline', 'Sarpagine', 'Tetrahydroalstonine', 'Picrinine', 'Pseudoakuammigine', '(+)-Raucaffrinoline', '(-)-Echitoveniline', 'Reserpine', 'Tabersonine', '(+)-Perakine', '(-)-Vinorine', '(-)-Hazuntine', '11-Methoxytabersonine', '19R-Hydroxy-11-methoxy-tabersonine', '19-Epiajmalicine', 'Compactinervine', 'Vellosimine', '19-Acetoxy-11-methoxytabersonine', 'Alstoyunine A', 'Alstoyunine B', 'Alstoyunine C', 'Alstoyunine D', 'Alstoyunine E', 'Alstoyunine F', 'Alstoyunine G', 'Alstoyunine H', 'Echitoserpidine']""",,:Manual:KNApSAcK:
20,76804-1,Alyxia stellata,Alyxia stellata,76804-1,Species,,,:Manual::
21,76829-1,Ambelania acida,Ambelania acida,76829-1,Species,,,:Manual::
22,77074602-1,Amphineurion marginatum,Amphineurion marginatum,77074602-1,Species,,,:Manual::
