,alks,Reason,Source
0,Affinisine,Contains Nitrogen and ine at end of word,KNApSAcK
1,(+)-Quebrachidine,Contains Nitrogen and ine at end of word,KNApSAcK
2,(-)-Vincamajine,Contains Nitrogen and ine at end of word,KNApSAcK
3,Normacusine B,Contains Nitrogen and ine at end of word,KNApSAcK
4,"16R,19E-Isositsirikine",Contains Nitrogen and ine at end of word,KNApSAcK
5,Norfluorocurarine,Contains Nitrogen and ine at end of word,KNApSAcK
6,Talcarpine,Contains Nitrogen and ine at end of word,KNApSAcK
7,Alstonisine,Contains Nitrogen and ine at end of word,KNApSAcK
8,10-Methoxyaffinisine,Contains Nitrogen and ine at end of word,KNApSAcK
9,Isoalstonisine,Contains Nitrogen and ine at end of word,KNApSAcK
10,Macrogentine,Contains Nitrogen and ine at end of word,KNApSAcK
11,Alstonoxine A,Contains Nitrogen and ine at end of word,KNApSAcK
12,Alstonoxine B,Contains Nitrogen and ine at end of word,KNApSAcK
13,Alstofoline,Contains Nitrogen and ine at end of word,KNApSAcK
14,Affinisine oxindole,Contains Nitrogen and ine at end of word,KNApSAcK
15,Lagumicine,Contains Nitrogen and ine at end of word,KNApSAcK
16,Alstonerine,Contains Nitrogen and ine at end of word,KNApSAcK
17,Alstophylline,Contains Nitrogen and ine at end of word,KNApSAcK
18,"N(4)-Methyl-N(4),21-seco-talpinine",Contains Nitrogen and ine at end of word,KNApSAcK
19,10-O-Methylsarpagine,Contains Nitrogen and ine at end of word,KNApSAcK
20,Alstoumerine,Contains Nitrogen and ine at end of word,KNApSAcK
21,Cathafoline,Contains Nitrogen and ine at end of word,KNApSAcK
22,Cathafoline N(4)-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
23,11-Hydroxystrictamine,Contains Nitrogen and ine at end of word,KNApSAcK
24,11-Methoxystrictamine,Contains Nitrogen and ine at end of word,KNApSAcK
25,Vincorine,Contains Nitrogen and ine at end of word,KNApSAcK
26,10-Methoxyvincamajine,Contains Nitrogen and ine at end of word,KNApSAcK
27,Sitsirikine,Contains Nitrogen and ine at end of word,KNApSAcK
28,11-Methoxyakuammicine,Contains Nitrogen and ine at end of word,KNApSAcK
29,Alstovine,Contains Nitrogen and ine at end of word,KNApSAcK
30,"19,20-Didehydro-10-methoxytalcarpine",Contains Nitrogen and ine at end of word,KNApSAcK
31,Villalstonine,Contains Nitrogen and ine at end of word,KNApSAcK
32,10-Methoxycathafoline,Contains Nitrogen and ine at end of word,KNApSAcK
33,Strictamine,Contains Nitrogen and ine at end of word,KNApSAcK
34,Condylocarpine,Contains Nitrogen and ine at end of word,KNApSAcK
35,Stemmadenine,Kegg Brite,KNApSAcK
36,Angustilocine,Contains Nitrogen and ine at end of word,KNApSAcK
37,Strictosidine,Kegg Brite,KNApSAcK
38,"4,21-Dehydrogeissoschizine",Kegg Brite,KNApSAcK
39,(E)-Geissoschizine,Contains Nitrogen and ine at end of word,KNApSAcK
40,Echitamine,Contains Nitrogen and ine at end of word,KNApSAcK
41,Echitamidine,Contains Nitrogen and ine at end of word,KNApSAcK
42,Alstonine,Kegg Brite,KNApSAcK
43,(-)-Vincamedine,Contains Nitrogen and ine at end of word,KNApSAcK
44,"(-)-17-O-(3',4',5'-Trimethoxycinnamoyl)vincamajine",Contains Nitrogen and ine at end of word,KNApSAcK
45,Lochnericine,Kegg Brite,KNApSAcK
46,Akuammiline,Contains Nitrogen and ine at end of word,KNApSAcK
47,Picraline,Contains Nitrogen and ine at end of word,KNApSAcK
48,Vincamajine 17-O-veratrate,Contains Nitrogen and ine at end of word,KNApSAcK
49,"19-Hydroxy-19,20-Dihydrovincamajine",Contains Nitrogen and ine at end of word,KNApSAcK
50,(+)-Alstomacroline,Contains Nitrogen and ine at end of word,KNApSAcK
51,Alstomicine,Contains Nitrogen and ine at end of word,KNApSAcK
52,6-Oxoalstophylline,Contains Nitrogen and ine at end of word,KNApSAcK
53,Macrodasine A,Contains Nitrogen and ine at end of word,KNApSAcK
54,Macrodasine B,Contains Nitrogen and ine at end of word,KNApSAcK
55,Macrocarpine A,Contains Nitrogen and ine at end of word,KNApSAcK
56,Macrocarpine B,Contains Nitrogen and ine at end of word,KNApSAcK
57,N1-Demethylalstophylline,Contains Nitrogen and ine at end of word,KNApSAcK
58,Perhentinine,Contains Nitrogen and ine at end of word,KNApSAcK
59,Alstomaline,Contains Nitrogen and ine at end of word,KNApSAcK
60,"10,11-Dimethoxynareline",Contains Nitrogen and ine at end of word,KNApSAcK
61,Alstohentine,Contains Nitrogen and ine at end of word,KNApSAcK
62,Vincoridine,Contains Nitrogen and ine at end of word,KNApSAcK
63,Quaternine,Contains Nitrogen and ine at end of word,KNApSAcK
64,Volkensine,Contains Nitrogen and ine at end of word,KNApSAcK
65,"10,11-Dimethoxy-1-methyldeacetylpicraline-3',4',5'-trimethoxy-benzoate",Contains Nitrogen and ine at end of word,KNApSAcK
66,6-Methoxy-4-methylquinoline,Contains Nitrogen and ine at end of word,KNApSAcK
67,Alstiphyllanine A,Contains Nitrogen and ine at end of word,KNApSAcK
68,Alstiphyllanine B,Contains Nitrogen and ine at end of word,KNApSAcK
69,Alstiphyllanine C,Contains Nitrogen and ine at end of word,KNApSAcK
70,Alstiphyllanine D,Contains Nitrogen and ine at end of word,KNApSAcK
71,Sarpagine,Kegg Brite,KNApSAcK
72,Skimmianine,Kegg Brite,KNApSAcK
73,Tetrahydroalstonine,Kegg Brite,KNApSAcK
74,Quaternatine,Contains Nitrogen and ine at end of word,KNApSAcK
75,(-)-Akuammicine:Akuammicine,Contains Nitrogen and ine at end of word,KNApSAcK
76,Akuammidine,Contains Nitrogen and ine at end of word,KNApSAcK
77,Salutaridine,Kegg Brite,KNApSAcK
78,Cantleyine,Contains Nitrogen and ine at end of word,KNApSAcK
79,Leuconoxine,Contains Nitrogen and ine at end of word,KNApSAcK
80,"Hydroxy-19,20-dihydroakuammicine",Contains Nitrogen and ine at end of word,KNApSAcK
81,N(4)-Demethylechitamine,Contains Nitrogen and ine at end of word,KNApSAcK
82,Picrinine,Contains Nitrogen and ine at end of word,KNApSAcK
83,Pseudoakuammigine,Contains Nitrogen and ine at end of word,KNApSAcK
84,Tubotaiwine,Contains Nitrogen and ine at end of word,KNApSAcK
85,(+)-Dicentrine,Contains Nitrogen and ine at end of word,KNApSAcK
86,Vallesamine,Contains Nitrogen and ine at end of word,KNApSAcK
87,Vallesiachotamine,Contains Nitrogen and ine at end of word,KNApSAcK
88,(-)-Discretamine,Contains Nitrogen and ine at end of word,KNApSAcK
89,Corypalmine,Contains Nitrogen and ine at end of word,KNApSAcK
90,Deacetylakuammiline,Contains Nitrogen and ine at end of word,KNApSAcK
91,"6,7-seco-Angustilobine B",Contains Nitrogen and ine at end of word,KNApSAcK
92,Manilamine,Contains Nitrogen and ine at end of word,KNApSAcK
93,Akuammicine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
94,Echitamidine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
95,Echitamidine-N-oxide 19-O-beta-D-glucopyranoside,Contains Nitrogen and ine at end of word,KNApSAcK
96,Nb-Demethylalstogustine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
97,Isogentialutine,Contains Nitrogen and ine at end of word,KNApSAcK
98,(-)-10-Methoxyvincamedine,Contains Nitrogen and ine at end of word,KNApSAcK
99,(-)-10-Methoxyvincamedine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
100,(+)-Raucaffrinoline,Contains Nitrogen and ine at end of word,KNApSAcK
101,(-)-Echitoveniline,Contains Nitrogen and ine at end of word,KNApSAcK
102,(-)-Kopsinine,Contains Nitrogen and ine at end of word,KNApSAcK
103,19-Epi-(+)-echitoveniline,Contains Nitrogen and ine at end of word,KNApSAcK
104,Alstovenine,Contains Nitrogen and ine at end of word,KNApSAcK
105,Venenatine,Contains Nitrogen and ine at end of word,KNApSAcK
106,Venoxidine,Contains Nitrogen and ine at end of word,KNApSAcK
107,Reserpine,Kegg Brite,KNApSAcK
108,Tabersonine,Kegg Brite,KNApSAcK
109,(+)-Perakine,Contains Nitrogen and ine at end of word,KNApSAcK
110,(-)-Vinorine,Contains Nitrogen and ine at end of word,KNApSAcK
111,(-)-Hazuntine,Contains Nitrogen and ine at end of word,KNApSAcK
112,11-Methoxytabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
113,19R-Hydroxy-11-methoxy-tabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
114,19-Epiajmalicine,Contains Nitrogen and ine at end of word,KNApSAcK
115,Compactinervine,Contains Nitrogen and ine at end of word,KNApSAcK
116,Vellosimine,Kegg Brite,KNApSAcK
117,19-Acetoxy-11-methoxytabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
118,Alstoyunine A,Contains Nitrogen and ine at end of word,KNApSAcK
119,Alstoyunine B,Contains Nitrogen and ine at end of word,KNApSAcK
120,Alstoyunine C,Contains Nitrogen and ine at end of word,KNApSAcK
121,Alstoyunine D,Contains Nitrogen and ine at end of word,KNApSAcK
122,Alstoyunine E,Contains Nitrogen and ine at end of word,KNApSAcK
123,Alstoyunine F,Contains Nitrogen and ine at end of word,KNApSAcK
124,Alstoyunine G,Contains Nitrogen and ine at end of word,KNApSAcK
125,Alstoyunine H,Contains Nitrogen and ine at end of word,KNApSAcK
126,Echitoserpidine,Contains Nitrogen and ine at end of word,KNApSAcK
