,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Alyxia reinwardtii,"""['Scopoletin', 'Coumarin']""",KNApSAcK,Alyxia reinwardtii,Alyxia reinwardtii,76771-1,76771-1,Species
1,Callichilia barteri,"""['Voacamine']""",KNApSAcK,Callichilia barteri,Callichilia barteri,77635-1,77635-1,Species
2,Catharanthus roseus,"""['Ajmalicine', 'Gallic acid', 'Quercetin']""",KNApSAcK,Catharanthus roseus,Catharanthus roseus,77880-1,77880-1,Species
3,Nerium oleander,"""['Quercetin', 'Scopoletin']""",KNApSAcK,Nerium oleander,Nerium oleander,80460-1,80460-1,Species
4,Ochrosia moorei,"""['Desoxycordifoline']""",KNApSAcK,Ochrosia moorei,Ochrosia moorei,80527-1,80527-1,Species
5,Rauvolfia serpentina,"""['Ajmalicine']""",KNApSAcK,Rauvolfia serpentina,Rauvolfia serpentina,81648-1,81648-1,Species
6,Rauvolfia verticillata,"""['Ajmalicine', 'Robinin']""",KNApSAcK,Rauvolfia verticillata,Rauvolfia verticillata,81667-1,81667-1,Species
7,Rhazya stricta,"""['Robinin']""",KNApSAcK,Rhazya stricta,Rhazya stricta,81712-1,81712-1,Species
8,Tabernaemontana alternifolia,"""['Quercetin']""",KNApSAcK,Tabernaemontana alternifolia,Tabernaemontana alternifolia,81992-1,81992-1,Species
9,Tabernaemontana arborea,"""['Voacamine']""",KNApSAcK,Tabernaemontana arborea,Tabernaemontana arborea,248839-2,248839-2,Species
10,Tabernaemontana catharinensis,"""['Voacamine']""",KNApSAcK,Tabernaemontana catharinensis,Tabernaemontana catharinensis,82043-1,82043-1,Species
11,Tabernaemontana oppositifolia,"""['Voacamine']""",KNApSAcK,Tabernaemontana oppositifolia,Tabernaemontana oppositifolia,248887-2,248887-2,Species
12,Tabernaemontana pachysiphon,"""['Voacamine']""",KNApSAcK,Tabernaemontana pachysiphon,Tabernaemontana pachysiphon,82263-1,82263-1,Species
13,Urceola micrantha,"""['(-)-Epicatechin']""",KNApSAcK,Urceola micrantha,Urceola micrantha,977796-1,977796-1,Species
14,Vincetoxicum sibiricum,"""['Sinapic acid']""",KNApSAcK,Vincetoxicum sibiricum,Vincetoxicum sibiricum,102983-1,102983-1,Species
15,Voacanga africana,"""['Voacamine']""",KNApSAcK,Voacanga africana,Voacanga africana,82719-1,82719-1,Species
