,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,Compiled_Sources
0,76349-1,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,Species,,['Manual']
1,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,,['Manual']
2,76360-1,Adenium boehmianum,Adenium boehmianum,76360-1,Species,,['Manual']
3,76366-1,Adenium multiflorum,Adenium multiflorum,76366-1,Species,,['Manual']
4,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,,['Manual']
5,2180-1,Alafia,nan,nan,Genus,,['Manual']
6,77061-1,Anodendron affine,Anodendron affine,77061-1,Species,,['Manual']
7,16527-2,Apocynum cannabinum,Apocynum cannabinum,16527-2,Species,,['Manual']
8,77190069-1,Apocynum venetum subsp. basikurumon,Apocynum venetum,77279-1,Subspecies,,['Manual']
9,94213-1,Asclepias curassavica,Asclepias curassavica,94213-1,Species,"""['Asclepin', 'Calactin', 'Calotropin', 'Uscharidin']""","['Manual', 'KNApSAcK']"
10,94258-1,Asclepias eriocarpa,Asclepias eriocarpa,94258-1,Species,"""['Eriocarpin', 'Labriformidin', 'Labriformin']""","['Manual', 'KNApSAcK']"
11,94346-1,Asclepias humistrata,Asclepias humistrata,94346-1,Species,,['Manual']
12,94704-1,Asclepias tuberosa,Asclepias tuberosa,94704-1,Species,,['Manual']
13,77532-1,Beaumontia brevituba,Beaumontia brevituba,77532-1,Species,,['Manual']
14,77539-1,Beaumontia grandiflora,Beaumontia grandiflora,77539-1,Species,,['Manual']
15,77548-1,Beaumontia murtonii,Beaumontia murtonii,77548-1,Species,,['Manual']
16,95173-1,Calotropis gigantea,Calotropis gigantea,95173-1,Species,"""['Calactin', 'Calotropin']""","['Manual', 'KNApSAcK']"
17,1004515-2,Calotropis procera,Calotropis procera,1004515-2,Species,"""['Calactin', 'Calotropin', 'Uscharidin']""","['Manual', 'KNApSAcK']"
18,47927-2,Cascabela thevetia,Cascabela thevetia,47927-2,Species,,['Manual']
19,77906-1,Cerbera manghas,Cerbera manghas,77906-1,Species,"""['Cerberin']""","['Manual', 'KNApSAcK']"
20,77913-1,Cerbera odollam,Cerbera odollam,77913-1,Species,"""['Thevetin A']""","['Manual', 'KNApSAcK']"
21,77931-1,Cerberiopsis candelabra,Cerberiopsis candelabra,77931-1,Species,,['Manual']
22,95915-1,Cryptolepis buchananii,Cryptolepis buchananii,95915-1,Species,,['Manual']
23,95962-1,Cryptostegia grandiflora,Cryptostegia grandiflora,95962-1,Species,"""['Digitalin']""","['Manual', 'KNApSAcK']"
24,95963-1,Cryptostegia madagascariensis,Cryptostegia madagascariensis,95963-1,Species,,['Manual']
25,97547-1,Glossostelma carsonii,Glossostelma carsonii,97547-1,Species,,['Manual']
26,97610-1,Gomphocarpus fruticosus,Gomphocarpus fruticosus,97610-1,Species,,['Manual']
27,97698-1,Gomphocarpus sinaicus,Gomphocarpus sinaicus,97698-1,Species,,['Manual']
28,79297-1,Holarrhena curtisii,Holarrhena curtisii,79297-1,Species,,['Manual']
29,79311-1,Holarrhena mitis,Holarrhena mitis,79311-1,Species,,['Manual']
30,79318-1,Holarrhena pubescens,Holarrhena pubescens,79318-1,Species,,['Manual']
31,152033-2,Mandevilla pentlandiana,Mandevilla pentlandiana,152033-2,Species,,['Manual']
32,99158-1,Marsdenia gazensis,Marsdenia gazensis,99158-1,Species,,['Manual']
