,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,CPCS_Snippet,UCANR_Snippet,CliniTox_Snippet,Compiled_Sources
251,328526-2,Berberis,nan,nan,Genus,Mahonia spp,,,['CPCS']
252,328998-2,Mandevilla,nan,nan,Genus,Mandevilla spp,,,['CPCS']
253,32953-1,Macadamia,nan,nan,Genus,Macadamia spp,,,['CPCS']
254,329617-2,Erysimum,nan,nan,Genus,Erysimum spp,,,['CPCS']
255,329746-2,Peperomia,nan,nan,Genus,Peperomia spp,Peperomia spp.,,"['CPCS', 'UCANR']"
256,329766-2,Rudbeckia,nan,nan,Genus,Rudbeckia spp,,,['CPCS']
257,329860-2,Callisia,nan,nan,Genus,Callisia spp,,,['CPCS']
258,329967-2,Kaempferia,nan,nan,Genus,Kaempferia spp,,,['CPCS']
259,330032-2,Nymphaea,nan,nan,Genus,Nymphaea spp,,,['CPCS']
260,330271-2,Muscari,nan,nan,Genus,Muscari spp,Muscari spp.,,"['CPCS', 'UCANR']"
261,330346-2,Nothofagus,nan,nan,Genus,Nothofagus spp,,,['CPCS']
262,330383-2,Cymbidium,nan,nan,Genus,Cymbidium spp,,,['CPCS']
263,330551-2,Verbena,nan,nan,Genus,Verbena spp (except Verbena hastata),,,['CPCS']
264,331163-2,Camassia,nan,nan,Genus,Camassia spp,,,['CPCS']
265,331165-2,Chamaedorea,nan,nan,Genus,Chamaedorea spp,,,['CPCS']
266,331182-2,Cyrtanthus,nan,nan,Genus,Cyrtanthus spp,,,['CPCS']
267,331187-2,Dietes,nan,nan,Genus,Dietes spp,,,['CPCS']
268,331198-2,Freesia,nan,nan,Genus,Freesia spp,Freesia spp.,,"['CPCS', 'UCANR']"
269,331203-2,Haworthia,nan,nan,Genus,Haworthia spp,,,['CPCS']
270,331205-2,Heliconia,nan,nan,Genus,Heliconia spp,,,['CPCS']
271,331214-2,Hosta,nan,nan,Genus,Hosta spp,Hosta spp.,,"['CPCS', 'UCANR']"
272,331220-2,Kniphofia,nan,nan,Genus,Kniphofia spp,,,['CPCS']
273,331250-2,Oncidium,nan,nan,Genus,Oncidium spp,Oncidium spp.,,"['CPCS', 'UCANR']"
274,331308-2,Washingtonia,nan,nan,Genus,Washingtonia spp,,,['CPCS']
275,331325-2,Aeschynanthus,nan,nan,Genus,Aeschynanthus spp,Aeschynanthus spp.,,"['CPCS', 'UCANR']"
276,331370-2,Aronia,nan,nan,Genus,Aronia spp,,,['CPCS']
277,331385-2,Barbarea,nan,nan,Genus,Barbarea spp,,,['CPCS']
278,331444-2,Calceolaria,nan,nan,Genus,Calceolaria spp,Calceolaria spp.,,"['CPCS', 'UCANR']"
279,331465-2,Carya,nan,nan,Genus,Carya spp,,,['CPCS']
280,331479-2,Chaenomeles,nan,nan,Genus,Chaenomeles spp,,,['CPCS']
281,331611-2,Fittonia,nan,nan,Genus,Fittonia spp,Fittonia spp.,,"['CPCS', 'UCANR']"
282,331614-2,Forsythia,nan,nan,Genus,Forsythia spp,,,['CPCS']
283,331621-2,Gazania,nan,nan,Genus,Gazania spp,,,['CPCS']
284,331642-2,Halesia,nan,nan,Genus,Halesia spp,,,['CPCS']
285,331705-2,Leea,nan,nan,Genus,Leea spp,,,['CPCS']
286,331722-2,Limonium,nan,nan,Genus,Limonium spp,Limonium spp.,,"['CPCS', 'UCANR']"
287,331798-2,Nematanthus,nan,nan,Genus,Hypocyrta spp,,,['CPCS']
288,331845-2,Petunia,nan,nan,Genus,Petunia spp,,,['CPCS']
289,331855-2,Pilea,nan,nan,Genus,Pilea spp,Pilea spp.,,"['CPCS', 'UCANR']"
290,331879-2,Protea,nan,nan,Genus,Protea spp,,,['CPCS']
291,332071-2,Xylosma,nan,nan,Genus,Xylosma spp,,,['CPCS']
292,332074-2,Zinnia,nan,nan,Genus,Zinnia spp,Zinnia spp.,,"['CPCS', 'UCANR']"
293,340073-1,Breynia disticha,Breynia disticha,340073-1,Species,Breynia disticha,,,['CPCS']
294,344-1,Acanthus,nan,nan,Genus,Acanthus spp,,,['CPCS']
295,361617-1,Dinteranthus vanzylii,Dinteranthus vanzylii,361617-1,Species,Dinteranthus vanzylii,,,['CPCS']
296,361618-1,Dinteranthus wilmotianus,Dinteranthus wilmotianus,361618-1,Species,Dinteranthus wilmotianus,,,['CPCS']
297,367449-1,Exacum affine,Exacum affine,367449-1,Species,Exacum affine,Exacum affine,Exacum affine Balf. f. ,"['CPCS', 'UCANR', 'CliniTox']"
298,36836-2,Bromelia balansae,Bromelia balansae,36836-2,Species,Bromelia balansae,,,['CPCS']
299,37033-1,Escallonia,nan,nan,Genus,Escallonia spp,Escallonia spp.,,"['CPCS', 'UCANR']"
300,378028-1,Alsobia dianthiflora,Alsobia dianthiflora,378028-1,Species,Episcia dianthiflora,,,['CPCS']
301,37807-1,Maurandya,nan,nan,Genus,Maurandia spp,,,['CPCS']
302,380772-1,Episcia cupreata,Episcia cupreata,380772-1,Species,Episcia cupreata,Episcia cupreata,,"['CPCS', 'UCANR']"
303,380813-1,Episcia reptans,Episcia reptans,380813-1,Species,Episcia reptans,,,['CPCS']
304,381282-1,Gloxinia perennis,Gloxinia perennis,381282-1,Species,Gloxinia perennis,,,['CPCS']
305,382786-1,Sinningia speciosa,Sinningia speciosa,382786-1,Species,Sinningia speciosa,Sinningia speciosa,Sinningia speciosa (hort. Lodd. ex Ker Gawl.) Hiern ,"['CPCS', 'UCANR', 'CliniTox']"
306,38531-1,Schizanthus,nan,nan,Genus,Schizanthus spp,,,['CPCS']
307,38633-1,Brachychiton,nan,nan,Genus,Brachychiton spp,,,['CPCS']
308,393293-1,Briza maxima,Briza maxima,393293-1,Species,Briza maxima or Briza major,,,['CPCS']
309,406799-1,Lagurus ovatus,Lagurus ovatus,406799-1,Species,Lagurus ovatus,,,['CPCS']
310,4106-1,Incarvillea,nan,nan,Genus,Incarvillea spp,,,['CPCS']
311,41221-1,Caryopteris,nan,nan,Genus,Caryopteris spp,,,['CPCS']
312,415983-1,Phyllostachys aurea,Phyllostachys aurea,415983-1,Species,Phyllostachys aurea,Phyllostachys aurea,,"['CPCS', 'UCANR']"
313,417792-1,Poa pratensis,Poa pratensis,417792-1,Species,Poa pratensis,,,['CPCS']
314,42149-2,Calliandra eriophylla,Calliandra eriophylla,42149-2,Species,Calliandra eriophylla,,,['CPCS']
315,42453-2,Callisia navicularis,Callisia navicularis,42453-2,Species,Tradescantia navicularis,,,['CPCS']
316,430718-1,Liquidambar styraciflua,Liquidambar styraciflua,430718-1,Species,Liquidambar styraciflua,,,['CPCS']
317,432774-1,Phacelia sericea,Phacelia sericea,432774-1,Species,Phacelia sericea,,,['CPCS']
318,441392-1,Sparaxis tricolor,Sparaxis tricolor,441392-1,Species,Sparaxis tricolor,,,['CPCS']
319,444664-1,Ajuga reptans,Ajuga reptans,444664-1,Species,Ajuga remota or Ajuga reptans,Ajuga reptans,,"['CPCS', 'UCANR']"
320,455999-1,Salvia columbariae,Salvia columbariae,455999-1,Species,Salvia columbariae,,,['CPCS']
321,473275-1,Albizia julibrissin,Albizia julibrissin,473275-1,Species,Albizia julibrissin,Albizia julibrissin,,"['CPCS', 'UCANR']"
322,485647-1,Ceratonia siliqua,Ceratonia siliqua,485647-1,Species,Ceratonia siliqua,Ceratonia siliqua,,"['CPCS', 'UCANR']"
323,492-1,Crossandra,nan,nan,Genus,Crossandra spp,,,['CPCS']
324,49962-1,Hypoestes phyllostachya,Hypoestes phyllostachya,49962-1,Species,Hypoestes phyllostachya,,,['CPCS']
325,5008-1,Quesnelia,nan,nan,Genus,Quesnelia spp,,,['CPCS']
326,512248-1,Parkinsonia microphylla,Parkinsonia microphylla,512248-1,Species,Cercidium microphyllum,,,['CPCS']
327,51897-2,Centrosema virginianum,Centrosema virginianum,51897-2,Species,Centrosema virginianum,,,['CPCS']
328,519595-1,Strongylodon macrobotrys,Strongylodon macrobotrys,519595-1,Species,Strongylodon macrobotrys,,,['CPCS']
329,525117-1,Vicia sativa,Vicia sativa,525117-1,Species,Vicia sativa,,,['CPCS']
330,529816-1,Aloe purpurea,Aloe purpurea,529816-1,Species,Dracaena marginata,,,['CPCS']
331,531072-1,Asparagus densiflorus,Asparagus densiflorus,531072-1,Species,Asparagus densiflorus cv sprengeri,,"Asparagopsis densiflorus Kunth ,Asparagus densiflorus (Kunth) Jessop ,Asparagus myriocladus Baker ,Protasparagus densiflorus (Kunth) Oberm. ","['CPCS', 'CliniTox']"
332,531312-1,Asparagus setaceus,Asparagus setaceus,531312-1,Species,Asparagus setaceus,,,['CPCS']
333,531586-1,Aspidistra elatior,Aspidistra elatior,531586-1,Species,Aspidistra elatior,Aspidistra elatior,Aspidistra elatior Blume ,"['CPCS', 'UCANR', 'CliniTox']"
334,531735-1,Beaucarnea recurvata,Beaucarnea recurvata,531735-1,Species,Beaucarnea recurvata,Beaucarnea recurvata,,"['CPCS', 'UCANR']"
335,532810-1,Chlorophytum comosum,Chlorophytum comosum,532810-1,Species,Chlorophytum comosum,Chlorophytum comosum,Chlorophytum comosum (Thunb.) Jacques ,"['CPCS', 'UCANR', 'CliniTox']"
