,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,CPCS_Snippet,UCANR_Snippet,CliniTox_Snippet,Compiled_Sources
122,30000052-2,Fuchsia,nan,nan,Genus,Fuchsia spp,Fuchsia spp.,,"['CPCS', 'UCANR']"
123,30000069-2,Vitex,nan,nan,Genus,Vitex spp,,,['CPCS']
124,30000096-2,Salvia,nan,nan,Genus,Salvia spp,Salvia spp.,,"['CPCS', 'UCANR']"
125,30000138-2,Lycopodium,nan,nan,Genus,Lycopodium spp,,,['CPCS']
126,30000193-2,Cuphea,nan,nan,Genus,Cuphea spp,,,['CPCS']
127,30000199-2,Rubus,nan,nan,Genus,Rubus spp,,,['CPCS']
128,30000237-2,Potentilla,nan,nan,Genus,Potentilla spp,,,['CPCS']
129,30000299-2,Ornithogalum,nan,nan,Genus,Galtonia spp,,,['CPCS']
130,30000540-2,Viola,nan,nan,Genus,Viola spp,,,['CPCS']
131,30000709-2,Magnolia,nan,nan,Genus,Magnolia spp,,,['CPCS']
132,30000734-2,Tibouchina,nan,nan,Genus,Tibouchina spp,,,['CPCS']
133,30000738-2,Viburnum,nan,nan,Genus,Viburnum spp,Viburnum spp.,,"['CPCS', 'UCANR']"
134,30000831-2,Aphelandra,nan,nan,Genus,Aphelandra spp,,,['CPCS']
135,30001394-2,Astrophytum,nan,nan,Genus,Astrophytum spp,,,['CPCS']
136,30001411-2,Calathea,nan,nan,Genus,Calathea spp,Calathea spp.,,"['CPCS', 'UCANR']"
137,30001444-2,Sedum,nan,nan,Genus,Sedum spp,Sedum spp.,,"['CPCS', 'UCANR']"
138,30001602-2,Clarkia,nan,nan,Genus,"Clarkia spp,Godetia spp",,,['CPCS']
139,30001965-2,Elaeagnus,nan,nan,Genus,Elaeagnus spp,,,['CPCS']
140,30002308-2,Celtis,nan,nan,Genus,Celtis spp,,,['CPCS']
141,30002432-2,Rosa,nan,nan,Genus,Rosa spp (except for Rosa rugose),,,['CPCS']
142,30002447-2,Clerodendrum,nan,nan,Genus,Clerodendrum spp,,,['CPCS']
143,30002592-2,Tropaeolum,nan,nan,Genus,Tropaeolum spp,,,['CPCS']
144,30002796-2,Gesneria,nan,nan,Genus,Gesneria spp,,,['CPCS']
145,30002955-2,Saxifraga,nan,nan,Genus,Saxifraga spp,,,['CPCS']
146,30003895-2,Yucca,nan,nan,Genus,Yucca spp,Yucca spp.,,"['CPCS', 'UCANR']"
147,30004045-2,Castanea,nan,nan,Genus,Castanea spp,,,['CPCS']
148,30004414-2,Echeveria,nan,nan,Genus,Echeveria spp,Echeveria spp.,,"['CPCS', 'UCANR']"
149,30004492-2,Morus,nan,nan,Genus,Morus spp,Morus spp.,,"['CPCS', 'UCANR']"
150,30004837-2,Sorbus,nan,nan,Genus,Sorbus spp,,,['CPCS']
