,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,Useful_Plants_Snippet,powo_Snippet,powo_name_Snippet,LITTOX_Snippet,wiki_Snippet,Cornell_Snippet,CPCS_Snippet,UCANR_Snippet,USDA(Duke)_Snippet,TPPT_Snippet,CliniTox_Snippet,Compiled_Sources
27,1015399-2,Sesbania sericea,Sesbania sericea,1015399-2,Species,Sesbania sericea, <b>Use</b>: <em>Poisons</em>.,Sesbania sericea,Sesbania sericea,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1015399-2)', 'LITTOX']"
28,101586-2,Euphorbia gymnonota,Euphorbia gymnonota,101586-2,Species,Euphorbia gymnonota,,,Euphorbia gymnonota,,,,,,,,"['Useful Plants Data', 'LITTOX']"
29,1016222-2,Packera aurea,Packera aurea,1016222-2,Species,Packera aurea,,,Packera aurea,,,,,,,,"['Useful Plants Data', 'LITTOX']"
30,101651-2,Euphorbia hirta,Euphorbia hirta,101651-2,Species,Euphorbia hirta, <b>Use</b>: <em>Poisons</em>.,Euphorbia hirta,"Chamaesyce hirta,Euphorbia hirta,Euphorbia hirta var. typica",,,"Chamaesyce hirta,Euphorbia hirta",,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:101651-2)', 'LITTOX', 'CPCS']"
31,101724-2,Euphorbia marginata,Euphorbia marginata,101724-2,Species,Euphorbia marginata,,,Euphorbia marginata,,,Euphorbia marginata,,,Euphorbia marginata Pursh,Euphorbia marginata Pursh ,"['Useful Plants Data', 'LITTOX', 'CPCS', 'TPPT', 'CliniTox']"
32,101777-2,Euphorbia nutans,Euphorbia nutans,101777-2,Species,Euphorbia nutans, <b>Use</b>: <em>Poisons</em>.,Euphorbia nutans,"Euphorbia nutans,Euphorbia preslii",,,,,,Euphorbia nutans Lag.,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:101777-2)', 'LITTOX', 'TPPT']"
33,1018711-1,Leiocarpa brevicompta,Leiocarpa brevicompta,1018711-1,Species,Leiocarpa brevicompta,,,"Ixiolaena brevicompta,Leiocarpa brevicompta",,,,,,,,"['Useful Plants Data', 'LITTOX']"
34,101913-2,Euphorbia prostrata,Euphorbia prostrata,101913-2,Species,Euphorbia prostrata, <b>Use</b>: <em>Poisons</em>.,Euphorbia prostrata,"Chamaesyce prostrata,Euphorbia prostrata",,,,,,Euphorbia prostrata Aiton,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:101913-2)', 'LITTOX', 'TPPT']"
35,102034-2,Euphorbia thymifolia,Euphorbia thymifolia,102034-2,Species,Euphorbia thymifolia, <b>Use</b>: <em>Poisons</em>.,Euphorbia thymifolia,Euphorbia thymifolia,,,Euphorbia thymifolia,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:102034-2)', 'LITTOX', 'CPCS']"
36,102036-2,Euphorbia tithymaloides,Euphorbia tithymaloides,102036-2,Species,Euphorbia tithymaloides, <b>Use</b>: <em>Poisons</em>.,Euphorbia tithymaloides,"Euphorbia tithymaloides,Pedilanthus tithymaloides,Pedilanthus tithymaloides ssp. tithymaloides",,,"Euphorbia tithymaloides,Pedilanthus tithymaloides",,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:102036-2)', 'LITTOX', 'CPCS']"
37,1020451-2,Stylosanthes guianensis,Stylosanthes guianensis,1020451-2,Species,Stylosanthes guianensis, <b>Use</b>: <em>Poisons</em>.,Stylosanthes guianensis,Stylosanthes guianensis,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1020451-2)', 'LITTOX']"
38,1020686-1,Aganope stuhlmannii,Aganope stuhlmannii,1020686-1,Species,Aganope stuhlmannii,,,,,,,,,,,['Useful Plants Data']
39,102071-1,Tacazzea apiculata,Tacazzea apiculata,102071-1,Species,Tacazzea apiculata, <b>Use</b>: Tacazzea apiculata is supposed to be very <em>poisonous</em>,Tacazzea apiculata,Tacazzea apiculata,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:102071-1)', 'LITTOX']"
40,102157-1,Telosma cordata,Telosma cordata,102157-1,Species,Telosma cordata,,,Pergularia minor,,,,,,,,"['Useful Plants Data', 'LITTOX']"
41,102810-1,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,102810-1,Species,Vincetoxicum hirundinaria,,,"Cynanchum vincetoxicum,Vincetoxicum hirundinaria,Vincetoxicum hirundinarium,Vincetoxicum officinale",,,,,,Vincetoxicum hirundinaria Medik.,"Cynanchum vincetoxicum (L.) Pers. ,Vincetoxicum hirundinaria Medik. ,Vincetoxicum officinale Moench ","['Useful Plants Data', 'LITTOX', 'TPPT', 'CliniTox']"
42,1029622-2,Stenanthium densum,Stenanthium densum,1029622-2,Species,Stenanthium densum,,,"Stenanthium densum,Zigadenus densus,Zygadenus densus",,,,,,,,"['Useful Plants Data', 'LITTOX']"
43,103155-1,Xysmalobium undulatum,Xysmalobium undulatum,103155-1,Species,Xysmalobium undulatum,,,Xysmalobium undulatum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
44,1037928-2,Enterolobium cyclocarpum,Enterolobium cyclocarpum,1037928-2,Species,Enterolobium cyclocarpum, <b>Use</b>: <em>Poisons</em>.,Enterolobium cyclocarpum,Enterolobium cyclocarpum,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1037928-2)', 'LITTOX']"
45,1039171-2,Dieteria canescens,Dieteria canescens,1039171-2,Species,Dieteria canescens,,,,,,,,,,,['Useful Plants Data']
46,1040739-2,Xanthisma grindelioides,Xanthisma grindelioides,1040739-2,Species,Xanthisma grindelioides,,,Sideranthus grindelioides,,,,,,,,"['Useful Plants Data', 'LITTOX']"
47,1044269-2,Urera baccifera,Urera baccifera,1044269-2,Species,Urera baccifera, <b>Use</b>: <em>Poisons</em>.,Urera baccifera,"Urera baccifera,Urera baccifera var. horrida",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1044269-2)', 'LITTOX']"
48,1050569-2,Clibadium sylvestre,Clibadium sylvestre,1050569-2,Species,Clibadium sylvestre, <b>Use</b>: <em>Poisons</em>.,Clibadium sylvestre,"Clibadium strigillosum,Clibadium sylvestre,Clibadium vargasii",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1050569-2)', 'LITTOX']"
49,105280-3,Luffa acutangula,Luffa acutangula,105280-3,Species,Luffa acutangula, <b>Use</b>: <em>Poisons</em>.,Luffa acutangula,"Luffa acutangula,Luffa acutangula var. amara",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:105280-3)', 'LITTOX']"
50,105697-3,Alstonia actinophylla,Alstonia actinophylla,105697-3,Species,Alstonia actinophylla,,,Alstonia actinophylla,,,,,,,,"['Useful Plants Data', 'LITTOX']"
51,1058910-2,Sorghum × drummondii,Sorghum × drummondii,1058910-2,Species,Sorghum drummondii,,,"Sorghum bicolor ssp. drummondii,Sorghum drummondii,Sorghum sudanense,Sorghum vulgare sudanese,Sorghum vulgare var. sudanense,Sorghum x drummondii",,,,,,,,"['Useful Plants Data', 'LITTOX']"
52,1061021-2,Rapistrum rugosum,Rapistrum rugosum,1061021-2,Species,Rapistrum rugosum, <b>Use</b>: <em>Poisons</em>.,Rapistrum rugosum,Rapistrum rugosum,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1061021-2)', 'LITTOX']"
53,10665-2,Amaranthus hypochondriacus,Amaranthus hypochondriacus,10665-2,Species,Amaranthus hypochondriacus, <b>Use</b>: <em>Poisons</em>.,Amaranthus hypochondriacus,Amaranthus hypochondriacus,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:10665-2)', 'LITTOX']"
54,10698-2,Amaranthus retroflexus,Amaranthus retroflexus,10698-2,Species,Amaranthus retroflexus,,,Amaranthus retroflexus,,,,,,,,"['Useful Plants Data', 'LITTOX']"
55,10711-2,Amaranthus spinosus,Amaranthus spinosus,10711-2,Species,Amaranthus spinosus, <b>Use</b>: <em>Poisons</em>.,Amaranthus spinosus,Amaranthus spinosus,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:10711-2)', 'LITTOX']"
56,1071575-2,Ipomoea nil,Ipomoea nil,1071575-2,Species,Ipomoea nil, <b>Use</b>: <em>Poisons</em>.,Ipomoea nil,"Ipomoea nil,Pharbitis nil",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1071575-2)', 'LITTOX']"
57,1075415-2,Andira inermis,Andira inermis,1075415-2,Species,Andira inermis, <b>Use</b>: <em>Poisons</em>.,Andira inermis,"Andira inermis,Andira jamaicensis",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1075415-2)', 'LITTOX']"
58,107599-1,Podophyllum peltatum,Podophyllum peltatum,107599-1,Species,Podophyllum peltatum,,,"Podophyllum peltatum,Podophyllum peltatum as 'May apple',Podophylum peltatum",Podophyllum peltatum,Podophyllum peltatum,Podophyllum peltatum,Podophyllum peltatum,,Podophyllum peltatum L.,,"['Useful Plants Data', 'LITTOX', 'en_wiki', 'Cornell CALS', 'CPCS', 'UCANR', 'TPPT']"
59,1080203-2,Swietenia mahagoni,Swietenia mahagoni,1080203-2,Species,Swietenia mahagoni,,,Swietenia mahagoni,,,,,,,,"['Useful Plants Data', 'LITTOX']"
60,1082557-2,Actaea rubra,Actaea rubra,1082557-2,Species,Actaea rubra,,,"Actaea alba,Actaea arguta,Actaea rubra,Actaea rubra ssp. arguta,Actaea spicata var. arguta,Actaea spicata var. rubra",,,Actaea rubra,,Actaea rubra,,,"['Useful Plants Data', 'LITTOX', 'CPCS', 'USDA(Duke)']"
61,1085915-2,Phoradendron leucarpum,Phoradendron leucarpum,1085915-2,Species,Phoradendron leucarpum,,,"Phoradendron flavescens,Phoradendron leucarpum,Phoradendron serotinum,Phoradendron serotinum subsp. serotinum,Phoradendron serotinum subsp. tomentosum,Phoradendron serotinum var. tomentosum,Phoradendron tomentosum,Viscum flavescens",,,Phoradendron flavescens,,,,,"['Useful Plants Data', 'LITTOX', 'CPCS']"
62,1093589-2,Sphagneticola trilobata,Sphagneticola trilobata,1093589-2,Species,Sphagneticola trilobata, <b>Use</b>: <em>Poisons</em>.,Sphagneticola trilobata,Wedelia trilobata,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1093589-2)', 'LITTOX']"
63,109874-1,Kigelia africana,Kigelia africana,109874-1,Species,Kigelia africana, <b>Use</b>: <em>Poisons</em>.,Kigelia africana,Kigelia africana,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:109874-1)', 'LITTOX']"
64,1100922-2,Manihot carthagenensis,Manihot carthagenensis,1100922-2,Species,Manihot carthagenensis, <b>Use</b>: <em>Poisons</em>.,Manihot carthagenensis,,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1100922-2)']"
65,1101088-2,Ipomoea batatas,Ipomoea batatas,1101088-2,Species,Ipomoea batatas, <b>Use</b>: <em>Poisons</em>.,Ipomoea batatas,"Ipomoea batatas,Ipomoea batatas as 'sweet potato'",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1101088-2)', 'LITTOX']"
66,110151-1,Newbouldia laevis,Newbouldia laevis,110151-1,Species,Newbouldia laevis,,,,,,,,,,,['Useful Plants Data']
67,1101632-2,Abutilon indicum,Abutilon indicum,1101632-2,Species,Abutilon indicum, <b>Use</b>: <em>Poisons</em>.,Abutilon indicum,Abutilon indicum,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1101632-2)', 'LITTOX']"
68,1102646-2,Sarcobatus vermiculatus,Sarcobatus vermiculatus,1102646-2,Species,Sarcobatus vermiculatus,,,"Sarcobatus vermiculatus,Sarcobatus vermiculatus as 'greasewood'",,,,,,,,"['Useful Plants Data', 'LITTOX']"
69,1104599-2,Eragrostis cilianensis,Eragrostis cilianensis,1104599-2,Species,Eragrostis cilianensis, <b>Use</b>: <em>Poisons</em>.,Eragrostis cilianensis,"Eragrostis cilianensis,Eragrostis megastachya",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1104599-2)', 'LITTOX']"
70,110661-1,Spathodea campanulata,Spathodea campanulata,110661-1,Species,Spathodea campanulata, <b>Use</b>: <em>Poisons</em>.,Spathodea campanulata,Spathodea campanulata,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:110661-1)', 'LITTOX']"
71,1107169-2,Arisaema triphyllum,Arisaema triphyllum,1107169-2,Species,Arisaema triphyllum,,," triphyllum,Arisaema acuminatum,Arisaema atrorubens,Arisaema pusillum,Arisaema stewardsonii,Arisaema triphyllum,Arisaema triphyllum subsp,Arisaema triphyllum subsp. stewardsonii",,,Arisaema triphyllum,Arisaema triphyllum,,,,"['Useful Plants Data', 'LITTOX', 'CPCS', 'UCANR']"
72,110976-2,Glyceria grandis,Glyceria grandis,110976-2,Species,Glyceria grandis,,,Glyceria grandis,,,,,,,,"['Useful Plants Data', 'LITTOX']"
73,111020-2,Glyceria striata,Glyceria striata,111020-2,Species,Glyceria striata,,,Glyceria striata,,,,,,,,"['Useful Plants Data', 'LITTOX']"
74,111060-2,Glycosmis parviflora,Glycosmis parviflora,111060-2,Species,Glycosmis citrifolia,,,Glycosmis citrifolia,,,,,,,,"['Useful Plants Data', 'LITTOX']"
75,1115541-2,Astragalus convallarius,Astragalus convallarius,1115541-2,Species,Astragalus convallarius,,,"Astragalus campestris,Astragalus convalarius,Astragalus convallarius,Astragalus convallarius var. vallarius",,,,,,,,"['Useful Plants Data', 'LITTOX']"
76,111709-1,Gynocardia odorata,Gynocardia odorata,111709-1,Species,Gynocardia odorata,,,"Gynocardia odorata,Gynocardium odorata",,,,,,,,"['Useful Plants Data', 'LITTOX']"
77,111753-1,Hydnocarpus kurzii,Hydnocarpus kurzii,111753-1,Species,Hydnocarpus kurzii,,,"Hydnocarpus kurzii,Taraktogenos kurzii",,,,,,,,"['Useful Plants Data', 'LITTOX']"
78,111765-1,Hydnocarpus venenatus,Hydnocarpus venenatus,111765-1,Species,Hydnocarpus venenatus,,,Hydnocarpus venenata,,,,,,,,"['Useful Plants Data', 'LITTOX']"
79,1117728-2,Senna occidentalis,Senna occidentalis,1117728-2,Species,Senna occidentalis, <b>Use</b>: <em>Poisons</em>.,Senna occidentalis,"Cassia occidentalis,Senna occidentalis",,,,,Senna occidentalis,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1117728-2)', 'LITTOX', 'USDA(Duke)']"
80,1119529-2,Styphnolobium japonicum,Styphnolobium japonicum,1119529-2,Species,Styphnolobium japonicum,,,"Sophora japonica,Styphnolobium japonicum",,,Sophora japonica,,Sophora japonica,Sophora japonica L.,,"['Useful Plants Data', 'LITTOX', 'CPCS', 'USDA(Duke)', 'TPPT']"
81,111972-1,Pangium edule,Pangium edule,111972-1,Species,Pangium edule,,,"Pangium ceramense,Pangium edule",,,,,,,,"['Useful Plants Data', 'LITTOX']"
82,112029-3,Amsinckia lycopsoides,Amsinckia lycopsoides,112029-3,Species,Amsinckia lycopsoides,,,"Amsinckia barbata,Amsinckia idahoensis,Amsinckia intactilis,Amsinckia lycopsoides,Benthamia lycopsoides",,,,,,,,"['Useful Plants Data', 'LITTOX']"
83,112052-1,Ryania speciosa,Ryania speciosa,112052-1,Species,Ryania speciosa, <b>Use</b>: <em>Poisons</em>.,Ryania speciosa,Ryania speciosa,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:112052-1)', 'LITTOX']"
84,1130764-2,Helietta parvifolia,Helietta parvifolia,1130764-2,Species,Helietta parvifolia,,,,,,,,,,,['Useful Plants Data']
85,1132072-2,Dysphania carinata,Dysphania carinata,1132072-2,Species,Dysphania carinata,,,"Chenopodium carinatum,Dysphania carinata",,,,,,,,"['Useful Plants Data', 'LITTOX']"
86,1133957-2,Hippobroma longiflora,Hippobroma longiflora,1133957-2,Species,Hippobroma longiflora, <b>Use</b>: <em>Poisons</em>.,Hippobroma longiflora,"Hippobroma longiflora,Isotoma longiflora",,,Hippobroma longiflora,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1133957-2)', 'LITTOX', 'CPCS']"
87,113478-2,Grimmeodendron eglandulosum,Grimmeodendron eglandulosum,113478-2,Species,Grimmeodendron eglandulosum,,,Grimmeodendron eglandulosum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
88,113618-1,Borago officinalis,Borago officinalis,113618-1,Species,Borago officinalis, <b>Use</b>: <em>Poisons</em>.,Borago officinalis,"Borago officinalis,Borago officinalis as 'borage',Borrago officinalis",,,,,,Borago officinalis L.,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:113618-1)', 'LITTOX', 'TPPT']"
89,1137625-2,Eruca vesicaria,Eruca vesicaria,1137625-2,Species,Eruca vesicaria, <b>Use</b>: <em>Poisons</em>.,Eruca vesicaria,"Eruca sativa,Eruca vesicaria,Eruca vesicaria ssp. sativa",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1137625-2)', 'LITTOX']"
90,113939-1,Cordia africana,Cordia africana,113939-1,Species,Cordia africana,,,Cordia abyssinica,,,,,,,,"['Useful Plants Data', 'LITTOX']"
91,114060-2,Guarea guidonia,Guarea guidonia,114060-2,Species,Guarea guidonia, <b>Use</b>: <em>Poisons</em>.,Guarea guidonia,"Guarea aubletii,Guarea purgans",,,,,Guarea rusbyi,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:114060-2)', 'LITTOX', 'USDA(Duke)']"
92,1141713-2,Senecio brasiliensis,Senecio brasiliensis,1141713-2,Species,Senecio brasiliensis,,,Senecio brasiliensis,,,,,,,,"['Useful Plants Data', 'LITTOX']"
93,11421-2,Amorpha fruticosa,Amorpha fruticosa,11421-2,Species,Amorpha fruticosa,,,,,,,,,Amorpha fruticosa L.,,"['Useful Plants Data', 'TPPT']"
94,114242-3,Wigandia urens,Wigandia urens,114242-3,Species,Wigandia urens, <b>Use</b>: <em>Poisons</em>.,Wigandia urens,"Wigandia caracasana,Wigandia urens",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:114242-3)', 'LITTOX']"
95,114552-1,Cordia sinensis,Cordia sinensis,114552-1,Species,Cordia sinensis,,,,,,,,,,,['Useful Plants Data']
96,114706-2,Guilandina bonduc,Guilandina bonduc,114706-2,Species,Guilandina bonduc, <b>Use</b>: <em>Poisons</em>.,Guilandina bonduc,"Caesalpinia bonduc,Caesalpinia bonducella",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:114706-2)', 'LITTOX']"
97,1147123-2,Dysphania schraderiana,Dysphania schraderiana,1147123-2,Species,Dysphania schraderiana,,,Chenopodium foetidum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
98,1149384-2,Symplocarpus foetidus,Symplocarpus foetidus,1149384-2,Species,Symplocarpus foetidus,,,"Dracontium foetidum,Spathyema foetida,Symplocarpus foetidus",,Symplocarpus foetidus,Symplocarpus foetidus,,,,,"['Useful Plants Data', 'LITTOX', 'Cornell CALS', 'CPCS']"
99,115039-2,Gutierrezia microcephala,Gutierrezia microcephala,115039-2,Species,Gutierrezia microcephala,,,"Gutierrezia microcephala,Gutierrezia sarothrae var. microcephala,Xanthocephalum lucidum,Xanthocephalum microcephalum",,,,,,,,"['Useful Plants Data', 'LITTOX']"
100,115050-2,Gutierrezia sarothrae,Gutierrezia sarothrae,115050-2,Species,Gutierrezia sarothrae,,,"Gutierrezia diversifolia,Gutierrezia longipappa,Gutierrezia sarothrae,Gutierrezia sarothrae as 'broomweed',Gutierrezia tennuis,Xanthocephalum sarothrae",,,,,,,,"['Useful Plants Data', 'LITTOX']"
101,115083-1,Cynoglossum coeruleum,Cynoglossum coeruleum,115083-1,Species,Cynoglossum coeruleum,,,,,,,,,,,['Useful Plants Data']
102,1152177-2,Cajanus cajan,Cajanus cajan,1152177-2,Species,Cajanus cajan, <b>Use</b>: <em>Poisons</em>.,Cajanus cajan,"Cajanus cajan,Cajanus indicus",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1152177-2)', 'LITTOX']"
103,115233-1,Cynoglossum officinale,Cynoglossum officinale,115233-1,Species,Cynoglossum officinale,,,Cynoglossum officinale,,,,,,Cynoglossum officinale L.,Cynoglossum officinale L. ,"['Useful Plants Data', 'LITTOX', 'TPPT', 'CliniTox']"
104,115835-1,Echium plantagineum,Echium plantagineum,115835-1,Species,Echium plantagineum,,,"Echium lycopsis,Echium plantagineum",,,,,,,,"['Useful Plants Data', 'LITTOX']"
105,115950-1,Echium vulgare,Echium vulgare,115950-1,Species,Echium vulgare,,,Echium vulgare,,,Echium vulgare,Echium vulgare,,Echium vulgare L.,Echium vulgare L. ,"['Useful Plants Data', 'LITTOX', 'CPCS', 'UCANR', 'TPPT', 'CliniTox']"
106,116007-1,Ehretia cymosa,Ehretia cymosa,116007-1,Species,Ehretia cymosa,,,,,,,,,,,['Useful Plants Data']
107,1164658-2,Caesalpinia pulcherrima,Caesalpinia pulcherrima,1164658-2,Species,Caesalpinia pulcherrima, <b>Use</b>: <em>Poisons</em>.,Caesalpinia pulcherrima,"Caesalpinia pulcherrima,Poinciana pulcherrima",,,Caesalpinia pulcherrima,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1164658-2)', 'LITTOX', 'CPCS']"
108,116468-3,Cucumis metulifer,Cucumis metulifer,116468-3,Species,Cucumis metulifer,,,Cucumis metuliferus,,,,,,,,"['Useful Plants Data', 'LITTOX']"
