,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,Useful_Plants_Snippet,powo_Snippet,powo_name_Snippet,LITTOX_Snippet,wiki_Snippet,Cornell_Snippet,CPCS_Snippet,UCANR_Snippet,USDA(Duke)_Snippet,TPPT_Snippet,CliniTox_Snippet,Compiled_Sources
0,1002432-2,Prosopis juliflora,Prosopis juliflora,1002432-2,Species,Prosopis juliflora, <b>Use</b>: <em>Poisons</em>.,Prosopis juliflora,Prosopis juliflora,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1002432-2)', 'LITTOX']"
1,1003393-1,Fusifilum physodes,Fusifilum physodes,1003393-1,Species,Fusifilum physodes,,,"Urginea physodes,Urginea pusilla",,,,,,,,"['Useful Plants Data', 'LITTOX']"
2,1003470-1,Merwilla plumbea,Merwilla plumbea,1003470-1,Species,Merwilla plumbea,,,,,,,,,,,['Useful Plants Data']
3,1003508-2,Pithecellobium dulce,Pithecellobium dulce,1003508-2,Species,Pithecellobium dulce, <b>Use</b>: <em>Poisons</em>.,Pithecellobium dulce,Pithecellobium dulce,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1003508-2)', 'LITTOX']"
4,1003562-1,Duguetia staudtii,Duguetia staudtii,1003562-1,Species,Duguetia staudtii,,,,,,,,,,,['Useful Plants Data']
5,100371-1,Pergularia daemia,Pergularia daemia,100371-1,Species,Pergularia daemia,,,Pergularia daemia,,,,,,,,"['Useful Plants Data', 'LITTOX']"
6,1003776-1,Rhadinothamnus anceps,Rhadinothamnus anceps,1003776-1,Species,Rhadinothamnus anceps,,,"Phebalium anceps,Rhadinothamnus anceps",,,,,,,,"['Useful Plants Data', 'LITTOX']"
7,1003783-2,Dicentra eximia,Dicentra eximia,1003783-2,Species,Dicentra eximia,,,"Bikukulla eximia,Dicentra eximia",,,,,,,,"['Useful Plants Data', 'LITTOX']"
8,1004515-2,Calotropis procera,Calotropis procera,1004515-2,Species,Calotropis procera, <b>Use</b>: <em>Poisons</em>.,Calotropis procera,"Asclepias procera,Calotropis procera,Calotropis syriaca",Calotropis procera,,Calotropis procera,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1004515-2)', 'LITTOX', 'fr_wiki', 'CPCS']"
9,1005328-1,Moraea bulbillifera,Moraea bulbillifera,1005328-1,Species,Moraea bulbillifera,,,,,,,,,,,['Useful Plants Data']
10,1005342-1,Moraea pallida,Moraea pallida,1005342-1,Species,Moraea pallida,,,"Homeria glauca,Homeria pallida,Moraea glauca,Moraea pallida",,,,,,,,"['Useful Plants Data', 'LITTOX']"
11,1005531-1,Deguelia utilis,Deguelia utilis,1005531-1,Species,Deguelia utilis, <b>Use</b>: <em>Poisons</em>.,Deguelia utilis,Lonchocarpus utilis,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:1005531-1)', 'LITTOX']"
12,1007116-1,Shirakiopsis indica,Shirakiopsis indica,1007116-1,Species,Shirakiopsis indica,,,Sapium indicum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
13,100798-1,Raphionacme lanceolata,Raphionacme lanceolata,100798-1,Species,Raphionacme lanceolata,,,,,,,,,,,['Useful Plants Data']
14,100817-1,Raphionacme velutina,Raphionacme velutina,100817-1,Species,Raphionacme velutina,,,,,,,,,,,['Useful Plants Data']
15,100926-1,Sarcolobus globosus,Sarcolobus globosus,100926-1,Species,Sarcolobus globosus,,,Sarcolobus globosus,,,,,,,,"['Useful Plants Data', 'LITTOX']"
16,1010549-1,Phoradendron rubrum,Phoradendron rubrum,1010549-1,Species,Phoradendron rubrum,,,Phoradendron rubrum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
17,1010945-1,Linzia gerberiformis,Linzia gerberiformis,1010945-1,Species,Linzia gerberiformis,,,,,,,,,,,['Useful Plants Data']
18,1011107-1,Prioria oxyphylla,Prioria oxyphylla,1011107-1,Species,Prioria oxyphylla,,,Oxystigma oxyphyllum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
19,1011172-2,Astragalus asymmetricus,Astragalus asymmetricus,1011172-2,Species,Astragalus asymmetricus,,,"Astragalus asymmetricus,Astragalus leucophyllus",,,,,,,,"['Useful Plants Data', 'LITTOX']"
20,1012067-1,Chrysopogon nigritanus,Chrysopogon nigritanus,1012067-1,Species,Chrysopogon nigritanus,,,,,,,,,,,['Useful Plants Data']
21,1012878-1,Cestrum toledii,Cestrum toledii,1012878-1,Species,Cestrum toledii,,,Sessea brasiliensis,,,,,,,,"['Useful Plants Data', 'LITTOX']"
22,1013601-1,Flueggea virosa,Flueggea virosa,1013601-1,Species,Flueggea virosa,,,"Flueggea virosa,Securinega virosa",,,,,,,,"['Useful Plants Data', 'LITTOX']"
23,1013670-1,Colubrina asiatica,Colubrina asiatica,1013670-1,Species,Colubrina asiatica,,,,,,,,,,,['Useful Plants Data']
24,1013684-1,Gouania obtusifolia,Gouania obtusifolia,1013684-1,Species,Gouania javanica,,,,,,,,,,,['Useful Plants Data']
25,1013771-1,Philenoptera violacea,Philenoptera violacea,1013771-1,Species,Philenoptera violacea,,,,,,,,,,,['Useful Plants Data']
26,1014108-1,Shirakiopsis elliptica,Shirakiopsis elliptica,1014108-1,Species,Shirakiopsis elliptica,,,Sapium ellipticum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
